gene_short_name	scaled_TPM	group_number
aman-1	4.95967626662147e-16	1
lgc-26	8.51305736810597e-16	1
cup-4	1.5957410330333402e-15	1
clec-178	1.7226678532117804e-15	1
unc-122	2.82252753192382e-15	1
lgc-28	3.0356683058167706e-15	1
Y73F4A.1	3.49641811588597e-15	1
F32E10.8	4.1955902531874106e-15	1
nep-20	4.359084719120081e-15	1
Y116A8C.3	4.527839026026841e-15	1
ule-3	5.915537943469101e-15	1
lgc-25	6.27422166888809e-15	1
mig-6	7.024690002689621e-15	1
ttr-1	9.80679826956222e-15	1
nep-8	1.0234453973551e-14	1
Y62H9A.4	1.07294310272006e-14	1
F55B11.3	1.08232586817603e-14	1
D1086.6	1.97173541597322e-14	1
F38A5.22	2.311298708542e-14	1
lgc-23	2.96984111245397e-14	1
clec-222	2.9922878069031e-14	1
K07A1.6	3.61058431317927e-14	1
ZK813.3	3.73861344949017e-14	1
ZK1225.5	5.56515740752452e-14	1
F54F7.9	5.60366722494057e-14	1
bgnt-1.4	6.63623423917213e-14	1
F38B2.3	7.453051243451642e-14	1
F17E9.4	7.64613767953565e-14	1
Y43D4A.2	8.39416971710507e-14	1
Y105E8A.27	9.096855553671061e-14	1
ttr-14	9.44601593852865e-14	1
snf-9	1.41589961968174e-13	1
alh-2	1.97789781358405e-13	1
C18D11.10	2.0178729275659e-13	1
Y62H9A.3	7.73893034738862e-13	1
fbxa-111	1.31744676204378e-12	1
dhhc-12	1.75110580684313e-12	1
phat-4	1.79392838836213e-12	1
M199.9	2.49053279027184e-12	1
oac-23	7.04681812813808e-12	1
spe-12	7.49783858852077e-12	1
ule-5	8.873722764603059e-12	1
Y46B2A.3	1.12790858380842e-11	1
M70.1	1.85775320822938e-11	1
irld-4	1.01777249271655e-10	1
F26B1.1	1.06580774161025e-10	1
W02D9.7	1.27580992773471e-10	1
ZK1010.5	1.32094535033456e-10	1
Y62H9A.5	1.41149552565576e-10	1
D1054.10	2.03048862781802e-10	1
oac-27	1.14154601848132e-09	1
abf-1	1.409008168835e-09	1
pitr-5	1.66410793316625e-09	1
H20J04.1	2.8947288809587503e-09	1
ttr-12	3.4897845270851702e-09	1
Y105C5B.17	4.28843063343548e-09	1
C29E4.10	1.02447044394353e-08	1
ttr-9	1.66542046674353e-08	1
ZK892.3	2.35392995558635e-08	1
nep-13	2.971467239757e-08	1
ssp-37	3.20249616000365e-08	1
C04H5.7	3.57485496184681e-08	1
F07E5.8	3.65143302008144e-08	1
F56F4.3	3.87003457631541e-08	1
sst-20	4.7047326150217e-08	1
dyf-7	4.94570737751062e-08	1
nkb-2	5.72408648831445e-08	1
C18H7.7	5.78548252078095e-08	1
D1086.17	1.23266970808363e-07	1
fipr-28	1.75620172245915e-07	1
Y37D8A.19	2.090983644302e-07	1
