gene_short_name	scaled_TPM	group_number
F46F5.10	9.23693481260573e-17	1
Y51A2B.9	1.0973075687540399e-16	1
srt-67	2.29116759570313e-16	1
R05D3.5	3.09908321850246e-16	1
math-48	4.26864839335609e-16	1
E02H4.4	5.654742366133569e-16	1
F19C7.6	6.20575173796779e-16	1
scl-17	7.08749550437258e-16	1
K08D10.18	8.00337177826795e-16	1
F14D7.18	8.86258630153973e-16	1
Y69A2AR.50	1.26463232330804e-15	1
F28A10.1	1.4210137440577e-15	1
Y73F4A.1	2.27022462350406e-15	1
lgc-26	2.27919301288563e-15	1
K02E7.11	2.32328560061331e-15	1
aman-1	2.8276080679846704e-15	1
unc-122	3.77091127299481e-15	1
Y71G12B.33	3.77653031878058e-15	1
cup-4	4.09380951750823e-15	1
lgc-28	5.364399000461101e-15	1
gcy-2	5.66875821152963e-15	1
Y116A8C.3	6.2159705838226004e-15	1
ZK1251.3	6.472091691518131e-15	1
ZC116.3	7.392878897259011e-15	1
C55C2.3	7.69668467547016e-15	1
C31H1.5	7.86339700786035e-15	1
F46F5.16	8.63293284468481e-15	1
ttr-1	9.068167924554692e-15	1
Y116A8A.2	9.22506370307753e-15	1
F31E8.5	1.05534068050071e-14	1
ttr-12	1.06866427721854e-14	1
F15H9.1	1.34994272917185e-14	1
T16A1.2	1.53160614671988e-14	1
clec-222	1.5636932057815802e-14	1
clec-226	1.61230776713455e-14	1
F41D3.11	1.62475306916336e-14	1
C10G11.1	1.6598294037299102e-14	1
ttr-13	1.68738817687286e-14	1
C35B1.9	1.89370398113747e-14	1
tsp-19	1.9484898471299105e-14	1
F40H6.1	1.95404334092982e-14	1
mpz-6	2.10127955868573e-14	1
C55C2.4	2.28080974090804e-14	1
lgc-24	2.35756898722348e-14	1
fbxb-9	2.4330805681885705e-14	1
T04B8.1	2.52568857422198e-14	1
F46B6.10	3.09544704570865e-14	1
tyr-3	3.59340460015022e-14	1
phy-3	3.66758674020121e-14	1
Y57E12B.4	3.86052795225904e-14	1
F46F5.14	5.0161477945606605e-14	1
ttr-55	7.30170881240479e-14	1
C29F9.5	7.328509813001042e-14	1
K06B4.15	7.625497076951212e-14	1
srv-32	8.76988006301646e-14	1
try-7	1.26686023014396e-13	1
acp-3	1.3207568395032998e-13	1
C18H7.7	1.56479628084967e-13	1
C14A6.7	1.7208607799565e-13	1
ZK250.14	1.73715999609573e-13	1
ZK354.9	2.31873304116013e-13	1
spe-29	2.32806256500354e-13	1
M70.1	3.51098774318242e-13	1
F46F5.11	4.10796075765967e-13	1
ZK795.2	4.11588278785972e-13	1
ttr-58	4.16915245064787e-13	1
Y51A2B.5	4.27293631063038e-13	1
nep-8	5.33657895400691e-13	1
Y47H9B.2	8.639487574479e-13	1
Y57G11A.2	9.14062040609777e-13	1
F11G11.14	1.15570872495609e-12	1
clec-79	1.60175137615088e-12	1
M02B1.4	1.61487065322636e-12	1
ZK177.11	1.66068621720384e-12	1
F25H5.2	1.76828097353988e-12	1
Y105C5B.17	2.5636479680582098e-12	1
oac-23	3.4126427224849e-12	1
T02E1.7	3.5060942446301697e-12	1
B0496.6	3.92543328225262e-12	1
W03D8.1	4.7017487828187e-12	1
sst-20	4.7374009755473e-12	1
F21D9.2	6.10280732380881e-12	1
ZK84.2	7.4499446790277e-12	1
Y62H9A.4	9.97304477460804e-12	1
irld-18	1.11283551841517e-11	1
Y105C5B.18	1.1347249782551798e-11	1
C54D10.4	1.28643689387301e-11	1
C15H11.10	1.42414761398889e-11	1
ZK892.5	1.7806691225779298e-11	1
T21E12.5	1.86131964739524e-11	1
lgc-25	2.1704187902438e-11	1
aqp-3	3.3060776666841295e-11	1
T05B4.14	3.3275338319646096e-11	1
best-11	4.8398789670313294e-11	1
D2062.13	5.2620275846496287e-11	1
C35A5.4	5.28445339750336e-11	1
T09F5.10	6.118423050093969e-11	1
Y43F8C.5	6.8294053835846e-11	1
F59C6.3	7.569762563918309e-11	1
ttr-11	9.835066755942219e-11	1
ZK1053.6	1.00034611782205e-10	1
H34I24.1	1.01295435038642e-10	1
ule-3	1.06689733773882e-10	1
irld-14	1.32233038676072e-10	1
T08B6.4	1.85052163277186e-10	1
R102.8	2.15601147563891e-10	1
Y69E1A.3	3.11375416494068e-10	1
str-161	3.25715042837654e-10	1
Y116F11B.8	3.35312055527597e-10	1
F46F5.13	3.35345926693492e-10	1
K10H10.13	3.53001335463144e-10	1
ZK1053.2	4.23663831326938e-10	1
F16G10.5	4.33980680976751e-10	1
Y95B8A.4	4.72678287311521e-10	1
Y51H4A.22	4.78606313993007e-10	1
