gene_short_name	scaled_TPM	group_number
F38A5.22	6.48107782795231e-16	1
lgc-26	8.89654954730875e-16	1
mtd-1	9.45028044030872e-16	1
F01G12.18	2.72151887096227e-15	1
Y57G11C.23	2.7521457424655804e-15	1
nlp-54	2.89085200985074e-15	1
clec-222	3.1316443869012504e-15	1
irld-7	3.3324388295574707e-15	1
clec-145	3.4701874753628304e-15	1
Y73F4A.1	4.03517836564203e-15	1
F58B4.6	4.80268566387412e-15	1
C43F9.5	5.1724215061631504e-15	1
C05C10.8	5.70213065090793e-15	1
aman-1	5.74732311885647e-15	1
clec-190	5.875727189292311e-15	1
K02E7.11	7.921963677526841e-15	1
F07E5.8	8.44783292683982e-15	1
ZC116.3	9.26732247199492e-15	1
sgcb-1	9.33932304141305e-15	1
F54F7.9	9.72222326063674e-15	1
C54D2.1	1.14990815537331e-14	1
C55C2.4	1.21911424457139e-14	1
T16A1.2	1.2843111542704e-14	1
aexr-2	1.2911959210866e-14	1
Y51A2B.6	1.30837193679256e-14	1
clec-260	1.6080137201827e-14	1
dma-1	1.66507119298906e-14	1
Y49E10.29	1.81883556764584e-14	1
fut-4	2.01189459606247e-14	1
R04D3.2	2.6084489394250303e-14	1
dyf-7	2.93433568933816e-14	1
F25B3.2	3.47279873778493e-14	1
F41C6.4	3.5379016239752604e-14	1
lips-1	3.66671437371914e-14	1
unc-122	3.84745003284761e-14	1
F54D12.9	3.964578635098021e-14	1
C04A11.1	4.22325925511192e-14	1
nep-8	6.3755509807665e-14	1
mom-1	6.76241911019297e-14	1
ttr-1	9.2686595699528e-14	1
srb-17	9.5802169114187e-14	1
ZK250.14	1.10757853639575e-13	1
srg-27	1.15729580836626e-13	1
ZK1225.5	1.29630659024062e-13	1
sri-2	1.3414803051239e-13	1
Y47H9B.2	1.87366173470633e-13	1
E02H4.4	2.26814403577976e-13	1
F46F5.10	3.19329298302228e-13	1
R155.4	3.20255046130043e-13	1
Y105C5B.17	4.37791621802896e-13	1
D2030.12	5.14426546465992e-13	1
irld-18	1.13389286721408e-12	1
K06B4.15	1.17773852228835e-12	1
Y62H9A.4	1.68988497653001e-12	1
ttr-12	2.77572089932467e-12	1
acp-3	3.1588644486423097e-12	1
ceh-34	3.3787316597887498e-12	1
C54D10.4	3.91874741196937e-12	1
lgc-28	4.77682251142655e-12	1
daf-6	5.08056262585952e-12	1
F07H5.6	6.287876461269529e-12	1
nep-10	6.31021980568164e-12	1
Y51H4A.13	6.3927338046838696e-12	1
H12D21.5	6.81476547095752e-12	1
F23B2.7	7.87950579264113e-12	1
lgc-25	9.00017324206558e-12	1
ule-3	9.84792053237736e-12	1
F34D6.9	1.43855807021509e-11	1
D2062.13	1.5797565956253794e-11	1
ZK1251.3	2.3429429324025894e-11	1
lgc-34	1.66196757119462e-10	1
D1081.11	1.74539837156499e-10	1
C14A4.8	1.76937018377781e-10	1
ttr-9	2.19257070296195e-10	1
F15A4.2	3.20433136609191e-10	1
F55B11.3	3.33362589220355e-10	1
T05G5.4	3.8438720640795e-10	1
T02E1.7	3.88224280376037e-10	1
F27E5.3	4.54577973562722e-10	1
Y42H9AR.2	6.60134686500534e-10	1
Y105E8A.27	8.126652331664771e-10	1
sst-20	1.09758393782912e-09	1
ZK262.3	1.73135055293842e-09	1
F32E10.8	1.73383217106113e-09	1
C29E4.10	2.11246888167352e-09	1
Y57G11B.3	2.28159886421521e-09	1
nep-13	3.0650845871050903e-09	1
Y71G12B.25	4.6941926272893e-09	1
F58D5.8	4.9208849789739e-09	1
Y62H9A.3	5.4968754765008604e-09	1
doxa-1	6.02911099815191e-09	1
F58B4.3	7.883048678985151e-09	1
C55A6.11	8.31565966749855e-09	1
H10D18.5	9.37296296657271e-09	1
