gene_short_name	scaled_TPM	group_number
aman-1	8.32351342238988e-16	1
lgc-26	1.21783654854161e-15	1
E02H4.4	1.37004434884776e-15	1
unc-122	1.4255700699340102e-15	1
clec-145	1.6264228254934402e-15	1
Y39F10A.3	1.7280974954629701e-15	1
K02E7.11	2.3688018867213503e-15	1
Y49E10.29	3.3113089082626305e-15	1
lgc-28	3.3923397189144007e-15	1
clec-190	3.43235984614443e-15	1
Y73F4A.1	3.50768687834326e-15	1
dyf-7	3.90664981608241e-15	1
lgc-23	4.03388104074207e-15	1
lgc-53	4.319164880401991e-15	1
cup-4	4.34096797973461e-15	1
Y116A8C.3	4.70823731485578e-15	1
ZC116.3	5.705440404719661e-15	1
lgc-24	6.536812963905721e-15	1
ttr-1	7.66831111765362e-15	1
scl-17	8.42691587176309e-15	1
T05B11.4	8.56606463003807e-15	1
C15C8.5	9.58041710367861e-15	1
clec-222	9.84503324766361e-15	1
F28A10.1	1.02254801191044e-14	1
ntr-2	1.12169747866056e-14	1
W03G11.2	1.37187388662601e-14	1
clec-178	1.4752565695125902e-14	1
gcy-2	1.72238224043068e-14	1
T20B6.2	1.8337132655436502e-14	1
twk-37	2.13512339716099e-14	1
F19C7.6	2.31749298431242e-14	1
ZK1251.3	2.53606478989664e-14	1
Y51A2B.6	2.66148346099989e-14	1
ZK1225.5	3.509027887491e-14	1
acp-3	4.14541203892322e-14	1
F39B3.3	5.19400810797375e-14	1
C09B9.85	5.40896594128034e-14	1
C38C5.1	7.23822423222128e-14	1
Y69A2AR.50	8.63362205532033e-14	1
nep-8	8.637200850170052e-14	1
F57A8.6	9.54554983691346e-14	1
irld-11	9.89234551888264e-14	1
F54B3.4	1.12579182520761e-13	1
F59A1.18	1.12973321832674e-13	1
ZK795.2	1.19339602576463e-13	1
ZC190.7	1.32752966414274e-13	1
Y17G7B.22	1.36260677459827e-13	1
K02F6.4	1.4304184875005e-13	1
C31H1.5	1.73525360839582e-13	1
lgc-14	1.77726885003923e-13	1
srv-32	2.27592802252439e-13	1
R05G9.5	2.59473871872792e-13	1
F11G11.14	3.79391772712787e-13	1
F46F5.11	3.87214848521173e-13	1
ZK354.9	3.95492691271147e-13	1
str-181	5.22947216336792e-13	1
irld-7	6.16317613349345e-13	1
T13B5.9	8.8333102907507e-13	1
Y62H9A.4	1.03636317549402e-12	1
F17E9.15	1.25543174234568e-12	1
C46E10.1	1.97539099929372e-12	1
C54D10.4	2.30969227932122e-12	1
M70.1	3.1320216598911697e-12	1
lgc-25	3.26099537212447e-12	1
clec-109	3.70222374340208e-12	1
F21F12.1	4.89251601201883e-12	1
W05B10.6	5.07743556421539e-12	1
ule-3	1.27897391946079e-11	1
C35A5.4	2.0047336352280495e-11	1
Y41D4B.24	4.42567592348355e-11	1
Y105C5B.17	4.7536347577670094e-11	1
C02H6.3	5.00264211277654e-11	1
D1081.11	6.47579779203562e-11	1
srm-6	1.07277391130412e-10	1
F55B11.5	1.43551694316448e-10	1
oac-23	1.95015250440358e-10	1
F55B11.3	2.69397453425946e-10	1
nep-11	2.96680779445719e-10	1
twk-39	3.92821038545123e-10	1
fut-5	4.75604747330056e-10	1
frpr-10	4.77079031973067e-10	1
clec-151	6.20402926126032e-10	1
srsx-32	7.01397589469997e-10	1
C29E4.10	8.292076216618301e-10	1
Y62H9A.3	9.1094593911633e-10	1
D1054.10	1.03866167405884e-09	1
F54F7.9	1.17037606847503e-09	1
T02E1.7	1.8021050286611502e-09	1
dmsr-9	1.8180253236530902e-09	1
sst-20	1.88678452278448e-09	1
cof-2	1.94467877065557e-09	1
F32E10.8	2.24343987123606e-09	1
T16A1.2	2.98241303962145e-09	1
F56H1.10	3.08218910277353e-09	1
glc-3	3.70768566326177e-09	1
F54B3.2	3.8185574251497e-09	1
Y57G11B.3	3.9951333750425e-09	1
F36A4.5	4.08658249852139e-09	1
T19H5.7	4.957829649773581e-09	1
C25G6.4	7.89185220016619e-09	1
C55C2.3	8.48218015150115e-09	1
ttr-13	9.664869746927342e-09	1
K07D4.4	1.08251134906033e-08	1
best-11	1.11187474717868e-08	1
Y105C5B.18	1.21310406432179e-08	1
srxa-10	1.2413218965988e-08	1
M02B1.4	1.96222223147066e-08	1
irld-6	2.14934449114361e-08	1
C14F11.4	2.26223010218228e-08	1
F46F5.16	2.28985336863949e-08	1
aqp-3	2.58908309257855e-08	1
Y47H9B.2	2.75435035232104e-08	1
fbxc-49	3.18270783405451e-08	1
T08B6.9	4.2660618374149e-08	1
sro-1	4.42512489683038e-08	1
F01G12.18	6.52270224887604e-08	1
ZK892.3	7.70738334827774e-08	1
Y95B8A.4	7.73600571568021e-08	1
clec-175	7.79129029529139e-08	1
ZK813.3	7.90876394351175e-08	1
gnrr-1	8.00663763679021e-08	1
F02A9.1	8.47179359814599e-08	1
F26B1.1	1.12263955173497e-07	1
F36D1.6	1.32838393613295e-07	1
F15H10.7	1.36112512194053e-07	1
clec-153	1.47756159368513e-07	1
T08B6.4	1.539119510576e-07	1
elo-7	1.55854874953742e-07	1
cysl-4	1.72080651520727e-07	1
C55C3.8	1.78113243685209e-07	1
F46F5.14	1.89634873563266e-07	1
M28.9	2.74310913892928e-07	1
C18D11.10	3.6750312012942e-07	1
Y50E8A.6	3.80488183415869e-07	1
M162.7	3.81870291551382e-07	1
ttr-12	3.90321385206656e-07	1
ttr-9	3.99229112480859e-07	1
F31E8.5	4.34388957321786e-07	1
F17E9.4	4.47206692842364e-07	1
H29C22.1	5.45845140225268e-07	1
Y62H9A.5	5.98380941125755e-07	1
nkb-2	7.78640905600988e-07	1
Y105E8A.27	9.05616366838755e-07	1
K12B6.2	9.11723691323393e-07	1
Y57G11C.1143	9.52318828924579e-07	1
tsp-18	9.65866476390755e-07	1
snf-9	1.04735360782569e-06	1
ZK84.2	1.088419612639e-06	1
ZC13.10	1.10617045956919e-06	1
Y43F8C.5	1.11481409666325e-06	1
Y48G10A.6	1.22535700268193e-06	1
ceh-17	1.45579014651406e-06	1
C09B9.2	1.64471504165205e-06	1
F58D5.8	1.79587406866768e-06	1
ttr-14	1.85127863948998e-06	1
F47E1.3	2.09264802067778e-06	1
irld-4	2.52193745783848e-06	1
pqn-98	2.82685902158294e-06	1
Y116F11B.8	3.04301098184403e-06	1
F56C4.1	3.05237455850945e-06	1
Y37D8A.19	3.22039741503771e-06	1
Y57G11C.23	3.44270646777393e-06	1
F58D2.2	3.69312777236616e-06	1
K07A1.6	4.26525569454203e-06	1
Y37E11AR.7	4.75323822319261e-06	1
ZK39.10	4.90837699886934e-06	1
W09C3.2	5.75264011782343e-06	1
nep-13	6.12516155095423e-06	1
W03D8.1	6.87271690005915e-06	1
C04H5.7	9.33782289226682e-06	1
F36D4.4	9.83354629888111e-06	1
srd-20	1.29603022180826e-05	1
F32H2.12	1.37837970649125e-05	1
spe-19	1.41197622627599e-05	1
ZC190.8	1.74240715660891e-05	1
scl-23	1.96643581809738e-05	1
irld-14	2.07020601245532e-05	1
Y71F9B.15	2.21791417068872e-05	1
ccb-2	2.49459537759624e-05	1
K06B4.15	2.65696451343094e-05	1
F37A4.4	2.84272882079129e-05	1
nep-23	3.05376802605373e-05	1
ZK813.7	3.14806950629814e-05	1
F35E2.9	3.15700756984885e-05	1
str-144	3.96353793630577e-05	1
srx-2	4.34229828081002e-05	1
Y43F8A.2	5.01721884628e-05	1
K08C9.2	6.70826659316286e-05	1
nep-20	6.73482180745086e-05	1
F46C5.7	6.92523344574436e-05	1
F07E5.8	7.32839303099562e-05	1
W02D9.6	8.25925288322743e-05	1
Y53H1C.3	9.13228768372309e-05	1
Y51A2B.5	9.41719346260599e-05	1
nep-10	9.52926846452322e-05	1
T04A6.3	9.6383805169961e-05	1
F27E5.3	0.0001030178986025	1
C28C12.11	0.0001065535225604	1
K02F6.3	0.0001087594691865	1
irld-18	0.0001580471714321	1
Y57G7A.6	0.0001724278991882	1
ZC373.2	0.0001987669303362	1
T05B4.14	0.0002021123717545	1
snf-5	0.0002035567834474	1
pitr-3	0.0002124942706811	1
try-7	0.0002148650776932	1
unc-3	0.0002235702763507	1
paf-1	0.0002603967933748	1
Y59E9AL.8	0.000278739090195	1
lag-2	0.0002900223707989	1
VY10G11R.1	0.0004452897292683	1
E02H9.7	0.0005169434126239	1
abf-1	0.0005177811909596	1
Y47D3A.13	0.000584382191303	1
ZK973.4	0.0006008205905326	1
npr-7	0.0006675057324239	1
nep-5	0.0007652158234175	1
D2062.13	0.0007884827852394	1
npr-25	0.0008187456418938	1
F40H6.1	0.0009129694990487	1
T21C9.11	0.0009519383484468	1
ZK813.1	0.0011449475877619	1
clec-79	0.0013826349303369	1
str-240	0.0016014292313187	1
F36D3.5	0.001660686927276	1
F55B11.2	0.0016790892966148	1
ule-5	0.0017140211571781	1
ZK1053.2	0.0018845290608697	1
best-6	0.0018924169925657	1
irld-3	0.0020328391268449	1
col-135	0.0020992936196882	1
R01H2.2	0.0023446227276159	1
Y54G2A.15	0.0024185622827497	1
ttr-57	0.0025936047261068	1
T25B9.2	0.002745359480779	1
tab-1	0.0029162617205087	1
epac-1	0.0031814331084989	1
irld-8	0.0031944038981937	1
spe-12	0.003215189457702	1
T06E4.5	0.0033146832659373	1
srg-23	0.0033963269391126	1
dhhc-11	0.0035091871395556	1
ZK721.4	0.0035995603796534	1
F10G2.7	0.003662359882552	1
F56D5.2	0.0036698368164588	1
