gene_short_name	scaled_TPM	group_number
lgc-26	4.87822958396988e-16	1
F09D12.2	7.27395405789157e-16	1
K02E7.11	8.310802943269839e-16	1
Y51H4A.8	1.1085309327864302e-15	1
C29E4.10	1.17817838132508e-15	1
T19C3.5	1.3732639210898802e-15	1
clec-190	1.50455981051605e-15	1
dsl-2	1.6690425540267601e-15	1
del-10	1.7125819627664101e-15	1
clec-145	1.86248981551391e-15	1
C46E10.8	2.00646451107859e-15	1
bgnt-1.4	2.03779599653498e-15	1
chhy-1	2.27649901985359e-15	1
F59A1.13	2.39510981119222e-15	1
lgc-23	2.51986144875723e-15	1
C05C10.8	2.5679398420752e-15	1
R173.3	2.57749844724876e-15	1
col-135	2.67450798641058e-15	1
srj-14	2.72789880949796e-15	1
clec-222	2.8323261581123303e-15	1
ZC116.3	2.8527318041611803e-15	1
C34F6.1	2.8580871183522e-15	1
C33C12.12	3.85699042671372e-15	1
clec-223	3.86710644898788e-15	1
dao-2	4.16186822708851e-15	1
C38C6.5	4.188606719649921e-15	1
ador-1	4.2835517735513e-15	1
K11E4.6	4.287657423268351e-15	1
C35A5.4	4.40741586787192e-15	1
nas-30	4.60014162000886e-15	1
F13B12.4	4.899857704515921e-15	1
lgc-25	4.921640842541411e-15	1
kvs-1	5.06445194484251e-15	1
fut-4	5.283753364168081e-15	1
Y71F9B.15	5.502561465947281e-15	1
T28F3.9	5.925658676868211e-15	1
F26B1.1	5.9537703894445706e-15	1
Y59E9AL.8	6.497655191986181e-15	1
C55C2.4	6.518035576724091e-15	1
F49H12.4	6.57531087631377e-15	1
pes-8	6.77462772801606e-15	1
Y49E10.29	7.25953082809945e-15	1
W03G11.2	7.6543061324377e-15	1
srx-134	7.80247186041798e-15	1
nep-13	7.900751086753121e-15	1
C10G11.10	8.28850255762506e-15	1
C35E7.7	8.30047645997728e-15	1
Y27F2A.9	8.71130744858418e-15	1
B0207.2	8.809695611684431e-15	1
Y105E8A.27	9.50718121404164e-15	1
grl-8	9.53555148671344e-15	1
Y116A8C.24	1.02786880062972e-14	1
Y116A8C.3	1.03291536836984e-14	1
F54F7.9	1.03438111070873e-14	1
K07D4.4	1.04279488478446e-14	1
F46C5.7	1.1298251260520999e-14	1
F38A5.22	1.22482854480397e-14	1
Y51H4A.22	1.24411046457121e-14	1
cutl-23	1.25602417875918e-14	1
bgnt-1.6	1.30209405430129e-14	1
F07A5.4	1.33569537950446e-14	1
unc-122	1.36303884356987e-14	1
F47E1.4	1.49866223554528e-14	1
fbxc-42	1.6159257187233e-14	1
F54B3.2	1.6404398177915402e-14	1
C04E6.4	1.69301257288702e-14	1
ZC190.7	1.71329588398365e-14	1
aman-1	1.81021301681284e-14	1
C29F3.3	1.8824105643910902e-14	1
Y41D4A.1	1.92192395380164e-14	1
F46F5.1	1.9381157926589505e-14	1
tag-191	1.9445227948826302e-14	1
ZK1225.5	2.08412328195963e-14	1
tax-2	2.11721816989066e-14	1
W03D8.1	2.27046342949004e-14	1
ZK795.2	2.40255849557924e-14	1
tab-1	2.76786917103575e-14	1
scl-17	3.1730270571855604e-14	1
E02H4.4	3.48495809190891e-14	1
C15C8.5	3.67940084266379e-14	1
Y62H9A.8	3.79398381805255e-14	1
F58B4.6	3.91488891386925e-14	1
xbx-1	7.445157173862382e-14	1
ttr-1	7.88577039801672e-14	1
srv-5	8.71740489085101e-14	1
C31H1.5	9.071405416398221e-14	1
sri-46	9.14015660709175e-14	1
F07E5.8	9.3374794561441e-14	1
irld-38	9.433187995820921e-14	1
C25F9.2	1.13309291456462e-13	1
gpa-18	1.3927695147762e-13	1
Y51A2B.6	1.43966731789435e-13	1
Y62H9A.4	1.46752682629226e-13	1
srh-282	1.81854014931611e-13	1
Y51A2B.4	1.87175461547439e-13	1
T05D4.2	1.88438890420867e-13	1
lgc-14	2.30887817564919e-13	1
C15F1.2	3.43420546084914e-13	1
srh-139	3.87716134336682e-13	1
exp-1	4.48409052155886e-13	1
C46F4.3	4.60447414825219e-13	1
K07A1.6	5.38019231804941e-13	1
osm-5	6.43223807772403e-13	1
ule-3	1.00975504615081e-12	1
irld-7	1.01002781810401e-12	1
F32E10.8	1.23037502988594e-12	1
Y75B7AL.2	1.2857307366108398e-12	1
acp-3	1.66991327880439e-12	1
dhs-27	1.78633854478215e-12	1
Y116F11A.3	2.05943499477146e-12	1
irld-18	2.20734403549199e-12	1
srh-68	3.6633869286506e-12	1
C54D10.4	3.8342940314451095e-12	1
B0334.6	1.01616445460023e-11	1
F56A11.4	1.3072759598708598e-11	1
lgc-28	1.6347524196465298e-11	1
F43C11.2	2.4582427086205696e-11	1
Y105C5B.17	2.56867681656862e-11	1
ZK1251.3	6.30691143151412e-11	1
H29C22.1	6.60306872382558e-11	1
odr-10	6.73092114421123e-11	1
F55B11.3	6.81968132634529e-11	1
ZK1025.3	1.00103275183341e-10	1
srz-24	1.11603080775053e-10	1
aqp-3	1.86513813319998e-10	1
Y62H9A.3	5.25992244620971e-10	1
T02E1.7	6.37192368632833e-10	1
R13H4.7	7.79159842340396e-10	1
Y73F4A.1	1.0955187484394e-09	1
F52F12.9	1.09679447792466e-09	1
F46F5.14	1.25640941644428e-09	1
F56H1.10	1.56345994853053e-09	1
F36A4.5	2.25463479079079e-09	1
F58B4.3	2.3705542730931e-09	1
F56C4.1	2.6128532863843903e-09	1
glc-3	2.68935790346999e-09	1
dyf-7	2.88126109342114e-09	1
ssp-37	2.94166039223461e-09	1
K01A12.2	4.049901279801511e-09	1
srx-19	4.78631436900881e-09	1
F36D3.5	5.69357975990958e-09	1
T26H10.2	6.06751950236368e-09	1
T08B6.9	6.08840667637279e-09	1
lips-1	9.532598034619032e-09	1
btb-7	9.60472004529625e-09	1
ttr-13	1.1492339697813e-08	1
C18D11.7	1.56288074083643e-08	1
K02D10.2	1.62715824514702e-08	1
Y64G10A.10	1.66818634562233e-08	1
R03G8.6	2.01278344721305e-08	1
F17E9.4	2.58594821868737e-08	1
ZK813.3	2.64003672616563e-08	1
C27H5.6	2.64738986893988e-08	1
ZK154.1	2.97743733135123e-08	1
fbxb-77	4.22040882672015e-08	1
F46F5.16	4.24920272346115e-08	1
C14F11.4	4.26542249851818e-08	1
C55C2.3	4.26792075711268e-08	1
T07D1.3	4.77892831400042e-08	1
C31G12.1	5.46031220207761e-08	1
M28.9	5.77756106434092e-08	1
Y62H9A.5	6.4612351713623e-08	1
M02B1.4	7.68217473952585e-08	1
K06A4.2	9.46270046813226e-08	1
oac-9	9.50690724473129e-08	1
Y95B8A.4	1.08571483441932e-07	1
spe-19	1.13025458590157e-07	1
D1054.10	1.15236045531186e-07	1
tsp-3	1.17746127895076e-07	1
T08B6.4	1.41328107220497e-07	1
F43G6.16	1.77653812808986e-07	1
D2092.6	2.30333806509246e-07	1
grh-1	2.58678870393584e-07	1
best-11	3.43435061629491e-07	1
lron-15	4.02303895540307e-07	1
ttr-14	4.03159456341528e-07	1
ncx-5	4.33869172035118e-07	1
C09B9.2	4.46724387478697e-07	1
snf-9	4.97599272766615e-07	1
F33D4.6	5.00958057856983e-07	1
C18D11.10	5.20119732612398e-07	1
ZK1290.7	6.50232627668639e-07	1
C30G12.1	6.63930515600021e-07	1
nep-10	6.81136472221006e-07	1
C30F8.3	7.31520070774258e-07	1
F58E6.11	7.36095950154456e-07	1
T10B9.9	7.42455595866741e-07	1
W05H5.1	7.6118569400442e-07	1
pqn-98	9.99032927080632e-07	1
C01G5.4	1.0555892808135e-06	1
C04H5.7	1.25544273795529e-06	1
C31G12.4	1.26390201868278e-06	1
W09C3.2	1.29747796216302e-06	1
nep-20	1.57866913678475e-06	1
twk-47	1.82541061950969e-06	1
Y48G10A.6	1.96925576057153e-06	1
ZK1010.5	2.14992221481699e-06	1
F47E1.3	2.22846534104451e-06	1
W06H8.4	2.33743181654325e-06	1
daf-6	2.54035911585502e-06	1
F33H1.6	3.40341119332145e-06	1
C15H11.10	4.49913905197596e-06	1
nkb-2	4.525440054639e-06	1
ZK813.7	5.18692268938072e-06	1
