gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.2244862791434702e-15	1
aman-1	1.2671744638459101e-15	1
W02D9.7	5.4679284640866505e-15	1
clec-178	5.67509406888695e-15	1
ule-3	8.764670376724741e-15	1
ttr-1	9.175789781037851e-15	1
Y62H9A.4	1.14576325091496e-14	1
K07A1.6	1.58965630461718e-14	1
ZC116.3	2.03333272399411e-14	1
ZK813.3	2.78875741251868e-14	1
nep-8	5.31656414869101e-14	1
F17E9.4	1.35025582404209e-13	1
Y69H2.3	1.55601605300005e-13	1
ZC373.2	2.30093044383095e-13	1
Y105E8A.27	4.1919989341226697e-13	1
Y51A2B.4	4.22156687518138e-13	1
Y116F11B.8	4.59795278405576e-13	1
F56C4.4	4.98584856874623e-13	1
H29C22.1	9.97862674249608e-13	1
T05B4.14	2.31668424150332e-12	1
Y62H9A.3	2.71776104582045e-12	1
ssp-37	6.20225209894872e-12	1
K08C9.2	8.55858316845412e-12	1
ule-5	9.13096260908898e-12	1
Y43F8C.5	4.14572213252239e-11	1
F35C12.3	5.4102728765118e-11	1
K07E3.9	1.05826086747017e-10	1
Y62H9A.5	1.11865559304882e-10	1
T27E7.1	2.04830351951228e-10	1
D1054.10	5.98156240553166e-10	1
F55B11.3	1.18210767146705e-09	1
W02D9.6	1.25179996818493e-09	1
R08A2.1	1.57972446295867e-09	1
R13H9.5	2.6377904669626603e-09	1
F55B11.2	3.7815029085662e-09	1
F57C2.4	5.72549262461548e-09	1
Y105C5B.17	6.3140685743920606e-09	1
D1086.17	9.98142494426259e-09	1
Y37D8A.19	7.08029508705633e-08	1
C04H5.7	7.21936902042063e-08	1
K08C9.1	4.08457829441137e-07	1
nas-20	5.85243860536505e-07	1
T16A9.5	6.47761618987065e-07	1
Y57G11C.23	1.43876349623756e-06	1
ttr-14	1.69386132498372e-06	1
F54F7.3	6.74906698818395e-06	1
C14F11.4	7.29411724460349e-06	1
scrm-5	2.01404691167653e-05	1
ZK795.2	2.01885549798432e-05	1
snf-9	2.45051271066024e-05	1
ZK813.1	3.4201643371006e-05	1
ZK813.7	5.50273257792719e-05	1
F27C8.5	0.0001575212195552	1
