gene_short_name	scaled_TPM	group_number
Y116A8C.3	9.41152038398424e-16	1
Y73F4A.1	1.44527138968382e-15	1
clec-222	2.07582605829405e-15	1
F55B11.3	2.43131362864592e-15	1
aman-1	2.58871888394483e-15	1
ule-3	2.8015174491591e-15	1
clec-145	2.8767925554498e-15	1
clec-178	3.673228336572071e-15	1
clec-223	3.99774515650099e-15	1
ZK856.5	4.710854825416711e-15	1
Y49E10.29	5.129091507251711e-15	1
Y62H9A.4	6.0877031710988905e-15	1
col-135	6.826609678446581e-15	1
F38A5.22	1.02161172417605e-14	1
mig-6	1.28499961749552e-14	1
ttr-1	1.3305813847514e-14	1
Y39F10A.3	1.39127616122077e-14	1
K02E7.11	1.98451596520105e-14	1
C31H1.5	2.04338295265956e-14	1
K07A1.6	3.26574088707492e-14	1
F17E9.4	3.81498977930059e-14	1
ZK813.3	9.746151791331561e-14	1
Y69H2.3	1.00224814517451e-13	1
nep-20	2.03694705757246e-13	1
snf-9	2.53739675509929e-13	1
C50E3.12	3.74274655025555e-13	1
nep-10	5.27298211998524e-13	1
T25D3.3	1.25397190348804e-12	1
H29C22.1	1.45060425729232e-12	1
Y62H9A.3	2.3856095269034e-12	1
spe-12	3.67261516164322e-12	1
M02B1.4	5.0660193751872695e-12	1
ule-5	7.27813454533523e-12	1
ZK1010.5	3.4606042617532e-11	1
irld-4	4.59812819138914e-11	1
D1054.10	5.38955444495412e-11	1
F26B1.1	9.20199344934088e-11	1
Y43F8C.5	1.20665160830536e-10	1
Y62H9A.5	1.60611113827762e-10	1
lgc-25	2.25802125560119e-10	1
W02D9.7	2.39613131470392e-10	1
W02D9.6	3.4383680390447503e-10	1
ZC373.2	3.53763221113072e-10	1
H20J04.1	2.00500884386991e-09	1
ttr-12	8.592207767350981e-09	1
ssp-37	1.14843711423248e-08	1
T16A1.2	1.26515737072248e-08	1
Y57G11B.3	1.36554680591875e-08	1
nkb-2	1.47379158048664e-08	1
R07B1.8	3.3169881691324e-08	1
ZK1225.5	4.41270510511679e-08	1
D1086.17	7.7800357571222e-08	1
try-10	1.17957615007044e-07	1
Y25C1A.6	1.20290133389164e-07	1
F57C2.4	2.87949362122856e-07	1
Y37D8A.19	3.10105233979996e-07	1
ttr-14	3.34804749189139e-07	1
F40D4.17	5.0717235117555e-07	1
col-127	6.12851840570144e-07	1
ZC250.5	6.86869480009104e-07	1
E02H9.7	1.17205999503275e-06	1
T08B6.4	3.01453476467922e-06	1
Y105E8A.27	3.16443772037101e-06	1
F54F7.3	3.99034505010997e-06	1
C14F11.4	4.21616909723603e-06	1
C04H5.7	4.88229805082492e-06	1
T20B6.1	8.29064339745563e-06	1
F36D3.8	8.50110680481795e-06	1
ZK795.2	1.12493328367241e-05	1
ZK813.7	2.22666114262764e-05	1
C28C12.11	2.69084547732422e-05	1
K08C9.2	2.82376931009396e-05	1
Y105C5B.18	4.92529530333182e-05	1
ZK813.1	8.37258587331434e-05	1
C36H8.1	8.84630446475009e-05	1
F23B12.1	0.0001714552143909	1
ZC581.2	0.0002117106007927	1
ZK250.2	0.0003418871160924	1
F55B11.2	0.0006181175832073	1
ZK84.2	0.0008006500973996	1
M162.7	0.0016644766651677	1
D1086.11	0.0017966452575248	1
Y54G2A.15	0.0024521942527276	1
irld-14	0.0028961822503886	1
C04G6.6	0.0034245818263517	1
M28.9	0.0060082139773805	1
F22F7.11	0.0063685584328569	1
Y38F2AL.12	0.007056811821216	1
K11H3.4	0.0071598837068982	1
lam-1	0.0077044091790719	1
irld-18	0.0099622132707103	1
ttr-42	0.0145547335889065	1
T02E1.7	0.0172477305599454	1
Y43F8C.9	0.0198030061938082	1
pqn-88	0.0202157375753008	1
tsp-18	0.0224538619934219	1
T04B2.8	0.0316507783224427	1
maph-1.2	0.04870695307017	1
K12H6.2	0.0511114103152781	1
D1081.12	0.0530600214055641	1
abf-6	0.0611412951638447	1
F40H6.1	0.0649175909043788	1
H34I24.1	0.0662622458589658	1
nhr-23	0.0689968608667018	1
dhhc-12	0.0717968548737969	1
T23F6.3	0.0779479493991257	1
C48B4.10	0.0802590943516785	1
F26F4.8	0.0852950389895099	1
wago-10	0.0960626143334199	1
K03H1.7	0.0988409167798877	1
Y48G9A.11	0.100590652509522	1
fbxa-197	0.10662055107227	1
snf-5	0.109511902360532	1
set-21	0.113846729482242	1
pole-1	0.117396831956353	1
fbxa-211	0.1206798937603	1
K12D12.5	0.120689317931269	1
Y49F6B.9	0.125275980047901	1
ZK616.8	0.127761282450115	1
Y54G2A.12	0.130599652551046	1
F52C6.12	0.133847095370463	1
ogr-2	0.134556758794177	1
C48B4.9	0.143281122225322	1
atm-1	0.144035218592503	1
Y4C6B.1	0.145694126372415	1
Y71G12A.4	0.148793933019125	1
T15H9.2	0.152587821873538	1
C25G4.8	0.153258434775343	1
pal-1	0.15464388125877	1
C40C9.3	0.154678055307582	1
cyp-31A2	0.157568259912471	1
dsb-2	0.164043168864543	1
dna-2	0.166385999070149	1
tyms-1	0.16766285866133	1
Y17G7B.12	0.168042636726335	1
set-24	0.170862752405774	1
dhps-1	0.175096357926167	1
C16C8.11	0.175720745209973	1
rga-3	0.176561564747512	1
Y69A2AR.28	0.181937257819247	1
C04E6.11	0.182108236295063	1
Y116A8C.23	0.186096398659549	1
Y50D4A.6	0.186592372671326	1
him-10	0.190547154604028	1
C28A5.2	0.191827240255776	1
prde-1	0.192021430232835	1
uggt-2	0.193717032593362	1
T15B7.14	0.195110734915276	1
clec-79	0.201461979088692	1
fbxa-106	0.220085899504206	1
skr-17	0.220328814652036	1
W06E11.1	0.221155259658126	1
W04A4.5	0.227098927384071	1
zhit-1	0.227597865446155	1
B0207.9	0.23390761717958	1
mpst-1	0.234832812952464	1
Y43F8A.2	0.240223900678837	1
fbxa-118	0.240502438564233	1
eme-1	0.241380458668418	1
gyg-2	0.243131127443958	1
xpc-1	0.25093581239127	1
T16H12.1	0.257732036990298	1
F21D9.2	0.26101459182751	1
C14B9.2	0.266051481053785	1
F27E5.3	0.266778465445143	1
rog-1	0.271946996214987	1
syx-4	0.286865591749246	1
C06C6.8	0.287531121100914	1
E01A2.5	0.292489319920948	1
C04A2.15	0.293833591489292	1
bath-19	0.296774727618894	1
kbp-2	0.300611516686928	1
C46A5.5	0.308172856677611	1
M117.6	0.308929262885086	1
C34H4.5	0.309746303116266	1
K06B4.15	0.311180683058583	1
F59A7.7	0.311798902060046	1
Y42H9AR.2	0.312554433737512	1
ZC21.8	0.315707220903035	1
ddx-19	0.320786736270457	1
ulp-3	0.321828843268182	1
fbxa-107	0.325033104188338	1
C18E9.8	0.328258833948157	1
R10D12.13	0.328286245931497	1
C32H11.7	0.33305839604385	1
dnj-17	0.334370890796697	1
orc-4	0.336790111984334	1
D1007.8	0.338939851311974	1
ZK1225.4	0.340692573700524	1
F53H4.2	0.345786770545436	1
E02H1.5	0.347102327596679	1
inx-14	0.347762637679815	1
F26F4.12	0.349500372010245	1
mus-81	0.35041627084795	1
Y38F1A.7	0.350735544800998	1
T01C3.2	0.352850255265992	1
F31E8.5	0.364217092282258	1
Y54F10BM.3	0.364882487514876	1
Y53F4B.11	0.365028226111208	1
ZK1248.15	0.365663134088673	1
Y39B6A.30	0.367031403234571	1
C33C12.7	0.3700587112717	1
zyg-1	0.377158894852712	1
pash-1	0.378176152058358	1
R01H10.7	0.379265402886229	1
K01A11.2	0.383080924541536	1
dnj-3	0.38402288343205	1
orc-2	0.385958712569416	1
M01G5.1	0.389502967995636	1
F46F11.7	0.396435240697238	1
top-3	0.396892676988603	1
nlp-4	0.401850157751599	1
T21E12.5	0.41580843287607	1
C01G10.1	0.418446928054066	1
pelo-1	0.418612738675107	1
C06E1.9	0.418891000105997	1
F55G1.9	0.42370474291851	1
W05F2.6	0.424252161136917	1
Y66D12A.6	0.428085259900129	1
Y104H12D.4	0.428349481969032	1
Y41C4A.9	0.429236874014799	1
C50D2.8	0.434867634430768	1
scc-1	0.437175821692841	1
C39B5.6	0.439539029271885	1
pqn-96	0.448130126602714	1
pgs-1	0.450717377585334	1
T16A9.5	0.455946828172288	1
F45G2.9	0.460346818153111	1
F53F4.18	0.463880884521134	1
Y106G6H.16	0.46391617268971	1
snf-2	0.464413654019829	1
K08D9.9	0.467823776336167	1
Y47G6A.3	0.469624674256187	1
C44E4.5	0.471477033323992	1
exc-4	0.472546358249705	1
C08H9.3	0.477092098422911	1
Y45F10D.7	0.479719304755209	1
C01G12.13	0.483815148357178	1
cox-15	0.485909625912305	1
drsh-1	0.490444214319026	1
spo-11	0.491094155286675	1
F46F5.14	0.49330834024534	1
rsd-6	0.494309895975264	1
K04C2.8	0.495298757828553	1
tipn-1	0.501920256497276	1
T06E6.1	0.50227159497141	1
T22C1.5	0.508674498807494	1
Y82E9BR.19	0.510700545769245	1
mrp-7	0.511037854207569	1
C02B8.1	0.512403850154728	1
F10G8.2	0.514143471790584	1
C26D10.3	0.515688570086286	1
Y42A5A.5	0.516143904674535	1
tofu-4	0.516692083687621	1
ZK354.3	0.520359286423988	1
tbx-32	0.52329743856147	1
wago-4	0.529871628669867	1
C23G10.1	0.530988964694086	1
T13F3.8	0.532936301068807	1
bath-13	0.543797442462557	1
H38K22.7	0.544421065149638	1
spe-4	0.545605668090992	1
T23B5.4	0.548622261379271	1
phf-30	0.554410872172848	1
T22D1.17	0.556310007828403	1
C06C6.7	0.556523743214396	1
F18C12.3	0.55858377492459	1
Y79H2A.2	0.56031015792752	1
K08F4.5	0.566519386708331	1
Y50E8A.10	0.567958926328383	1
lmd-1	0.571989611206488	1
Y54G2A.13	0.579062769363074	1
F12E12.1	0.579103552645444	1
C41G7.3	0.579863804895031	1
