gene_short_name	scaled_TPM	group_number
Y116A8C.3	1.2529940501384902e-15	1
Y62H9A.3	2.76088619045567e-15	1
ule-3	3.15581596953737e-15	1
Y73F4A.1	3.2180736928180604e-15	1
ttr-1	5.966713980525341e-15	1
F55B11.3	6.07295483731547e-15	1
lgc-28	7.996883018054551e-15	1
cup-4	8.239473379525251e-15	1
clec-178	8.9576006708333e-15	1
Y62H9A.4	1.11222694183432e-14	1
W02D9.7	1.28473658765255e-14	1
snf-9	1.3300235457249e-14	1
ZK856.5	1.3462081093146999e-14	1
Y95B8A.4	1.73107168503037e-14	1
unc-122	2.15469433891408e-14	1
F38A5.22	2.24637992890009e-14	1
mig-6	2.4477883340994305e-14	1
C31H1.5	2.58294907049653e-14	1
T19C3.5	4.06180351968976e-14	1
K07A1.6	5.28360425426703e-14	1
F17E9.4	5.98016876342671e-14	1
nep-20	6.4821148827894e-14	1
ZK813.3	6.81555793574212e-14	1
cya-2	7.840409851072172e-14	1
Y105E8A.27	9.0603377010363e-14	1
F56C4.4	1.09731703579602e-13	1
F57A8.6	1.27547787072114e-13	1
clec-153	1.88879414153135e-13	1
irld-7	1.89626810208748e-13	1
col-2	4.79207886639271e-13	1
T05B4.14	1.35773965686324e-12	1
ssp-37	1.4970486955426698e-12	1
H29C22.1	1.83435425869764e-12	1
ule-5	5.31007444014479e-12	1
C54D10.4	2.6607376332343095e-11	1
D1054.10	5.6101214074235e-11	1
M02B1.4	8.24202014002284e-11	1
C14F11.4	8.40207357445442e-11	1
Y62H9A.5	1.03780471126679e-10	1
T09F5.10	1.10269544030629e-10	1
lgc-25	2.35797827179812e-10	1
ZC373.2	6.24973957205704e-10	1
F55B11.2	3.83406767387689e-09	1
ttr-12	7.30674389213444e-09	1
H20J04.1	8.62499820283208e-09	1
Y105C5B.17	1.11482884200589e-08	1
C04H5.7	6.20427615645924e-08	1
K08C9.2	1.10484401798994e-07	1
nkb-2	1.19838757054135e-07	1
ZK813.7	2.5105914151289e-07	1
fbxa-220	3.06368016370066e-07	1
Y37D8A.19	4.41056389979495e-07	1
F40D4.17	4.540703121086e-07	1
Y69H2.3	5.84025058734697e-07	1
ttr-14	7.06098194274861e-07	1
ZC190.8	7.10966630717378e-07	1
Y57G11C.23	8.52549635589809e-07	1
F57C2.4	9.75157793641483e-07	1
Y43F8C.5	2.66426761155209e-06	1
ZK892.3	3.17647632160032e-06	1
F53H4.2	4.62189370639609e-06	1
T08B6.4	8.98531314059265e-06	1
try-10	1.03055595112209e-05	1
C28C12.11	3.40605375152507e-05	1
Y59H11AM.4	3.80893510152828e-05	1
W02D9.6	5.53149540059045e-05	1
ZK813.1	0.0001132756906249	1
Y105C5B.18	0.0001138589626525	1
Y43F8C.9	0.0001790184403448	1
ZK84.2	0.0004219088313717	1
Y116A8C.33	0.000624587836358	1
C04G6.6	0.0012133284840821	1
D1086.11	0.0028996354303793	1
irld-14	0.003906260057809	1
bath-3	0.0070241930187233	1
M162.7	0.0084914990565854	1
irld-18	0.0179601204838945	1
Y57G7A.6	0.0181885817844569	1
D1086.17	0.0192457589453664	1
Y54G2A.15	0.0208951663977433	1
F58D2.2	0.0218655347178838	1
pssy-2	0.0219153434965395	1
M28.9	0.0259798598119357	1
C48B4.6	0.0356706390804135	1
Y65B4BL.4	0.0435237570391444	1
K11H3.4	0.0476843692049112	1
T16G12.3	0.0518005000659171	1
W01B6.2	0.0526268752388325	1
K11H3.8	0.0673797434224343	1
exo-1	0.0770863543131788	1
ttr-42	0.0854091597535849	1
fbxa-211	0.0860580378523202	1
zim-2	0.100424398669032	1
dnj-28	0.10275289457524	1
zim-1	0.107576425347505	1
C16C4.18	0.11328705943648	1
spe-44	0.120903468071292	1
syp-1	0.122659146841401	1
T12G3.4	0.123021210071983	1
Y67A10A.3	0.124811242205568	1
sygl-1	0.128937041021304	1
gpr-1	0.134907827480877	1
fbxa-210	0.135334888193335	1
C46A5.5	0.137681737854348	1
mex-1	0.138975793100002	1
exo-3	0.140627713593342	1
ZK616.5	0.142231757808769	1
R148.4	0.142552434755438	1
Y116A8C.13	0.143039639010429	1
fbxa-197	0.147305635953854	1
F28A10.7	0.148780582055633	1
R05D3.3	0.149423772479351	1
F16H6.9	0.15001252415525	1
fbf-1	0.151364291227753	1
set-9	0.152832111377245	1
Y55F3BR.2	0.153512336976659	1
ZK1098.12	0.155403577021488	1
B0393.9	0.157051306431694	1
acs-10	0.161321752354558	1
K08E7.4	0.165671006482436	1
F40H6.1	0.166000104591188	1
B0250.7	0.169561971795029	1
Y39B6A.30	0.171607969589002	1
W03G9.2	0.173379090286146	1
coh-3	0.173503367674054	1
R03D7.2	0.173779453196395	1
cdt-1	0.176915148730498	1
ung-1	0.177537111657398	1
C18H7.7	0.178904620152027	1
F21F3.4	0.182854212181306	1
E02H1.2	0.189194234390791	1
T28A8.3	0.194987281813041	1
inft-2	0.195253521674594	1
fbxa-140	0.196367472213063	1
san-1	0.197924439724878	1
acs-6	0.200766292340146	1
mbtr-1	0.206287219686452	1
F55G1.5	0.209126284899427	1
hop-1	0.209429984381812	1
C30G12.6	0.209706687606095	1
Y39B6A.16	0.210457521818432	1
W03D8.5	0.213576774634042	1
rsa-2	0.21450215474845	1
tim-1	0.217370017056882	1
enu-3.2	0.22172370632911	1
fbxa-108	0.224750644312677	1
Y82E9BR.2	0.227103188691677	1
T28A8.8	0.227775654372475	1
C40A11.8	0.230231619011679	1
T27A3.7	0.233057993344899	1
C50B8.6	0.237847580198948	1
H11L12.1	0.240622783112306	1
capg-2	0.244426873345154	1
fbxa-114	0.248390413533966	1
C27D9.1	0.256117271558602	1
T13F2.6	0.256860438650931	1
H04D03.2	0.25731358429928	1
tofu-4	0.258882825428135	1
F55A12.10	0.260781457162045	1
D1081.12	0.262566306719844	1
C14A6.6	0.262753782932414	1
Y55B1AR.4	0.265149823105504	1
fbxc-47	0.266863720981049	1
K08D9.9	0.269172960730812	1
cyp-31A5	0.273918371123352	1
hcp-1	0.275583741412331	1
C14B1.12	0.276122325119465	1
snf-5	0.277230285197325	1
F33E11.2	0.281902304715561	1
D1081.9	0.282615374722479	1
pash-1	0.283557211622081	1
C44B7.12	0.283648873356786	1
C27H6.9	0.284227851586602	1
H34I24.1	0.287799702394233	1
C01F6.2	0.28832267264782	1
F55A11.8	0.294990499007613	1
K11D2.5	0.295322316282359	1
bath-1	0.295526420091046	1
Y17G9B.4	0.29626949807145	1
Y37H2A.18	0.298909220899188	1
F59A6.4	0.299027573369555	1
toe-2	0.3007612873178	1
egg-4	0.300793075378789	1
C32H11.7	0.301472790587879	1
Y54G2A.12	0.304574960479533	1
F26F4.8	0.312559486310933	1
peel-1	0.313888466942619	1
exos-4.2	0.315462111821721	1
tag-51	0.317324022928801	1
set-21	0.319096739555013	1
clc-1	0.319886258594934	1
C45G9.2	0.320193991886227	1
Y48G1A.2	0.320493991589394	1
C10B5.1	0.322733799747387	1
C16C8.12	0.323526720782874	1
kbp-4	0.324352434204199	1
F28H1.5	0.327075939756122	1
rga-3	0.328407617407203	1
F35H8.1	0.330700632122638	1
K04C2.8	0.33266833300501	1
C15C6.4	0.333309826648522	1
Y49E10.4	0.334844500588535	1
metl-2	0.335381774804604	1
Y48C3A.20	0.339534344631768	1
bath-41	0.340389617965564	1
pie-1	0.340607428720405	1
F32E10.5	0.343307375585954	1
fipr-9	0.3459536023505	1
snpc-3.2	0.351904147520085	1
prp-4	0.355877537685965	1
Y111B2A.3	0.35871788266387	1
mrp-7	0.362156794923867	1
F52C6.3	0.362233661665661	1
C06A5.8	0.362447100672912	1
F31E8.5	0.366762937525559	1
sep-1	0.368416235660329	1
sws-1	0.368421250618106	1
clec-123	0.370201724278631	1
hmg-20	0.370276151251825	1
fog-2	0.372428713059728	1
tin-9.2	0.37409153304533	1
com-1	0.374966862275124	1
wht-7	0.374986054440789	1
C25E10.17	0.375881326840098	1
F08F8.4	0.378533200330732	1
fbxa-215	0.384578385531953	1
inx-21	0.389431873720761	1
npp-22	0.38952402990733	1
perm-1	0.390640827865092	1
K06B4.15	0.390980885797332	1
F59A3.12	0.392388850453993	1
taf-11.3	0.395333601559493	1
T12F5.2	0.397090371240902	1
C17E4.11	0.39995372906929	1
dph-1	0.401029202087083	1
thoc-7	0.404265317286672	1
dna-2	0.408384193294542	1
Y57G11C.1130	0.41113582185028	1
spe-8	0.411640267037727	1
Y102A5C.36	0.412118277872018	1
C14A4.8	0.414815998248945	1
Y57A10A.2	0.416960026168747	1
F54D1.6	0.417414710238248	1
tag-307	0.423270747490147	1
T28A8.6	0.423786509114366	1
cpar-1	0.42599757340781	1
zif-1	0.428879780072774	1
T22C1.4	0.430867496522048	1
C53B7.3	0.43121449446315	1
cku-70	0.433996141479378	1
C56G2.3	0.435733589266017	1
ZC204.14	0.436825423199016	1
orc-3	0.436921937895886	1
C29F9.12	0.440067196322852	1
ZK632.2	0.442368137069234	1
skpt-1	0.44445053545641	1
fbxc-45	0.445403326479337	1
F18A1.7	0.446183593040282	1
F26F4.5	0.446299703673482	1
Y97E10AR.4	0.451756438230698	1
puf-11	0.451759377923808	1
C01G8.1	0.453275414555636	1
set-31	0.45370178683853	1
nstp-6	0.46294069615655	1
C36B1.11	0.463015853619124	1
Y53G8AR.6	0.463304985027982	1
Y79H2A.2	0.466836724281849	1
Y65B4BL.7	0.472655013144233	1
Y104H12D.2	0.476420587129483	1
fitm-2	0.476822016216422	1
timm-17B.2	0.481155158090052	1
sago-2	0.481375437047192	1
W03C9.2	0.482482966951545	1
lem-2	0.482977749043659	1
ZK550.4	0.484211520438066	1
Y17G7B.12	0.484358472353605	1
cdc-7	0.48537396134188	1
T01C3.2	0.489371884372919	1
M04B2.4	0.491514488194198	1
ptr-2	0.495213194599846	1
wdr-5.3	0.503511164258103	1
F56A11.6	0.50516357107931	1
orc-4	0.505432542059899	1
nos-2	0.509605170593242	1
B0238.12	0.513635234971905	1
elli-1	0.514369262633942	1
T28A8.4	0.515306960268788	1
hyl-1	0.515382275873269	1
Y65B4A.8	0.517962920828244	1
sulp-6	0.518150479862584	1
nsun-4	0.518551131595441	1
