gene_short_name	scaled_TPM	group_number
cof-2	5.91959995255235e-16	1
lgc-28	8.32757521288534e-16	1
cup-4	8.94252695710017e-16	1
T16G12.3	1.05676109233849e-15	1
ZC116.3	1.4502286026346001e-15	1
lgc-26	1.83570905679997e-15	1
ZK1098.12	2.16816895885417e-15	1
K02E7.11	2.3978381037673704e-15	1
Y57G11C.23	2.6800389206659002e-15	1
abf-1	2.7373888790161002e-15	1
nas-20	2.7536475191558002e-15	1
oac-9	2.78161808760367e-15	1
clec-223	2.8462680671999504e-15	1
Y39B6A.16	3.1402474104126e-15	1
clec-178	3.1690323194662e-15	1
F56C4.4	3.4766959004121402e-15	1
irld-7	3.74065583769028e-15	1
Y73F4A.1	4.56368082980533e-15	1
try-10	4.764052311100721e-15	1
T20F5.5	5.628781272833141e-15	1
Y62H9A.3	5.64767494221073e-15	1
ttr-1	6.0384525837306e-15	1
clec-142	6.050210643443701e-15	1
mec-10	6.06786264472293e-15	1
col-135	6.501502748137931e-15	1
fncm-1	6.874723435946471e-15	1
Y42H9AR.2	7.083829011573321e-15	1
uggt-2	7.55597602519527e-15	1
C55A6.11	7.87093618282237e-15	1
F28A10.1	8.491991970880821e-15	1
Y51A2B.6	8.594519854964281e-15	1
moa-1	9.96852493026116e-15	1
nep-5	1.02129176967969e-14	1
M70.1	1.05782195276329e-14	1
clec-222	1.06863723854313e-14	1
K07A1.6	1.1621487428418e-14	1
ZK973.4	1.29787832499594e-14	1
spe-9	1.31761833656668e-14	1
ZK1225.5	1.42687012025489e-14	1
Y116F11B.8	1.4370608698725e-14	1
F54D10.4	1.4515839111288602e-14	1
lgc-24	1.5201815380966502e-14	1
Y54G2A.73	1.52745069304694e-14	1
Y116A8C.24	1.5865955373253402e-14	1
ZK892.3	1.66242674617227e-14	1
spe-38	1.73802222908842e-14	1
Y67D8B.3	1.8399094971391998e-14	1
R04B3.2	1.8727813942659e-14	1
C14A4.13	1.87683665934132e-14	1
Y37E11AR.7	1.88943662845386e-14	1
K01A6.5	1.9322983307790105e-14	1
C09B9.85	2.06401385551288e-14	1
F46F5.7	2.1165638162543902e-14	1
srxa-10	2.2669103674007e-14	1
enu-3.3	2.30720751160373e-14	1
B0261.5	2.60837401831284e-14	1
ZK783.6	2.6094734224468902e-14	1
F26D2.10	2.82031415514647e-14	1
