gene_short_name	scaled_TPM	group_number
ule-3	1.6044211787697102e-15	1
ttr-1	5.05702639490595e-15	1
Y62H9A.4	6.497549651307721e-15	1
F55B11.3	1.19232993083083e-14	1
W02D9.7	2.8947056710552904e-14	1
F40H6.1	3.79334083473329e-14	1
K07A1.6	3.91093417231158e-14	1
K02E7.11	4.23954804284022e-14	1
ZK813.3	4.39605925312027e-14	1
Y69H2.3	8.02519724486618e-14	1
K06B4.15	2.77272885563494e-13	1
try-7	4.94654389958318e-13	1
ule-5	6.13930680992436e-12	1
Y47D3A.13	5.5948472058224786e-11	1
D1054.10	6.16975856303465e-11	1
Y62H9A.5	7.89860125106449e-11	1
Y43F8C.5	1.08147033656441e-10	1
D1086.17	1.68068334761229e-10	1
sst-20	2.275103710379e-10	1
ZC373.2	2.73897627126739e-10	1
T08B6.9	5.89684995003797e-10	1
C18H7.7	1.04627993870582e-07	1
C14F11.4	1.08649658357461e-07	1
F36H12.3	1.28312811959252e-07	1
W09C3.7	3.47263905209815e-07	1
Y37D8A.19	5.98847549295452e-07	1
F17E9.4	9.78416564694175e-07	1
ttr-14	1.2041106748279e-06	1
D1022.9	3.40595429698382e-06	1
F42G4.6	3.58997372930702e-06	1
F54F7.3	4.02222249747872e-06	1
C04H5.7	5.23542079861614e-06	1
E02H9.7	6.64660103372721e-06	1
K11D12.13	8.8310228884042e-06	1
F58A6.5	1.31938141425646e-05	1
snf-9	2.75405151021521e-05	1
R105.1	4.83286068436628e-05	1
ZK813.7	7.15223159364661e-05	1
Y38H8A.3	8.78348050357693e-05	1
ZK813.1	9.3649041785126e-05	1
W02B12.12	0.0003293783739215	1
Y43F8C.9	0.0003782339304415	1
Y4C6A.4	0.0003836221974592	1
T13F3.8	0.0024782985222045	1
F55B11.2	0.0027971854865044	1
K03H1.12	0.0086194352457031	1
C34B2.4	0.0099063212442146	1
acl-13	0.0198673073857885	1
T23F11.2	0.0234455093937555	1
Y69E1A.4	0.0411024744284242	1
C08F11.10	0.0563973685150081	1
M70.3	0.0659046861190573	1
R13A1.3	0.129571451671749	1
T02E1.7	0.139282270388263	1
D1086.6	0.16676855832559	1
C18H7.4	0.194030054558597	1
F56B3.6	0.194366114745458	1
Y38H8A.4	0.362394894362926	1
hdl-1	0.398826750608347	1
C28D4.7	0.411675474633911	1
ZK1307.3	0.567074154559773	1
pck-3	0.584238754815257	1
K11H3.4	0.597564785714737	1
wht-4	0.609505547936561	1
F40F9.3	0.666157372968046	1
T11F8.4	0.670148668896787	1
Y57G11B.5	0.709821201173553	1
R13A5.10	0.89962255996323	1
Y106G6H.13	1.00343094402	1
ZC477.7	1.01524088809383	1
R11E3.1	1.04295843391811	1
C49C8.1	1.07351078338623	1
F01D5.8	1.19409414764903	1
spe-17	1.24140231590089	1
Y47G6A.3	1.2869286827544	1
D1081.12	1.33477435342755	1
pssy-2	1.40109258670701	1
C48B4.6	1.64037626004503	1
Y57G11C.5	1.88985352396014	1
C05C12.1	1.97714343144639	1
F25H5.2	1.99289596324404	1
C27D8.2	2.07256901338509	1
Y69E1A.1	2.09934853597818	1
T16A9.5	2.3234924801368	1
