gene_short_name	scaled_TPM	group_number
ule-3	3.3772733369428204e-15	1
Y73F4A.1	3.7422692147832606e-15	1
ttr-1	6.54871631890499e-15	1
F55B11.3	1.15978313957862e-14	1
Y62H9A.4	1.18461425405417e-14	1
F17E9.4	2.40770320461541e-14	1
mig-6	2.82299025133252e-14	1
C31H1.5	3.798356906494861e-14	1
nep-8	5.03941437045888e-14	1
Y69H2.3	5.488922871594e-14	1
T05B11.4	8.71370910328772e-14	1
ZK813.3	1.05017258575315e-13	1
ZK795.2	2.34027993475398e-13	1
Y105E8A.27	3.8824555071966e-13	1
ssp-37	1.2494726262463e-12	1
F10D11.4	2.7672507623931e-12	1
Y62H9A.3	2.79031263512098e-12	1
ule-5	4.5905173564105086e-12	1
F11G11.14	5.0187822487616095e-12	1
D1081.11	2.5023002511655695e-11	1
D1054.10	3.10452583711324e-11	1
W03D8.1	6.9498265954697e-11	1
Y62H9A.5	8.467666283340879e-11	1
K12D12.4	1.7042135976817002e-10	1
K02F6.3	1.18305811479993e-09	1
H20J04.1	1.02762191753396e-08	1
K08C9.2	2.99286137142465e-08	1
C04H5.7	4.23161304354681e-08	1
C18H7.7	5.2181954332192e-08	1
ZK813.7	1.01443188101853e-07	1
F07F6.1	2.69180211571646e-07	1
Y67D8B.5	3.14778515670588e-07	1
F57C2.4	7.68574595228824e-07	1
C16A11.7	1.7302641093965e-06	1
Y37D8A.19	1.94090488102208e-06	1
ttr-14	3.03522651187042e-06	1
wht-8	4.37184303608647e-06	1
C14F11.4	6.5688109529901e-06	1
T08B6.4	7.86805092040923e-06	1
K09E4.1	1.9297884452121e-05	1
Y105C5B.18	2.19579114996288e-05	1
ZK813.1	6.60784864313252e-05	1
ZC373.2	0.0001662139909945	1
Y43F8C.9	0.0002609394817466	1
Y37E3.19	0.0006547357428109	1
C28C12.11	0.0011362246453509	1
C55A1.6	0.0011677881800041	1
W03D8.3	0.0023331756604082	1
D1086.11	0.0029504429042872	1
F55B11.2	0.0040380614328465	1
C24A11.1	0.0046627877099084	1
C33C12.7	0.007947019572404	1
ttr-42	0.0191410336877818	1
M28.9	0.0574423087580314	1
C15A11.2	0.0579655092315166	1
M05B5.1	0.096264409249292	1
F40H6.1	0.120553417955979	1
W02D9.7	0.143171214392603	1
ZK1307.3	0.200792198764228	1
Y57G11B.5	0.248202180264925	1
B0041.1	0.249571289028098	1
C35E7.10	0.271427675675922	1
ZK849.6	0.274870433276187	1
K11H3.4	0.286953858554917	1
abf-6	0.342121371882506	1
peel-1	0.461714175477093	1
W01B11.1	0.463710857189542	1
T08B6.9	0.488684609575216	1
dod-6	0.520273036037631	1
F09E8.1	0.530772144609618	1
F21D9.2	0.548060654576642	1
D1081.12	0.57829692719905	1
F36A2.11	0.585862910873578	1
F58D2.2	0.63209225083533	1
C27B7.6	0.669147665985955	1
F26A3.5	0.691730413981227	1
C50B8.6	0.789110550713988	1
T27F6.1	0.798820493368906	1
C17D12.5	0.864171781335413	1
Y75B7B.2	0.885732216600258	1
R06B10.2	0.893816480365208	1
Y59E9AL.3	0.954788994994671	1
C53B7.3	0.99472093203078	1
mps-3	1.07564352273055	1
nhr-23	1.13164751492801	1
Y38H6C.15	1.15107154557378	1
Y39B6A.30	1.17045028974161	1
ZK688.10	1.21137493010072	1
Y59E9AL.2	1.35352142180031	1
F56D6.13	1.35382387730041	1
ttr-58	1.44110626925135	1
spe-4	1.45106244526092	1
fer-1	1.57416648725012	1
W01B6.8	1.5927515307132	1
msrp-4	1.60100790156244	1
Y54E2A.8	1.69903273392883	1
W03F11.4	1.70627879256834	1
cnp-2	1.71030246476809	1
T03F6.6	1.73926389637577	1
Y42H9AR.2	1.75699044602048	1
F55D12.6	1.78267335637123	1
E02H9.7	1.78404867350361	1
K06A5.2	1.84039511832374	1
gei-14	1.91121905431168	1
Y47D3A.13	1.94021651626736	1
tim-1	1.97156756392363	1
hdl-2	1.97646719310431	1
F47G6.3	1.98506152071759	1
Y67A10A.3	2.06477404625811	1
T25B9.2	2.09039937711743	1
syp-1	2.18141009676969	1
W03D8.9	2.20542873374217	1
T10E9.4	2.37548224577478	1
F58A6.5	2.42733396845285	1
F56B3.6	2.43624202167823	1
dhhc-13	2.4942177026633	1
ent-1	2.54532847878558	1
K08D9.9	2.55383469599152	1
F36F12.7	2.5701289378162	1
hcp-4	2.60522087168182	1
htp-3	2.61000130831601	1
ztf-25	2.64330013900735	1
C48B4.10	2.74359620402939	1
scl-23	2.75301503213976	1
catp-4	2.80816540662023	1
F26F4.8	2.81438139851207	1
F07E5.5	2.93018339941676	1
elo-8	2.93793103225262	1
T28A8.6	2.99916883120688	1
fut-2	3.05734142292349	1
C42C1.8	3.11410951516735	1
R08C7.8	3.24379417835892	1
C29A12.1	3.33005943242132	1
Y69E1A.1	3.48873242994648	1
