gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.1754446220115602e-15	1
mig-6	1.7079520437322204e-15	1
Y116A8C.3	2.3724015433592602e-15	1
Y62H9A.4	2.6540772167195007e-15	1
cup-4	2.7879654854938106e-15	1
F55B11.3	4.05895472296541e-15	1
ttr-1	5.642377462414921e-15	1
F32E10.8	6.1944371900388e-15	1
Y49E10.29	7.54997930167874e-15	1
K02E7.11	7.8953072802166e-15	1
C31H1.5	1.2788113445247e-14	1
snf-9	1.63315316179145e-14	1
clec-222	1.66966006749579e-14	1
K07A1.6	1.89953613761556e-14	1
try-7	2.2063303826384902e-14	1
Y57G11C.23	2.89784929357004e-14	1
ttr-14	4.0273807601964e-14	1
F15D4.6	4.84020893550772e-14	1
F56C4.4	6.10655453849026e-14	1
ZK262.9	8.14815528686443e-14	1
ZC190.7	8.9937766325464e-14	1
Y69H2.3	9.15877670227529e-14	1
Y51H4A.22	9.807961770676261e-14	1
Y105E8A.27	1.71208420551687e-13	1
D2062.5	3.58144424509171e-13	1
H29C22.1	5.649888094162139e-13	1
ssp-37	1.3017923461041598e-12	1
T05B4.14	1.39358368594556e-12	1
Y105C5B.17	2.28119676081518e-12	1
T13B5.9	2.35592633488261e-12	1
W06H8.4	4.93350784614271e-12	1
ule-5	7.05375707285307e-12	1
spe-12	7.36451179143783e-12	1
T09F5.10	1.24822069108852e-11	1
ule-3	1.2949828069224398e-11	1
C16D9.5	2.3576506547574398e-11	1
M70.1	2.7248901392300094e-11	1
D1054.10	3.0952180323535695e-11	1
clec-151	5.1110584566883294e-11	1
F35C12.3	1.33843490727677e-10	1
M02B1.4	2.31676923217456e-10	1
tsp-18	4.10180245533122e-10	1
ZK783.6	4.65041992234171e-10	1
Y43F8C.5	4.93351809094917e-10	1
F01G12.18	6.20777875431826e-10	1
W02D9.6	9.28537171414418e-10	1
ttr-12	3.1208356907585203e-09	1
abf-1	3.37352262187524e-09	1
F58D5.8	5.3079556978913415e-09	1
peel-1	7.172180402709169e-09	1
F07C4.6	1.03524017871245e-08	1
ZK813.3	3.36013670806286e-08	1
F56F4.3	4.16309185683449e-08	1
C04H5.7	5.00666254700284e-08	1
ZK1225.5	7.3907997300725e-08	1
nkb-2	9.49843664139364e-08	1
gmeb-3	1.01284974299321e-07	1
F32B4.2	1.47306823533264e-07	1
D1086.17	1.48497929546771e-07	1
F17E9.4	1.72254999211064e-07	1
mps-3	2.00733956567353e-07	1
F57C2.4	2.91245508077544e-07	1
F36G9.13	3.11183939046118e-07	1
F36D1.6	3.28085940853544e-07	1
BE10.1	3.40866729897999e-07	1
