gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.02114705091407e-15	1
ule-3	1.10773064443795e-15	1
W02D9.7	1.2975205180573702e-15	1
ttr-1	3.80241094546933e-15	1
F55B11.3	1.53178158817954e-14	1
lgc-28	3.14941436072016e-14	1
F17E9.4	3.4864726790765e-14	1
ttr-14	1.10195751827534e-13	1
Y69H2.3	1.18828242016178e-13	1
ule-5	1.03818298412762e-11	1
ZC373.2	4.88245921457134e-11	1
D1054.10	5.62825336370084e-11	1
Y62H9A.5	1.35426336515957e-10	1
F55B11.2	1.9861894344102502e-09	1
nkb-2	1.26011590841703e-08	1
Y105C5B.18	3.64346974354744e-08	1
C18H7.7	6.73849201338997e-08	1
T19H5.7	7.01623355852799e-08	1
ZK813.3	1.56316343630925e-07	1
ZK813.7	1.56684338161137e-07	1
F56F4.3	1.68767344044634e-07	1
F56D6.12	2.75129449242643e-07	1
K08C9.2	2.83708045015977e-07	1
F54F7.3	3.492099523985e-07	1
Y37D8A.19	6.02941924902891e-07	1
W01B6.8	2.1349076692869e-06	1
M162.7	4.47228832424089e-06	1
Y43F8C.5	9.05022873000043e-06	1
T08B6.4	2.12831189197249e-05	1
math-48	2.62719500572259e-05	1
F31D5.1	6.19411803066379e-05	1
W02D9.6	0.0001370755622878	1
ZK813.1	0.0002028578424011	1
Y47D3A.13	0.0002361899535197	1
Y43F8C.9	0.0002493191551126	1
C08F8.6	0.0003437595020576	1
D1086.11	0.0011484378281518	1
try-10	0.0013944849471003	1
Y116F11B.8	0.0014012359957949	1
ins-37	0.0093705069134048	1
Y54G2A.15	0.0116029364902829	1
ZK856.18	0.0483901782660842	1
Y73F8A.12	0.0854545926933411	1
T02E1.7	0.12703880711457	1
F13D12.5	0.160740952075607	1
pssy-2	0.18534914598638	1
Y47G6A.3	0.230445587378773	1
Y66D12A.19	0.260428893736097	1
dhhc-12	0.267478414615015	1
abf-6	0.320369467161687	1
Y65B4BL.4	0.338723061994709	1
Y54E2A.9	0.421312529174288	1
ZK616.5	0.424202468365908	1
C48B4.11	0.426864139243301	1
mct-5	0.437199081502825	1
Y6E2A.10	0.530123957285702	1
F58H1.6	0.543842284971004	1
C42C1.8	0.561405533597262	1
Y82E9BR.2	0.588489533596622	1
K12H6.2	0.595404760930268	1
T28D9.4	0.600975784808277	1
ttr-22	0.63037491375478	1
Y46H3D.1	0.645628892494032	1
F35H8.1	0.65743225353082	1
B0035.6	0.679296334214832	1
tim-1	0.679702565128348	1
pole-1	0.683545645346925	1
R10D12.10	0.683932780525112	1
mex-1	0.690573570241527	1
klp-18	0.721621196974521	1
mcm-4	0.73527989595618	1
cdl-1	0.743578188661998	1
Y49E10.4	0.800534028252955	1
gld-1	0.804136877480808	1
Y111B2A.3	0.811014536479702	1
bath-7	0.849036271017979	1
K08F4.3	0.862586786163695	1
klp-15	0.876435311045196	1
sws-1	0.900982764591481	1
htp-3	0.915016378966154	1
spo-11	0.923252305094668	1
dna-2	0.923266435851868	1
Y41D4B.11	0.940319032545678	1
Y37E11AL.3	0.972759458685228	1
tag-63	0.983065446536264	1
R102.8	0.987259085228367	1
syp-4	1.02369222200291	1
xnd-1	1.02617766523614	1
rga-3	1.02662090327666	1
C16C8.13	1.02875105745547	1
lpd-6	1.02971414236694	1
T12G3.4	1.03573444825072	1
F07E5.5	1.03605039961858	1
R05D7.5	1.03835508661739	1
H04D03.2	1.03892484569626	1
F55G1.5	1.03982986527904	1
immt-2	1.04121764637172	1
him-10	1.05807232153531	1
T28A8.6	1.06239955097046	1
prde-1	1.06630404795474	1
oma-1	1.0779067352194	1
cdt-1	1.0903931614576	1
Y73F8A.26	1.091833381407	1
mcm-2	1.09272924387709	1
npp-22	1.09281991298038	1
F58B3.4	1.10034299469264	1
Y65B4BL.3	1.10904051795855	1
pig-1	1.11112465780079	1
his-68	1.12225083262777	1
maph-1.2	1.13491671187251	1
msh-6	1.13887552841508	1
T10B11.8	1.166061641267	1
mut-14	1.17037348085684	1
mex-5	1.1718204972888	1
cyk-4	1.17721523339868	1
F59A6.5	1.18619197931722	1
him-3	1.1965487881681	1
lig-1	1.19665084567284	1
ani-1	1.19975463005114	1
F32E10.9	1.20745153254366	1
mre-11	1.21774259337509	1
fbxa-106	1.22313772802478	1
dao-5	1.23259738334641	1
C01G8.1	1.24764223487402	1
chaf-2	1.25249437542846	1
T21B10.4	1.25254414210194	1
orc-1	1.25693551350362	1
drr-2	1.25830422503235	1
Y66D12A.16	1.29206335099644	1
rbm-28	1.29293389660656	1
C08F8.3	1.29957342731132	1
fbxa-95	1.31238675582362	1
ztf-15	1.33152405327691	1
eme-1	1.34230858282265	1
fbf-2	1.34440275833482	1
alg-5	1.36518047095769	1
Y116A8C.23	1.37805061153314	1
Y57G11B.5	1.37894247755214	1
C50C3.1	1.39136654331982	1
uri-1	1.4147219724109	1
C55B7.11	1.42190995967201	1
sas-7	1.43304924636662	1
F56D2.2	1.4341260301252	1
Y49F6B.9	1.45434027738923	1
zen-4	1.45445631727959	1
his-62	1.45498198766688	1
gcna-1	1.46268909690886	1
R07B7.2	1.47763981384391	1
glh-1	1.49037689984027	1
ung-1	1.49106638193803	1
F57B10.4	1.4920624168263	1
C49C8.1	1.49509930724107	1
C18E3.9	1.51983699274468	1
Y39G10AR.16	1.52149212782255	1
Y57A10A.5	1.5253145089948	1
szy-4	1.53595730434945	1
him-5	1.55524251138145	1
scpl-4	1.5589762943537	1
F55A11.4	1.56044371773832	1
ogr-2	1.56140968816651	1
nasp-2	1.5751665192703	1
C14B1.9	1.58642328803466	1
lst-1	1.58767169092842	1
C28A5.1	1.59205406933162	1
him-18	1.60069900859705	1
coh-4	1.6031017311429	1
aspm-1	1.611628445497	1
irld-8	1.61426619437659	1
T28A8.3	1.63634611567433	1
hpo-40	1.65327840487572	1
Y102A5C.36	1.6589211276049	1
C48B4.9	1.6619759432416	1
Y66A7A.4	1.66271082746257	1
C24F3.2	1.66870173280413	1
K04C2.2	1.67978684417437	1
Y4C6B.1	1.68977643322226	1
aptf-3	1.70780541473043	1
ndc-80	1.71097359003236	1
wago-1	1.71651906929845	1
smc-4	1.72109890078797	1
orc-5	1.72173930034447	1
CD4.8	1.72407926295498	1
icp-1	1.73513215748359	1
F14D2.19	1.73610250235207	1
Y61A9LA.10	1.74411349709281	1
C27B7.5	1.7623581665293	1
T15H9.2	1.76916523414978	1
nyn-1	1.78428672342273	1
ulp-5	1.79615594462675	1
Y69E1A.1	1.82851502454413	1
T16H12.2	1.83168761180189	1
crn-1	1.84853836921722	1
C16C10.2	1.85131645594491	1
cacn-1	1.85154824849973	1
C32H11.7	1.85704538902559	1
ent-1	1.86827441342039	1
R13H9.5	1.8765691014763	1
fbxa-107	1.88341689254069	1
pgl-2	1.88957485292956	1
spn-4	1.90421651278397	1
F53E10.6	1.90842171315446	1
parp-2	1.90855960215432	1
dhs-11	1.90878307931612	1
cpf-1	1.92498200027923	1
K07A1.1	1.93141612179266	1
clec-87	1.93682859356054	1
dnj-17	1.93710637692247	1
M02A10.1	1.94002663625494	1
R02F2.7	1.94205026318907	1
F07H5.10	1.94279255623479	1
Y17G7B.12	1.94696104419887	1
cec-7	1.96807189461111	1
nol-6	1.97808472828157	1
gla-3	1.99017789652593	1
tufm-2	1.99173161413309	1
bath-2	2.01392363134287	1
Y45G5AM.7	2.02606997983041	1
cyn-9	2.02722235158118	1
Y73F4A.2	2.0276194921661	1
cpn-1	2.03067462258196	1
F02E9.3	2.03406297799553	1
nath-10	2.03418071277122	1
gop-2	2.03712184571492	1
