gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.61086413515976e-15	1
ule-3	3.59981097903566e-15	1
ZK813.3	7.98268444694694e-15	1
Y62H9A.5	1.46895890503906e-14	1
clec-178	1.51398788848251e-14	1
F55B11.3	1.63777022284518e-14	1
mig-6	1.7316529704255e-14	1
W02D9.7	2.60967962934735e-14	1
H29C22.1	4.69051546142857e-14	1
F17E9.4	6.27916239513861e-14	1
K07A1.6	1.43044713750113e-13	1
Y57G11A.2	7.26490923216482e-13	1
Y116A8A.6	1.5489190130928898e-12	1
ule-5	2.48325311626862e-12	1
K08C9.2	1.6730390291895797e-11	1
F11G11.14	1.69889200995754e-11	1
Y37D8A.19	8.510565438739329e-11	1
F35C12.3	9.7754566885716e-11	1
ZK1010.5	7.06346199409364e-10	1
D1054.10	1.05436416555201e-09	1
F57C2.4	4.362077188325831e-09	1
C29E4.14	6.75780212951115e-08	1
F36H12.3	1.66051678834472e-07	1
D1086.17	2.19069399090536e-07	1
F56A11.6	8.14192435195813e-07	1
Y116A8C.23	1.65092328454659e-06	1
C04F12.7	2.33812516683858e-05	1
C33F10.11	7.35848412093298e-05	1
ZK813.7	0.0001461683216158	1
msp-53	0.0001935395131018	1
Y43F8C.9	0.0003724376466691	1
ZC373.2	0.0008745752736959	1
acp-3	0.0019785700761777	1
D1086.11	0.0029737212514735	1
F55B11.2	0.0034625496562195	1
F26F4.2	0.0126694858584741	1
Y54G2A.15	0.0231770558534311	1
C08F11.10	0.067647767099655	1
T28H11.7	0.576543885546552	1
Y41C4A.18	0.584042710208886	1
F36A2.10	0.850915351852854	1
ZK512.10	1.12748377717467	1
Y66D12A.3	1.3442435479978	1
ZC477.7	1.38115010269777	1
msp-56	1.5550853325995	1
C14C10.1	1.81747870331915	1
Y57G11B.5	2.50940341803706	1
ZK1225.4	2.66417612932535	1
ssq-4	2.74969354354413	1
Y69E1A.1	2.86678805762612	1
dod-6	2.94135977487471	1
fbxb-36	3.0124371459232	1
T21B10.4	3.16383817306056	1
K12D12.4	3.34399874386631	1
Y47D3A.13	3.65215282434318	1
gska-3	3.98330174422512	1
clec-123	4.08565689143974	1
T03F6.6	4.39962790472656	1
C43G2.3	4.4854969168918	1
R102.8	5.33553873363616	1
F08A8.8	5.37432177649651	1
F22B5.6	5.43188668929556	1
B0238.12	5.4545268755452	1
glh-1	5.48564433043458	1
Y79H2A.2	5.62038178736705	1
C05B5.2	5.80382268259029	1
F56D6.13	6.28938360236496	1
W09D6.4	6.55389970921708	1
nspd-10	7.38415329610627	1
rnf-1	7.6362586874435	1
ins-37	8.095397399018	1
cbd-1	8.67206455026247	1
F17E9.5	9.17368472084016	1
rnr-1	9.4579240930447	1
C48E7.7	9.46534922451476	1
B0379.7	9.71826623983043	1
his-74	10.0256687900964	1
T08B2.12	10.3584951494186	1
Y106G6G.4	10.5798371533977	1
