gene_short_name	scaled_TPM	group_number
aman-1	9.69721979442422e-16	1
T19C3.5	1.1241029434234101e-15	1
lgc-28	2.72949498536411e-15	1
cof-2	4.635803819155671e-15	1
unc-122	6.551585528338241e-15	1
cup-4	6.589764515110911e-15	1
F38A5.22	6.761894591445841e-15	1
lgc-25	8.21586167005112e-15	1
lgc-26	9.57976829691209e-15	1
clec-178	1.22744549427897e-14	1
F32E10.8	1.32671658105826e-14	1
Y116A8C.3	1.45809863279145e-14	1
snf-9	1.5298831627138602e-14	1
oac-9	1.8817337876120305e-14	1
ule-3	1.89496418247381e-14	1
K02E7.11	2.54918626720002e-14	1
T25D3.3	2.94779008294515e-14	1
Y73F4A.1	3.0095533444797803e-14	1
Y62H9A.4	3.3999517499684e-14	1
nep-8	3.51717118980357e-14	1
ttr-1	4.09034016455308e-14	1
F59A1.13	4.12842617561525e-14	1
srg-42	4.8425252093428e-14	1
T20B6.2	5.1511515589378e-14	1
D1086.6	6.58862663630711e-14	1
ZK813.3	7.608122479180012e-14	1
C31H1.5	1.09429451207953e-13	1
Y95B8A.4	1.43559804387929e-13	1
Y39F10A.3	1.90471382738847e-13	1
T05B11.4	2.84626041002763e-13	1
F46F5.11	3.22082461358669e-13	1
nep-20	4.02865396136532e-13	1
H01G02.4	1.04292530725757e-12	1
ZK1037.6	2.26232588474839e-12	1
W09C3.1	2.44014167392271e-12	1
H29C22.1	2.63421794045292e-12	1
C54D10.4	4.6330243270480286e-12	1
fut-4	6.17047222908342e-12	1
C46E10.1	1.76887135653001e-11	1
ZK1010.5	5.483300114971e-11	1
C35A5.4	5.7636685969757386e-11	1
F55B11.3	6.795563420863929e-11	1
K12D12.4	7.05240035076825e-11	1
clec-151	8.47152621830076e-11	1
Y62H9A.5	1.60789176332984e-10	1
F35C12.3	1.74594333672751e-10	1
D1054.10	2.34772728402921e-10	1
erp-44.3	4.4526567839953103e-10	1
W02D9.7	7.428353000565051e-10	1
T19H5.7	1.25271119150201e-09	1
Y62H9A.3	1.40876476018602e-09	1
Y105C5B.17	3.36191014464776e-09	1
W02D9.6	5.7013359065516e-09	1
ttr-12	6.794689919141671e-09	1
snf-2	9.850542354202353e-09	1
F56F4.3	1.0214192504113e-08	1
Y116F11B.7	1.27113408555052e-08	1
abf-1	1.56188586669262e-08	1
pes-8	2.76150762476841e-08	1
Y57G11B.3	3.86906393092595e-08	1
M02B1.4	4.04519125428761e-08	1
nkb-2	4.60996630912503e-08	1
ssp-37	5.63690503912768e-08	1
F17E9.4	6.57027661404525e-08	1
F01G12.18	7.0481614634648e-08	1
Y105E8A.27	9.89122896096445e-08	1
Y69H2.3	1.71949955375544e-07	1
clec-223	2.34934229450483e-07	1
C18H7.7	2.95584538746972e-07	1
ttr-9	3.46659619066757e-07	1
nep-23	3.70829686280824e-07	1
ttr-14	5.17594052945e-07	1
ZK930.7	8.01447928824444e-07	1
Y37D8A.19	1.31069782573942e-06	1
ZC190.8	1.33398750378179e-06	1
F36D3.8	1.78881478722304e-06	1
dhhc-13	3.46107590674998e-06	1
ZK813.7	3.7142324972981e-06	1
sst-20	3.8051960844582e-06	1
Y43F8C.5	3.922986426896e-06	1
T08B6.4	3.95345401036967e-06	1
K07A1.6	4.23791498702377e-06	1
Y57G11C.23	5.40481998948172e-06	1
nas-20	5.57442883374641e-06	1
nep-13	6.60445458721357e-06	1
C04H5.7	6.95304167574519e-06	1
ZC373.2	1.8225946100123e-05	1
try-7	2.77554860910621e-05	1
C55C3.8	4.66738806002647e-05	1
K08C9.2	4.82107300667542e-05	1
ZK795.2	5.22225934390948e-05	1
best-6	5.51262109055004e-05	1
ZK813.1	6.64500865220067e-05	1
Y69A2AR.51	7.85843950998111e-05	1
