gene_short_name	scaled_TPM	group_number
Y73F4A.1	3.926991036694981e-15	1
lgc-26	4.59926447441311e-15	1
lgc-25	1.05553583458946e-14	1
T19C3.5	1.24260924459345e-14	1
cof-2	1.25758509494416e-14	1
ttr-1	1.52583730136684e-14	1
F32E10.8	1.73248360636595e-14	1
T02E1.7	1.92899654841318e-14	1
Y116A8C.3	2.02497995521834e-14	1
F46F5.14	3.5375256406868604e-14	1
Y62H9A.4	3.91386325646639e-14	1
H29C22.1	3.94653265497041e-14	1
clec-178	4.153422099138e-14	1
K07A1.6	4.2836246323317e-14	1
ZK795.2	5.73656754087159e-14	1
Y95B8A.4	7.31156274986988e-14	1
Y51A2B.6	8.622743598742992e-14	1
F38A5.22	9.9918657742773e-14	1
ZK813.3	1.21917019847621e-13	1
clec-190	1.26652533373528e-13	1
F17E9.4	1.29822031404564e-13	1
snf-9	3.60208264175769e-13	1
ZC190.7	2.81951750292818e-12	1
ule-3	4.1947327910241394e-12	1
phat-4	6.2482623744318695e-12	1
ZK1037.6	6.97401091721839e-12	1
Y62H9A.3	7.15439568730828e-12	1
spe-12	1.44070791187505e-11	1
ule-5	1.5994470829301898e-11	1
D1081.11	2.2753816670820295e-11	1
F55B11.3	2.30733352900541e-10	1
D1054.10	2.8458863651217303e-10	1
Y116F11B.8	3.46539520860641e-10	1
Y43F8C.5	3.49246949084414e-10	1
W02D9.7	4.3561194533682e-10	1
F26B1.1	6.922840784005911e-10	1
ZC373.2	7.35903923640965e-10	1
ttr-12	1.2721619169232e-09	1
abf-1	2.03098607487483e-09	1
M02B1.4	2.2417227493068603e-09	1
Y105E8A.27	3.28241595228107e-09	1
W02D9.6	3.6445083674311e-09	1
clec-119	5.17731707655652e-09	1
T19H5.7	6.1305544051899105e-09	1
R07B1.8	8.000449900357881e-09	1
nep-13	9.51392381636015e-09	1
F56D6.13	1.5657102221761e-08	1
T05C12.9	1.79194242503461e-08	1
M05B5.3	3.02763579977637e-08	1
W04E12.5	3.81403136967328e-08	1
best-25	3.88730155145721e-08	1
F56A11.6	5.89581627194839e-08	1
ttr-14	1.82235007351247e-07	1
K08C9.2	1.85803821959315e-07	1
D1086.17	1.87327170751799e-07	1
M28.9	4.36907142912109e-07	1
ZK813.7	4.54307831712495e-07	1
Y69H2.3	6.21826057666387e-07	1
ttr-9	6.62707994746799e-07	1
Y62H9A.5	6.79276042982613e-07	1
F57C2.4	7.09830536764361e-07	1
Y57G11C.23	8.98095760898886e-07	1
Y43D4A.2	8.98543611219975e-07	1
ZC190.8	1.70965454476786e-06	1
T08B6.4	2.60404517344984e-06	1
Y37D8A.19	2.636406237905e-06	1
Y39E4B.13	5.0225107363333e-06	1
catp-4	7.71562032534769e-06	1
C04H5.7	8.38341330587339e-06	1
F53H4.2	1.14012792816942e-05	1
R08C7.5	2.90884292096188e-05	1
C14F11.4	3.30795994599334e-05	1
Y47D9A.3	6.37742165053841e-05	1
R102.3	0.0001232086520111	1
C28C12.11	0.0002056100825627	1
pqn-75	0.0002068945095955	1
exc-6	0.0002183433829428	1
F55B11.2	0.0002507427048454	1
K06B4.15	0.0003439670113025	1
acp-3	0.0004733518635409	1
Y105C5B.18	0.000496419775721	1
ZK813.1	0.000805954804335	1
Y43F8C.9	0.001045106635456	1
F08F8.6	0.0012268186464757	1
D1086.11	0.0027241961643767	1
dct-9	0.002805024510067	1
F22E12.1	0.0033615314194927	1
F35H8.1	0.0035216861888365	1
D2062.1	0.0038465245507862	1
C47A4.3	0.0049882571068567	1
irld-3	0.0051178698154235	1
F54F7.3	0.0081737534799782	1
F35C11.2	0.013341724564513	1
ttr-28	0.0158088845140031	1
C04G6.6	0.0182332375100395	1
C43E11.5	0.021098743793086	1
acs-6	0.0268331754783948	1
D1086.6	0.0328799090161409	1
C18H7.4	0.0418041378493124	1
ttr-42	0.0435437403556135	1
Y57A10A.1	0.0484077834004798	1
hdl-2	0.0495490456274029	1
Y54G2A.13	0.0547141967925993	1
col-135	0.059889330124558	1
Y65B4BL.4	0.060618745278207	1
Y57G7A.6	0.0633064777732522	1
Y54G2A.15	0.0665436592373834	1
T06C10.3	0.0667935158593195	1
nhr-23	0.0683251009891494	1
F49E11.7	0.068561933265158	1
F32B6.10	0.0687380636588364	1
Y116A8C.24	0.070594386408494	1
nas-21	0.071659878826251	1
rnf-1	0.0760088932869852	1
C48B4.11	0.0763913168751445	1
