gene_short_name	scaled_TPM	group_number
lgc-26	4.14013051650001e-16	1
Y73F4A.1	1.0076968020615901e-15	1
aman-1	1.42717394659484e-15	1
T19C3.5	2.37958585844824e-15	1
clec-178	6.391658473773681e-15	1
Y116A8C.3	1.12078277824428e-14	1
Y62H9A.3	1.47621770465972e-14	1
ttr-1	1.68022730525047e-14	1
D1086.6	1.86109011163017e-14	1
F55B11.3	1.91567394024636e-14	1
lgc-28	2.1461485068203e-14	1
F17E9.4	2.39035644605462e-14	1
ZK813.3	4.74963066412176e-14	1
ttr-14	8.694680472950742e-14	1
K07A1.6	9.88240443712231e-14	1
snf-9	3.93460126551613e-13	1
lips-12	4.05145886123101e-13	1
Y116A8A.6	5.06073021016635e-13	1
T21E12.3	6.16818280914957e-13	1
H29C22.1	9.96186400208719e-13	1
H01G02.4	1.40098468372666e-12	1
ule-5	4.96046336935898e-12	1
Y17G7B.19	8.02407144803748e-12	1
ule-3	1.5576796669084097e-11	1
clec-151	1.7997633631494e-11	1
Y43F8C.5	2.4106273437219494e-11	1
Y62H9A.5	3.11984139794175e-10	1
W02D9.7	3.61507327983296e-10	1
D1054.10	4.77167833274592e-10	1
M02B1.4	9.70537239632805e-10	1
W02D9.6	1.41505250349428e-09	1
K08C9.2	3.5830254434521603e-09	1
ttr-12	4.87803260110913e-09	1
F57C2.4	9.548143034936241e-09	1
F55B11.2	9.63975481247817e-09	1
Y105C5B.17	1.0286461752792e-08	1
ttr-9	8.18283494304175e-08	1
Y57G11B.3	1.01983235769102e-07	1
Y37D8A.19	1.41794038783846e-07	1
D1086.17	1.55909610634413e-07	1
ZK813.7	3.63588671175308e-07	1
wht-8	5.23392965511391e-07	1
T08B6.4	1.14753899170678e-06	1
Y69H2.3	1.35329685514725e-06	1
C28C12.11	2.89375537028688e-06	1
Y105C5B.18	2.96107996125591e-06	1
Y105E8A.27	5.92050716592118e-06	1
C04H5.7	6.48787995372528e-06	1
F53H4.2	1.44187244521001e-05	1
ZK813.1	1.67269833417951e-05	1
C14F11.4	1.68979801658258e-05	1
scrm-5	2.54582928454185e-05	1
F16C3.4	4.2529678544056e-05	1
ZK795.2	4.3124129732935e-05	1
ZC373.2	0.0001754589363117	1
Y43F8C.9	0.0005767730852327	1
Y54G2A.15	0.0005815960231413	1
ZK262.4	0.0112172948469329	1
M162.7	0.0152540905540457	1
D1081.12	0.0192202347490346	1
Y38H6C.15	0.0236128217202463	1
C48B4.10	0.0411976629061896	1
irld-18	0.046788613439527	1
pssy-2	0.0670237127969939	1
T02E1.7	0.0675567789948753	1
T16G12.3	0.0729381708718856	1
cpg-2	0.10056569496453	1
Y66D12A.19	0.100909766913068	1
C42C1.8	0.101673544223518	1
gei-14	0.102841741015869	1
acs-6	0.107769521542337	1
dnj-28	0.114769753424582	1
ZK616.5	0.115059840466695	1
T21B10.4	0.115417128569242	1
B0379.7	0.122681131184763	1
tim-1	0.123162355586556	1
his-66	0.12879972641171	1
C27C7.1	0.133647044665933	1
abf-6	0.135713357986299	1
Y37E11AL.2	0.137285945724726	1
B0393.6	0.140996531042409	1
zim-2	0.141403014591943	1
tofu-4	0.142233900372086	1
F38H4.4	0.143618015181162	1
C16C8.14	0.144980729079356	1
F01G4.4	0.145662337703115	1
ent-1	0.147542896427927	1
C33C12.7	0.149762133765739	1
zim-1	0.151473380799483	1
Y37D8A.8	0.162699751760932	1
wee-1.3	0.165169766435669	1
T13F2.6	0.16634384822613	1
Y43C5B.2	0.166830581596365	1
C48B4.6	0.16922756825062	1
R148.4	0.174175930269595	1
ztf-28	0.177195405631708	1
tag-63	0.17837181845122	1
F26F4.8	0.180006858998207	1
cosa-1	0.185804941951868	1
R05D7.5	0.188450094045632	1
F55G1.5	0.188718986622565	1
C28A5.2	0.193348808189323	1
prde-1	0.19354655521983	1
rsa-2	0.193602960307195	1
lpd-2	0.196863574256214	1
cdt-1	0.197940193222952	1
rmh-2	0.198205532119736	1
Y65B4BL.3	0.201341949509327	1
pig-1	0.201722185118285	1
his-68	0.203752191039726	1
T06E6.1	0.205152607758831	1
K07H8.9	0.206598691489577	1
K03H1.7	0.20860822007022	1
glh-4	0.208725716928628	1
mrp-7	0.208817505719503	1
C33C12.4	0.208901548834057	1
dvc-1	0.210386715474342	1
hcp-1	0.210517552307873	1
Y48G9A.11	0.212302971046535	1
Y50E8A.12	0.214750443367571	1
pqn-82	0.217834102773731	1
fbf-1	0.221874992133819	1
Y48G1C.5	0.223610795471381	1
T10E9.14	0.224146888082066	1
set-31	0.226858702595326	1
rnp-8	0.230023002056967	1
R11A8.1	0.231363156419834	1
K07A1.4	0.234070398587903	1
Y17G9B.4	0.234085964126049	1
K08F4.3	0.234193542317449	1
exo-1	0.235653625439769	1
gpr-2	0.24035523905123	1
ztf-15	0.241972187134834	1
eme-1	0.24394371582466	1
C30F12.4	0.245983123220903	1
nos-1	0.247941221542422	1
hasp-1	0.249340081246218	1
puf-6	0.254156665718167	1
dog-1	0.255269326152043	1
D1081.9	0.255626980651221	1
hrde-1	0.259281917521333	1
rad-51	0.264234366682235	1
his-62	0.264552950977601	1
F56D6.12	0.266076210221128	1
R07B7.2	0.268699819048868	1
sun-1	0.271349444558943	1
egg-4	0.272224634545899	1
C24H12.5	0.272380152870705	1
C16C8.20	0.278652376071133	1
K07A3.3	0.283369162680861	1
F55A11.4	0.283861825596737	1
oma-2	0.284664860318293	1
T28A8.4	0.288806663697141	1
F40G9.17	0.292402604128831	1
T27E7.1	0.294539607387637	1
egg-2	0.296218043843241	1
sas-6	0.29697718739717	1
dnj-22	0.298012046022904	1
inft-2	0.298175914072024	1
hpo-40	0.300873842069184	1
F28F8.7	0.30183780984703	1
Y102A5C.36	0.301908328264677	1
rnh-1.2	0.30288471420696	1
atm-1	0.304061445181273	1
F44E7.5	0.309739189181907	1
zwl-1	0.310041948102262	1
tyr-5	0.310172872589561	1
Y73B3A.1	0.31094235162391	1
ndc-80	0.311453613204247	1
memi-1	0.311790585555025	1
dnj-26	0.312804242993016	1
orc-5	0.313428361976225	1
F40G12.10	0.313513050225897	1
icp-1	0.315885271420656	1
R05F9.11	0.318781557828857	1
F58A4.2	0.322181107112377	1
asfl-1	0.322800680010096	1
nyn-1	0.324905152961667	1
trt-1	0.325115560783075	1
egg-5	0.326567427611454	1
ulp-5	0.327083751987691	1
toe-2	0.328783456522506	1
K07E8.7	0.32917718137167	1
K11D2.5	0.331315881246036	1
bath-1	0.331546411984121	1
spo-11	0.334949128966804	1
let-99	0.335159220846618	1
F54D10.4	0.338922009236561	1
fncm-1	0.340926432113784	1
Y41D4B.11	0.341166664378726	1
Y39B6A.42	0.341861679008581	1
fbxa-107	0.343107604342062	1
dsb-2	0.346333263242152	1
parp-2	0.347726910331997	1
T28A8.8	0.347754616082983	1
kbp-5	0.349173594876934	1
nsun-5	0.349858835176024	1
K07A1.1	0.350417819632073	1
perm-1	0.354542657841994	1
fem-3	0.369664581945892	1
C16C8.11	0.371008979514388	1
Y71F9AL.4	0.371903675502752	1
Y52B11A.10	0.372591006424013	1
fbxc-47	0.375754227175901	1
Y59E9AL.36	0.379224069416625	1
C34B2.3	0.382833629409395	1
puf-3	0.38438357184151	1
ccz-1	0.390213263228763	1
spe-6	0.391315732740589	1
Y50D4A.6	0.393984244403993	1
pash-1	0.399258824909372	1
cyp-31A5	0.401532676392453	1
B0432.13	0.402789952127524	1
Y48G1C.1	0.406264237452572	1
Y71F9AL.8	0.41109061605136	1
gkow-1	0.414931330580332	1
Y105E8A.8	0.415786169174363	1
exos-2	0.416174193558484	1
com-1	0.421436723406656	1
T13H5.8	0.422334865826407	1
mex-5	0.425597547495118	1
B0250.7	0.428879388511124	1
wago-4	0.429678268008725	1
mct-5	0.439735884492727	1
brc-1	0.444318009217592	1
tag-267	0.44501395806715	1
C35E7.9	0.445305625675463	1
scc-1	0.446521966274664	1
his-63	0.447305207071203	1
dph-2	0.447418488464765	1
mcm-2	0.448249060077783	1
npp-22	0.448285924561981	1
Y47G6A.14	0.448692063166694	1
thoc-7	0.454672029780528	1
R07E5.1	0.456012969490932	1
Y54E5B.2	0.469188080211	1
rbm-28	0.469838076119301	1
Y37E11B.6	0.471083649190406	1
C50F2.2	0.475362271804701	1
F52C6.2	0.476360377622793	1
Y43B11AR.3	0.477571319438096	1
cye-1	0.477790983992324	1
rba-1	0.479119071791234	1
cpar-1	0.479353382872464	1
Y111B2A.3	0.480488700842143	1
ced-3	0.483414636244068	1
C29A12.1	0.487826789198442	1
lig-1	0.490466305730142	1
exos-3	0.490606597341845	1
cyb-2.1	0.49504727343882	1
sao-1	0.495124547924472	1
ctps-1	0.495311568855835	1
mpst-1	0.495962004844206	1
psf-1	0.499396704318164	1
elpc-3	0.502425092750364	1
wht-2	0.504663832294847	1
tgt-2	0.505808352302084	1
C14A4.13	0.512801817446992	1
F57A10.4	0.514678287425983	1
F56D6.14	0.520598039899731	1
tag-261	0.521187104952336	1
Y53G8AR.6	0.521781017164338	1
gbas-1	0.525246229159871	1
Y47D3A.14	0.526218649243389	1
F45F2.11	0.52996171898126	1
F36G9.13	0.536145814965771	1
