gene_short_name	scaled_TPM	group_number
mig-6	1.87555867215411e-16	1
sst-20	2.34760037164263e-15	1
ZK813.3	6.014636331627381e-15	1
C46E10.1	8.35231628645221e-15	1
H29C22.1	1.38181815665346e-14	1
clec-178	1.61971270056907e-14	1
F55B11.3	1.7641738985108402e-14	1
ule-3	2.01256096504909e-14	1
nep-6	2.36788600657302e-14	1
lgc-26	2.79800331410856e-14	1
Y73F4A.1	2.9184506498615904e-14	1
C29E4.10	3.89219666838946e-14	1
ZK795.2	4.54278592308573e-14	1
Y69H2.3	5.15090480767768e-14	1
ttr-1	5.51519628394097e-14	1
K07A1.6	7.603002887055452e-14	1
F17E9.4	1.45049824592203e-13	1
Y6E2A.4	2.22058943285131e-13	1
sru-9	2.88971941816831e-13	1
Y62H9A.4	8.96287570521382e-13	1
F10D2.16	9.09645353558964e-13	1
K12D12.4	2.51816195783198e-12	1
C54D10.4	3.18631155086782e-12	1
F36H5.4	3.2896978262292497e-12	1
Y43F8C.5	7.534200732340389e-12	1
ule-5	1.6515907455096e-11	1
phat-4	1.6776371470882898e-11	1
irld-14	4.17039917441481e-11	1
W02D9.7	9.70449462129341e-11	1
irld-4	1.0230604574919e-10	1
D1054.10	1.10643486784516e-10	1
F35C12.3	1.54526757115988e-10	1
ZC373.2	1.91269635087644e-10	1
M02B1.4	2.2497242701989102e-10	1
K08C9.2	1.12189488157544e-09	1
W02D9.6	1.60993047646183e-09	1
Y105E8A.27	2.35933621220815e-09	1
F55B11.2	7.91502264537116e-09	1
D2062.4	5.00809200381023e-08	1
T16A1.2	6.64472796323876e-08	1
Y116A8C.23	8.72736155771747e-08	1
F57C2.4	1.12962289389051e-07	1
C04H5.7	1.17686554116387e-07	1
cin-4	1.73257222883186e-07	1
Y62H9A.5	2.18437460522285e-07	1
ttr-14	2.45102462748831e-07	1
Y37D8A.19	3.52258588645529e-07	1
ttr-9	5.0333445524511e-07	1
ZC190.8	6.38378239138204e-07	1
F42G4.6	7.81714549106337e-07	1
D1086.17	8.62142118061938e-07	1
C28C12.11	9.04417406973366e-07	1
ttr-12	9.71718705098118e-07	1
ZK354.3	1.17130610520768e-06	1
T15H9.4	4.47208095375547e-06	1
F55D12.6	6.82975326356876e-06	1
Y59H11AM.4	6.86178071104907e-06	1
C14F11.4	7.89533997032854e-06	1
C03C11.1	8.01145657226416e-06	1
Y1A5A.1	1.06255722220074e-05	1
acp-3	1.19277311720956e-05	1
F44F4.10	1.78845677241976e-05	1
ZK813.7	1.88360062028819e-05	1
T08B6.4	1.95846008593778e-05	1
T08H10.3	1.97496974643143e-05	1
F54F7.3	2.04446042688562e-05	1
F16H6.9	2.73841770654773e-05	1
ZK813.1	3.22549620419353e-05	1
snf-5	0.0001275745071536	1
Y105C5B.18	0.0002145437058629	1
Y57G7A.6	0.0005062895327181	1
Y4C6A.4	0.0008376704626605	1
F08F8.6	0.0014844014394111	1
D2062.1	0.0023658066913064	1
his-70	0.0026859971813985	1
ZK84.2	0.0031997555381796	1
F36A4.3	0.0033356803263421	1
irld-3	0.0052691681236897	1
epi-1	0.0060851125721251	1
D1086.11	0.0062736987021209	1
C04G6.6	0.0093401160159219	1
C55A6.11	0.0167416900586374	1
F56F4.4	0.0213919386032387	1
F47E1.4	0.0275185112878323	1
F32E10.8	0.0299372417977833	1
C36E6.8	0.0310466303662265	1
C53B7.3	0.0338042151834406	1
chil-14	0.0404875485345391	1
bath-35	0.0482189189182262	1
tag-314	0.0560377779834126	1
C48B4.6	0.0583655582484234	1
F40G12.10	0.062150169428552	1
B0207.9	0.0649896827767643	1
F54F7.6	0.0650152757987096	1
C42C1.8	0.0721507858951288	1
C09D4.9	0.0774240937839938	1
paf-1	0.0839595875868828	1
Y53C10A.10	0.0891884796848592	1
F52C6.4	0.0952173472603855	1
hpr-17	0.0993468905157017	1
acl-13	0.102564255097007	1
C16A11.5	0.105919491138986	1
enu-3.2	0.110247312030344	1
pes-23	0.110653686765396	1
K09H9.7	0.112781514300821	1
pssy-2	0.117264480517315	1
dna-2	0.118165737382414	1
C06C6.8	0.119138606021793	1
C01G5.3	0.121642479501832	1
F40H6.1	0.122503233568792	1
R03D7.2	0.122668596141269	1
F14D2.14	0.123477533579411	1
ztf-28	0.124916822206716	1
tag-63	0.125733277536523	1
nhr-23	0.126012493184637	1
Y65B4BL.3	0.12669761651597	1
msp-10	0.127999749516841	1
C28C12.1	0.128414445215659	1
tipn-1	0.128952254761139	1
mbtr-1	0.131120616916089	1
bgal-1	0.133462047935557	1
mut-14	0.133579750661283	1
B0393.6	0.134099474918843	1
rsa-2	0.136288934687313	1
fbxa-197	0.14124713864402	1
Y57A10A.2	0.143983048330484	1
F27C1.3	0.147155856397645	1
ZK616.61	0.147911460768427	1
C33H5.16	0.148684626564744	1
pqn-82	0.153024388285741	1
chk-2	0.153755782181205	1
htp-3	0.157432571885685	1
Y69A2AR.32	0.157954534076182	1
F57A10.4	0.160963887853079	1
Y17G9B.4	0.165891434638224	1
inx-21	0.170272168065836	1
ttr-42	0.170325005884099	1
C27D9.1	0.170770540583503	1
capg-2	0.171018057244848	1
glh-2	0.171689005768615	1
polk-1	0.177274949743521	1
F33E11.2	0.178540830348879	1
C28A5.1	0.180551254233707	1
him-18	0.181507969416182	1
Y47G6A.26	0.181976801999304	1
dnj-28	0.182364953144477	1
F35E2.9	0.186221857114162	1
cdt-1	0.18711134868781	1
C18H7.7	0.187229332925842	1
lin-3	0.191494549406621	1
B0238.9	0.193470566480224	1
K07H8.9	0.195115511537601	1
F14D2.5	0.197429349176724	1
R05F9.11	0.198092584902027	1
set-32	0.198512789123553	1
mex-5	0.200837952462275	1
rnr-1	0.201523297735165	1
har-2	0.201623314151403	1
cep-1	0.20508081067807	1
bath-1	0.205745386725283	1
F01G4.4	0.205939441690826	1
K02F6.1	0.206963878715274	1
R03D7.8	0.209822535842136	1
Y57A10A.3	0.211683882200698	1
chaf-2	0.214404418892744	1
dsb-2	0.214584515448159	1
bath-28	0.220814118340564	1
nola-3	0.224568125901979	1
egg-5	0.227263936788458	1
F55G1.5	0.237832196485785	1
K07F5.8	0.238685620458661	1
C09B9.4	0.238832113105233	1
ddx-35	0.243993909790064	1
F56F11.4	0.245613106915117	1
Y49E10.4	0.247760530837104	1
F52C6.3	0.250564723710367	1
Y48A5A.1	0.251181405571776	1
B0511.11	0.251900201133329	1
hus-1	0.255993942117815	1
tdpt-1	0.257207934174644	1
rog-1	0.258092592917162	1
D2045.5	0.263853105150754	1
Y54G2A.15	0.270042914326604	1
his-68	0.271488186404215	1
F54C9.14	0.275790867748629	1
mct-5	0.277767769151812	1
F07F6.7	0.279458355098376	1
R11A8.1	0.282724080332389	1
Y71F9AL.8	0.28402209720991	1
Y41E3.18	0.284454586571767	1
Y59A8B.12	0.284870378228411	1
Y18H1A.1	0.285604867096541	1
Y111B2A.3	0.290077779876226	1
F52C6.2	0.291133266028522	1
dnj-26	0.292103698651157	1
let-268	0.292385497744635	1
mrp-7	0.293610441615842	1
C44B7.12	0.296914102379327	1
M01A8.1	0.297651457473672	1
F10C5.2	0.298497467184049	1
sago-2	0.302019462544798	1
D2005.4	0.302659152505086	1
madf-6	0.302817037470413	1
C04F12.12	0.303927735187619	1
T28B8.4	0.305952013485173	1
Y73E7A.2	0.306614959505303	1
swah-1	0.306663871105108	1
K11D2.5	0.308786472404896	1
snf-10	0.316151016349697	1
cec-9	0.316732488014303	1
lem-3	0.317163563841276	1
gbas-1	0.319377126515901	1
sas-1	0.329007586513799	1
F07H5.10	0.329157018516958	1
F59A6.5	0.338609787333072	1
cosa-1	0.339402624278103	1
kbp-4	0.339456870442264	1
F32B5.1	0.339539006124992	1
Y71G12B.30	0.339593404482738	1
Y39B6A.43	0.339652461515046	1
his-31	0.342327831621299	1
T26A5.2	0.3454151999303	1
gly-11	0.346233892734895	1
dyf-17	0.346377899315045	1
Y54F10BM.12	0.346534021026207	1
glct-6	0.352121496253698	1
Y23H5B.5	0.352537882782599	1
hal-2	0.352668035307157	1
F23H12.10	0.353195724382892	1
Y105E8A.14	0.353474043418991	1
JC8.7	0.356116695556156	1
ZK1248.15	0.357722091088363	1
syp-1	0.357799127606182	1
Y82E9BR.19	0.358388759760937	1
cyp-44A1	0.362312887734277	1
H20J04.4	0.363742148999593	1
C45G9.2	0.36800632931595	1
zyg-1	0.3685095530677	1
F45F2.11	0.370771838040147	1
Y48G8AL.7	0.376678011449126	1
T28D9.4	0.377995384673459	1
Y48G1A.2	0.378255602446591	1
C16A11.4	0.379410709913195	1
H05C05.1	0.380195756488377	1
W01G7.4	0.380529340272438	1
rbm-28	0.385974557594855	1
him-14	0.386056619844741	1
sys-1	0.386857009678342	1
F32B6.3	0.39594848292389	1
clec-4	0.397888468681769	1
hpr-9	0.399446716762647	1
C30G12.6	0.40786700468881	1
mut-7	0.408104086304465	1
his-62	0.413659542596226	1
klp-15	0.413996933742268	1
C42C1.9	0.415066778830913	1
C54F6.5	0.426969528184692	1
nspc-20	0.427144769610373	1
T01C3.9	0.428271066482377	1
Y39E4A.1	0.431569970417747	1
D1081.12	0.432030043169704	1
str-180	0.436860333642436	1
alfa-1	0.438533752760218	1
T05H4.10	0.441814946678364	1
Y53F4B.9	0.441912566764886	1
ect-2	0.443486809632191	1
sep-1	0.448120693002023	1
ctf-18	0.452834811241815	1
F23H12.3	0.456723817143837	1
pot-3	0.465836930854358	1
F27D4.8	0.466303206075973	1
C29E4.14	0.467423920945647	1
B0432.9	0.470473160883271	1
memi-2	0.472102018464283	1
taf-6.1	0.473012165590499	1
gmn-1	0.474057963371047	1
C14A6.6	0.476081103417542	1
Y97E10AR.4	0.479370107349263	1
memi-3	0.481624038842769	1
arp-6	0.482691915249338	1
set-5	0.485260400265026	1
Y71F9B.2	0.487944357358272	1
Y104H12D.2	0.489615164369273	1
tofu-4	0.495851346917343	1
C24F3.2	0.496214457375155	1
flad-1	0.50013713015062	1
C48B4.8	0.506556669410164	1
pig-1	0.510457928540672	1
Y48G1C.1	0.514015001839326	1
skat-1	0.518568978668406	1
mau-2	0.539358878936872	1
C55A6.7	0.54333613053342	1
sqv-3	0.551146602885274	1
ptr-11	0.551780995510997	1
mcm-3	0.557769947786251	1
E01A2.5	0.5590015859899	1
top-3	0.559190802022512	1
C14B1.12	0.566509356133497	1
C31H1.8	0.572801642573434	1
cdc-7	0.577157207377374	1
T22C1.4	0.577519493620353	1
ZC581.10	0.577886596068839	1
ZK1098.9	0.578968515321852	1
spe-44	0.579794053501389	1
T28D9.9	0.586027920963126	1
par-6	0.587512950399796	1
E_BE45912.2	0.589072520265043	1
cdc-6	0.589585123218316	1
Y71G12B.17	0.591832354995792	1
ZK858.8	0.600270963008587	1
unc-50	0.601138846920621	1
catp-4	0.601982256885484	1
pudl-1	0.604664779851893	1
T28A8.5	0.605393344680422	1
vps-33.2	0.607608834902884	1
ZK829.1	0.618511323943344	1
F57F4.1	0.619105655160291	1
C32H11.7	0.619107780576056	1
C33H5.8	0.625278260338095	1
sma-1	0.625991433678713	1
C48B4.7	0.626012840588831	1
C45E1.5	0.62630765975203	1
Y71H2AM.3	0.631822208184237	1
Y38H6C.15	0.632501848439683	1
vacl-14	0.635022913808688	1
chl-1	0.637704221739301	1
F45G2.9	0.641698094087308	1
M60.4	0.644062304133892	1
K12D12.5	0.644136098268144	1
tra-3	0.644704130652634	1
Y45F10D.16	0.645123810324803	1
tsen-34	0.646573111675032	1
Y48A6C.4	0.650642863337992	1
cav-2	0.65294115886952	1
bath-15	0.653981760525435	1
C53A5.16	0.670638956903314	1
mat-3	0.673814811206385	1
F58D5.2	0.678206282109891	1
Y48G1C.8	0.678616196169729	1
rod-1	0.67969962438923	1
Y95D11A.3	0.682057535722669	1
rmh-2	0.688942108761958	1
K08C9.1	0.692331549092419	1
his-59	0.693780812197452	1
C27F2.7	0.697023939973807	1
pif-1	0.698012129819327	1
him-5	0.706522357968018	1
glh-4	0.709702736072159	1
gip-2	0.717451247803191	1
Y116A8B.4	0.718899621526638	1
C08F8.2	0.718973476231124	1
btb-4	0.718996258783812	1
M01F1.9	0.719640261850587	1
R06C7.6	0.719839644897625	1
mdt-28	0.722466478176391	1
atgl-1	0.723710363843483	1
B0035.18	0.72512708466011	1
F10D11.5	0.726644174297062	1
M4.1	0.728937734032715	1
set-2	0.732741907085101	1
mrps-31	0.736541962582398	1
Y57A10A.7	0.740737744897756	1
emb-1	0.740838801374484	1
snx-3	0.741162760995101	1
F56A8.9	0.743348157012928	1
rpb-9	0.743657800483842	1
C29A12.1	0.750759982045486	1
F47B3.4	0.753718973582135	1
zim-1	0.756035122038636	1
tag-267	0.756117514204049	1
