gene_short_name	scaled_TPM	group_number
snf-9	3.97995408753352e-15	1
Y73F4A.1	7.833038999554021e-15	1
C18D11.10	1.18255110005676e-14	1
clec-178	1.299291524493e-14	1
F55B11.3	1.65385563767913e-14	1
ule-3	1.7492070883920802e-14	1
C31H1.5	1.90640441395974e-14	1
Y62H9A.4	2.31189843028436e-14	1
nep-8	2.37610639074586e-14	1
Y116A8C.3	2.40528336154802e-14	1
try-7	2.998174329965e-14	1
ttr-1	3.28454035767417e-14	1
W02D9.7	4.1212077907081904e-14	1
Y69H2.3	4.12822787790949e-14	1
D1086.6	6.65622714008149e-14	1
K07A1.6	6.79404821595497e-14	1
Y116F11B.8	7.534559820361e-14	1
ZK813.3	1.04090020753398e-13	1
K02E7.11	1.07830667833631e-13	1
F38A5.22	1.15607905020795e-13	1
F57A8.6	1.26460075480204e-13	1
dyf-7	1.81098269589591e-13	1
F17E9.4	2.15254001948346e-13	1
T10G3.3	1.1708030858675998e-12	1
H29C22.1	1.18698432986204e-12	1
F56C4.4	1.27128374067969e-12	1
ssp-37	9.53618929590505e-12	1
ule-5	2.47458520242852e-11	1
K02F6.3	1.27409010511783e-10	1
F35C12.3	1.71127643076186e-10	1
W02D9.6	3.74945604384677e-10	1
Y43F8C.5	5.83410944088182e-10	1
clec-151	7.4970697245377e-10	1
ZC373.2	9.03064263293162e-10	1
H20J04.1	2.24431544463758e-09	1
Y57G11B.3	3.22413812830745e-09	1
Y62H9A.3	7.010022826648561e-09	1
irld-6	1.48616009216016e-08	1
F55B11.2	1.48998017191254e-08	1
ttr-12	1.91338671862799e-08	1
T19H5.7	2.8938364585378e-08	1
T05F1.8	4.55184876326424e-08	1
nkb-2	6.58935211273282e-08	1
R07B1.8	1.38979721137786e-07	1
Y62H9A.5	1.52736115709133e-07	1
F57C2.4	2.02768084615472e-07	1
F46F5.13	2.5690855333486e-07	1
Y47H9B.2	3.00707193994395e-07	1
C18H2.5	4.06759504593812e-07	1
nas-20	4.32513672405346e-07	1
C55C3.8	4.89856096393818e-07	1
ZK813.7	5.06257584024218e-07	1
C04H5.7	6.11718372871027e-07	1
Y37D8A.19	6.69455532787036e-07	1
scl-23	7.86819941203621e-07	1
sst-20	1.09986575336397e-06	1
F42G4.6	1.26406733928251e-06	1
wht-8	2.06134279353618e-06	1
cin-4	2.56954050122254e-06	1
W03G11.2	2.6859971684888e-06	1
Y57G11C.23	2.82857789656656e-06	1
D1054.10	3.38570499343635e-06	1
ZK795.2	3.67598689679247e-06	1
ttr-14	9.41149653080086e-06	1
snf-5	1.01981679047793e-05	1
T04A6.3	2.33047410360986e-05	1
C14F11.4	4.67316636800454e-05	1
C28C12.11	5.1808343278009e-05	1
T15H9.4	6.27311438206518e-05	1
ZC190.8	6.33685161503474e-05	1
F54F7.3	8.21262055495567e-05	1
ZK813.1	9.91151925036821e-05	1
snpc-3.3	0.000106138757891	1
F37A4.4	0.0001218108835624	1
irld-3	0.0004052528419903	1
try-10	0.0009382694554717	1
M162.7	0.0014850654793604	1
T05B4.14	0.0016614026826141	1
irld-14	0.0026519687243857	1
M28.9	0.0080760858687534	1
F53H4.2	0.0083483507214199	1
Y54G2A.15	0.00886973829618	1
K11H3.4	0.0093805479898236	1
D1086.17	0.0102539077850435	1
D1086.11	0.0106769534257197	1
R13A1.3	0.0216335500009729	1
Y49E10.10	0.0285242174191279	1
scrm-7	0.0303053747899786	1
lgc-4	0.033386461908832	1
F54C8.1	0.0375352262583508	1
ttr-42	0.0434568726201259	1
T16G12.3	0.0452583670750266	1
Y57G7A.6	0.0504125142125717	1
Y66D12A.19	0.0632041768338085	1
nhr-23	0.0723832951511895	1
T06C10.3	0.0794528864004287	1
B0334.6	0.0887425095173082	1
F38H4.4	0.0904931316990507	1
hpr-17	0.0973721761299845	1
set-9	0.0987885915547318	1
K09H9.7	0.0989873707787902	1
Y57A10A.1	0.0993720748977023	1
F54H5.3	0.103357899280032	1
F26G5.1	0.109587052157607	1
set-24	0.11169099949102	1
phy-2	0.114887284685353	1
rga-3	0.115407342333962	1
H04D03.2	0.116792891228879	1
F54H12.5	0.118570227478464	1
R03D7.2	0.128248092274619	1
cnc-10	0.129107006395048	1
clec-153	0.132156677211124	1
T12C9.7	0.132820331871419	1
Y116A8C.13	0.135296551179489	1
T02B11.9	0.135559315812301	1
F31E8.5	0.140110509037314	1
set-31	0.140437653670671	1
his-64	0.140830606232899	1
pitr-6	0.142157961431839	1
str-146	0.143323066510982	1
M70.3	0.147212885377292	1
inx-21	0.150340153483142	1
F54H12.7	0.150660799767409	1
acp-7	0.154652370491156	1
xpc-1	0.163856186242657	1
ung-1	0.167748214697003	1
wago-4	0.168209615160713	1
C42C1.8	0.169551054520515	1
Y57A10A.5	0.171611044190338	1
him-18	0.180115186044297	1
C16C4.18	0.181192799978551	1
C15F1.8	0.183913993034811	1
atm-1	0.188009945534865	1
gska-3	0.192905114415022	1
tag-124	0.1940430206716	1
C09B9.2	0.20036363288211	1
W03G11.3	0.203359380152657	1
wee-1.3	0.204689487869456	1
dpy-7	0.209081521962247	1
F56F3.4	0.216628155171926	1
F59H6.15	0.21948624873276	1
T03F6.6	0.223584103409586	1
ptr-2	0.224085865362465	1
K08D8.6	0.225476528318311	1
mrps-31	0.233851448793374	1
B0361.6	0.235475137893063	1
ZK596.3	0.23872012331686	1
bath-27	0.242480314546703	1
ddx-35	0.244436310424991	1
C06A5.8	0.244972420717077	1
zyg-1	0.245857681313595	1
eme-1	0.25516480401663	1
C27A7.3	0.257672006815533	1
glh-4	0.258495885180426	1
wht-7	0.260136881991762	1
let-268	0.261480354431079	1
C18D11.1	0.266047036532226	1
W03G9.2	0.276943266780108	1
F35H8.1	0.277022819130325	1
W01B6.4	0.278214447404479	1
H21P03.2	0.281018594776772	1
F58G1.2	0.290089380183431	1
F46F11.10	0.293363430771393	1
lam-1	0.297437056216864	1
nhr-134	0.307561089497023	1
tgt-2	0.311802113474392	1
thk-1	0.311982324764811	1
F07F6.7	0.312408240494946	1
4R79.2	0.313189515428647	1
Y69A2AR.28	0.321911206352378	1
C14B1.12	0.323686799915442	1
Y54G2A.73	0.323851234160839	1
cTel55X.1	0.325408178316622	1
C40C9.3	0.328970643746257	1
T23G5.3	0.337487364521302	1
F26F4.8	0.337657503229466	1
W03C9.2	0.340319644687554	1
C30F12.4	0.344899024771946	1
