gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.7341737306661702e-15	1
ule-3	3.4633331449149707e-15	1
ZK813.3	4.02524916426021e-15	1
clec-178	8.50366592115693e-15	1
Y116A8C.3	1.13292089192877e-14	1
mig-6	1.86056983221521e-14	1
ZC116.3	1.90634040416884e-14	1
F17E9.4	2.28514832390648e-14	1
ttr-14	4.96711422826921e-14	1
Y62H9A.5	6.483439135609142e-14	1
H29C22.1	2.81085772217744e-12	1
Y62H9A.3	3.18256445152567e-12	1
ule-5	5.2624255384771e-12	1
ssp-37	6.41705282415772e-12	1
Y105C5B.17	1.24744705350301e-11	1
D1054.10	3.8693857216635495e-11	1
ZC373.2	3.08709439055991e-10	1
F55B11.2	5.06064382933969e-10	1
ZK813.1	2.3435800604331702e-09	1
F57C2.4	5.30334488729083e-09	1
C18H7.7	3.76658461627053e-08	1
ZK1248.5	1.31134721494818e-07	1
ZK813.7	1.74087677836188e-07	1
Y37D8A.19	2.01083409159469e-07	1
F32A11.3	6.9135239734054e-07	1
C14F11.4	3.0066615707981e-06	1
F54F7.3	5.60005109922845e-06	1
ZK795.2	1.3296239117068e-05	1
C04H5.7	2.09569949804477e-05	1
Y43F8C.9	0.0006590858598277	1
Y54G2A.15	0.0205875798525414	1
D1086.17	0.0281945430615296	1
T02E1.7	0.0858927670878123	1
F35H8.1	0.233644688064272	1
H34I24.1	0.243975401262532	1
D1081.12	0.491808256571087	1
C09B9.2	0.653957948456871	1
wago-4	0.769442467395754	1
W03D8.9	0.770618434247928	1
C35D10.3	0.887456650958692	1
F21F3.2	0.921502367770233	1
C17F3.3	1.04226666421026	1
Y113G7C.1	1.48779686176817	1
T22C1.9	1.58201701724034	1
T10E9.4	1.58788461839934	1
T15H9.5	1.69304729389965	1
C48B4.6	1.7774284962702	1
F56D6.13	1.94914660745256	1
T21B10.4	1.95866846855295	1
B0207.9	2.27757940468279	1
C48B4.10	2.27998368263445	1
C43G2.3	2.36668374697027	1
Y51H7C.1	2.40780815822107	1
C53B7.2	2.66693735185427	1
F15G9.1	2.74294595392462	1
Y37E11AL.2	2.77317907007215	1
F56B3.6	2.88097051735554	1
T10E9.6	2.89715188064899	1
ZK892.3	3.18162618109965	1
F23H12.3	3.2817649919186	1
M110.7	3.28730373074439	1
F22B5.6	3.3060869057929	1
fbf-1	3.34489456743736	1
C02F5.5	3.40922267191466	1
C16A11.4	3.42970839676694	1
C27C7.1	3.61969182395709	1
nlp-4	3.65182233109724	1
C48B4.11	3.75329216691361	1
klp-18	3.90336532127602	1
clec-79	3.93873721020702	1
wee-1.3	4.02746117017582	1
plk-2	4.22720019620657	1
gld-1	4.29307883509658	1
T03F6.6	4.39020072669304	1
ceh-14	4.39473310097439	1
chk-1	4.65173476816063	1
Y73F4A.2	4.6747432688409	1
K08F4.3	4.6965473047283	1
F58H1.6	4.78522084262659	1
sun-1	4.98380552140194	1
ZK783.6	4.9933276543028	1
ZC376.8	5.00815238211367	1
F18A12.2	5.03219177471109	1
hil-4	5.10760892438141	1
C28A5.2	5.12742970183049	1
tofu-7	5.16078580847886	1
mre-11	5.31092575387749	1
F42C5.5	5.3258191754943	1
hil-5	5.32918126006211	1
K09G1.2	5.43867561153195	1
drr-2	5.4777533196587	1
B0035.6	5.67258187215131	1
T05B9.1	5.69958646236039	1
F36H12.3	5.72979261950636	1
C06A12.3	5.83435555136924	1
glh-1	5.84190669698606	1
F28C6.10	5.87009100441619	1
T23F6.3	5.94640781693227	1
oac-19	6.01158408674592	1
rnp-8	6.02282788811621	1
ttr-21	6.03047130435366	1
tag-153	6.05459711305907	1
dog-1	6.07295063284489	1
T20G5.8	6.08695948372889	1
cnp-2	6.14999115850006	1
Y45G5AM.2	6.15131027061021	1
skpt-1	6.22447265439351	1
C01G8.1	6.33093745452108	1
E03H12.7	6.3756171427386	1
mlc-7	6.43105079372859	1
Y106G6G.4	6.46187149700836	1
szy-4	6.60348287840354	1
sdha-2	6.6755515367546	1
cpg-1	6.6981768849361	1
F55F10.1	6.70170764635383	1
C55B7.11	6.70265613789127	1
ent-1	6.77287587208559	1
T27E7.1	6.78525717089453	1
aspm-1	6.90545904847817	1
kel-10	6.97720065763082	1
dnj-22	7.00889904113516	1
wht-2	7.06136019246507	1
C16C8.18	7.11259579360556	1
R07E5.6	7.15377098814316	1
madf-8	7.15934690763973	1
spe-41	7.16670201155484	1
F55G1.6	7.29390847309274	1
F55A11.4	7.29700795955127	1
ect-2	7.30539667756323	1
C14B1.9	7.40741395078113	1
R07B7.2	7.45676698758705	1
mcm-7	7.49734174297031	1
air-2	7.50930819884414	1
bath-5	7.52362258538369	1
Y48G1A.2	7.5507542550865	1
pqn-60	7.56790515268318	1
smgl-2	7.65643593201512	1
hpo-40	7.69001908225263	1
F56D6.12	7.72463907941022	1
C18A3.3	7.74808024116243	1
csr-1	7.87266164713742	1
K07A1.1	7.88679179200222	1
C35E7.9	7.8881611701052	1
hpo-32	7.99881602458524	1
nol-1	8.00806379420517	1
R105.1	8.03227977181188	1
hcp-3	8.04644930019947	1
lbp-1	8.07281930234195	1
W06B4.1	8.08620260797139	1
R05F9.11	8.09888752290352	1
B0464.6	8.11522562884308	1
T07C4.3	8.17597328399879	1
his-64	8.18933023931574	1
F54C1.8	8.26335786943443	1
K06H7.7	8.30559338680525	1
dvc-1	8.31165008070701	1
C06C6.8	8.31758687917455	1
xnd-1	8.36428122465528	1
lbp-3	8.44545294143152	1
H38K22.6	8.46126256808045	1
