gene_short_name	scaled_TPM	group_number
ule-3	2.47257375255418e-15	1
Y116A8C.3	2.9701328483279e-15	1
Y73F4A.1	3.9464228049245204e-15	1
K07A1.6	6.18972278926731e-15	1
mig-6	6.5221866095531705e-15	1
clec-178	8.080414721882621e-15	1
F55B11.3	8.3729152452814e-15	1
ttr-1	9.1402083561097e-15	1
Y62H9A.4	9.513445016761672e-15	1
snf-9	2.2979790099521105e-14	1
col-135	2.87826079004239e-14	1
ZK813.3	5.3162598550600505e-14	1
ttr-14	5.53318803672367e-14	1
C54D10.4	1.26580570295414e-12	1
Y62H9A.3	1.38450701371377e-12	1
H29C22.1	1.88375904601266e-12	1
T05B4.14	2.4266125612272697e-12	1
fut-4	3.72916241354043e-12	1
ule-5	7.34606422680762e-12	1
spe-12	1.65233366969695e-11	1
D1054.10	5.205292332004029e-11	1
ZK1010.5	8.75357668496281e-11	1
Y62H9A.5	1.56764167961261e-10	1
M02B1.4	6.40447228742218e-10	1
ZC373.2	9.25555455688764e-10	1
F55B11.2	1.20326316398647e-09	1
W02D9.7	1.2330545049246e-09	1
ttr-12	9.689689903203573e-09	1
abf-1	1.47088911673875e-08	1
K08C9.2	2.00899184981503e-08	1
ZK813.7	2.03358360257208e-07	1
nas-20	2.15827543948424e-07	1
C04H5.7	2.53811545583638e-07	1
D1086.17	2.68824764568596e-07	1
F17E9.4	2.77027295275662e-07	1
nkb-2	3.32464504374467e-07	1
R03G8.6	4.60447568187084e-07	1
C18H2.5	8.11434115957422e-07	1
C31H1.1	9.42515582847382e-07	1
F57C2.4	1.00132958493074e-06	1
Y37D8A.19	1.33229134149655e-06	1
F58D2.2	1.34714615740548e-06	1
Y69H2.3	1.41130478877231e-06	1
E02H9.7	1.6435798212376e-06	1
T08B6.4	4.7137469116951e-06	1
F53H4.2	5.28041358595273e-06	1
C14F11.4	1.25400635286448e-05	1
ZK813.1	2.03983773417099e-05	1
W02D9.6	0.0001218516491139	1
D1086.6	0.0001238627883572	1
Y43F8C.9	0.0001995807322569	1
ZK945.8	0.0005839681623847	1
EEED8.4	0.0012875401962674	1
ZK84.2	0.0013349624761315	1
D1086.11	0.0019784365808492	1
F54F7.3	0.0022083326454765	1
chil-14	0.0047635721480656	1
lam-1	0.0131840232768346	1
F22F7.11	0.0140629986747754	1
Y54G2A.15	0.0146520246515415	1
Y57G7A.6	0.0148304847468786	1
Y66D12A.19	0.0333878456569839	1
ZK973.4	0.0359953659249903	1
M28.9	0.0437621736548045	1
pssy-2	0.0475120864268859	1
abf-6	0.0898024741426312	1
F55G1.6	0.123518081243887	1
fbf-1	0.156663240993289	1
K07E12.2	0.163659632243921	1
klp-18	0.18450107489878	1
D1081.12	0.186197059442271	1
F40H6.1	0.191545225402167	1
Y79H2A.2	0.194724900110268	1
Y54E2A.7	0.202582171022953	1
R148.4	0.213674110193168	1
tofu-7	0.214472179245998	1
C42C1.8	0.229475272502179	1
sws-1	0.230160531965882	1
W05F2.3	0.232496710451735	1
F14D2.14	0.246497037437632	1
Y37E11AL.3	0.248410389480956	1
W03C9.2	0.255522766547961	1
F14D2.8	0.268029657872521	1
puf-8	0.26913479982856	1
ZK1128.3	0.27006923212882	1
C28A5.2	0.271900652827555	1
F58B3.4	0.28081851793944	1
gpr-1	0.289666941920237	1
rme-2	0.297807651718207	1
Y48G9A.11	0.298268444892142	1
F59A6.5	0.302603064538524	1
syp-3	0.303678994423346	1
Y73B6BL.23	0.304140928573132	1
Y54F10BM.12	0.31012756205736	1
W05F2.6	0.314319460953271	1
zim-2	0.318203978804467	1
Y57A10A.2	0.322155300655622	1
C06A5.8	0.328637325165403	1
H34I24.1	0.335881902349416	1
F37A4.5	0.335902212649199	1
zim-1	0.340611382837343	1
hpr-17	0.353173282665082	1
F33E11.2	0.357447692688469	1
Y52B11A.11	0.357867140565845	1
K07F5.14	0.360541444287487	1
mig-21	0.360787982019869	1
asfl-1	0.362666997877409	1
Y45G5AM.2	0.362752309557829	1
Y65A5A.2	0.363677691648732	1
ctf-4	0.365245700055541	1
F30F8.1	0.368037517344197	1
spe-26	0.370128316802901	1
rad-51	0.370253074077618	1
his-62	0.370693512581086	1
W04A8.1	0.372918720043081	1
Y47G6A.25	0.373175298388433	1
dna-2	0.376152378093701	1
maph-1.2	0.377129886657986	1
F49E8.2	0.378208856598618	1
Y37H2A.18	0.378917661242911	1
C53B7.2	0.38243947077066	1
Y75B8A.18	0.386658612620424	1
nasp-1	0.390426416093959	1
him-5	0.396046725844452	1
C46E10.1	0.398791093487903	1
C14B1.9	0.403926538863098	1
har-2	0.404148776812076	1
coh-4	0.408140443785267	1
unc-61	0.40859062574725	1
C39E9.12	0.410751759649538	1
Y47G6A.3	0.413811368591732	1
C35E7.8	0.414297505937069	1
C30F12.4	0.4142989936137	1
T28A8.3	0.416537817418288	1
hop-1	0.423806265525054	1
R06C7.2	0.427510926368805	1
zwl-1	0.433436117654508	1
ZK616.5	0.433554071909472	1
dnj-26	0.437236856036807	1
cdt-1	0.443572377311015	1
his-63	0.443578297681117	1
him-14	0.455795406392748	1
C16C10.2	0.470773699170825	1
C32H11.7	0.472217549739103	1
T10B11.8	0.474030704505584	1
dhs-11	0.485253296743939	1
F31E8.5	0.488975467608268	1
mom-2	0.512742836131524	1
F25H8.2	0.5147747874389	1
tdpt-1	0.517074498401036	1
T16H12.13	0.526133355401318	1
C01B10.8	0.528062273742289	1
Y59E9AL.36	0.528308388475777	1
zhit-3	0.542321103549347	1
C17G10.2	0.542371800626888	1
B0238.12	0.544616770315752	1
Y38H8A.4	0.552196093097208	1
F35E2.5	0.556244154504061	1
hcp-6	0.561491307231642	1
F18A1.7	0.564393632710255	1
B0238.9	0.575723699648046	1
hrde-1	0.578416260946567	1
Y75B7AL.2	0.587825569917313	1
Y50D4A.1	0.587862056102759	1
zen-4	0.589736207086538	1
F58D5.6	0.593662646352025	1
sas-5	0.598765967760946	1
fbxa-215	0.600694772093549	1
Y53F4B.9	0.601605408243872	1
C27H6.9	0.602625345562848	1
acdh-4	0.615588748378541	1
brc-1	0.616973778513649	1
madf-8	0.61921000667793	1
ddx-23	0.625479920525751	1
acs-6	0.629548259923021	1
H21P03.2	0.632180033395115	1
ogr-2	0.632494057850523	1
rpom-1	0.636629628743118	1
btb-19	0.641191449306799	1
