gene_short_name	scaled_TPM	group_number
Y62H9A.4	1.63222337996625e-15	1
Y73F4A.1	1.86754506474501e-15	1
Y62H9A.3	1.07973387708509e-14	1
K02E7.11	2.18856419196867e-14	1
ttr-1	2.93913103394092e-14	1
nep-8	5.22581558930309e-14	1
Y116A8C.3	7.02453035362013e-14	1
ZK813.3	2.13962968140491e-13	1
F38A5.22	3.03017578139451e-13	1
F17E9.4	4.3813266036132e-13	1
K09H11.11	4.81792175381433e-13	1
oac-9	1.21920143933361e-12	1
H29C22.1	4.14586754922412e-12	1
Y62H9A.5	1.39746509681014e-10	1
ule-3	1.64728413487449e-10	1
M02B1.4	1.90548151188289e-10	1
F35C12.3	2.80712709737467e-10	1
F55B11.3	6.51619612192757e-10	1
W02D9.7	7.27785594171159e-10	1
ZC373.2	8.50472068358759e-10	1
Y54E2A.9	2.03230811570262e-09	1
B0524.4	2.1532515380708304e-09	1
D1054.10	4.26070737567805e-09	1
T16A1.2	6.785025762863671e-09	1
C04H5.7	7.8289958465618e-09	1
elo-7	2.69664178254082e-08	1
F57C2.4	3.3195707897193e-08	1
ttr-12	4.08350316616618e-08	1
K02F6.3	9.43262636485334e-08	1
gmeb-3	2.70632400518825e-07	1
F36F12.7	8.86457219633813e-07	1
ttr-14	1.38163495993283e-06	1
Y37D8A.19	2.47279655540809e-06	1
sst-20	4.30332793540913e-06	1
K07A1.6	8.48947446520088e-06	1
Y41C4A.7	1.21210041832158e-05	1
Y105C5B.18	2.30459312137188e-05	1
ZK813.7	4.73714315885074e-05	1
irld-3	6.18575164375963e-05	1
K08C9.2	9.23588706727909e-05	1
ZK813.1	0.0001012519538003	1
C01G6.2	0.0001709539207193	1
try-10	0.0001909251432183	1
ZK795.2	0.0001954391352531	1
F23B12.1	0.0002781334802827	1
acp-3	0.0002970194656428	1
C28C12.11	0.0004271847689556	1
Y106G6G.4	0.000557619810414	1
F55B11.2	0.0011265439556792	1
Y43F8C.9	0.0013274448970056	1
ZK84.2	0.0015636195099831	1
ZK622.1	0.0018240727218374	1
Y53H1C.3	0.0019686051868409	1
M162.7	0.0029349005911904	1
C04G6.6	0.0034391805233818	1
F55B11.7	0.0037088642091293	1
F54F7.3	0.0045151330353169	1
T28B8.6	0.0057867965339543	1
ins-37	0.0062286172115435	1
ule-5	0.0064337818360652	1
M28.4	0.0067104025223265	1
ZK354.2	0.0067142805962843	1
C33C12.7	0.017506723329495	1
ZK418.2	0.0178234397448767	1
F55F8.7	0.0317693594682472	1
D1086.17	0.0613668149047908	1
pssy-2	0.0671919366362675	1
ent-3	0.0770043922312791	1
C48B4.10	0.0825225980681379	1
C30F12.4	0.0891527273962212	1
Y57G11C.6	0.0915305109250701	1
ZK616.5	0.104982798961956	1
Y54G2A.15	0.128550743073902	1
Y57A10A.1	0.133310523522782	1
C34F11.1	0.1440931986923	1
M28.9	0.155615373992445	1
K06B4.15	0.159091201246467	1
C50E10.1	0.160537834501539	1
C12D8.9	0.188153250158114	1
ZC376.8	0.189920904581457	1
F40F9.3	0.194444284214524	1
C45G9.15	0.195988886769455	1
pfk-1.2	0.196188417621698	1
C30G12.6	0.19770781121514	1
C48B4.6	0.216280285361752	1
dnj-28	0.227794530461165	1
fbxa-211	0.240315625305948	1
pck-3	0.24035891908837	1
wago-4	0.243729852010971	1
rnh-1.1	0.262639651710942	1
C42C1.8	0.270929111820725	1
R11A8.1	0.271012877738502	1
gei-14	0.27390804410628	1
C16C8.14	0.286682052696068	1
F01G4.4	0.288005575361088	1
Y111B2A.3	0.290683424571195	1
ttr-42	0.30300548080545	1
F40H6.1	0.314224423895382	1
Y66D12A.3	0.321352848422535	1
B0035.6	0.325079107936865	1
tim-1	0.325264132660703	1
tpxl-1	0.334722231635381	1
C16A11.4	0.345470706221945	1
R01H2.2	0.357733627145566	1
fbf-1	0.361249532453233	1
cyk-7	0.364676279238543	1
T21B10.4	0.364786654004313	1
rga-3	0.366533812917174	1
F55G1.5	0.371161607236059	1
ZK616.61	0.375192463408359	1
Y39B6A.30	0.388479823631422	1
Y57G11B.5	0.388668774163917	1
Y47G6A.3	0.389314690201334	1
Y65B4BL.3	0.395373842254578	1
Y65B4A.9	0.398760911989661	1
his-68	0.399988418424735	1
tipn-1	0.40238743400623	1
C54G4.2	0.404451813133302	1
mct-5	0.420129313869677	1
syp-3	0.423771081424045	1
madf-6	0.430301664682641	1
T10E9.14	0.438926439565597	1
Y41D4B.11	0.441807192336411	1
Y110A7A.15	0.456782430958125	1
C08F8.3	0.461718798016576	1
C28D4.8	0.462735335323754	1
cpg-2	0.468056303406274	1
W03C9.2	0.468227013185204	1
R148.4	0.468464476137644	1
C34F11.5	0.472839745824584	1
plk-1	0.476354939695617	1
coh-3	0.477214364714275	1
prom-1	0.477992049139468	1
ZC21.8	0.483619782551033	1
T07C4.3	0.488051070257388	1
cyp-31A3	0.491165251233741	1
bath-30	0.496710529290001	1
Y54G9A.5	0.502586467656557	1
set-5	0.506084137929904	1
cdt-1	0.50701693267805	1
asfl-1	0.511130889089355	1
bath-13	0.518991146932608	1
Y71F9AL.4	0.519188850221619	1
him-14	0.520042318522642	1
his-61	0.521681763297416	1
C09B9.2	0.53522635973155	1
szy-4	0.54340301299581	1
tag-63	0.559704353602685	1
pole-1	0.572575357147943	1
Y69F12A.1	0.580634461181412	1
pgl-3	0.621385437613322	1
Y66D12A.19	0.623069749767728	1
T15H9.2	0.62331798037916	1
ceh-92	0.632388576648261	1
Y75B7B.1	0.632605963104324	1
C50C3.1	0.633809706376085	1
T27A3.7	0.634514264648202	1
Y39G10AR.15	0.638296779308819	1
ego-1	0.638822125694567	1
T16H12.2	0.644630603797092	1
spo-11	0.660484532117507	1
C38D4.4	0.660587903624312	1
F45F2.11	0.660908661948831	1
pgl-2	0.664321114244159	1
Y57G11C.1130	0.665161164634949	1
Y57G11C.51	0.666290243305318	1
F54D5.2	0.66938657561933	1
cki-2	0.670103510606111	1
T28A8.8	0.670821242984365	1
fbxa-140	0.686527667385926	1
C05C8.2	0.687506352793059	1
Y39B6A.42	0.691675361701778	1
ZK265.6	0.694773641464411	1
bath-2	0.706482465757037	1
memi-3	0.706617656675802	1
pph-4.2	0.708771824081312	1
nath-10	0.713333227142776	1
F27C8.5	0.714476357719714	1
fbxa-155	0.7200154845751	1
fbxc-47	0.722392499952191	1
F10C5.2	0.723846304167462	1
C35E7.8	0.729724255281335	1
ZK1067.3	0.733043421503667	1
pie-1	0.734797117727701	1
mop-25.3	0.7351345681257	1
syp-2	0.735911069870905	1
B0304.4	0.741755049754387	1
snpc-1.1	0.756016979603208	1
Y17G9B.4	0.759665011289809	1
rad-54	0.76327121010557	1
CD4.8	0.768104642104181	1
klp-16	0.769394854659975	1
rfc-3	0.775337670656256	1
Y65A5A.2	0.780069946642959	1
T08B6.9	0.794495838103713	1
syp-1	0.799804960963962	1
F57B10.4	0.810755186811546	1
enu-3.2	0.81338199796324	1
rog-1	0.820885698845127	1
rnf-1	0.821863160753361	1
Y54G2A.12	0.82189099328676	1
Y57A10A.5	0.826361483433875	1
ogr-2	0.843197517204791	1
set-32	0.843645323012927	1
Y73E7A.2	0.848595365516084	1
sas-1	0.852866091528256	1
C54F6.5	0.852975410108814	1
F07H5.10	0.853214502831267	1
T28A8.4	0.855269920075903	1
F32D1.7	0.857062703588357	1
D2030.7	0.868786023262989	1
Y69A2AR.28	0.870381321003013	1
C45G9.4	0.872508477896503	1
F54D10.5	0.875188087485795	1
C15F1.8	0.876899058674964	1
T04H1.5	0.881755549530784	1
K08D9.9	0.882296615178093	1
gop-2	0.889177817679806	1
atm-1	0.893504529595016	1
F43G9.4	0.895030437852297	1
R03D7.8	0.896534818485911	1
msh-5	0.897634701931314	1
ttr-3	0.899244149998917	1
ntp-1	0.901124126277586	1
T01C3.9	0.901273610050014	1
elpc-1	0.906684631405388	1
F44E7.5	0.907585147373303	1
C04E6.11	0.916120660808669	1
F10B5.8	0.917681949263675	1
wrm-1	0.92267149406979	1
zhit-3	0.926250650519445	1
Y14H12B.2	0.930167486406857	1
sao-1	0.938414786295725	1
M01G5.1	0.941081036009819	1
ZK892.5	0.948011324813349	1
pal-1	0.948621833709297	1
spd-1	0.952327589102761	1
bath-29	0.95364319840131	1
K07E8.7	0.955186622575366	1
T12G3.4	0.956516602923017	1
thk-1	0.957975622968091	1
tut-2	0.960109694784045	1
ant-1.3	0.965246046722711	1
Y105E8A.8	0.979180089876779	1
catp-4	0.979353778081744	1
tag-261	0.98476915175236	1
W09C3.4	0.98804744831418	1
knl-3	0.988301372224808	1
C48B6.2	0.989291968691564	1
parp-1	0.993231886188426	1
Y47D3A.14	0.993685297583688	1
tag-267	1.00016709368268	1
htp-2	1.00365287013451	1
T24H10.1	1.00430396422791	1
dgtr-1	1.0070980213803	1
nxf-2	1.01126363998034	1
ipla-4	1.01819210333999	1
K06A5.1	1.02079309910469	1
K09F6.3	1.02453053069282	1
R05H10.3	1.02793048059706	1
F35D11.4	1.03683623666247	1
mcm-6	1.03689081256143	1
C16C8.5	1.04555697555175	1
F53A3.7	1.05444670678739	1
tdpt-1	1.05455562106504	1
dna-2	1.05725183878047	1
F25F2.1	1.05790527576557	1
mpz-3	1.05868316475879	1
C30H6.9	1.06083015934904	1
tofu-7	1.06798276206065	1
psf-2	1.07025834058061	1
otub-3	1.07152721620012	1
T12E12.3	1.07357463777766	1
T10E9.2	1.07447691805006	1
B0001.7	1.07628993738835	1
T28D9.4	1.07654377726188	1
clec-73	1.08556587862948	1
B0379.7	1.08770104247721	1
pqbp-1.2	1.0918699751036	1
K11H3.4	1.09738503408694	1
W02A11.1	1.10619545768257	1
exc-4	1.11096621478616	1
C05C10.7	1.11405142016837	1
B0432.10	1.11432479332238	1
abf-6	1.11639123842106	1
xpo-2	1.13381812459094	1
C01G8.1	1.14782341490722	1
M176.9	1.1525237695126	1
deps-1	1.15472771155772	1
nol-10	1.15630293798758	1
fbxa-118	1.15678178054233	1
Y37H2A.12	1.16885527072589	1
rnr-1	1.16959128385703	1
T13H5.8	1.17107194201634	1
F44B9.8	1.17157822468613	1
eif-2Balpha	1.17288442475666	1
sid-1	1.17299409421996	1
Y48C3A.20	1.17532755621082	1
T06C10.3	1.17987466818084	1
psf-3	1.18773704171836	1
F56C9.3	1.2010892181778	1
chaf-1	1.20314889032122	1
gck-1	1.22028485241661	1
F28F8.9	1.22253066350792	1
dph-2	1.22596273671017	1
pola-1	1.23289638165604	1
K10D2.1	1.23463853924835	1
F45E4.5	1.23814501701732	1
C43G2.3	1.23944009674343	1
C17G10.1	1.24119530477619	1
cyn-12	1.24343411979999	1
tag-342	1.24650058392472	1
morc-1	1.26163144088328	1
C02F5.10	1.26565134414161	1
cul-3	1.28137801975885	1
tofu-4	1.28305070280553	1
K07H8.12	1.29054249052395	1
hal-2	1.29388449540759	1
hpr-9	1.29972434358657	1
D1086.11	1.30770966222181	1
F46B6.5	1.31806423751497	1
C09H10.10	1.32041100229459	1
mrps-16	1.32044681017289	1
B0511.19	1.33295781081147	1
T20D3.3	1.33752250657988	1
D2030.8	1.34183093198339	1
Y53F4B.13	1.34366018624175	1
nth-1	1.34384170798523	1
B0205.1	1.34405635506866	1
pign-1	1.3467187299861	1
F56B3.6	1.34897340686754	1
F44E2.8	1.35025800008628	1
glh-2	1.35788801620513	1
chin-1	1.36291664924632	1
K02B12.5	1.36440518486589	1
set-23	1.36485879594244	1
orc-5	1.37430062105265	1
F34D10.4	1.37671588932937	1
tag-314	1.37914241507215	1
Y47D3B.12	1.38348750600565	1
gbas-1	1.38830812895703	1
F56D6.14	1.39042765362056	1
elpc-2	1.39568281618524	1
C03H5.3	1.40750854875921	1
rei-1	1.40980051658605	1
H24K24.4	1.41270765062664	1
B0207.9	1.42764744387249	1
mrpl-28	1.42985175806182	1
M18.6	1.43211454736803	1
spin-1	1.44204163375308	1
F22E5.9	1.45243741577548	1
D1037.1	1.45570551784399	1
rib-2	1.45615432848945	1
cya-1	1.45651724083173	1
K11H3.8	1.46693097581414	1
nprl-2	1.46965519703656	1
F13D12.9	1.46991668105277	1
C17G10.13	1.4805023624033	1
cdl-1	1.48724550106634	1
set-25	1.48737280092755	1
R07E5.11	1.48889965045374	1
T10E9.1	1.49464748765179	1
Y77E11A.7	1.49644906244717	1
eif-2D	1.50516641027404	1
C49A9.10	1.50615684180174	1
C25G4.3	1.51326395737326	1
rpc-11	1.51471964278397	1
klc-1	1.52442380362523	1
C50D2.9	1.5299075903887	1
fbxc-36	1.53597937351639	1
Y47D9A.5	1.5378439121656	1
Y25C1A.8	1.55955266794655	1
T05H4.10	1.56093831038854	1
C05C10.2	1.5642331866358	1
T08G11.2	1.56610907767541	1
clk-2	1.56925134605917	1
rop-1	1.57124906925858	1
M110.3	1.57365225981409	1
wdr-5.3	1.57628964329877	1
ZK945.6	1.58298809908442	1
K07A12.1	1.58560408838454	1
K09G1.2	1.60199311064982	1
eif-2alpha	1.60443857068511	1
