gene_short_name	scaled_TPM	group_number
aman-1	2.5762904854385304e-15	1
mig-6	3.3030812144372304e-15	1
cup-4	4.471598936496381e-15	1
Y73F4A.1	4.93918942551381e-15	1
Y62H9A.4	6.964270778491981e-15	1
Y116A8C.3	7.242370294873231e-15	1
F55B11.3	1.03835705037994e-14	1
ttr-1	1.27179574129534e-14	1
C31H1.5	1.9228840857287105e-14	1
lgc-28	1.95321703946188e-14	1
K07A1.6	2.63982482945445e-14	1
nep-8	4.79543011252451e-14	1
ZK813.3	6.41874413461594e-14	1
ttr-14	3.43823421228522e-13	1
H29C22.1	1.16279973729965e-12	1
Y62H9A.3	1.70066757422792e-12	1
T07A5.7	2.42575594166737e-12	1
T05B4.14	2.8169860703022e-12	1
ule-3	5.71460185284378e-12	1
C54D10.4	1.1844169907242098e-11	1
clec-151	2.5935940742437198e-11	1
spe-12	4.7390930195099896e-11	1
W02D9.7	4.39642015436216e-10	1
R13H9.5	7.342840664289991e-10	1
D1054.10	8.20676270548463e-10	1
T19H5.7	1.12236237887834e-09	1
Y43F8C.5	1.30508626042033e-09	1
Y105E8A.27	2.0107751011010403e-09	1
erp-44.3	3.12602559192412e-09	1
C18H7.7	1.11636256358234e-08	1
ttr-12	1.19579135064231e-08	1
F56F4.3	7.44510189216946e-08	1
ttr-9	7.64536525574299e-08	1
Y57G7A.6	1.05406666733422e-07	1
clec-223	1.58351763876304e-07	1
F56A11.6	1.9070861962741e-07	1
ZK813.7	1.97295251285492e-07	1
F17E9.4	2.55302908594389e-07	1
K08C9.2	2.6089462274053e-07	1
T08B6.9	3.66545739716636e-07	1
Y62H9A.5	4.86293179457322e-07	1
Y69H2.3	6.67404678882041e-07	1
mpz-3	1.04188826215927e-06	1
Y37D8A.19	1.13973037443266e-06	1
nas-20	2.25287459960622e-06	1
T08B6.4	2.43345760687695e-06	1
Y48B6A.5	3.09344917729269e-06	1
ZK892.3	3.95840675702065e-06	1
spe-19	4.40746432958255e-06	1
wht-8	6.94331301286859e-06	1
Y41C4A.7	1.04514286581148e-05	1
C14F11.4	1.21415468283513e-05	1
F53H4.2	1.45916682235024e-05	1
ZK795.2	1.78307866565905e-05	1
C04H5.7	1.84423858298725e-05	1
F44F4.10	3.08619966190538e-05	1
W09C3.8	3.40922096323425e-05	1
F37A4.4	5.65727240342499e-05	1
C28C12.11	9.20914607993957e-05	1
snf-5	9.41037892965129e-05	1
ZK84.2	0.0001042587119824	1
ZK813.1	0.0001139244593351	1
C47E12.11	0.0001184282678445	1
C08F8.6	0.0001599563898631	1
W02D9.6	0.0001828065328881	1
ZC373.2	0.0002150533387453	1
try-10	0.0007404157233696	1
D1086.11	0.0008371513076301	1
E03H12.7	0.0010299892127654	1
F55B11.2	0.0012832160236198	1
F40H6.1	0.0016377168715493	1
T24C4.8	0.0024948799553825	1
ule-5	0.0029957318769484	1
dhhc-5	0.0033539298394034	1
Y43F8C.9	0.0046129077111192	1
D1086.17	0.0051358209111382	1
W02B12.16	0.0065971022689079	1
dct-9	0.0075187719273262	1
C33C12.4	0.0084388983759585	1
F54F7.3	0.0086806323037309	1
ttr-42	0.0167055421165724	1
W01B6.2	0.0181214259313583	1
T25B2.2	0.021074568169605	1
Y73F8A.15	0.0248158708119809	1
Y54G2A.15	0.0373636389688429	1
B0205.10	0.038248212288675	1
F13B6.3	0.0428534110523447	1
Y54F10BM.3	0.0516162593727756	1
C36E6.8	0.0540154886647961	1
F54C8.1	0.0722144376623057	1
C30G12.6	0.0845704195797134	1
Y65B4BL.4	0.0879087330535226	1
F46A8.6	0.0896661924324796	1
nrf-5	0.09190395504973	1
F38B2.6	0.0952689142325355	1
ZK1098.12	0.105402532694523	1
C35E7.10	0.131409866787509	1
T28D9.4	0.132228322830679	1
fbf-1	0.134747896720865	1
T13F3.8	0.134961198160329	1
F57C2.4	0.140773131023493	1
exo-1	0.143097927845757	1
Y38H6C.15	0.158352554757095	1
spe-26	0.165542495408782	1
ZK616.5	0.171849007028624	1
R02D5.7	0.173036665070115	1
B0035.6	0.175818557441506	1
bath-27	0.178706658975169	1
F13D12.5	0.181082579668362	1
C35D10.8	0.186446778712824	1
tyr-5	0.188221324508868	1
Y113G7C.1	0.188716590802082	1
cye-1	0.193276357743671	1
B0393.6	0.201152137766595	1
toe-2	0.206757087759268	1
decr-1.3	0.237408993689302	1
Y54G9A.5	0.237774715606304	1
dna-2	0.238499717305891	1
Y39A1A.2	0.239982700875022	1
K11H3.8	0.242871677905855	1
Y57G7A.5	0.24364578517042	1
pig-1	0.244613663512447	1
mes-4	0.247685641975334	1
F14D2.14	0.249257007384629	1
ztf-28	0.252172350053439	1
tag-153	0.256862654914543	1
snpc-3.1	0.262854250774931	1
F59G1.8	0.267709141284524	1
R05D7.5	0.267983990705785	1
H04D03.2	0.268129821536883	1
hop-1	0.2687487056057	1
mcm-3	0.268981138867906	1
B0250.7	0.269712186598129	1
tag-267	0.269716050597413	1
fbxc-45	0.26992868436744	1
htp-2	0.270714261325609	1
dhhc-12	0.275777904249793	1
gpr-2	0.291256789717687	1
coh-3	0.296016876517281	1
mrp-7	0.296536591991115	1
C50C3.1	0.30640588543915	1
rad-54	0.30656616089255	1
F33E11.2	0.308892261960307	1
ani-1	0.309241690993627	1
acdh-5	0.309723081276053	1
F23C8.8	0.311485175129398	1
C55C3.6	0.312651574258258	1
gmn-1	0.314076921998535	1
snf-2	0.320231422332626	1
C26E6.1	0.325110129485985	1
cdl-1	0.327260912418003	1
btb-20	0.32894718953659	1
C45G9.2	0.332574560638699	1
Y47D3A.13	0.333536994106565	1
Y54E2A.8	0.337293788143754	1
C52E4.7	0.346576605985325	1
csc-1	0.346700948397001	1
lst-1	0.349713723157613	1
brd-1	0.351666901744164	1
C34D4.10	0.352785978438702	1
coh-4	0.353118635046064	1
W04E12.5	0.354040403208864	1
C15F1.8	0.360018274140302	1
hyl-1	0.361041886055958	1
Y102A5C.36	0.365437167158611	1
F30F8.1	0.371599128007155	1
Y4C6B.1	0.372247153782967	1
zim-3	0.376751593294311	1
spe-27	0.381435961603695	1
H34I24.1	0.387476023917621	1
rog-1	0.389172384385611	1
ftr-1	0.398559075878288	1
F13D12.9	0.400836419794273	1
bath-1	0.401096334729702	1
ZK484.7	0.401615507116716	1
Y43F8A.2	0.405188446388542	1
har-2	0.407877748556096	1
C17D12.7	0.409670613848617	1
spe-4	0.429366023125502	1
msh-5	0.431312009599948	1
zim-1	0.431889087417008	1
T01C3.9	0.433338292610426	1
peel-1	0.437492640901946	1
aptf-3	0.4384239058959	1
nola-3	0.439006868903485	1
Y45G5AM.7	0.446500385267545	1
F27E5.3	0.448632108241691	1
Y51H4A.8	0.449181654005142	1
D1044.6	0.45434929365922	1
spe-42	0.457013464355768	1
pssy-2	0.470174793398541	1
lin-54	0.471155868641811	1
ccz-1	0.471568763742227	1
C16C10.2	0.474726542057051	1
hpo-26	0.475779453133052	1
ddx-35	0.478353446825338	1
cyb-2.2	0.478866007264746	1
Y53C10A.10	0.480014466453335	1
C09H10.9	0.481183581795749	1
T28A8.8	0.489221896010924	1
F58A6.5	0.490245093380006	1
F59A3.13	0.491742354315825	1
Y17G7B.12	0.498875145178632	1
F59A3.12	0.500748102018723	1
bath-28	0.501617839585995	1
snpc-1.2	0.502268796365487	1
him-10	0.505950124527263	1
glh-4	0.506148289515172	1
scl-6	0.506195622339673	1
wht-7	0.509040440706175	1
C28A5.2	0.509354148106678	1
T13H5.8	0.510090859872518	1
F17E9.2	0.511250434228886	1
mom-2	0.516780267248148	1
T02E1.6	0.517724908468606	1
fbxa-192	0.518900030765938	1
Y39A1A.14	0.526463188285772	1
fbxc-47	0.527617953334035	1
lem-2	0.530813296248354	1
B0001.7	0.533960977560584	1
T12G3.4	0.534626433425708	1
C06C6.8	0.537536778220913	1
K06B4.15	0.540090336326117	1
T06E6.1	0.540162673788995	1
K12H4.3	0.540342082283663	1
his-64	0.551476421787458	1
Y50D4A.6	0.552539392578082	1
F13A7.14	0.55464183692994	1
C26F1.3	0.555470511180377	1
F55A12.10	0.55808296364591	1
Y43C5B.3	0.560806370312526	1
F56C9.3	0.562007192989636	1
ugt-64	0.563763638917531	1
C28C12.12	0.567606477162051	1
syp-3	0.568959008043742	1
nsun-4	0.570213853977477	1
F22B5.6	0.573190785320424	1
rfc-2	0.575442362930958	1
F35C12.3	0.57596173715552	1
Y75B8A.16	0.58440339197265	1
C13B9.2	0.589357394375193	1
era-1	0.593909834281286	1
F56G4.7	0.614771917596685	1
his-63	0.617415411418013	1
Y110A2AR.1	0.618545224153208	1
Y73E7A.2	0.622063918068383	1
T06E4.5	0.623087276476291	1
pole-2	0.625857250023722	1
Y47G6A.14	0.626963497325534	1
W09C3.4	0.630568410340248	1
gei-14	0.634297946783421	1
D2005.4	0.63824992041166	1
F56C9.6	0.642086087325424	1
nas-22	0.648381860987324	1
T28C6.5	0.651918003248941	1
gck-1	0.65374303486611	1
C46A5.5	0.653851222733874	1
C15C6.4	0.654871898897619	1
Y51A2B.5	0.666846079493367	1
B0491.7	0.668596722308033	1
dsb-1	0.678519133606418	1
Y65A5A.2	0.681538798664049	1
cyp-33C5	0.687527518247619	1
Y44F5A.1	0.68901714985904	1
T03F6.6	0.689544626214005	1
gfm-1	0.689863320491281	1
tag-314	0.698378103812125	1
elpc-3	0.699533726126879	1
Y39B6A.30	0.701359596252545	1
T27A3.5	0.707840490939278	1
K07A1.5	0.720396976155782	1
taf-11.3	0.725685108843581	1
F15H9.1	0.727793881944576	1
Y43E12A.3	0.733823801670249	1
irld-8	0.741588611606465	1
toca-2	0.742526692417779	1
K10C9.7	0.746928668962172	1
mut-7	0.748935648589019	1
xpc-1	0.749337189129621	1
F56D3.1	0.751106868334984	1
T02H6.1	0.754182057226252	1
cyp-31A5	0.757536320191229	1
C34H4.1	0.761655147179728	1
iars-2	0.775077048822038	1
T22C1.8	0.781898003978169	1
H24K24.4	0.784679257460438	1
cox-11	0.786279761951385	1
kin-21	0.789229645419369	1
ZK1010.2	0.795585863308454	1
egrh-2	0.796768659623452	1
atx-3	0.797189167842417	1
rsr-2	0.800691992031906	1
Y32B12B.2	0.802415458624714	1
Y54G11A.3	0.81643374083103	1
dic-1	0.824787346364492	1
W03G11.2	0.827504729322253	1
cmt-1	0.839683473180977	1
R05D7.1	0.843231749628536	1
tag-281	0.846772049132892	1
nos-1	0.853493449994375	1
ekl-6	0.858566596556401	1
F42G8.8	0.868257963525128	1
C32H11.7	0.885346911462472	1
Y53G8AR.5	0.888283518881446	1
chin-1	0.888620882412048	1
C24D10.1	0.897398845364721	1
rbbp-5	0.900699744745056	1
snb-7	0.907748478227438	1
D1081.12	0.912175820410156	1
F55G1.6	0.918013950523641	1
K08D9.9	0.921060523329538	1
F21F3.2	0.92292586511066	1
mel-46	0.924613066136934	1
F23H12.3	0.928266558171176	1
cyp-31A2	0.936904211204948	1
ppfr-4	0.948977117885664	1
cogc-8	0.95177319408533	1
cnnm-4	0.95328740292881	1
taf-6.2	0.957410420470157	1
skpt-1	0.95778098100788	1
Y53F4B.36	0.960211516362558	1
pars-2	0.970604336059713	1
gon-4	0.978290605999638	1
tag-115	0.979702798230884	1
Y57A10A.1	0.982845138962224	1
C06C6.9	0.983092096266215	1
ent-1	0.987717282390396	1
