gene_short_name	scaled_TPM	group_number
Y62H9A.4	1.1854785523800501e-15	1
F55B11.3	3.2843576259490904e-15	1
Y73F4A.1	4.669586318383861e-15	1
ule-3	7.85051748673219e-15	1
ttr-1	2.00394723276747e-14	1
F17E9.4	2.2348116974179105e-14	1
C31H1.5	2.8054320873561998e-14	1
ZC317.1	2.21754032646554e-13	1
ZK813.3	2.35736497892932e-13	1
K07A1.6	5.75022596938492e-13	1
H29C22.1	1.54252237387041e-12	1
R09H3.3	6.16185678833435e-12	1
ule-5	8.92994625557705e-12	1
F35C12.3	4.8299559311814587e-11	1
Y62H9A.3	4.85398079975134e-11	1
K07A1.4	9.234355530384359e-11	1
D1054.10	1.31864646213429e-10	1
ZC373.2	1.71105503950657e-10	1
Y62H9A.5	1.88405270673397e-10	1
T08B6.4	2.8113947858563e-10	1
R102.8	7.44666868214698e-10	1
W02D9.7	1.23662647523462e-09	1
Y43F8C.5	2.55861332548784e-09	1
F55B11.2	4.24957328970442e-09	1
Y54E2A.9	5.287414153256871e-09	1
K08C9.2	1.00780002127852e-08	1
clec-151	1.19964195743035e-08	1
ZK813.1	1.76371553007875e-08	1
ssp-37	3.84864273723801e-07	1
Y37D8A.19	1.32557346298549e-06	1
sst-20	1.49912016518626e-06	1
ZK813.7	1.72166269956437e-06	1
ttr-14	1.79728527285453e-06	1
Y105C5B.18	5.51669695351361e-06	1
Y69H2.3	6.09122834931522e-06	1
irld-3	7.51881866671563e-06	1
C14F11.4	9.68681193812301e-06	1
Y43F8C.9	1.2830157896356e-05	1
C01G12.3	2.74611442682645e-05	1
snpc-3.3	4.98855768574607e-05	1
Y57G11C.23	9.74607910237374e-05	1
snf-5	0.0001262143669499	1
D1086.11	0.0015531773093112	1
ins-37	0.0112744867007935	1
Y69E1A.4	0.0298305421259312	1
ZK616.5	0.0829228591602912	1
C30F12.4	0.138092478974218	1
K11H3.8	0.162213389298846	1
R03D7.2	0.165830326526919	1
M05B5.1	0.195820298006732	1
C48B4.6	0.207741019331759	1
C42C1.8	0.218961172363234	1
ttr-21	0.219086019270117	1
maph-1.2	0.221312735109697	1
gei-14	0.221460886748098	1
Y82E9BR.2	0.229481975047196	1
C56C10.6	0.240350143551434	1
R148.4	0.245984661655809	1
dnj-28	0.246963758880441	1
Y57A10A.7	0.248231550445893	1
F36A4.4	0.25890312462055	1
fbf-2	0.2619752453311	1
B0035.6	0.264727483919637	1
rgs-9	0.272136346581152	1
toca-2	0.274133036397615	1
T27E7.1	0.278895388639046	1
C50F2.5	0.289592251005215	1
nhr-23	0.292309752068475	1
F31E8.5	0.295727186481852	1
Y66D12A.19	0.302198025593318	1
zim-2	0.303771271781566	1
F54D5.2	0.312961555072238	1
rnr-1	0.323055553737242	1
T07C4.3	0.329394199700515	1
ceh-92	0.343765893323946	1
Y71F9AL.4	0.352235140559908	1
glp-1	0.356079844699315	1
pssy-2	0.357329635885118	1
C16A11.4	0.373889911641666	1
gla-3	0.386957927859661	1
prom-1	0.397816589072824	1
xnd-1	0.398962593814341	1
rga-3	0.399133709872403	1
rnf-1	0.401646315245237	1
T12G3.4	0.402651846775887	1
F07E5.5	0.402773806846024	1
chk-1	0.411598856793554	1
lpd-2	0.421466025172171	1
C09B9.2	0.427408467780641	1
pig-1	0.431738232743864	1
snpc-3.2	0.434134993475035	1
tipn-1	0.438677020047723	1
glh-4	0.44653444574242	1
set-9	0.449838127208625	1
Y53C12A.11	0.452482628864998	1
F56C9.3	0.456676056927411	1
nos-1	0.459063568711499	1
htp-2	0.477355535376293	1
Y47G6A.13	0.478452353926081	1
fbxa-197	0.480943767776025	1
C30G12.6	0.499443910265599	1
C45G9.2	0.501098515761046	1
rbm-28	0.501759275626908	1
inx-21	0.518580169892715	1
W03D8.9	0.539392793010414	1
JC8.7	0.542447247180356	1
R155.3	0.546646798699056	1
egg-6	0.549808855215004	1
W04A8.2	0.554071572416093	1
F55G1.6	0.557075542168474	1
C27C7.1	0.560878285114142	1
C24H12.5	0.571368642578621	1
C08F8.6	0.571880987727785	1
ung-1	0.577869577034465	1
wago-4	0.582346993655383	1
B0261.7	0.585437301222524	1
ani-2	0.588695344096332	1
F21F3.4	0.594855394671406	1
szy-4	0.595085382006352	1
egrh-2	0.600429815918377	1
tofu-7	0.605167832958122	1
gld-1	0.610910987700845	1
C28A5.1	0.616583880197203	1
C17D12.7	0.617470783023897	1
C34D4.10	0.620238423833746	1
such-1	0.63863718562241	1
fipr-2	0.63894765508557	1
C41G7.3	0.650786205162558	1
D2005.7	0.653183548334284	1
cye-1	0.666245910648307	1
sws-1	0.68327351644891	1
bath-5	0.683960216513139	1
Y73B6BL.23	0.685106760009514	1
C27B7.5	0.685857834640824	1
C40A11.8	0.688612039728269	1
C17H12.12	0.688895879107881	1
wdr-5.3	0.69158961986524	1
hcp-4	0.692402463865025	1
egg-5	0.693590881394358	1
htp-3	0.693738072195335	1
spd-1	0.696570160347436	1
K07E8.7	0.699021867606554	1
