gene_short_name	scaled_TPM	group_number
F55B11.3	8.68285759361498e-16	1
ZK813.3	2.75857371996817e-15	1
Y116A8C.3	4.755931720377821e-15	1
clec-178	5.20171123293177e-15	1
ttr-1	6.481854177632471e-15	1
Y73F4A.1	7.556405817378211e-15	1
ule-3	1.06112986164177e-14	1
mig-6	1.13429440389516e-14	1
Y62H9A.4	1.7214100281021e-14	1
Y49E10.29	5.285128052471071e-14	1
K07A1.6	1.03441931345755e-13	1
ttr-14	1.4261533510038e-13	1
Y105E8A.27	1.50496868486101e-13	1
ssp-37	1.5751435024466998e-13	1
F17E9.4	2.78292297719012e-13	1
F28A10.1	4.945784401583049e-13	1
C33D9.10	2.29952681064449e-12	1
phat-4	6.795472568821899e-12	1
H29C22.1	8.5022476841908e-12	1
D1054.10	3.27682911739749e-11	1
Y62H9A.5	1.00251762105457e-10	1
Y43F8C.5	3.95587961234414e-10	1
R08A2.1	1.08076944373206e-09	1
F52F12.9	1.48970025597309e-09	1
F46F5.16	2.22007618353606e-09	1
F32B6.4	2.87573038002269e-09	1
F57C2.4	8.99957057127904e-09	1
F32E10.8	2.24514858701369e-08	1
C04H5.7	2.62665208268868e-08	1
C17F3.3	3.50898259281147e-08	1
Y57G11B.3	1.23184391198309e-07	1
K08C9.2	1.512272727402e-07	1
T08B6.4	1.65054154019647e-07	1
ZK813.7	1.957803178663e-07	1
Y37D8A.19	5.19542573702576e-07	1
mpz-3	1.32641061481817e-06	1
M02B1.4	2.03176554786016e-06	1
BE10.1	2.54104781848613e-06	1
F54F7.3	7.61063184435281e-06	1
ZK795.2	9.49166172410958e-06	1
F37A4.4	1.0656850983469e-05	1
C14F11.4	1.85501305211116e-05	1
F19B2.7	2.11880324040218e-05	1
ZK813.1	5.48918904282576e-05	1
D1086.6	8.9004419261825e-05	1
C28C12.11	9.06758845164527e-05	1
ZC373.2	0.0001148499574397	1
Y105C5B.18	0.0001397813837596	1
K08E7.4	0.0001743205960644	1
ZC581.2	0.0002239455502647	1
