gene_short_name	scaled_TPM	group_number
unc-122	1.62631207744281e-16	1
ZC116.3	2.73535450341412e-16	1
Y73F4A.1	5.07223787785843e-16	1
T05B11.4	8.50112149303988e-16	1
lgc-28	8.76493966899075e-16	1
cup-4	1.50981505302879e-15	1
T19C3.5	3.13851935567482e-15	1
snf-9	4.516156408061621e-15	1
Y62H9A.4	6.371418804650871e-15	1
ttr-1	7.627719633331101e-15	1
K07A1.6	8.694850936217061e-15	1
ZK856.5	1.2093831463705e-14	1
F17E9.4	1.2787177525090999e-14	1
Y62H9A.3	1.31274919599202e-14	1
Y43F8C.5	1.81324237499637e-14	1
msp-74	2.43704943881141e-14	1
R01H2.2	3.05766444023912e-14	1
F07G11.4	3.43246661365439e-14	1
ssp-37	3.85202327390511e-14	1
F25H5.2	4.83435887256699e-14	1
ZK1225.5	4.92791819904442e-14	1
nep-8	6.964650190144162e-14	1
ule-3	1.23983811167874e-13	1
ZK813.3	1.3139109271477e-13	1
K07A1.20	1.40755075105954e-13	1
npr-35	2.68709988486667e-13	1
C31H1.5	4.3376939353588006e-13	1
Y50E8A.6	7.33561877723458e-13	1
B0496.6	1.02088156473902e-12	1
C28C12.11	1.9051471406004e-12	1
K06B4.15	3.7006353490084e-12	1
F56A11.4	1.072973424841e-11	1
T08B6.9	1.08238084104869e-11	1
Y54E2A.9	2.09686556733658e-11	1
D1054.10	1.25522084357279e-10	1
Y62H9A.5	1.26708678015188e-10	1
Y59E9AL.8	1.73020578443859e-10	1
C18H7.7	3.36353358482455e-10	1
W02D9.7	4.07399154385049e-10	1
cof-2	4.97141587971562e-10	1
K08C9.2	8.4538445424812e-10	1
F55B11.3	9.182728190082772e-10	1
dyf-7	1.7069335154608e-09	1
try-10	3.98681446459916e-09	1
T02E1.7	4.368958339194411e-09	1
ZK1010.5	5.3074530841969e-09	1
irld-6	8.74713770245465e-09	1
F32B4.2	1.31360923740548e-08	1
glc-3	1.33564553042271e-08	1
mpz-3	1.42926341512056e-08	1
ZK813.7	1.77590221616356e-08	1
