gene_short_name	scaled_TPM	group_number
aman-1	1.20403594097208e-16	1
nas-20	5.41649561766685e-16	1
Y73F4A.1	7.54307391610683e-16	1
clec-178	7.57391435663503e-16	1
ZC116.3	9.08796070164117e-16	1
Y116A8C.3	1.1626811153282e-15	1
ule-3	1.2726515267439102e-15	1
F35C12.3	1.3457211537939e-15	1
Y49E10.29	1.4537899953037502e-15	1
unc-122	2.7964644777374007e-15	1
ZK856.5	2.8067146515118604e-15	1
snf-9	3.1456533041112507e-15	1
H29C22.1	3.2615537554318e-15	1
Y62H9A.3	3.4663845571165403e-15	1
F54F7.3	4.311655203479831e-15	1
ttr-1	4.3762059798757206e-15	1
Y62H9A.4	4.42720611439386e-15	1
Y105C5B.17	5.570998441378831e-15	1
ZK265.7	5.60713514383977e-15	1
C04H5.7	5.679355254008291e-15	1
nlp-54	6.146136123112601e-15	1
F01G12.18	6.35865237917522e-15	1
K07A1.6	6.625579475294481e-15	1
D1086.11	6.8717185777246804e-15	1
C31H1.5	7.194874979312951e-15	1
Y105E8A.27	7.694599539648821e-15	1
mtd-1	9.962676565517932e-15	1
D1086.6	1.05326090621875e-14	1
lgc-25	1.23528389080423e-14	1
Y57G11C.23	1.25361638789211e-14	1
acp-3	1.29384235939196e-14	1
W05B10.6	1.66069140618946e-14	1
nep-8	1.77714156073316e-14	1
C40C9.3	2.04446019955626e-14	1
Y43F8C.5	2.27010575034925e-14	1
F33G12.2	2.4379499770176e-14	1
F32E10.8	2.47471621978389e-14	1
Y69H2.3	2.49238301879614e-14	1
F59A1.13	2.7985856881787105e-14	1
ZK1251.3	3.3652971398572997e-14	1
F16H11.1	4.16912459488785e-14	1
W03G11.2	4.71085604024941e-14	1
F47E1.4	5.08021405532004e-14	1
ZK813.3	5.26922730109646e-14	1
F58B4.6	9.85635086042405e-14	1
C28C12.11	1.0053667753672e-13	1
Y51A2B.9	1.03029228983637e-13	1
mec-4	1.42523992103507e-13	1
srh-74	2.55090614040247e-13	1
F31E8.5	2.96555341778391e-13	1
F33H1.6	3.88843358487999e-13	1
T28D9.16	4.43257867297953e-13	1
F07E5.8	8.1870464257051e-13	1
T05B4.14	1.00075845485074e-12	1
Y54G2A.15	1.66672044409851e-12	1
K06B4.15	1.8173255931682097e-12	1
abf-1	1.90040026902974e-12	1
F21D9.2	2.34998881242018e-12	1
