gene_short_name	scaled_TPM	group_number
T19C3.5	1.2249671952539302e-15	1
clec-178	2.3943820674746303e-15	1
lgc-25	2.6577249704234002e-15	1
C31H1.5	3.3464338174601506e-15	1
aman-1	3.81935313770144e-15	1
ule-3	4.7299549368441306e-15	1
Y73F4A.1	4.774973434730851e-15	1
F55B11.3	5.98073883525165e-15	1
F32E10.8	7.20249965497642e-15	1
ttr-1	7.42489114404888e-15	1
cof-2	7.943432022601541e-15	1
Y62H9A.4	8.756665515152861e-15	1
W02D9.7	9.564148566320931e-15	1
Y116A8C.3	1.07291379360314e-14	1
C29E4.10	1.09341890470259e-14	1
ZC116.3	1.10624256068875e-14	1
cup-4	1.22650844601554e-14	1
K02E7.11	1.48257261826339e-14	1
F56C4.4	2.23004560434017e-14	1
clec-222	5.41636955374307e-14	1
ZK813.3	6.03717197632855e-14	1
T05B11.4	6.30700023658344e-14	1
nep-8	7.09486000121915e-14	1
F59A1.13	7.628260467422012e-14	1
Y51H7C.13	7.966358871978e-14	1
F16B12.1	1.36842065442411e-13	1
Y105E8A.27	2.35105872475844e-13	1
Y57G11C.499	3.2702405951917e-13	1
H29C22.1	4.6931005597353e-13	1
Y17G7B.19	8.28508983855645e-13	1
C54D10.4	2.08785810102325e-12	1
Y62H9A.3	3.02159778944855e-12	1
T05B4.14	3.47969261127572e-12	1
F01G12.18	1.4525046675942e-11	1
W02D9.6	2.7541235110425495e-11	1
F35C12.3	3.1520724029967496e-11	1
D1054.10	7.36984802977173e-11	1
T08D10.5	1.33160306644237e-10	1
Y43F8C.5	1.47890494044268e-10	1
clec-151	1.58250323505731e-10	1
Y62H9A.5	2.03182443324365e-10	1
ZK1010.5	3.63906916218357e-10	1
ZC373.2	5.19425422120632e-10	1
M02B1.4	1.5900532705323102e-09	1
Y43F8A.2	2.8155421764355e-09	1
Y105C5B.17	5.139647497621871e-09	1
clec-119	5.543957560249871e-09	1
ttr-9	8.83718251069793e-09	1
F55B11.2	9.38740614905982e-09	1
C04H5.7	2.66534283114692e-08	1
Y47H9B.2	3.53598850155431e-08	1
F07E5.8	5.76098602578893e-08	1
K08C9.2	1.08147889162906e-07	1
Y53F4B.36	1.44295085752551e-07	1
ssp-37	1.46358304287513e-07	1
clec-123	1.5473325555949e-07	1
F17E9.4	2.1327288955665e-07	1
Y37D8A.19	2.4483962738221e-07	1
D1086.17	3.78085199230882e-07	1
ttr-14	4.03205643004237e-07	1
F57C2.4	5.33341632715984e-07	1
irld-6	5.85190185622876e-07	1
sst-20	1.86865308250826e-06	1
F53H4.2	2.15067319581823e-06	1
Y57G11C.23	4.34624035481661e-06	1
cin-4	5.76119923957535e-06	1
F54F7.3	9.37671299508547e-06	1
C14F11.4	1.02385540446906e-05	1
T08B6.4	1.0386822703415e-05	1
ZK813.7	1.64843147574557e-05	1
Y105C5B.18	1.79897124660539e-05	1
ZK795.2	3.03194712918179e-05	1
C28C12.11	3.73083302098999e-05	1
D1086.6	3.89099200278513e-05	1
irld-3	5.39396542582065e-05	1
acp-3	8.76465189898807e-05	1
best-6	0.0003139697909615	1
D1086.11	0.0003939100764625	1
ZK813.1	0.0004384069781415	1
C01G12.16	0.0008942640386723	1
ule-5	0.0012514203451896	1
Y116A8C.33	0.0015605134646505	1
M162.7	0.0019238635528069	1
bath-3	0.0025661800829123	1
M28.9	0.0049627864945439	1
irld-14	0.0052977124500737	1
C55A6.4	0.0069882777526975	1
C04G6.6	0.0220918335225743	1
Y54G2A.15	0.0229662766849598	1
ttr-42	0.0270989943101399	1
C48B4.6	0.0647622450395414	1
nhr-23	0.0771210919212145	1
maph-1.2	0.0846069898073616	1
F31E8.5	0.0876414343632535	1
Y57A10A.4	0.090102746709894	1
T20F5.5	0.0963483079080452	1
abf-6	0.0968788341473428	1
D1081.12	0.103314045749185	1
C24H12.5	0.112002935349843	1
Y43F8C.9	0.113404048442467	1
F52C6.4	0.119499039477593	1
T16G12.3	0.119791314481145	1
enu-3.2	0.128298049859495	1
Y66D12A.19	0.130260366182679	1
asfl-1	0.132633335888695	1
set-21	0.134078066358187	1
epi-1	0.135004957206642	1
mex-1	0.139686088493068	1
fbxa-211	0.145326454856368	1
Y54G9A.5	0.160946339397674	1
set-5	0.162155810533955	1
F40H6.1	0.162438592934074	1
snf-5	0.167857818415714	1
gpr-1	0.169147241058848	1
K11H3.8	0.174070863415971	1
