gene_short_name	scaled_TPM	group_number
aman-1	1.25001230258384e-15	1
lgc-26	1.99319757167259e-15	1
clec-178	3.1497011572385e-15	1
Y49E10.29	3.5380522225346704e-15	1
lgc-25	5.053009594115231e-15	1
F32E10.8	5.164429977110761e-15	1
ZK856.5	5.194816720293101e-15	1
F55B11.3	5.4500334443534505e-15	1
cof-2	5.525926757786731e-15	1
Y73F4A.1	5.644374207356391e-15	1
Y95B8A.4	7.13473894717044e-15	1
ule-3	7.62122115449966e-15	1
Y116A8C.3	7.974785407532731e-15	1
Y62H9A.4	8.02762903930712e-15	1
snf-9	8.54452510767283e-15	1
ZK1037.6	1.00884619295906e-14	1
C31H1.5	1.5494118711718e-14	1
E02H4.4	1.60762076007625e-14	1
ttr-1	1.64802422663567e-14	1
F38A5.22	1.81177668169668e-14	1
bgnt-1.4	2.1626291756324e-14	1
nep-20	2.52094934240166e-14	1
his-16	2.55033705881058e-14	1
K07A1.6	3.1822654546844304e-14	1
Y51A2B.6	3.66043025193531e-14	1
C54D10.4	4.21343613935515e-14	1
nep-8	4.83421473024484e-14	1
T05B11.4	5.30941743363477e-14	1
F54F7.9	5.61734985911665e-14	1
Y105E8A.27	6.13827235141518e-14	1
ZK813.3	7.98011739113347e-14	1
F59A1.13	8.44027397718614e-14	1
Y116F11B.8	9.5368256398938e-14	1
F17E9.4	1.24115998588998e-13	1
H29C22.1	6.43024117802859e-13	1
B0207.5	9.34018056080545e-13	1
Y62H9A.3	9.64196394672992e-13	1
T05B4.14	1.30148324743002e-12	1
ule-5	8.1931041975524e-12	1
M70.1	1.28824202147468e-11	1
ZK1010.5	1.4405276614742398e-11	1
clec-151	2.11712336128274e-11	1
F35C12.3	2.50102195070842e-11	1
K02F6.3	4.9697577411076696e-11	1
D1054.10	5.0974372240345e-11	1
W02D9.7	6.254975171331469e-11	1
Y69A2AR.46	6.964446967704169e-11	1
Y62H9A.5	9.020221035345008e-11	1
ttr-13	1.4007215922998002e-10	1
Y105C5B.17	1.4084846485779002e-10	1
F52F12.9	2.10632789828492e-10	1
Y43F8C.5	2.39253975745023e-10	1
M02B1.4	4.00463425136268e-10	1
clec-119	5.82454685296178e-10	1
ZC373.2	6.48761547310108e-10	1
fbxa-94	9.74250340119521e-10	1
abf-1	3.95252168682972e-09	1
T19H5.7	5.661860615525631e-09	1
F55B11.2	8.096397618352411e-09	1
best-8	1.0456777690908e-08	1
