gene_short_name	scaled_TPM	group_number
aman-1	1.40978051995621e-16	1
lgc-28	4.88188254849067e-16	1
Y49E10.29	9.29544800598695e-16	1
clec-178	9.91405367832984e-16	1
unc-122	2.55852064490543e-15	1
lgc-26	2.64401126182752e-15	1
Y116A8C.3	3.1883690599108602e-15	1
Y73F4A.1	5.9531793000531104e-15	1
C31H1.5	7.384095339804831e-15	1
F55B11.3	8.561485255155721e-15	1
ttr-1	9.24251762034166e-15	1
galt-1	9.647805066644012e-15	1
clec-223	1.19005343213584e-14	1
Y62H9A.4	2.20672982461606e-14	1
oac-9	2.5532666872291102e-14	1
T13B5.9	2.7132298468141502e-14	1
F54F7.9	3.21555154144546e-14	1
nep-20	3.71294383429352e-14	1
Y95B8A.4	3.97526761085089e-14	1
irld-7	4.56840985229369e-14	1
nep-8	4.5745902181657103e-14	1
Y105E8A.27	4.95862738904168e-14	1
T04B8.1	5.5468760726387405e-14	1
F17E9.4	6.85468754354176e-14	1
F42G4.7	7.48167674581607e-14	1
best-25	7.49834718458741e-14	1
F38A5.22	7.66835738328182e-14	1
ZK813.3	8.00408506412186e-14	1
ZK262.9	8.80146925817219e-14	1
K07A1.6	1.08122887490433e-13	1
F46F5.11	1.16694683524237e-13	1
bgnt-1.6	4.33747406196861e-13	1
T05B4.14	4.87043940464541e-13	1
H29C22.1	9.63031250795131e-13	1
phat-4	1.49215876910193e-12	1
C54D10.4	1.54494154801295e-12	1
spe-12	1.78491096309916e-12	1
ule-3	2.8438338696918098e-12	1
C14A6.7	4.4707605577247495e-12	1
D1081.11	6.46958810702417e-12	1
F35C12.3	7.50183024605342e-12	1
clec-151	1.9296150077041e-11	1
ZK1010.5	2.86249825381464e-11	1
Y69A2AR.46	3.1769367095912297e-11	1
F56D6.23	4.15911499891652e-11	1
pitr-5	7.832222540764879e-11	1
T19H5.7	2.13611064151555e-10	1
D1054.10	2.55780008299832e-10	1
W02D9.7	3.82086549493526e-10	1
Y54E2A.9	4.36151657313045e-10	1
F52F12.9	4.46976779696731e-10	1
K02F6.3	4.65665069245014e-10	1
ZC373.2	5.3402280444038e-10	1
Y43F8C.5	8.42663958909573e-10	1
Y105C5B.17	9.35093118286631e-10	1
clec-119	1.74734237066562e-09	1
H20J04.1	2.97261294136515e-09	1
ttr-12	3.26966566097091e-09	1
Y62H9A.3	3.4060041076034e-09	1
ttr-13	7.703725291101e-09	1
F55B11.2	8.253472709579611e-09	1
ttr-9	2.07246507883002e-08	1
W04E12.5	2.47203096991319e-08	1
ZK1225.5	3.27220024389657e-08	1
pes-8	4.29591704549396e-08	1
nkb-2	5.86675903862162e-08	1
Y62H9A.5	7.72603324849468e-08	1
K08C9.2	1.04097488845766e-07	1
sst-20	1.22377892608382e-07	1
T08B6.4	5.04958562785096e-07	1
K07F5.6	5.49393662044475e-07	1
F58D5.8	5.66706505550739e-07	1
R03G8.6	5.81783054887932e-07	1
Y38H6C.15	7.37158931074902e-07	1
ttr-14	7.57596425521262e-07	1
Y57G11C.23	8.12757252242666e-07	1
Y37D8A.19	8.49800389887485e-07	1
AH6.3	9.90624233385775e-07	1
acp-3	1.11756365486697e-06	1
wht-8	1.1647781209436e-06	1
snf-9	2.48142830200136e-06	1
ZK813.7	6.17872274075837e-06	1
C04H5.7	6.59417694279506e-06	1
C14F11.4	8.28384473429742e-06	1
W02D9.6	1.26714121854595e-05	1
D1086.6	1.79556549613311e-05	1
C28C12.11	3.0363053003595e-05	1
clec-175	4.32580163919056e-05	1
Y105C5B.18	4.48989770351879e-05	1
try-10	5.28360248156116e-05	1
F23B12.1	6.42296652142417e-05	1
ZK795.2	6.90965162099647e-05	1
ZK262.2	7.86940667555302e-05	1
paf-1	0.0001064258109358	1
ZK813.1	0.0001177882424756	1
C55C3.8	0.0002362784473836	1
abf-1	0.0002463825392707	1
C01G12.16	0.0003976493766763	1
ule-5	0.0006988238051828	1
M162.7	0.0007272471071098	1
C04G6.6	0.0009168145368121	1
D2062.1	0.0012386380663273	1
ZK84.2	0.0014314670734389	1
chil-25	0.0016843506510014	1
Y38F2AL.12	0.0021390311896893	1
Y54G2A.15	0.0026422783501486	1
F54F7.3	0.0027420148583175	1
D1086.11	0.002861665554179	1
irld-3	0.0031111313018948	1
Y57G7A.6	0.0032721322208661	1
jmjd-1.1	0.0033851133389222	1
D1086.17	0.0052264778410652	1
irld-14	0.0060202517865659	1
M28.9	0.0069051144425304	1
D1081.3	0.0093289168686589	1
nrf-5	0.0182486002586585	1
F54F7.6	0.0277552329717917	1
ttr-42	0.028241095525037	1
bath-35	0.0331046424938087	1
dhhc-12	0.0346929344850955	1
R11A8.1	0.0347244508890348	1
F47G6.3	0.0355157029688285	1
K11H3.4	0.0363271596452054	1
Y47D3B.12	0.0459201524080713	1
K09H9.7	0.0483707063951358	1
C43F9.5	0.0503889055612701	1
epi-1	0.0508064791180615	1
C55C3.6	0.051513963102005	1
Y69A2AR.19	0.0524292393612946	1
F35H8.1	0.0533195395650461	1
Y43E12A.3	0.0616700089562273	1
F01G4.4	0.0631660481242673	1
fbxa-218	0.0671327858005657	1
wht-4	0.0725329570936616	1
Y116A8C.13	0.0746290953558292	1
snf-5	0.0747301500096174	1
F40H6.1	0.082733153363611	1
R07C3.13	0.0856819827482959	1
C36F7.5	0.0861991117779827	1
Y50E8A.2	0.0871077140242282	1
ssp-37	0.0873944874370419	1
pph-2	0.0875336156936065	1
C36H8.1	0.090990743479545	1
Y57A10A.3	0.0916715342671811	1
ZK892.3	0.0948114691982948	1
Y69A2AR.32	0.0977772334848212	1
Y43F8C.9	0.0995303332877494	1
W06B4.1	0.103721317925908	1
F57C2.4	0.104929061341381	1
C28C12.1	0.105940078646083	1
F54F2.7	0.108852932004441	1
hus-1	0.11134541252653	1
F36G9.13	0.11527652791009	1
fbxa-197	0.116393650032588	1
Y37H2A.18	0.116688384484434	1
T12F5.2	0.120440601814585	1
C16C8.13	0.121410294042612	1
C09B9.2	0.121672439004795	1
B0393.4	0.126818350800145	1
Y53H1C.3	0.129498353923446	1
F20B6.5	0.129559506873661	1
D1081.9	0.131563857267647	1
Y62E10A.3	0.131678400300168	1
T12G3.4	0.133742657709044	1
C16C4.18	0.134095872968329	1
clec-153	0.134202629417126	1
B0432.13	0.134385493922329	1
C16D2.1	0.138617886817324	1
Y39B6A.30	0.139712928119375	1
set-32	0.145606371982188	1
D1081.12	0.147672891391621	1
sago-2	0.149708652109218	1
swah-1	0.152103924361203	1
C39B5.6	0.1534178785265	1
F36A4.5	0.156216854058155	1
F53B2.5	0.159594312955339	1
K09C6.7	0.159793319552125	1
btb-4	0.160108767586346	1
ZK1225.4	0.161961806295811	1
spe-44	0.162679392533272	1
set-22	0.165403389515091	1
M02D8.2	0.167819758148872	1
Y51A2B.5	0.169165264727715	1
T20F5.5	0.175895213853247	1
F14D2.14	0.177761762775196	1
C47A4.3	0.177888908590457	1
F59A1.15	0.178545895344029	1
C05C12.1	0.180261437464782	1
basl-1	0.180847519942407	1
hop-1	0.186276265938429	1
T15H9.5	0.187029115709735	1
mex-1	0.192929400161221	1
C14B1.12	0.198884367224462	1
T25E12.16	0.19962338646342	1
T22C1.4	0.20261266824666	1
Y62H9A.12	0.204124399344338	1
M01F1.8	0.204578730313541	1
henn-1	0.205585324936192	1
ced-3	0.206685509316258	1
zim-2	0.209351836751196	1
W01A8.6	0.209774953438521	1
fbxa-106	0.21099648304733	1
ZK596.1	0.213664359336176	1
T08B6.9	0.217898834704876	1
F26F4.12	0.221161599482543	1
frk-1	0.221432819043009	1
C06A5.8	0.22346434471934	1
F32E10.5	0.223526130049426	1
R03D7.2	0.227872862424912	1
F31B9.3	0.232561992910273	1
F32B4.2	0.234755050942726	1
C14A6.13	0.234977018346686	1
clec-79	0.236960465417665	1
tsp-12	0.237571283467519	1
C01G5.4	0.23791282759351	1
F58A6.5	0.240264361283973	1
C45G9.2	0.240369536330577	1
clec-123	0.241482822704112	1
mrpl-46	0.241494703739512	1
F33G12.2	0.245625499535649	1
F36H2.6	0.252408592649582	1
Y23H5A.8	0.252822298590487	1
C24H12.5	0.256107599654231	1
K05C4.4	0.258211309077703	1
H34I24.1	0.260663176357721	1
