gene_short_name	scaled_TPM	group_number
unc-122	2.778812442446e-15	1
Y73F4A.1	2.8045864178422204e-15	1
clec-178	2.9591545412185506e-15	1
ZK813.3	3.30603591954739e-15	1
Y116A8C.3	3.4417875654017202e-15	1
oac-9	5.14383542502602e-15	1
ule-3	5.29975737923553e-15	1
mig-6	1.11365284498748e-14	1
F55B11.3	1.18599155486137e-14	1
Y62H9A.4	1.26056804578591e-14	1
K07A1.6	1.51459311336787e-14	1
lgc-28	1.92664842396458e-14	1
nep-8	1.93495208035342e-14	1
snf-9	2.25062942365434e-14	1
ttr-1	2.45961169975219e-14	1
W02D9.7	2.9498843550140804e-14	1
ZK856.5	3.50508902520085e-14	1
Y69H2.3	5.54535845893415e-14	1
ttr-14	5.92516500577516e-14	1
C31H1.5	6.63084881982697e-14	1
F17E9.4	9.958690991467521e-14	1
Y105E8A.27	2.88384914242264e-13	1
D2062.5	3.67345505703984e-13	1
H29C22.1	3.99285227341245e-13	1
F56C4.4	4.9809897876135e-13	1
phat-4	3.669249684102099e-12	1
ssp-37	4.64480342915568e-12	1
F35C12.3	4.77093485135335e-12	1
Y62H9A.3	4.99041696590509e-12	1
D1054.10	1.8018747554049e-11	1
Y62H9A.5	3.4676343244041395e-11	1
ZC373.2	8.8910814359254e-11	1
M02B1.4	3.20977120504504e-10	1
F26B1.1	4.01873442575529e-10	1
W02D9.6	7.19584394953447e-10	1
Y43F8C.5	9.34910162638011e-10	1
ttr-12	3.61717128478669e-09	1
F55B11.2	3.9897188281991605e-09	1
Y105C5B.17	4.2259427192627105e-09	1
abf-1	4.71021750122813e-09	1
F57C2.4	5.9204292983945e-09	1
T16A1.2	1.26030788854342e-08	1
Y105C5B.18	2.95451098680862e-08	1
ttr-9	5.80020497519158e-08	1
nep-13	1.65813232052292e-07	1
Y57G11B.3	2.19080974414846e-07	1
D1086.17	3.48222737964389e-07	1
Y37D8A.19	3.66809163021991e-07	1
ZK813.7	3.68937104184167e-07	1
F53H4.2	5.96065000480188e-07	1
fbxc-49	1.24820984805079e-06	1
sst-20	1.56279347543088e-06	1
C04H5.7	5.16961124351192e-06	1
F54F7.3	5.45890246300134e-06	1
C16C10.13	1.00033915615493e-05	1
wht-8	1.2430313853202e-05	1
C14F11.4	1.52024195253049e-05	1
nas-20	1.56041741652025e-05	1
C28C12.11	2.39194750235255e-05	1
T08B6.4	2.41081514229621e-05	1
R08A2.2	2.52445468497204e-05	1
ZK813.1	3.35390178568394e-05	1
K08C9.2	5.91348939443034e-05	1
ZK262.2	6.6134148326618e-05	1
acp-3	0.0004097087649035	1
R07C3.13	0.0004157322482444	1
ZK84.2	0.0004446175100725	1
Y43F8C.9	0.000710143263296	1
Y116A8C.33	0.0024129973504207	1
ule-5	0.0027707947179408	1
D1086.11	0.0032599896802281	1
irld-14	0.0044953558371501	1
abf-6	0.0056328530201497	1
ZK1290.7	0.0066153653402124	1
nrf-5	0.0134148355305346	1
ttr-42	0.0178940636046119	1
Y57G7A.6	0.0210321015512391	1
F13A7.7	0.0217225518853663	1
set-9	0.0382264317589325	1
Y65B4BL.4	0.0441609118690885	1
Y110A2AR.1	0.0458732057868547	1
D1022.9	0.0536319766154543	1
K11H3.8	0.0541957321040886	1
K12H6.2	0.0777513529579242	1
irld-1	0.0792560925311828	1
F35H8.1	0.0827376828858096	1
C04G6.6	0.0862359353626294	1
fbxa-211	0.0873715221002647	1
R05D3.3	0.0970580258929286	1
C48B4.6	0.115315312198197	1
ceh-92	0.115561775103363	1
D1081.12	0.127722575094776	1
clec-73	0.13001885058587	1
W03C9.2	0.131017998078657	1
hop-1	0.136367970932167	1
cdt-1	0.142835604712234	1
fbxa-210	0.149219199133495	1
C48B4.11	0.149312018578147	1
Y48G1A.2	0.149400489879334	1
T12G3.4	0.150112621596591	1
F13D12.5	0.155311912722582	1
F59A6.5	0.155478950309465	1
ani-1	0.157270162262742	1
C16C8.12	0.161390293281139	1
dhhc-12	0.163176979843972	1
C01G8.1	0.163597113214578	1
tat-2	0.174166326209369	1
Y116A8C.13	0.174493668369962	1
coh-3	0.176374342651378	1
Y17G9B.4	0.177881857486506	1
exo-3	0.179554465821166	1
fbxa-197	0.179687700962359	1
his-59	0.180953175093044	1
Y37E11AL.2	0.182608609450919	1
wago-4	0.18350169312684	1
