gene_short_name	scaled_TPM	group_number
aman-1	1.1432303991202601e-15	1
ule-3	1.9242256885469203e-15	1
mig-6	2.67236063116532e-15	1
cup-4	3.5989679915279e-15	1
C31H1.5	3.841352478143041e-15	1
Y73F4A.1	6.330291967023061e-15	1
Y105E8A.27	8.54248712025409e-15	1
Y116A8C.3	9.13900422438512e-15	1
F55B11.3	9.76290948602678e-15	1
D1086.6	1.05715221630687e-14	1
Y116F11B.8	1.20083929981957e-14	1
Y62H9A.4	1.44762321935007e-14	1
ttr-1	1.59188825157175e-14	1
W02D9.7	2.09157781519287e-14	1
H29C22.1	2.3972911827938702e-14	1
Y69H2.3	2.55032382624055e-14	1
F46F5.11	2.94545256376869e-14	1
F17E9.4	4.65788609762803e-14	1
H01G02.4	5.993898566497022e-14	1
K07A1.6	6.77533345276541e-14	1
nep-8	7.04194551665889e-14	1
cof-2	9.026537100856761e-14	1
ZK813.3	1.16025491393755e-13	1
F38A5.22	1.19584061686152e-13	1
bgnt-1.4	1.83740397205404e-13	1
nep-20	1.85283592549182e-13	1
F56C4.4	2.27983945613615e-13	1
ttr-14	5.13560355809012e-13	1
T05B4.14	8.115336207027119e-13	1
K12D12.4	3.87256966500605e-12	1
Y62H9A.3	4.18139956035044e-12	1
ule-5	5.1360137268774695e-12	1
D1054.10	1.5487948663051e-11	1
F35C12.3	2.74947847254581e-11	1
Y62H9A.5	6.78026897315694e-11	1
Y43F8C.5	4.84142657385496e-10	1
ZC373.2	5.92901008061031e-10	1
W02D9.6	1.09276886259965e-09	1
K08C9.2	1.72215636459308e-09	1
ttr-13	2.9716269255687e-09	1
ttr-12	3.24609274340242e-09	1
ZK813.1	3.25341957271977e-09	1
abf-1	3.28791306752999e-09	1
F55B11.2	3.45353245861215e-09	1
nep-13	2.83105744400751e-08	1
F58D5.8	3.962773927548e-08	1
nkb-2	8.07851321745192e-08	1
C04H5.7	9.05273548792686e-08	1
Y37D8A.19	1.07446802116681e-07	1
D1086.17	1.1632203601746e-07	1
Y57G11C.23	1.21721873705424e-07	1
ZK1053.2	1.35933120513962e-07	1
ZK813.7	2.98604675723063e-07	1
F57C2.4	5.73733827853684e-07	1
sst-20	6.14518171038047e-07	1
nas-20	7.87630289583543e-07	1
ttr-9	1.01277057338313e-06	1
T20B6.1	1.03940967362431e-06	1
F53H4.2	1.59570903411494e-06	1
ZK795.2	7.12659967220716e-06	1
C14F11.4	8.3207643299702e-06	1
Y105C5B.18	1.09795752893818e-05	1
F40D4.17	1.23395699744662e-05	1
best-6	2.89687716204128e-05	1
C28C12.11	4.700263832184e-05	1
Y43F8C.9	6.21404851036367e-05	1
irld-3	0.0001741422958803	1
Y106G6G.4	0.0003263159891809	1
C55C3.8	0.0003913778696714	1
ZK84.2	0.0003920141023445	1
ttr-28	0.0022230772307888	1
F54F7.3	0.0027234595585395	1
D1086.11	0.0028257467416963	1
tsp-18	0.003824242037549	1
ZK1225.4	0.0052374026808779	1
mpst-4	0.0084516369060181	1
Y54G2A.15	0.0143934326392464	1
irld-18	0.0218860374590499	1
Y39B6A.30	0.0248062612975395	1
T02E1.7	0.0252842267073693	1
Y66D12A.19	0.025886181411756	1
nrf-5	0.0263368249584529	1
lam-1	0.0311680059618538	1
wago-4	0.0333974086645539	1
C30F12.4	0.0357131577363525	1
ZK616.5	0.0421480087831206	1
C06C6.7	0.0506304165025534	1
Y57A10A.1	0.0537348583119488	1
Y113G7C.1	0.0585931438416527	1
abf-6	0.0591900890258669	1
W03D8.9	0.0645115155594088	1
spe-45	0.0666803907257781	1
C01G10.1	0.0730269431099117	1
clec-79	0.077626554039606	1
F40H6.1	0.0875229056541906	1
Y49E10.10	0.0897404132821725	1
H34I24.1	0.0915397297604778	1
F21D9.2	0.0951480606338155	1
R155.3	0.0951552349779451	1
cbs-2	0.100595801056167	1
F13D12.9	0.101547145833441	1
ZC376.8	0.104594926799566	1
Y69A2AR.19	0.109352522799804	1
oac-19	0.111062237568973	1
maph-1.2	0.112566573288423	1
F58D5.6	0.12019072471231	1
Y67A10A.3	0.122978898499456	1
spe-4	0.123883033832296	1
K11H3.4	0.123993152748125	1
F13D12.5	0.127914516821465	1
exo-1	0.128955643007375	1
sun-1	0.148353156381512	1
Y79H2A.2	0.153504916877942	1
D2062.13	0.1606021649942	1
moa-1	0.163119645345401	1
F54H5.2	0.17486417963526	1
clec-153	0.17830122887757	1
Y71F9AL.4	0.179275093427695	1
C06C6.8	0.184343219706872	1
R148.4	0.19098713954981	1
F35H8.1	0.193501706741973	1
ZK783.6	0.204947800770716	1
F55G1.5	0.205793489179154	1
prg-1	0.206850121236687	1
C28A5.2	0.210792199348398	1
epi-1	0.213283014732082	1
R01H2.2	0.215310460840619	1
snpc-3.2	0.221049721319839	1
try-7	0.225548172141825	1
C46A5.5	0.229127098057582	1
chk-2	0.238331694031096	1
Y116F11B.7	0.246865572350583	1
drr-2	0.248765675295352	1
rbm-28	0.255568624299625	1
sep-1	0.258926940330832	1
nep-6	0.259324107906845	1
F15H9.1	0.266555559096546	1
hdl-1	0.266913080212074	1
JC8.7	0.276349112324698	1
him-19	0.277677824320934	1
F26H11.4	0.279339193448431	1
sas-7	0.283070565839856	1
F56G4.7	0.284881373697683	1
T21E12.5	0.285194509525733	1
Y54E10A.12	0.287897008163466	1
Y39B6A.33	0.298035672541479	1
C27D8.2	0.300147090925035	1
C16C8.20	0.302470070901905	1
F54F12.1	0.306641270569216	1
T02B11.9	0.308357011586007	1
snf-5	0.317478695074343	1
cep-1	0.318733708959376	1
B0524.2	0.321669070933818	1
C47A4.3	0.323831781700316	1
oac-52	0.325078411442672	1
C48B4.9	0.327923478025002	1
K06A1.2	0.333421142318461	1
D1081.12	0.334875468205087	1
memi-1	0.337869778830797	1
M117.6	0.339531193072691	1
CD4.8	0.340073903907031	1
Y57G11A.2	0.340510169743381	1
F56D6.13	0.341477691913402	1
R05F9.11	0.345322594301837	1
bath-5	0.3486897140641	1
tbx-34	0.348749859318682	1
smgl-2	0.355318546793556	1
irld-1	0.359137712109393	1
F53E10.6	0.376096884918621	1
Y47G6A.3	0.390160393196175	1
T20H9.6	0.396962715470104	1
D2045.5	0.411328520006527	1
W01B6.2	0.414801121940851	1
F31E8.5	0.430174848389231	1
F58G11.3	0.434131067664705	1
B0432.13	0.434467825256419	1
R11E3.1	0.43636226280007	1
Y67D8B.5	0.441059978610981	1
pri-1	0.443230772547948	1
C17H12.3	0.451384315757474	1
sys-1	0.451493156506454	1
C30G12.6	0.456335859971381	1
abt-5	0.459735257387984	1
chaf-1	0.470469070212007	1
W05G11.2	0.475193945006113	1
scc-1	0.48057417082069	1
cpb-1	0.487990312110078	1
C14A4.13	0.488589572918542	1
Y49E10.4	0.490303629475506	1
F49E11.7	0.494829849984761	1
ZC155.4	0.495032637447229	1
rpc-25	0.496379768965527	1
tag-65	0.497071578968991	1
cku-80	0.504375102837179	1
F58G1.2	0.505592770794547	1
wdr-4	0.511807553588513	1
F53B2.5	0.515320328159892	1
W03G11.2	0.524166002330924	1
T27A3.5	0.524287201238727	1
F37A4.4	0.533112818098679	1
Y116A8C.23	0.536415438357438	1
acp-2	0.542244287931551	1
Y51A2B.5	0.544238826378688	1
ZC317.6	0.558091507102687	1
R11A8.1	0.562968628440107	1
Y43F8A.2	0.566266602267114	1
K09C6.2	0.57718214273699	1
ZK354.8	0.581894056570649	1
K12H6.2	0.592063981624744	1
C08F8.2	0.597258646805706	1
H12D21.5	0.5981156210713	1
T28F4.3	0.603065229279926	1
Y57A10A.27	0.604868127573666	1
C45G3.3	0.611012386808173	1
F14D2.8	0.61597877199083	1
BE0003N10.1	0.617929472882081	1
npp-14	0.618039624946909	1
gip-2	0.634766092999917	1
D2062.4	0.643010980394374	1
spe-8	0.66931804804174	1
Y57G11C.48	0.669488915425238	1
mlh-1	0.695966281200243	1
syp-3	0.696470807784072	1
W02D7.4	0.696877401504791	1
ZK930.6	0.713623749812546	1
mrps-30	0.717180908845376	1
T10E9.14	0.721331194816154	1
ZK550.4	0.725144902934314	1
H25P06.5	0.732208716498544	1
ppfr-4	0.733690697418005	1
cdk-11.1	0.735645260333146	1
clec-73	0.74271399215315	1
ZK666.8	0.743507227362379	1
taf-6.1	0.745491172788771	1
C50D2.10	0.750526652695035	1
C15A11.2	0.752083410226382	1
C06A5.8	0.752626910149338	1
D1007.8	0.760455306621687	1
tag-63	0.772091243951633	1
hars-1	0.777199844637433	1
R02F2.4	0.777819380470169	1
C48B4.7	0.778869749721823	1
eif-2Bbeta	0.781802092884304	1
alkb-8	0.782818411071218	1
T05H4.10	0.787933573543319	1
xpb-1	0.795044672740599	1
syf-1	0.809788183529857	1
Y18D10A.9	0.813590585733016	1
cit-1.1	0.814445185132063	1
C27F2.7	0.829159430406563	1
Y65A5A.2	0.831195391904503	1
Y55F3AR.1	0.83487504438681	1
ZK892.5	0.841903466333134	1
inx-14	0.84663684026094	1
D1081.5	0.846733494387205	1
C06A5.6	0.862115360430113	1
Y53F4B.9	0.863364522623816	1
Y71G12A.4	0.865114598611844	1
C14C11.2	0.868431035686673	1
set-29	0.879474649637214	1
K11G9.5	0.880777255293124	1
F46F11.7	0.884339233969076	1
npp-24	0.913141157053975	1
B0238.12	0.920926328830233	1
W07E6.2	0.92140165735728	1
AH6.3	0.931899547884716	1
C06E1.9	0.932338106609718	1
ska-1	0.932370441871077	1
C35E7.8	0.944138815253206	1
Y47D9A.5	0.947124719419232	1
T02E1.6	0.948164613428447	1
F56B3.6	0.952265215390475	1
C08B6.8	0.957884298970307	1
C44B9.3	0.965334089332402	1
Y57G11B.5	0.967111439461177	1
Y39B6A.42	0.971028543692669	1
tag-189	0.977934355162443	1
F56C11.3	0.98345233806146	1
sap-49	0.994847740412789	1
cpg-4	1.0133660571787	1
Y6D1A.1	1.01963353247471	1
wdr-5.3	1.03411987468436	1
C14B1.2	1.035695802763	1
Y69A2AR.32	1.06107719292758	1
F21F8.5	1.06375923927119	1
Y95D11A.1	1.07294150543533	1
C50E3.5	1.07301655916502	1
mdt-30	1.08972090508256	1
ZC250.5	1.10092751123899	1
mrpl-53	1.10305991357672	1
W09D6.4	1.1057132890334	1
T19A5.1	1.10859440448541	1
F55D12.6	1.11848713106273	1
fbxa-125	1.11878435374092	1
ani-1	1.1195561451657	1
tyms-1	1.12013916517923	1
lam-2	1.12287505127207	1
fbxc-44	1.13472399234707	1
C26D10.3	1.13680303499974	1
Y110A7A.9	1.14921094871601	1
F19F10.11	1.15458385387664	1
W01B6.6	1.16378272184731	1
Y66D12A.16	1.17148030765746	1
C53B7.3	1.17263534541533	1
bir-2	1.17395555529722	1
Y75B7AL.2	1.17474062780593	1
R09H10.2	1.17716401076078	1
tsp-19	1.17934647374786	1
Y95B8A.8	1.17992044169468	1
F22B5.6	1.18661458903178	1
tcer-1	1.18977215108765	1
kca-1	1.18991063692549	1
ntp-1	1.18998427396577	1
F22D3.4	1.19045054472656	1
elo-8	1.19711561953339	1
T22C1.9	1.19962336032858	1
Y66D12A.3	1.20360158363752	1
Y39E4B.10	1.22482799455351	1
ZK1127.12	1.22584814201236	1
elli-1	1.2400346287341	1
T21B10.4	1.2441141431535	1
cif-1	1.24411464153812	1
qns-1	1.24715278579838	1
M01G5.1	1.24876290811152	1
Y47D3A.21	1.25996874559002	1
Y45G5AM.2	1.26890682065011	1
nape-2	1.27510878945129	1
mpz-4	1.27539129978546	1
wht-6	1.27753105666797	1
cyp-31A5	1.29247196973867	1
K11D12.13	1.29464189223072	1
cutc-1	1.30716523016395	1
set-24	1.31065083826792	1
kbp-3	1.31434972696709	1
T25D3.4	1.31472905764012	1
unc-45	1.31888599426869	1
Y53F4B.21	1.31949695445219	1
Y47D9A.3	1.31996118617233	1
ins-37	1.32670414003701	1
sid-1	1.32737041957376	1
C33C12.4	1.32915971578393	1
Y110A2AR.1	1.33159917550318	1
K08D9.9	1.33234039856135	1
Y59H11AM.4	1.33508903387577	1
phat-2	1.33767085589892	1
fbxa-140	1.33839619452335	1
C17F3.3	1.34422583414981	1
Y17G9B.4	1.36036583359887	1
F02H6.2	1.37137783115187	1
pitr-6	1.37539108153619	1
R07C3.13	1.38460945997996	1
Y73B6BL.23	1.38467373125317	1
F13B12.6	1.39287559137331	1
F56A11.6	1.39509941958043	1
C10A4.9	1.40128849352572	1
Y54F10AR.2	1.40598987696853	1
syx-17	1.41248402762695	1
F58H1.6	1.41647993227764	1
xpa-1	1.41778680060997	1
rpoa-12	1.41860937251137	1
plk-2	1.42318592876137	1
pri-2	1.42632289920677	1
T10E9.2	1.44918208924169	1
R05D7.5	1.45137336751287	1
let-611	1.45945846550506	1
inft-2	1.46358973166235	1
ZK1307.9	1.46935104419743	1
F59C6.12	1.48100138772977	1
F16C3.4	1.49283167099412	1
W03F11.4	1.49459794747096	1
F42A9.7	1.49498398985265	1
