gene_short_name	scaled_TPM	group_number
lgc-26	1.0836504065356802e-15	1
mig-6	3.1622030976804904e-15	1
ule-3	3.2614798337308706e-15	1
lgc-28	3.6352485370087904e-15	1
Y116A8C.3	3.77525922217303e-15	1
T19C3.5	4.200016453965271e-15	1
F55B11.3	4.33502253012849e-15	1
clec-178	5.81980632517463e-15	1
ZK856.5	6.393724486266611e-15	1
Y73F4A.1	1.31664685137935e-14	1
Y62H9A.4	1.40620230749525e-14	1
ttr-1	1.5171094174979e-14	1
F32E10.8	1.7961184894986102e-14	1
F38A5.22	2.47810351490184e-14	1
K07A1.6	2.69070759932251e-14	1
oac-9	2.78518398045121e-14	1
W02D9.7	4.4091017096949205e-14	1
ZK813.3	7.8669670002738e-14	1
F17E9.4	1.24553404842862e-13	1
W03D8.1	1.29807344143409e-13	1
Y105E8A.27	2.39833754986528e-13	1
C31H1.5	5.90697090200839e-13	1
F40C5.1	6.06763482876219e-13	1
ZK795.2	6.91133752663157e-13	1
nep-10	6.93074077638569e-13	1
ssp-37	7.73172110226882e-13	1
C44C10.7	9.35453719407702e-13	1
H29C22.1	1.02898681624651e-12	1
C54D10.4	1.14659315440073e-12	1
Y62H9A.3	1.79507802776179e-12	1
dhhc-12	5.34766532042164e-12	1
ule-5	6.27882803407501e-12	1
F35C12.3	9.67569515167579e-12	1
spe-12	1.71670633440636e-11	1
T05B4.14	1.7435918963749097e-11	1
K12D12.4	3.4334113870994394e-11	1
T09F5.10	3.7277919614371695e-11	1
D1054.10	4.1616926515502696e-11	1
clec-151	1.41970733127443e-10	1
M02B1.4	1.60238994276838e-10	1
ZC373.2	3.16019071817758e-10	1
C18H7.7	1.03220216283438e-09	1
R13H9.5	1.0957642863251902e-09	1
fbxa-94	1.37079171964213e-09	1
ttr-12	1.95832923476093e-09	1
F56F4.3	4.10137134946096e-09	1
R01H2.2	5.2624495722261714e-09	1
H20J04.1	6.70903782866684e-09	1
ZK892.3	1.00170104409139e-08	1
nkb-2	2.35213160204849e-08	1
R07B1.8	2.93859601276614e-08	1
Y57G11B.3	8.39641895410834e-08	1
ZK813.7	1.54722154684016e-07	1
Y62H9A.5	1.83356362466305e-07	1
D1086.17	2.40804117610209e-07	1
ttr-14	3.2285437732704e-07	1
F40D4.17	3.54310290777464e-07	1
Y69H2.3	4.35024100543043e-07	1
F57C2.4	4.81318646630612e-07	1
Y37D8A.19	5.60479843202341e-07	1
F58D2.2	7.2636335657082e-07	1
ZK262.2	1.1579437561133e-06	1
T08B6.4	2.14744259549271e-06	1
Y57G11C.23	2.67058336021e-06	1
Y43F8C.5	2.77912115141272e-06	1
ZK84.2	3.05087587668253e-06	1
C04H5.7	4.86152137465647e-06	1
C14F11.4	9.44560512247149e-06	1
ZC190.8	1.1542050046513e-05	1
Y105C5B.18	1.78146706186601e-05	1
K08C9.2	2.47564591583198e-05	1
D1086.6	2.758792662479e-05	1
C28C12.11	2.95720120807506e-05	1
T04A6.3	3.90262769768347e-05	1
ZK813.1	4.50163817846083e-05	1
Y47D9A.3	4.75661676021937e-05	1
W02D9.6	5.44951213854728e-05	1
C55C3.8	0.0001541630201501	1
clec-175	0.0001769494769952	1
try-10	0.0002143855778519	1
F55B11.2	0.0005647181035463	1
F54F7.3	0.0009370342343122	1
D1086.11	0.0024702167427483	1
ZK688.10	0.0030537986095395	1
lam-1	0.0045482725133381	1
F21D9.2	0.0058280345653494	1
M28.9	0.0159768372197227	1
Y54G2A.15	0.020370707440322	1
ttr-42	0.0297103543510078	1
