gene_short_name	scaled_TPM	group_number
Y116A8C.3	1.1883400297287601e-15	1
ule-3	3.08438006066157e-15	1
cup-4	3.0925639080393903e-15	1
Y73F4A.1	3.1310020722786403e-15	1
F55B11.3	3.55538956632842e-15	1
Y62H9A.4	7.578890660624961e-15	1
ttr-1	7.91329279538959e-15	1
lgc-26	8.86361168244079e-15	1
unc-122	1.13485095658681e-14	1
W02D9.7	1.28884335316861e-14	1
D1086.6	1.34677967317116e-14	1
Y62H9A.5	1.50739363286858e-14	1
ZK813.3	1.95408912927882e-14	1
clec-178	2.92538929762928e-14	1
Y69H2.3	2.98491557371938e-14	1
Y95B8A.4	3.1626611556818604e-14	1
nep-8	3.4199510652147803e-14	1
C31H1.5	4.05848382550555e-14	1
math-48	4.51689560883538e-14	1
ttr-14	6.06842298658309e-14	1
dot-1.2	6.54546487346566e-14	1
oac-9	7.71816372851129e-14	1
F17E9.4	7.9579988740842e-14	1
col-56	8.490417824296642e-14	1
Y105E8A.27	1.12104143747529e-13	1
T28A11.17	1.39423472481794e-13	1
F38A5.22	1.4471791717858e-13	1
nep-20	1.51318705704524e-13	1
best-25	1.89656793186929e-13	1
C04B4.1	3.54199784853259e-13	1
C50E3.12	5.8888989587131e-13	1
T03F6.6	6.70710539764067e-13	1
phat-4	7.49292368853628e-13	1
ssp-37	1.14233561148278e-12	1
T05B4.14	2.10751699323477e-12	1
ule-5	2.98596358958592e-12	1
irld-4	3.81402883663452e-12	1
Y62H9A.3	3.95589223975121e-12	1
Y74C9A.1	4.59003448852267e-12	1
T02E1.7	9.64714536558683e-12	1
F35C12.3	1.14060994515723e-11	1
nep-23	7.707236888644479e-11	1
clec-151	1.08959794342773e-10	1
M02B1.4	1.50581383582642e-10	1
D1054.10	3.0192198369669e-10	1
ZC373.2	4.15179615546393e-10	1
Y69A2AR.46	4.3732051175994e-10	1
W02D9.6	4.41867822060033e-10	1
ZK1010.5	2.6380079495562902e-09	1
F55B11.2	5.6700484674039e-09	1
ttr-12	6.690313904462631e-09	1
ZK813.1	8.44026192439291e-09	1
sst-20	2.82925147803358e-08	1
ZK1225.4	4.28884907758836e-08	1
ZK813.7	2.0545246235462e-07	1
ttr-9	3.52330634699173e-07	1
T08D2.4	4.34044747188745e-07	1
C33F10.12	4.85423523587311e-07	1
Y37D8A.19	5.82522926380418e-07	1
M28.9	8.19953025244344e-07	1
nas-20	1.06016736726248e-06	1
F57C2.4	1.43211793014029e-06	1
cin-4	1.69279375526756e-06	1
Y57G11C.23	2.1048506957274e-06	1
M195.4	3.93710237587783e-06	1
C04H5.7	4.72446822951093e-06	1
C14F11.4	5.23273766537333e-06	1
snf-9	6.3355592785572e-06	1
T08B6.4	6.92161294337689e-06	1
K07A1.6	7.32683702631832e-06	1
K08C9.2	1.28956849237695e-05	1
catp-4	1.44800603094482e-05	1
Y105C5B.18	1.82121548243809e-05	1
exc-6	2.9781053801081e-05	1
C28C12.11	3.80126584680618e-05	1
C45B11.8	0.0001966978675936	1
ZK84.2	0.0003683930286611	1
clec-175	0.0003750308112588	1
acp-3	0.0004207257295529	1
Y37E3.19	0.000499856491562	1
Y47D9A.4	0.0005752551925869	1
acs-10	0.0006848992955141	1
C04G6.6	0.0011806900465885	1
Y116A8C.33	0.0015706203512737	1
T25E12.16	0.0016092679234352	1
D1086.11	0.0024612885982893	1
F54F7.3	0.0025123809552227	1
irld-18	0.0025783572413951	1
ttr-28	0.0035722304643231	1
D1086.17	0.0035920033388229	1
C32D5.4	0.0038537065563759	1
Y54G2A.15	0.0039384939637645	1
F21D9.2	0.0059578525393046	1
Y54F10BM.12	0.0065309898404986	1
ttr-42	0.0119316098827024	1
Y43F8C.9	0.0201584250817567	1
K07A3.3	0.0213781543795721	1
B0207.7	0.0237334595426701	1
C15A11.2	0.0263164590268579	1
fbxa-211	0.047201321648594	1
spe-41	0.047701211912132	1
D2062.4	0.0500340061169913	1
T16G12.3	0.0503776502726916	1
C56C10.6	0.0542028955536824	1
Y49E10.10	0.0558541421559322	1
F40H6.1	0.066932843815615	1
C18H7.4	0.0732816301273016	1
Y69A2AR.28	0.0748556927099613	1
cdt-1	0.0771834729464564	1
C46A5.5	0.082035933698043	1
C29A12.1	0.084302607385514	1
Y73B3A.13	0.0865949444569798	1
set-22	0.0944788114476332	1
W04A8.1	0.103880862081282	1
ogr-2	0.110884380078871	1
Y54G2A.13	0.111816237905149	1
C35E7.8	0.115628936769619	1
pssy-2	0.118141403577718	1
T16A9.5	0.11856941274695	1
C41G7.3	0.119503836843368	1
C48B4.6	0.123442966948023	1
fbxa-108	0.12359436158624	1
rec-1	0.128153137570808	1
F55G1.5	0.130223487148793	1
chk-1	0.132621274907611	1
Y65B4BL.3	0.138919557831818	1
Y75B7B.2	0.140335365339686	1
tdpt-1	0.145004979970513	1
F35H8.1	0.145975240945009	1
bath-24	0.149605578749573	1
Y49E10.4	0.150098732302038	1
fog-1	0.152123608865576	1
C36H8.1	0.155100075545344	1
M01G5.1	0.155140364896311	1
F55A12.10	0.155629376354355	1
gpr-1	0.160760541512642	1
C06E1.11	0.1625660068127	1
R13A5.10	0.165039749774451	1
C52B11.4	0.165390368632783	1
mut-14	0.165781153314604	1
Y57G7A.5	0.167602589405218	1
C04F5.8	0.168322596830991	1
coh-3	0.16850099429503	1
R05H10.3	0.172316654208153	1
brc-1	0.173829518167363	1
swah-1	0.1741577251978	1
rad-54	0.17452122083227	1
C17H12.12	0.174775959322778	1
F32D1.7	0.175975680720556	1
Y39B6A.42	0.176284207514284	1
F57A10.4	0.177474993510019	1
T16H12.1	0.179786725214852	1
set-9	0.179973503521854	1
F35G12.5	0.182659413754714	1
F26D2.10	0.184368992896159	1
mct-5	0.185788747430853	1
btb-20	0.18729703553818	1
ced-3	0.189224879761742	1
nspa-4	0.189848844298602	1
his-67	0.190960155531187	1
tag-63	0.192628738684339	1
ctps-1	0.193912841880251	1
Y57A10A.7	0.195808210551567	1
Y82E9BR.18	0.200696858729856	1
mbtr-1	0.201017658278999	1
K02B12.5	0.20105559662875	1
inft-2	0.205569974003852	1
F07F6.7	0.206013434304433	1
D1081.12	0.206770195375623	1
T01C3.9	0.211769101838379	1
epi-1	0.213081009459536	1
hat-1	0.217740545850983	1
Y39B6A.43	0.21968584011043	1
F59G1.8	0.220191232682519	1
ect-2	0.221913079501098	1
Y43E12A.3	0.224288980133978	1
D2096.12	0.22548299232263	1
him-18	0.227410853643416	1
T03D3.5	0.23454150775016	1
ani-1	0.235311546970261	1
C13B4.1	0.238101271133053	1
fbxa-106	0.239922332374117	1
Y67A10A.3	0.241175432039393	1
clk-2	0.242742219990494	1
tyms-1	0.243933204011487	1
gei-14	0.24554592547773	1
K02E7.12	0.245974171979459	1
bath-15	0.246165483116548	1
C53A5.17	0.24693598497444	1
Y40H4A.2	0.249799381311074	1
ptr-2	0.249942671747632	1
F10E9.11	0.250415330339725	1
tim-1	0.250873692730913	1
Y119D3B.14	0.253837654287822	1
C27B7.6	0.255126393462129	1
dod-18	0.255937496477209	1
peel-1	0.256589236117625	1
F27C1.3	0.258001188105518	1
sacy-1	0.258228641856382	1
psr-1	0.260001915193845	1
cyh-1	0.261417210722761	1
inx-21	0.262323879113617	1
F32H2.10	0.265863019407053	1
Y47G6A.26	0.268696353336176	1
C14C10.2	0.270436379143078	1
M04B2.4	0.271659864169895	1
F23B12.1	0.273160294461694	1
H31G24.3	0.27412139399486	1
bath-30	0.274944189117614	1
K07F5.14	0.277763146486009	1
his-57	0.279141421222443	1
F31E8.5	0.281677010883909	1
lin-56	0.282903208803	1
elpc-4	0.286809621378999	1
F13D12.5	0.288312672465228	1
Y37D8A.5	0.289828528201194	1
enu-3.2	0.29024581671084	1
F38H4.5	0.290881553842709	1
Y73F8A.26	0.291329582317482	1
W02D9.4	0.291585356710767	1
npp-22	0.291594266320938	1
Y47G6A.3	0.291600077680117	1
D1046.2	0.29898296920761	1
Y71H2B.11	0.299438055843781	1
mes-4	0.300245917541153	1
lem-2	0.302743645521474	1
wago-4	0.303821349214347	1
M110.7	0.304094950401105	1
klp-18	0.305519734926008	1
gpd-4	0.308116567158679	1
R02D3.7	0.315212001342345	1
R07E5.11	0.320607236062194	1
ugt-64	0.321624657355005	1
C06A5.8	0.323065162865864	1
him-10	0.326235445562294	1
M01G5.3	0.328722539470409	1
F32A11.3	0.334308036941792	1
C27H6.9	0.339345806884644	1
C04F5.9	0.341898745638377	1
alg-5	0.342267273884166	1
F13H8.8	0.343302338204144	1
C16A11.5	0.34724416140424	1
F26F4.6	0.349520162727469	1
R02F2.4	0.356158055718253	1
enu-3.6	0.361370291448283	1
Y49F6B.9	0.364717025394659	1
ccch-3	0.365223042576763	1
bre-5	0.372977337434757	1
mrps-18B	0.373002631631113	1
tag-179	0.375548111560156	1
lin-44	0.376057947831738	1
M04F3.3	0.376812146299202	1
wht-6	0.37715950454763	1
Y39B6A.33	0.378579853807945	1
disl-2	0.379572192104938	1
dpl-1	0.380103458951	1
F59C12.4	0.386084764137168	1
cyp-31A3	0.386779377839343	1
prom-1	0.387809698965724	1
F49D11.10	0.39373138528088	1
dyf-17	0.393783621638282	1
rsr-2	0.397564542318973	1
fcd-2	0.399175224103877	1
par-6	0.400383154768984	1
Y54G2A.12	0.405314056691672	1
Y71F9AL.4	0.406830339826073	1
T08B6.9	0.408511098376359	1
puf-6	0.411541999280746	1
dsb-1	0.411922894973057	1
F33D11.1	0.414966414900265	1
Y1A5A.1	0.41568477644735	1
T10E9.14	0.41692487251043	1
C27D9.1	0.419242434123521	1
W03C9.2	0.422169294593366	1
Y39B6A.30	0.426121209111807	1
zipt-1	0.426648340541966	1
Y48G8AL.7	0.43041782873984	1
F56C9.11	0.431650098763543	1
T04C4.1	0.431864167786071	1
mps-3	0.432166914555821	1
H05C05.1	0.434695200768648	1
scbp-2	0.435394497190991	1
K03H1.7	0.435790499106528	1
snrp-40.2	0.439811817269388	1
Y59A8B.12	0.44528836582898	1
C56A3.8	0.446368261765881	1
rsa-2	0.449574732738422	1
F23F1.10	0.450043774769844	1
clp-2	0.450289447055662	1
smi-1	0.451398541391548	1
F54H5.3	0.454976068137715	1
ZK265.3	0.458235502880181	1
C05C12.1	0.460216518630044	1
Y37E11B.5	0.460894596158215	1
swd-2.1	0.465532244637291	1
henn-1	0.47135674291158	1
dic-1	0.471561514800272	1
Y66D12A.6	0.472165787816244	1
F27D4.8	0.474905273075389	1
fbxa-95	0.479979303530001	1
usp-3	0.482060701961859	1
pph-5	0.482578301256095	1
F42A6.6	0.484359768369843	1
Y22D7AL.9	0.484458227444419	1
C39B5.6	0.484838012458815	1
T09F3.4	0.48552126923017	1
sas-1	0.487686892168893	1
Y17G7B.12	0.488969227666575	1
C43F9.5	0.490400289861971	1
rpc-11	0.490732767826855	1
T10B11.7	0.490886499011935	1
B0207.1	0.493198235804779	1
D2096.10	0.495343788497045	1
gna-2	0.497068667783779	1
wee-1.3	0.49858197614725	1
T07F8.4	0.499547336167089	1
F48A11.4	0.500184830568415	1
T28D9.4	0.509680843918196	1
T01C3.2	0.512208063647958	1
C34C12.4	0.5130664046724	1
nsun-5	0.514501171407402	1
C50D2.3	0.515465286374527	1
Y61A9LA.11	0.516113062644873	1
F36H12.2	0.519107285124898	1
W02A11.1	0.519465464271982	1
Y65B4A.1	0.524247596812415	1
prmt-5	0.53009121373122	1
Y66A7A.9	0.530350108580672	1
C15H11.11	0.531584505853894	1
F23H12.3	0.538735733338078	1
Y66D12A.16	0.543031032147613	1
mrt-1	0.546481293140473	1
abf-6	0.547988945022108	1
abt-1	0.54877209775212	1
F55A11.11	0.548827249264994	1
C18E3.9	0.554204703830819	1
prde-1	0.555188332565814	1
tag-124	0.555295177116773	1
Y111B2A.1	0.556005253137391	1
F17C11.7	0.557019888666699	1
nstp-2	0.558489329480794	1
pole-2	0.560521177303996	1
K02F6.7	0.560575235051177	1
rsd-2	0.561178918877698	1
C07H6.9	0.563833148781277	1
syp-4	0.572119545737433	1
ZK688.12	0.574093926981564	1
C14A6.7	0.576191668912421	1
sas-4	0.576878561145717	1
F14F7.4	0.577853130281919	1
bath-35	0.579034300139656	1
cnep-1	0.580731923161053	1
spd-3	0.584961606560585	1
H04D03.2	0.585088422339928	1
Y48G1BM.7	0.587973580967128	1
dog-1	0.589334189088776	1
R13A5.11	0.590023589809113	1
C16C8.11	0.59173567412885	1
spe-8	0.593484560016742	1
T09F3.5	0.595549425146095	1
mop-25.3	0.597363022232275	1
M18.6	0.614069334151434	1
C53B7.2	0.621175635452851	1
neg-1	0.621810040392234	1
Y53F4B.3	0.626136304820835	1
M01A10.1	0.62653300163131	1
taf-7.2	0.627632668372605	1
enu-3.4	0.629233169319877	1
F07D3.3	0.638146013652142	1
T28A8.5	0.647513370204897	1
R11H6.5	0.650236612461894	1
zipt-7.1	0.650639248952744	1
C50F2.2	0.654510670711981	1
CD4.8	0.656447576693481	1
rpb-5	0.657869157733612	1
ceh-92	0.659564203694904	1
dom-3	0.66170304631728	1
T03F1.12	0.663446457538406	1
M7.7	0.667892519942372	1
T15B7.14	0.668451390768574	1
C06G4.1	0.669770669630713	1
Y106G6H.16	0.672527336248242	1
K04F10.3	0.674751818356192	1
F26A3.1	0.676350381759851	1
klp-16	0.679151210481362	1
cdt-2	0.680351525358755	1
rmh-1	0.682626387529739	1
T04F3.3	0.68674542517954	1
hcp-4	0.688851900896927	1
C45G9.4	0.690648217174883	1
tag-250	0.693052718497566	1
Y43F8A.2	0.693914241070178	1
Y57A10A.4	0.696204520674463	1
him-8	0.700593078128638	1
F58H7.5	0.701963003843366	1
B0336.13	0.708771526369731	1
trpp-3	0.711774509278981	1
clec-79	0.712485221410269	1
F32B6.3	0.71300561582725	1
F56A11.6	0.714471448702143	1
C07G1.6	0.715845956553125	1
such-1	0.717650714048916	1
T13H5.8	0.719246890243944	1
Y116A8C.30	0.720026024440908	1
Y48G9A.11	0.721455349479589	1
nola-3	0.721592027325347	1
C34E10.10	0.723740690202946	1
duo-1	0.730619353997966	1
unc-61	0.732699730059744	1
inx-14	0.735457985616953	1
C35D10.3	0.735617354891801	1
mans-4	0.73880038887727	1
ZK39.10	0.739623458543264	1
C30G12.6	0.745139179038891	1
trt-1	0.745707884295909	1
fbxa-218	0.75004335068319	1
R102.8	0.753270788266201	1
Y71H2AM.3	0.7544084486288	1
W05F2.4	0.754420746494721	1
Y34D9A.3	0.755952559343006	1
tbx-32	0.758064745559015	1
polq-1	0.760509521559852	1
K07C5.2	0.765064249255709	1
H06H21.11	0.765555098527731	1
F58B3.4	0.770800392371812	1
tra-3	0.771540352628872	1
gmn-1	0.777167778788988	1
pqn-27	0.780508997517259	1
Y41D4A.6	0.789292661566784	1
alfa-1	0.795899853486905	1
mus-81	0.79955449841305	1
gsnl-1	0.801645777052298	1
Y57G11A.2	0.80299710979023	1
Y106G6H.8	0.804587216702407	1
mrt-2	0.805068393744104	1
F14D2.11	0.805191510694146	1
set-24	0.807174772200651	1
mob-1	0.809201870018585	1
C32E12.1	0.809527149596327	1
C01F6.2	0.811442900644298	1
elo-8	0.812414169726778	1
bmy-1	0.813116097950358	1
atg-7	0.814776821827047	1
T27F6.6	0.823853991342812	1
F54E7.9	0.825182333379412	1
F25H5.2	0.835235185890467	1
B0001.5	0.836656612498585	1
fecl-1	0.846169433205318	1
C05D2.10	0.846723916134613	1
trxr-2	0.850004697747307	1
Y65B4A.8	0.851960758481609	1
F42A9.7	0.855290256515769	1
Y73E7A.6	0.855431844553902	1
nos-1	0.857598021053706	1
ZK856.11	0.858330161115391	1
wrm-1	0.859889379517159	1
Y37E11AL.2	0.861861776839683	1
C11D2.3	0.867486023381107	1
timm-17B.2	0.875182279147082	1
Y50D7A.11	0.876794920211344	1
maph-1.2	0.882345197850335	1
T03F6.3	0.891541900186087	1
F36D3.5	0.893462244012887	1
Y67D2.4	0.895013497691184	1
gbas-1	0.895516668913937	1
F28E10.4	0.904724664340954	1
