gene_short_name	scaled_TPM	group_number
Y116A8C.3	3.1957966080694805e-15	1
Y73F4A.1	3.4110581888640807e-15	1
ule-3	3.60789997199203e-15	1
clec-178	4.0591764381283104e-15	1
lgc-28	6.35924702964357e-15	1
snf-9	6.376073436192651e-15	1
mig-6	7.31395950760787e-15	1
Y62H9A.4	7.555170403511641e-15	1
oac-9	1.08662262995669e-14	1
ttr-1	1.19449384715198e-14	1
col-135	1.20196495620672e-14	1
F55B11.3	1.63885419753176e-14	1
C31H1.5	2.0849622573601905e-14	1
nep-20	2.45873851793042e-14	1
K07A1.6	2.81571342223196e-14	1
nep-8	3.4445846736976404e-14	1
ZK1225.5	3.4955640892209603e-14	1
F17E9.4	4.36412949374359e-14	1
F38A5.22	4.4945863955408805e-14	1
ZK1037.6	5.3473457853697504e-14	1
bgnt-1.4	6.70358401951e-14	1
Y95B8A.4	7.20633646080573e-14	1
Y116F11B.8	8.06454718744977e-14	1
ZK813.3	8.880166210668242e-14	1
C54D10.4	1.0631126492556001e-13	1
F19H6.4	2.01661977182803e-13	1
Y105E8A.27	2.41667766362307e-13	1
H29C22.1	8.63552074743897e-13	1
T05B4.14	1.35374069394791e-12	1
Y62H9A.3	1.86368304170012e-12	1
ssp-37	3.68968907628407e-12	1
spe-12	6.48237794769224e-12	1
ule-5	6.84559372243069e-12	1
K12D12.4	1.02883547557919e-11	1
K07E3.9	4.098766688767569e-11	1
K02F6.3	5.394781281091709e-11	1
irld-4	6.721075874954849e-11	1
Y62H9A.5	9.610904028752227e-11	1
D1054.10	1.40004458749362e-10	1
M02B1.4	1.82801172315847e-10	1
ZC373.2	5.30009427089701e-10	1
W02D9.7	1.02063853225754e-09	1
spe-42	1.28135658575348e-09	1
pitr-5	2.25678763672482e-09	1
Y105C5B.17	3.4175356380286303e-09	1
H20J04.1	3.97475300199864e-09	1
nkb-2	6.6595419395905815e-09	1
F55B11.2	8.45439973910119e-09	1
Y57G11B.3	1.0857453984063e-08	1
K08C9.2	1.24155136548218e-08	1
ttr-9	3.12416228684586e-08	1
nep-23	4.38271371604512e-08	1
Y47H9B.2	4.7480484007987e-08	1
ttbk-2	5.52504058693061e-08	1
T16A1.2	1.0107957990957e-07	1
irld-6	1.14597676995827e-07	1
D1086.17	1.3411476758997e-07	1
nep-13	2.76908489645998e-07	1
Y69H2.3	3.55155456502167e-07	1
F57C2.4	4.90983277399549e-07	1
ttr-14	6.12021567966825e-07	1
wht-8	6.68339683176839e-07	1
ttr-12	6.75283192842179e-07	1
F58D5.8	6.83633700569048e-07	1
Y37D8A.19	7.25671810445893e-07	1
T08B6.4	1.33424454427637e-06	1
cin-4	3.72866522105392e-06	1
sst-20	4.63913481088724e-06	1
Y43F8C.5	7.05772709005737e-06	1
C04H5.7	7.76417400037917e-06	1
C14F11.4	8.21489294797892e-06	1
ZK795.2	9.42155140751872e-06	1
ZK813.7	1.25021432185839e-05	1
Y105C5B.18	1.97874521370609e-05	1
C28C12.11	2.54739829875141e-05	1
exc-6	2.90237024819076e-05	1
ZK813.1	3.43078125594194e-05	1
C55C3.8	4.68719360031226e-05	1
Y69A2AR.51	0.0001678640620741	1
Y116A8C.33	0.0002369207950921	1
Y50E8A.2	0.000262754926194	1
ZK84.2	0.0004438857925481	1
F54F7.3	0.0007068184321758	1
Y43F8C.9	0.0007126330144979	1
D1086.11	0.0015547098144301	1
irld-14	0.0017729890510219	1
F22E12.1	0.0020745542961909	1
M162.7	0.0026225813271847	1
Y53C10A.15	0.0032136881586072	1
ttr-28	0.0052996880104532	1
Y54G2A.15	0.0072960988379279	1
AH6.3	0.0136281097265622	1
M28.9	0.0149872412611139	1
T02E1.7	0.0154203206882154	1
lam-1	0.0191942980860292	1
F13B6.3	0.0209302210193925	1
C30G12.6	0.0350267256060579	1
F35H8.1	0.0373351550914706	1
K11H3.8	0.044690909007934	1
ttr-42	0.055493033422467	1
C53B7.2	0.0586808327487799	1
Y116A8C.23	0.0605811909633094	1
ZK1225.4	0.0606926404799523	1
dot-1.3	0.0610429152280881	1
C55A6.11	0.0682142992117595	1
nep-9	0.0726972283758499	1
T08B6.9	0.0750142918426899	1
E02H9.7	0.0788091777834372	1
R05D3.3	0.0800353468546408	1
epi-1	0.0800604864589411	1
F01G4.4	0.0866293833915651	1
Y65B4BL.4	0.0949757664406689	1
F58D2.2	0.0971449768568044	1
hcp-4	0.0985355764813736	1
snpc-1.2	0.104976803948295	1
C46E10.1	0.105661155795696	1
C16C8.12	0.105827082890647	1
C16C8.13	0.11108142704078	1
hop-1	0.112449969383943	1
lpd-2	0.117141153890035	1
B0238.9	0.121884176421824	1
K06B4.15	0.125621656748776	1
paf-1	0.126170470856355	1
Y51A2B.5	0.126296368915533	1
F26A1.3	0.132746623316269	1
set-31	0.135030580789031	1
his-64	0.135410591120342	1
tofu-4	0.135450977240872	1
R06B10.2	0.137672489394119	1
Y66D12A.16	0.139744793412491	1
Y53H1C.3	0.140590656580496	1
clec-123	0.143164478007603	1
ztf-15	0.144048569281754	1
pole-1	0.147294208451676	1
F46F5.14	0.147317417459448	1
F40H6.1	0.149713572723311	1
F47G6.3	0.155895489958058	1
Y97E10AR.8	0.157031933600912	1
ZK484.6	0.159644407535945	1
Y54G2A.12	0.164171619113334	1
F26F4.5	0.171832276748809	1
him-18	0.173463357834946	1
Y66D12A.6	0.174562287038147	1
T28A8.3	0.177366293195945	1
inft-2	0.177608845458311	1
spdl-1	0.190702955022636	1
Y94H6A.5	0.190809015898939	1
C01G10.1	0.192055434954376	1
snpc-3.2	0.192693946580068	1
trt-1	0.193708628265663	1
fbxa-210	0.196377407163515	1
madf-6	0.197274539916008	1
Y71G12B.22	0.19754276049612	1
clec-79	0.199001336251259	1
T28A8.8	0.207245109220092	1
cpf-1	0.209033395140668	1
C48B4.6	0.210039040839973	1
F59A3.12	0.212265811160655	1
ife-5	0.212690189032776	1
F31E8.5	0.212817004795837	1
K09H9.2	0.223911661865554	1
eri-5	0.226051088196265	1
bath-24	0.228162688113424	1
wago-4	0.237395371921416	1
rnh-2	0.237757127334611	1
F53H4.2	0.239050300929524	1
C50C3.1	0.239743946949536	1
pig-1	0.240076284224997	1
csa-1	0.241427601420883	1
F55D12.6	0.243684584353881	1
T02H6.7	0.251392786746397	1
sid-1	0.252402918598899	1
Y53F4B.3	0.253875806365918	1
R10D12.10	0.261629504738008	1
fbxa-140	0.261838878101067	1
madf-8	0.263200617214594	1
spe-19	0.263869877130599	1
F13D12.9	0.266013455762993	1
dph-2	0.266911078139414	1
W09C3.2	0.272961956956781	1
T04H1.5	0.276541205997227	1
F16C3.4	0.281236646873682	1
syp-1	0.281689425911999	1
such-1	0.284015164326038	1
Y43B11AR.3	0.284986644636502	1
dhhc-12	0.285320139524276	1
Y75B8A.16	0.289085289830662	1
H14A12.5	0.289656977740144	1
mans-4	0.293188695371219	1
kbp-4	0.295341684291952	1
fbxa-108	0.299187664172404	1
elpc-3	0.299893975970976	1
C16C10.8	0.305323929686772	1
Y71G12B.33	0.306106229616121	1
Y37B11A.2	0.310724867275256	1
K07E8.7	0.311048155318854	1
ZK678.3	0.311535482204798	1
C47E12.10	0.311706293054317	1
R148.4	0.318531741871751	1
scl-6	0.323291323456274	1
W02G9.3	0.327087890171806	1
dnj-28	0.328013064480758	1
Y42H9AR.2	0.3300295083273	1
F21F3.4	0.332627586306822	1
F13D12.5	0.336500264586143	1
dph-1	0.337255150957487	1
mrps-26	0.337296416698624	1
F54F2.7	0.34055347265249	1
htp-2	0.344892412118614	1
clec-147	0.345587321491861	1
R102.8	0.348139324231661	1
exos-1	0.348382231390416	1
Y38H6C.15	0.35231816160017	1
C30F12.4	0.356498434911098	1
Y39B6A.18	0.358906278264726	1
C16D9.1	0.360743741997852	1
C04E6.11	0.362499191427255	1
K09F6.3	0.36457043115213	1
F11E6.7	0.365248913782853	1
Y54G2A.19	0.366450471082135	1
C56G2.3	0.366622697230488	1
sep-1	0.367492062972098	1
F10C5.2	0.367606692150534	1
M01F1.8	0.36913191743226	1
clk-2	0.369918286471593	1
B0393.6	0.373488186159383	1
F38E1.3	0.381585301560487	1
F58B3.7	0.382605688646203	1
tag-307	0.385713390025003	1
Y75B12B.3	0.387904677067376	1
Y57G11A.2	0.390233636478466	1
C34H4.5	0.39122716813633	1
rsa-2	0.395348065532187	1
Y38H8A.4	0.395911070405434	1
cyh-1	0.39831553586226	1
lin-54	0.398777684434642	1
mel-46	0.401543770255349	1
Y51A2D.7	0.402641881959644	1
fbxa-192	0.404335368424669	1
W09D6.4	0.406879139629909	1
C08F11.10	0.407182178121372	1
pot-3	0.412832278670271	1
F27D4.8	0.413273845309731	1
gpr-1	0.420308227966729	1
Y11D7A.7	0.426198552250765	1
clec-117	0.432779439302264	1
pstk-1	0.432862608450705	1
F58G1.2	0.44184309419863	1
mus-81	0.443075483757796	1
Y43E12A.3	0.44591760373886	1
C53A5.16	0.449672695536922	1
Y48G1A.2	0.450948388562363	1
nmgp-1	0.456016404770628	1
Y71H2B.11	0.456102918164334	1
snf-5	0.458622901618593	1
C31H1.1	0.467117967479535	1
zip-11	0.47094066498716	1
F44E7.9	0.472229588121822	1
hda-10	0.478397400430477	1
srpa-72	0.479440095543357	1
smg-2	0.481877060526334	1
W04A8.6	0.48418461752313	1
Y43F4B.9	0.486174018798306	1
W10C8.4	0.489041094757884	1
tgn-38	0.490516618682576	1
F33G12.2	0.491987680253155	1
C06C6.6	0.495366348169204	1
skr-17	0.497415535831172	1
set-29	0.498974445886193	1
Y50D4A.1	0.504440958371482	1
W03G11.2	0.505187617297416	1
cox-10	0.506457284929286	1
twk-37	0.507206296503445	1
D1081.12	0.518833627204171	1
F28C6.8	0.522021673954186	1
ZK783.6	0.529351212285031	1
Y49A3A.3	0.530786347747969	1
C09G4.4	0.534065512536713	1
T10E9.6	0.535247640029288	1
Y57G11C.51	0.54152972060599	1
fkh-6	0.541603136713765	1
ZK688.10	0.543245320617961	1
hal-2	0.545620643272029	1
enu-3.6	0.550154777695072	1
ZC317.6	0.552663773493448	1
cyk-4	0.562799774494525	1
acbp-5	0.562846614925051	1
F14D2.11	0.563940498692413	1
Y54G2A.13	0.565529946881772	1
Y54G2A.50	0.568302954874044	1
dxbp-1	0.569331550892437	1
mpz-6	0.570811095183941	1
pgs-1	0.571426666828734	1
T27F6.1	0.572832247423701	1
Y39B6A.30	0.573273213178175	1
C38C6.5	0.578653388746768	1
F38B2.6	0.579198418771287	1
Y59E9AL.36	0.583668251647247	1
pssy-2	0.587969982357027	1
F16H6.9	0.592221273670508	1
T08G3.7	0.597305561608298	1
Y47G6A.19	0.600280913488734	1
ZC513.5	0.600647723313614	1
ZK596.1	0.603002115494232	1
F57B10.8	0.605052507559893	1
try-7	0.60725063301739	1
pri-2	0.610259969643117	1
Y23H5B.5	0.614606471212119	1
Y37E11AL.2	0.616063825630664	1
fbxa-106	0.621564937186131	1
Y38F2AR.10	0.622887768433987	1
aptf-3	0.626549580072685	1
F58D5.6	0.628093357301759	1
C48B4.10	0.63162183170018	1
C45B11.5	0.633955452775197	1
C09B9.2	0.634339511405542	1
rmh-1	0.634887522170084	1
R11D1.1	0.639740199414911	1
exo-3	0.639799311247516	1
Y67A10A.3	0.642417989983689	1
miro-1	0.64250656548963	1
C17G10.13	0.645263371404552	1
F36D3.5	0.647982496744465	1
Y48G1C.5	0.655081894387277	1
W01B6.8	0.655743072930269	1
B0393.4	0.656866015742608	1
F08A8.8	0.658130088416527	1
Y66D12A.3	0.660709266114219	1
C42C1.11	0.662982515370177	1
moa-1	0.672451932534224	1
C42C1.8	0.676688386167358	1
catp-4	0.682602330723707	1
T01C3.11	0.685631971454252	1
rgs-9	0.687147921025348	1
R03D7.8	0.691596806727027	1
mps-3	0.693665566662215	1
T23B5.4	0.697376973030771	1
F37A4.4	0.698463481234485	1
abf-6	0.699962704149273	1
glh-3	0.701872206707899	1
mis-12	0.710040269477048	1
gmeb-3	0.716012129847053	1
Y27F2A.6	0.716421293446903	1
bath-35	0.728328790514886	1
W07E6.5	0.731396746925116	1
crn-2	0.735363252283161	1
K09C6.2	0.737026737094689	1
C16C8.11	0.742790047791243	1
T11F8.4	0.754835987642825	1
R02F2.7	0.755868870730073	1
clec-142	0.761714360170891	1
C24H12.6	0.763237772702647	1
Y37E11B.5	0.763703374105531	1
acdh-4	0.76485039592835	1
R10F2.6	0.765288261533838	1
srj-4	0.776304144096413	1
vars-1	0.776935496249674	1
F39B2.3	0.777238441941811	1
R07C3.13	0.778931676808219	1
R05D11.5	0.779075871126952	1
irld-1	0.785464044788263	1
Y37E11AM.3	0.792559803184504	1
C09B9.7	0.797324809883294	1
T28A8.4	0.797560375757834	1
M05B5.1	0.797565281361816	1
set-24	0.798638187539487	1
bath-29	0.804060691539919	1
ced-4	0.804637669033452	1
R04B3.2	0.805991616227049	1
mdt-10	0.805998980719648	1
pes-23	0.812699708450848	1
Y13C8A.2	0.816030785762886	1
K12H6.2	0.816129941010939	1
rga-3	0.821464409884681	1
T16A9.3	0.821977411481832	1
wee-1.3	0.823886055287965	1
syx-17	0.827456569197567	1
C15H7.4	0.831490855233838	1
emc-5	0.831810187224838	1
lgc-34	0.84460201465246	1
hcp-6	0.84949972334635	1
ced-12	0.852754596306942	1
moc-1	0.853079021599278	1
C50C3.2	0.864667285591466	1
ipla-4	0.869585477138479	1
Y71H2AM.9	0.870039086528166	1
sys-1	0.874504189558946	1
W03F11.4	0.875063955601584	1
F10G8.9	0.876186606045601	1
Y73B6BL.23	0.885234089832382	1
K07H8.9	0.89690638352037	1
R06C7.2	0.902859860378544	1
K07F5.6	0.903779159114958	1
tofu-7	0.905945960459238	1
plc-4	0.911446886759331	1
mrpl-40	0.917534693223208	1
Y51H4A.935	0.919277737768075	1
Y39B6A.25	0.919763096375676	1
K09B11.5	0.929349583397687	1
F36D3.8	0.931395256717978	1
sulp-6	0.934220132982545	1
C01G5.3	0.934519896486777	1
C43G2.3	0.93904218100594	1
tfbm-1	0.942388733343245	1
C48B6.4	0.944260873763586	1
tsp-19	0.944644652348299	1
pcs-1	0.944982337584178	1
Y69A2AR.32	0.946801474154539	1
C48B4.11	0.954947523439549	1
T09A12.1	0.964169462166794	1
maph-1.2	0.966718851243534	1
pqn-25	0.973800631530031	1
C29E4.14	0.974946571344605	1
C35A5.4	0.977788502934479	1
tag-63	0.994358415577017	1
exo-1	0.995686314173532	1
Y65B4BL.3	0.997393899826896	1
ZC376.8	1.00822637747752	1
nhr-23	1.00857719928716	1
R03D7.2	1.00968740148249	1
T02B11.9	1.02221888361799	1
Y92H12A.5	1.02976871622079	1
Y69F12A.1	1.0338291535078	1
Y54G11A.3	1.03453177020005	1
tag-314	1.03546989225561	1
C25H3.16	1.03602089102368	1
spe-46	1.03724938986732	1
fce-2	1.04462359296366	1
T23G11.4	1.04602117101584	1
vha-18	1.04613010974654	1
viln-1	1.04617918860366	1
C09F9.2	1.05210393317936	1
K09E4.2	1.05535409263638	1
W09C3.4	1.0699542028134	1
blos-7	1.07105513752423	1
bmy-1	1.08390425657552	1
F23H12.3	1.08988980902793	1
tdpt-1	1.09275313998368	1
B0238.12	1.09463119733434	1
T07F10.1	1.09735438201622	1
F26A1.14	1.10056956062572	1
D1086.3	1.1015686170534	1
C53A5.6	1.10459517156597	1
cyp-25A3	1.10598388987747	1
Y43F8A.2	1.10872455012247	1
Y82E9BR.19	1.11624396047006	1
T13F2.6	1.11797288071448	1
Y57G11C.6	1.11813894990568	1
R05G6.4	1.12449372991494	1
T05C12.9	1.1268806156826	1
elo-4	1.12769910051843	1
T21B10.4	1.13405025912903	1
Y62F5A.10	1.14106261778375	1
abt-5	1.1477588361337	1
F35D11.4	1.14925394592945	1
C56C10.6	1.15427425979185	1
Y39E4B.13	1.15841101668569	1
Y18H1A.2	1.16286513407067	1
F58D5.3	1.16368793811737	1
K10D2.1	1.17266579262103	1
hap-1	1.17696684389538	1
Y53G8AR.8	1.18111150751905	1
C27A12.9	1.18524286606351	1
F35C11.3	1.19587547584173	1
C49A9.9	1.19710916345775	1
C09H5.7	1.20284453176855	1
ZK1010.2	1.22296659538631	1
R155.4	1.22419140879928	1
F42G8.8	1.22855702779168	1
Y48E1C.2	1.23101581063042	1
ent-1	1.23781533642109	1
dcap-1	1.23855107829735	1
D2005.7	1.23907111566289	1
W02D9.4	1.24124891300113	1
set-9	1.245733769986	1
F44E7.5	1.24715661298437	1
K03B4.6	1.24723960275677	1
Y69A2AR.19	1.24745235375949	1
scl-5	1.24967021718667	1
F21A9.1	1.24975974980694	1
ZK484.3	1.25222938487159	1
D2045.2	1.25236085170931	1
set-22	1.2533040890024	1
R119.3	1.25631977368642	1
Y49E10.4	1.25707927494579	1
K11C4.1	1.26319380323872	1
dsb-2	1.26687439385436	1
clec-73	1.26837376614436	1
F26H11.4	1.26854731746512	1
F28A10.7	1.27049236351999	1
osg-1	1.27057485310501	1
glp-1	1.2727545829808	1
arch-1	1.2781087145619	1
oac-50	1.2785968091029	1
W02A11.1	1.27920104562426	1
T13F3.8	1.29136871104837	1
ets-6	1.29492084206136	1
C08H9.3	1.29838520614511	1
C24B5.4	1.30439934225631	1
W01B6.4	1.31281616114156	1
frk-1	1.31773865366866	1
R09A1.2	1.32154143459557	1
Y47G6A.25	1.33022057175865	1
wve-1	1.3334228877733	1
tag-342	1.33531711963699	1
hrpf-2	1.33861510477056	1
Y51A2D.21	1.33903364819612	1
Y48B6A.5	1.34058216105245	1
F33E11.2	1.34730677724744	1
M106.8	1.34953712129533	1
his-4	1.3505664357943	1
egg-3	1.35107608621323	1
F32E10.9	1.35334564960388	1
F59C6.3	1.35594600677518	1
R08C7.8	1.36215426533656	1
dhhc-7	1.36892203908565	1
D1081.9	1.37438150822879	1
Y53G8AR.5	1.37448869052336	1
ZK1053.6	1.3784972011646	1
R09A8.2	1.3820259970169	1
T20D3.6	1.38823524481407	1
B0207.9	1.3902452655188	1
K06A4.6	1.3913775940094	1
C18D4.12	1.39185561905622	1
Y39F10C.3	1.39511313109109	1
F32B4.2	1.39579653523031	1
ess-2	1.39740755288103	1
uba-2	1.40325899878207	1
EEED8.14	1.40374941819381	1
C10G11.1	1.40380595326831	1
enu-3.1	1.4072761221229	1
urm-1	1.40948667986299	1
alfa-1	1.41845981852381	1
spe-44	1.42190276899208	1
T16A9.5	1.42923159565252	1
F59G1.8	1.43806298834531	1
T23G5.3	1.44051116157869	1
F45H11.5	1.45332215637631	1
gei-1	1.45501933812237	1
AC3.12	1.45892623552321	1
twk-6	1.46761268826216	1
toe-2	1.47306556669698	1
T24H7.3	1.47697225778358	1
F22B5.6	1.4820749133537	1
cyk-7	1.48284580938811	1
W03D8.9	1.48417699056159	1
snpc-4	1.49327285098531	1
ech-1.1	1.50573179272854	1
nfm-1	1.51520687586235	1
Y57G11B.5	1.51781858274545	1
cnk-1	1.52419696845637	1
let-611	1.5260370922729	1
abf-2	1.52679967224722	1
R01H10.7	1.53203751620595	1
fbxc-44	1.53286592122492	1
F44B9.10	1.5341956746294	1
C18E9.8	1.54648783460211	1
Y57G11C.43	1.55594669340188	1
T22C1.8	1.55789739910599	1
best-12	1.559962531059	1
T20G5.9	1.56517789149728	1
snf-10	1.56755402153227	1
T12D8.10	1.56774008262075	1
D2005.4	1.56900795434275	1
C16A11.5	1.57551779829223	1
zim-1	1.58018967906844	1
cdl-1	1.58066940137829	1
zim-2	1.58995571633106	1
F36D3.16	1.59019242853508	1
R04D3.4	1.59424048419583	1
sago-1	1.59731725597861	1
R05H5.5	1.59849411289709	1
T23F6.3	1.59973582153202	1
Y71A12B.23	1.6026488964879	1
F54F12.1	1.60614203278622	1
fbxc-20	1.60645605625571	1
C41D11.6	1.61357784274299	1
ZK973.8	1.62525186713558	1
F55A11.8	1.62862436926274	1
F58A6.5	1.63015259951917	1
H12D21.5	1.63333747194965	1
mes-6	1.63638369081794	1
Y73F8A.20	1.64707147305873	1
F39H11.1	1.64715615481294	1
C34D4.2	1.65041961171276	1
F55A11.4	1.65969595522402	1
Y45F3A.9	1.66100365091812	1
K02A11.2	1.66251062061898	1
C44B9.3	1.66715794599399	1
odr-4	1.66884310929683	1
T08B2.4	1.67124010273816	1
Y54E2A.9	1.67692932284094	1
Y66D12A.19	1.68071258240646	1
T28A8.6	1.68663438455892	1
F15A4.10	1.68956089086837	1
T11F8.1	1.69175484756979	1
M163.8	1.69188418106204	1
C06C3.8	1.69241573310383	1
K06A1.2	1.69285463337859	1
tag-296	1.69691042939526	1
Y53F4B.36	1.70439812066981	1
Y47D3B.12	1.70832737903248	1
F56D6.12	1.71096234964259	1
K08D8.6	1.71598705365284	1
set-5	1.71828666214716	1
fbxa-202	1.72156534518838	1
C08B11.8	1.72243936206736	1
C08H9.16	1.72468136105845	1
pro-3	1.74757676074916	1
F56B3.2	1.75110386062464	1
K12D12.5	1.75236951123278	1
T25B9.6	1.75626610106631	1
cnep-1	1.76501231187613	1
F22G12.4	1.76598506588329	1
gla-3	1.76802142071593	1
R01H2.2	1.77270145198546	1
K07A1.4	1.77425804736208	1
stim-1	1.77934954050342	1
T28A8.5	1.78003544984558	1
B0273.1	1.78087407748334	1
C35D10.3	1.78091105036392	1
rog-1	1.78158188375601	1
Y12A6A.1	1.7824625650514	1
nas-8	1.7878690693154	1
C39E9.12	1.79148221068525	1
Y69E1A.1	1.79288112779858	1
F14H8.8	1.80027499548242	1
Y22D7AL.9	1.80158743638595	1
btb-2	1.80328005872058	1
M110.7	1.80384554089493	1
ZC434.7	1.80601051205304	1
H38K22.7	1.80618737180469	1
C15A11.2	1.80830259289803	1
C46C2.7	1.81010708972319	1
pges-2	1.82148379377299	1
ZK1248.20	1.82178428389775	1
T10E9.4	1.8222543296381	1
R07B7.2	1.8256271139027	1
C44B12.6	1.82573458578129	1
K07F5.12	1.82580416693803	1
F58F12.3	1.82656611999501	1
hmg-20	1.82734633355905	1
Y111B2A.3	1.83197949826758	1
F58G1.3	1.83224476225483	1
lst-1	1.83813031180641	1
sws-1	1.83853512323117	1
him-3	1.84117486955897	1
R155.3	1.84304167507696	1
F21H7.2	1.84522121151778	1
eipr-1	1.84852873759558	1
B0205.12	1.85259685383168	1
T28D9.4	1.85691326058941	1
F54A3.2	1.86218101690435	1
ech-5	1.86450678152188	1
pqn-82	1.86675223806465	1
mpst-4	1.86755720310436	1
toca-2	1.87346970447175	1
K06B9.6	1.87447732604884	1
nol-6	1.87993306577344	1
ZK546.4	1.88224627644852	1
C48B4.7	1.90802039559292	1
W03G9.2	1.91030408354226	1
atm-1	1.92082409015104	1
C32D5.4	1.92360683184635	1
fitm-2	1.9265425359442	1
F53B3.5	1.9298493682313	1
Y51H4A.13	1.9335080989351	1
cpb-1	1.94082932582036	1
cec-7	1.94660828482471	1
alh-2	1.94742058266433	1
F48C1.6	1.96301453542379	1
kin-14	1.96304999499748	1
F13B6.2	1.96320372856053	1
aagr-1	1.96869700707826	1
F07G6.10	1.97090786252975	1
C07A4.3	1.97685731467885	1
C14A6.6	1.98003306214006	1
klp-15	1.98206009989539	1
W02H5.8	1.98715057912062	1
K08F4.3	1.99335316716638	1
Y14H12B.2	2.00520066160443	1
R02F2.4	2.00541672370207	1
H06I04.5	2.00652407895038	1
C54D10.9	2.00668307084931	1
ttr-22	2.00708887491459	1
age-1	2.00712713406031	1
F38H4.5	2.01217696651916	1
his-61	2.01218513660798	1
T10C6.10	2.01753694982195	1
Y50D7A.3	2.0176726941287	1
twk-24	2.02471334690689	1
ulp-2	2.02829536830405	1
C15H7.3	2.03050911967554	1
T06E6.1	2.03779344171578	1
zim-3	2.03946128976435	1
C33C12.4	2.05306282246738	1
gtl-2	2.05442383417337	1
orc-2	2.06813429719632	1
T04B2.8	2.08728864129538	1
C35D10.8	2.08904223444384	1
let-383	2.09351037537839	1
hus-1	2.09619353126073	1
msp-74	2.09619468145004	1
K07A1.17	2.10157627515526	1
C34F11.1	2.10261483781432	1
prg-1	2.11498530744813	1
F56F11.4	2.12767579304221	1
F47F6.9	2.12777307303791	1
xpg-1	2.1284791700169	1
Y48G1C.1	2.12883631628243	1
pole-2	2.13182246210558	1
T28H10.1	2.13197157999481	1
F25E2.2	2.13341818499067	1
Y47G7B.2	2.14513108287711	1
rad-8	2.1457610650005	1
aat-9	2.14833277062301	1
pat-4	2.15673232581608	1
inx-3	2.15903213901934	1
dhhc-13	2.16201317476849	1
his-67	2.16353761450711	1
Y71H2B.1	2.16514917048974	1
ddx-35	2.17985124298336	1
F10D11.3	2.18298242310861	1
C36E6.8	2.18594436023799	1
cpb-2	2.18604718408342	1
taf-2	2.1886593376875	1
T13H5.6	2.1911833020112	1
F13A2.4	2.19562542679268	1
tbc-20	2.19795980460907	1
R02F11.4	2.20064137425353	1
F31C3.6	2.20442650002808	1
F20G4.2	2.20715680941819	1
Y65A5A.2	2.20748294634004	1
ung-1	2.21557344624376	1
F13G3.6	2.2202471085523	1
F55A3.6	2.22101246307207	1
C18D11.3	2.22184012696142	1
K09G1.2	2.22546094243805	1
algn-2	2.22593177520159	1
B0496.6	2.22951352971228	1
Y49E10.10	2.23094694731859	1
cpd-1	2.23162882137625	1
K06A9.3	2.23590391443125	1
hpr-17	2.24030216372974	1
F25B3.4	2.24075209509503	1
lim-8	2.24562893044908	1
C50F4.16	2.24695780185148	1
T04D3.8	2.25085231351481	1
F30F8.1	2.26312972040773	1
dpy-31	2.26331967434488	1
parn-1	2.27175460329028	1
nep-6	2.27991193138774	1
tufm-2	2.2817874247079	1
ZK945.8	2.28600252761756	1
Y48G1A.1	2.28650905762678	1
acl-13	2.29587627409768	1
pfk-1.2	2.2983294635602	1
Y67D8B.5	2.29964391451345	1
Y48G10A.2	2.30111492866724	1
R08A2.2	2.30985602510867	1
Y102A5C.2	2.31344537870095	1
F54C8.1	2.31862601514265	1
Y71H2AR.1	2.31901590155947	1
F08F8.6	2.32136947177005	1
nath-10	2.32529606277122	1
nasp-1	2.3329161798334	1
F59A3.7	2.34118109127737	1
phat-3	2.34428186163866	1
F32E10.5	2.34633702326703	1
sgo-1	2.35337711603708	1
Y106G6H.6	2.35808658346348	1
nas-12	2.36000008040452	1
thoc-7	2.36158214963593	1
mrps-14	2.36262337240342	1
him-10	2.36657991851939	1
pqn-72	2.36753860898674	1
rmh-2	2.3683458104428	1
scrm-7	2.36845777201638	1
T22C1.9	2.36970800567542	1
lec-11	2.37246710187089	1
Y59H11AM.4	2.37705505149853	1
H25P19.1	2.39026618697934	1
F09C12.8	2.3913011891095	1
F56A8.9	2.39878214990065	1
T22A3.6	2.40319862610291	1
fem-3	2.40608060185543	1
C33H5.16	2.40625192082183	1
Y73F8A.35	2.40986937623614	1
