gene_short_name	scaled_TPM	group_number
lgc-28	3.3780231108353507e-15	1
ule-3	7.44019780806952e-15	1
Y73F4A.1	1.78719214285136e-14	1
clec-151	2.1707889517741e-14	1
Y116A8C.3	3.72278467267132e-14	1
F55B11.3	4.25139392493047e-14	1
ttr-1	4.50140200837402e-14	1
Y95B8A.4	4.93846302296864e-14	1
Y62H9A.4	5.33754549113142e-14	1
mig-6	5.97923740152059e-14	1
D1086.6	6.25592380196972e-14	1
ZK813.3	6.30894046477741e-14	1
F17E9.4	8.81136051266069e-14	1
Y51A2B.6	2.16671739808972e-13	1
ttr-14	2.85070288251838e-13	1
best-25	4.24350108143575e-13	1
Y105E8A.27	1.13856287413192e-12	1
H29C22.1	2.35826828705222e-12	1
phat-4	3.78045771612499e-12	1
W08F4.1	6.60863737895315e-12	1
ule-5	2.3141331961597694e-11	1
T08B6.4	4.9052287341301794e-11	1
D1054.10	1.25932024269484e-10	1
Y62H9A.5	2.54590011195218e-10	1
Y43F8C.5	5.75675070417875e-10	1
W02D9.7	9.50557230068594e-10	1
M162.7	6.9302657788832314e-09	1
T19H5.7	9.17710064642001e-09	1
Y62H9A.3	1.2101361939515e-08	1
Y105C5B.17	1.33105684559194e-08	1
F55B11.2	1.76441345901436e-08	1
K02F6.3	1.85071914216e-08	1
ssp-37	3.27446271742877e-08	1
nkb-2	7.05886879475286e-08	1
C18H2.5	3.05231975276014e-07	1
ZK813.7	5.2179816025819e-07	1
F57C2.4	5.7037646828141e-07	1
Y37D8A.19	4.805954463957e-06	1
C14F11.4	6.59753503749908e-06	1
C04H5.7	1.05218791054381e-05	1
F33D11.2	1.56842952801697e-05	1
K09E4.1	1.64121604202508e-05	1
Y57G11C.23	1.73007180303279e-05	1
Y105C5B.18	3.01141712914458e-05	1
ZK250.2	5.57352152513762e-05	1
tbx-34	6.13413946249974e-05	1
ZC373.2	6.48989325697336e-05	1
C28C12.11	6.91042794171407e-05	1
ZK813.1	7.58241498934074e-05	1
K08C9.2	0.0001248597877854	1
Y116A8C.33	0.000212314321502	1
try-10	0.0003579475204845	1
F54F7.3	0.0015700098927258	1
acp-3	0.0061430873543839	1
Y54G2A.15	0.0068059479170583	1
C33C12.4	0.0072368908440391	1
D1086.11	0.0086524374223376	1
T28B8.6	0.0094016826042819	1
D1086.17	0.0150263276452917	1
ttr-42	0.0307516016136303	1
B0207.11	0.0412950227989828	1
C29E4.14	0.0728870699298153	1
ZK688.12	0.0786710645507784	1
F13D12.5	0.0865180572586717	1
irld-18	0.0877445848364869	1
C45G9.15	0.0909230437131192	1
F38H4.4	0.0989687412686072	1
ZC513.3	0.100635080955704	1
Y49E10.4	0.119755221226497	1
snf-5	0.143251569140778	1
bath-35	0.149398361593117	1
Y43F8C.9	0.166420700991097	1
C38D4.7	0.186887408562907	1
klp-18	0.214835800372963	1
sun-1	0.222753915031404	1
T16A9.5	0.225621569509415	1
T02B11.9	0.238131175446665	1
W05B10.6	0.248699204119882	1
Y65B4BL.4	0.2541433526061	1
F26A3.5	0.265286031151317	1
C01G10.1	0.271003065714604	1
Y37E11AL.3	0.28849088272131	1
fbf-2	0.289334621532999	1
F53H4.2	0.303731443224834	1
F55G1.5	0.308066024660898	1
