gene_short_name	scaled_TPM	group_number
aman-1	1.8513682885865303e-15	1
clec-178	2.10735225626891e-15	1
snf-9	2.95364461146793e-15	1
cup-4	3.0985872769914007e-15	1
F55B11.3	3.3816711733205804e-15	1
F56C4.4	3.50217452777793e-15	1
Y116A8C.3	3.61837864862958e-15	1
mig-6	4.2031054954327705e-15	1
Y73F4A.1	4.9713999920928806e-15	1
lgc-26	8.75488814411146e-15	1
D1086.6	8.84571976358545e-15	1
Y62H9A.4	1.24095683770568e-14	1
Y49E10.29	1.4981966747983e-14	1
F38A5.22	1.7579265772622102e-14	1
ttr-1	1.76622696446562e-14	1
C31H1.5	2.1525389817449102e-14	1
lgc-24	2.78102540532554e-14	1
his-16	3.15538613956344e-14	1
clec-190	3.41435319467037e-14	1
ZK813.3	4.126634402776861e-14	1
nep-8	4.47639934149662e-14	1
Y105E8A.27	5.4100660463866304e-14	1
Y51A2B.4	6.28426989189373e-14	1
K07A1.6	8.121767590406782e-14	1
W03D8.1	9.9945395014527e-14	1
F54F7.9	1.20307122367982e-13	1
srg-42	2.22281727192388e-13	1
nspb-5	4.52639361204619e-13	1
T25D3.3	6.98538104727214e-13	1
T05B4.14	1.10264747975466e-12	1
H29C22.1	1.1513593123482e-12	1
Y62H9A.3	1.17984564713954e-12	1
ule-3	3.88969949967185e-12	1
phat-4	5.37053429332401e-12	1
ule-5	5.8569806952949885e-12	1
F35C12.3	1.01362949108081e-11	1
F01G12.18	6.719657624940479e-11	1
M02B1.4	9.77550024898353e-11	1
R102.8	1.08678750475832e-10	1
W02D9.7	1.55458039415597e-10	1
K02F6.3	2.39493268260089e-10	1
D1054.10	2.63953229171208e-10	1
Y43F8C.5	4.08432426922777e-10	1
Y105C5B.17	3.9571602745721314e-09	1
T19H5.7	4.408691301828421e-09	1
ttr-12	5.607503860788291e-09	1
C18H7.7	8.83227776004241e-09	1
ttr-9	1.13210483513216e-08	1
clec-223	1.89972503377162e-08	1
ZK354.9	1.95742149943572e-08	1
Y57G11B.3	2.29708728630151e-08	1
Y47H9B.2	3.38458709012388e-08	1
F13A7.7	3.61171091308829e-08	1
ZC190.8	4.58776918694472e-08	1
nkb-2	5.18736888158005e-08	1
ZK1225.5	8.53568029449669e-08	1
F56F4.3	1.19963564305257e-07	1
Y62H9A.5	2.04404785605158e-07	1
Y69H2.3	2.34482049760302e-07	1
W01B6.8	3.29942594426897e-07	1
F17E9.4	3.34053220106746e-07	1
spe-12	3.6271548629282e-07	1
Y57G11C.23	3.93618476765561e-07	1
Y37D8A.19	4.77368580559992e-07	1
nas-20	4.96683035572615e-07	1
F57C2.4	5.41451663242536e-07	1
sst-20	5.98897362252548e-07	1
ttr-14	6.96559709217535e-07	1
C04H5.7	2.21663989745729e-06	1
T08B6.4	3.49765890811583e-06	1
cin-4	5.55758722780648e-06	1
C14F11.4	7.80428180396978e-06	1
ZK795.2	1.06615104036377e-05	1
ZK813.7	1.70737972365582e-05	1
pqn-75	1.95087046185921e-05	1
K08C9.2	2.64359539698287e-05	1
W02D9.6	3.4253806984983e-05	1
ZC373.2	3.46545600320929e-05	1
Y105C5B.18	3.90310657221059e-05	1
try-10	5.9771203164454e-05	1
acp-3	6.31871699168148e-05	1
Y39B6A.30	6.98590440893289e-05	1
ZK813.1	8.58804637445662e-05	1
C28C12.11	0.0001434454959641	1
T13F3.8	0.0002375997561683	1
ZK84.2	0.0003294874567634	1
Y43F8C.9	0.0003606870605478	1
F54F7.3	0.0005603659443181	1
F55B11.2	0.0008079244017108	1
C04G6.6	0.0009753878340965	1
M162.7	0.0009845207870274	1
pitr-3	0.0011690912757675	1
D1086.11	0.0015472977645599	1
col-46	0.001856774328606	1
ZK973.4	0.0021173248542166	1
Y57G7A.6	0.0025177040798079	1
H06I04.5	0.0029103621359111	1
M28.9	0.0031923587707335	1
D1086.17	0.0046285274347635	1
frm-9	0.0051014542295226	1
T02E1.7	0.0078824654686024	1
Y54G2A.15	0.0083830551211889	1
H20J04.1	0.0088071852768227	1
ttr-42	0.0104159535974908	1
ZK1010.5	0.0107204661306229	1
F44G3.7	0.0110706396035681	1
tsp-18	0.0123642380493109	1
T02H6.3	0.0146328480413071	1
Y38H6C.15	0.0181374435691413	1
EEED8.4	0.0201097083839818	1
F21D9.2	0.034083207443211	1
chil-14	0.0387384622392126	1
snf-5	0.0390603254414071	1
K11H3.4	0.0405914033876721	1
F35H8.1	0.0451982805955482	1
