gene_short_name	scaled_TPM	group_number
aman-1	1.02526515276335e-15	1
clec-145	1.8488076307026106e-15	1
Y116A8C.3	2.1402931239563e-15	1
Y73F4A.1	2.4889523443498602e-15	1
ule-3	3.4204134757430506e-15	1
F55B11.3	3.5416547513985007e-15	1
lgc-28	3.9789892124736506e-15	1
lgc-26	4.1016921446384006e-15	1
cof-2	4.6845530536325406e-15	1
ttr-1	5.7863227842171305e-15	1
clec-178	5.859678745517661e-15	1
mig-6	5.915441932053261e-15	1
F32E10.8	6.185627801862881e-15	1
Y62H9A.4	7.48861737650455e-15	1
ZC116.3	8.364521656993391e-15	1
oac-9	1.13011462098794e-14	1
Y95B8A.4	1.27332938679972e-14	1
Y51H7C.13	1.28575687780942e-14	1
nep-8	1.29585953831624e-14	1
snf-9	1.43106453271749e-14	1
Y39F10A.3	1.62779187316478e-14	1
K07A1.6	1.66223653552857e-14	1
F38A5.22	2.44830530940555e-14	1
ZK813.3	3.5913023981437604e-14	1
Y105E8A.27	4.73229967392699e-14	1
bgnt-1.4	6.2534219073021e-14	1
C33C12.12	7.19985225975826e-14	1
ttr-14	9.707141397491713e-14	1
otpl-7	9.760278220949821e-14	1
C31H1.5	1.07605422821232e-13	1
F07G11.4	1.4471700401127e-13	1
H01G02.4	1.75525725251962e-13	1
phat-4	3.42454090178474e-13	1
H29C22.1	3.68472674334652e-13	1
nep-10	3.92522185707126e-13	1
C54D10.4	4.47348591405366e-13	1
ssp-37	4.66282490192783e-13	1
Y62H9A.3	5.85738790565864e-13	1
T05B4.14	1.17877022517934e-12	1
fut-4	2.11615842155281e-12	1
D1081.11	4.4460921422390895e-12	1
F35C12.3	1.6454450019116e-11	1
K07E3.9	2.49327504597542e-11	1
clec-151	5.993876086952839e-11	1
ZK1010.5	6.36463532524695e-11	1
M02B1.4	7.947595214560219e-11	1
K02F6.3	9.268166707389888e-11	1
oac-23	1.27708785904102e-10	1
W02D9.7	1.31818006809014e-10	1
D1054.10	1.79614229911204e-10	1
Y43F8C.5	3.67127055649624e-10	1
W02D9.6	5.827973159842721e-10	1
T19H5.7	1.36612745205119e-09	1
