gene_short_name	scaled_TPM	group_number
T19C3.5	1.70700985336894e-15	1
lgc-28	2.4608071504385703e-15	1
lgc-26	2.61164321845855e-15	1
Y73F4A.1	3.5941121501265806e-15	1
Y116A8C.3	3.883850343967511e-15	1
F55B11.3	4.830753236558451e-15	1
Y49E10.29	7.17326815980318e-15	1
ule-3	7.31597518074945e-15	1
ZK856.5	7.98065083436626e-15	1
nep-8	1.24220928726005e-14	1
F32E10.8	1.28689970227539e-14	1
Y62H9A.4	1.31381954331969e-14	1
Y95B8A.4	1.46598868234038e-14	1
C31H1.5	1.71776771933137e-14	1
ttr-1	1.82894014174383e-14	1
mig-6	1.97282669233485e-14	1
F38A5.22	2.12837505436922e-14	1
ZK813.3	4.7276687537591104e-14	1
F17E9.4	4.75814821515258e-14	1
K07A1.6	5.5497421691550205e-14	1
T05B11.4	5.90722808026452e-14	1
Y105E8A.27	1.07209695454733e-13	1
ttr-14	1.41116764713478e-13	1
T05B4.14	1.66493493912941e-13	1
ZK637.15	1.73369233432473e-13	1
Y23H5B.12	3.7342728677276e-13	1
H29C22.1	5.33622441982975e-13	1
nhr-282	2.13058518491618e-12	1
ssp-37	2.85532202937659e-12	1
Y62H9A.3	3.48847257857026e-12	1
ule-5	4.36818121910878e-12	1
D1081.11	4.76649368148893e-12	1
spe-12	8.53258138860264e-12	1
Y43F8C.5	2.10285984344124e-11	1
D1054.10	3.12470250535078e-11	1
F35C12.3	3.2966549805271e-11	1
F56H1.10	3.40483279336356e-11	1
clec-151	3.68229235861172e-11	1
ZK1010.5	6.439927009633729e-11	1
Y62H9A.5	8.170976910715619e-11	1
M02B1.4	8.25468422481419e-11	1
W02D9.7	1.51016670523218e-10	1
W02D9.6	7.57667972770891e-10	1
clec-119	2.0094703984563803e-09	1
F55B11.2	3.77568011240956e-09	1
Y105C5B.17	5.42325147289542e-09	1
ttr-9	6.353855809174791e-09	1
F13A7.7	6.666566208250781e-09	1
C18H7.7	7.52653460815511e-09	1
clec-223	7.53884878591571e-09	1
nkb-2	1.74549142022527e-08	1
D2062.13	1.98421879333071e-08	1
F56F4.3	2.02900367345112e-08	1
D1086.17	4.83740056692351e-08	1
F01G12.18	6.85998268004282e-08	1
nep-13	1.86841628509679e-07	1
ZK813.7	2.18322553802855e-07	1
irld-6	2.60155744340012e-07	1
Y57G11C.23	3.06420210173021e-07	1
Y37D8A.19	3.06895264360761e-07	1
Y69H2.3	3.21700898768055e-07	1
cin-4	6.56905826416259e-07	1
F57C2.4	6.83059686460862e-07	1
sst-20	8.66384599887891e-07	1
nas-20	1.64984193774243e-06	1
ZK262.2	4.22767928095073e-06	1
K08C9.2	6.42725232619141e-06	1
T08B6.4	6.74762083826945e-06	1
math-48	6.79035988246841e-06	1
C04H5.7	1.00732526901518e-05	1
ZK795.2	1.10229681419015e-05	1
C14F11.4	1.32385228009696e-05	1
irld-3	1.38662633719783e-05	1
ZK813.1	4.39096032276408e-05	1
ZC373.2	5.01578322511754e-05	1
exc-6	6.41245764253102e-05	1
Y105C5B.18	7.35776824741383e-05	1
C01G12.16	0.0001157641947942	1
R07C3.13	0.0001211637181964	1
C28C12.11	0.0001302027632475	1
ZK84.2	0.000597603898532	1
lam-1	0.0006558560619528	1
Y53H1C.3	0.0010046136439526	1
D1086.11	0.0010318507063979	1
bath-3	0.0011838410683752	1
ttr-28	0.0015044258053142	1
M28.9	0.0017910058702797	1
T16G12.12	0.001994441145471	1
F54F7.3	0.002742770448662	1
C04G6.6	0.0048133999815472	1
clec-153	0.0057576552185009	1
K07A3.3	0.0105433214107048	1
Y57G7A.6	0.0113686122123565	1
Y54G2A.15	0.0198936759930643	1
F56A11.6	0.0213542943288202	1
F21D9.2	0.0256799248576046	1
Y43F8C.9	0.0271811240034659	1
Y66D12A.19	0.0282631941415741	1
D1086.6	0.0289286398829411	1
F35H8.1	0.0310761072566728	1
R148.4	0.0373996529064659	1
F59A1.15	0.0383348317507124	1
K12H6.2	0.0410464010158812	1
F20D6.1	0.041104722103001	1
Y57G11B.3	0.0422045251564057	1
dnj-28	0.0436784314514069	1
Y71F9AL.4	0.0447910105456376	1
set-21	0.0457102389582418	1
Y27F2A.6	0.0459100174346004	1
abf-6	0.0459380347951979	1
dhhc-12	0.0504706981589121	1
T22C1.9	0.0546295270179807	1
wht-4	0.0572584485759774	1
ZK1251.3	0.0618634287899608	1
C16A11.5	0.0637974028055248	1
bgal-1	0.067643119149266	1
D1081.9	0.0697123695646307	1
K09H9.9	0.0711098947408078	1
ung-1	0.0739439822250115	1
Y65B4BL.4	0.0789580219596126	1
H04D03.2	0.0798499217692036	1
Y37H2A.7	0.0804962690743443	1
F08F8.6	0.0822649045201214	1
F32E10.9	0.0833847665170161	1
Y73F8A.26	0.0838935564355037	1
zwl-1	0.0845369134721366	1
F23C8.8	0.0887947580966221	1
pes-1	0.0893903586797926	1
C35A5.4	0.0914305427458753	1
C48B4.6	0.0939803182302626	1
R06C7.2	0.0978258333864564	1
F25F2.1	0.0980446779258125	1
C18H2.5	0.0997425471137665	1
F45F2.11	0.100711784971882	1
uggt-2	0.10113757274453	1
clec-117	0.102225677123515	1
Y46G5A.8	0.103196346328336	1
C16A11.3	0.105066174661432	1
Y69A2AR.32	0.106957794129755	1
W04A8.2	0.109614933167814	1
F01G4.4	0.111439021396496	1
sys-1	0.114182198099642	1
K07B1.4	0.114513301980077	1
sid-1	0.11534913393108	1
psf-3	0.117168448577331	1
set-24	0.117756517768268	1
W01A8.2	0.118488156077701	1
peel-1	0.119863823613572	1
epi-1	0.124007681011236	1
ftr-1	0.1251386730653	1
set-5	0.127481223019199	1
T01C3.9	0.129284437618801	1
snpc-3.2	0.131330170163996	1
gpr-1	0.133027238331313	1
C55C3.4	0.135465957702059	1
grl-17	0.136903206503001	1
ZK1225.4	0.136927965797612	1
K12D12.5	0.138945747662081	1
irld-8	0.141299244986347	1
pole-2	0.141440391531189	1
fbxa-106	0.143417287275173	1
fbxa-107	0.144130273601152	1
snf-5	0.150482643081305	1
hat-1	0.151403101499949	1
nola-3	0.152365864992503	1
Y105C5B.20	0.152827726679755	1
Y55F3BR.2	0.153110504396904	1
F32B6.10	0.153163955638348	1
ZK892.3	0.153483625159959	1
K06B4.15	0.156132815918484	1
csc-1	0.156165266143599	1
B0035.21	0.156932762433746	1
EEED8.13	0.157800778232632	1
K08C9.1	0.158743086916865	1
F54D10.4	0.160412945297528	1
bath-21	0.161472864855865	1
JC8.16	0.161896037993378	1
K10C2.14	0.161945011644554	1
pssy-2	0.164535633451898	1
R119.2	0.16529781434385	1
C30G12.6	0.167524771978974	1
BE0003N10.6	0.168247949581494	1
Y57G11C.8	0.168279436916357	1
fbxc-45	0.169187316576583	1
Y73B3A.1	0.169564341213347	1
K09H9.7	0.170782985702634	1
F35G12.5	0.171060855075937	1
spin-1	0.17627528814272	1
Y38H8A.7	0.177481454710888	1
Y57A10A.1	0.180108325351533	1
T08B6.9	0.183905949208397	1
F32H2.10	0.184487547248482	1
C08H9.3	0.185244989926259	1
C16C8.14	0.187573273774133	1
Y116A8C.23	0.187912009817459	1
F40H6.1	0.188105643164739	1
F42G4.2	0.189944254550613	1
F29B9.7	0.192849874275407	1
mct-5	0.193743197239778	1
C47E8.1	0.195476315688831	1
brd-1	0.199210918252772	1
gln-2	0.206566768659207	1
K05C4.4	0.207759706581868	1
abu-13	0.20803972802615	1
Y18D10A.9	0.209157004679134	1
pal-1	0.211033859794859	1
F27E5.3	0.2118515142137	1
C27F2.7	0.213311013060623	1
K12H4.2	0.216056157522814	1
nstp-6	0.216995132896448	1
fog-2	0.218219425374251	1
elli-1	0.219822359625353	1
cosa-1	0.220333932363273	1
hal-2	0.221157946529145	1
Y39B6A.16	0.223667372457585	1
K11H3.8	0.22372888718151	1
Y66A7A.4	0.228272221273577	1
tyms-1	0.228896333274467	1
C56C10.9	0.229262702363232	1
M106.7	0.231808699441026	1
tag-281	0.232137415219839	1
K09C6.7	0.234675907310757	1
C09H10.5	0.234940253254101	1
Y39B6A.18	0.235713508034172	1
ZK1053.2	0.238982323852097	1
gly-14	0.241282450539673	1
F42G4.5	0.243307620256858	1
set-9	0.245706325401042	1
nas-21	0.247782282952859	1
C34H4.5	0.247879152939669	1
E01B7.2	0.248629933780764	1
K08D9.9	0.248978350588514	1
enu-3.6	0.249751333737799	1
Y53C10A.10	0.255025810634195	1
ZK930.5	0.256355461710554	1
C50B8.6	0.261421075499198	1
Y54E2A.8	0.261749708583535	1
bath-13	0.262472094721087	1
C27D8.4	0.266539397407155	1
coh-4	0.267707243703962	1
F58D2.2	0.26896602644112	1
ZK616.5	0.269671395134062	1
F43D2.3	0.274372153385151	1
Y71F9AL.2	0.274832356412812	1
R11A8.1	0.275336062023519	1
Y39B6A.30	0.278793095399754	1
Y53G8AR.6	0.284343848274074	1
W05G11.2	0.285752430871976	1
K07F5.12	0.286225010155766	1
com-1	0.291182460841312	1
ins-37	0.291853371106854	1
flh-1	0.29320899454827	1
B0524.6	0.296197351133455	1
clec-79	0.298866925579182	1
K08H2.10	0.301020706365639	1
metl-2	0.302503280920313	1
set-23	0.304996133303323	1
clp-2	0.310042122328133	1
H14A12.5	0.314383042644981	1
ctps-1	0.320870889338219	1
R06B10.2	0.321062188237851	1
Y50E8A.10	0.324586814553469	1
C38C6.5	0.325126970292445	1
Y43F4B.9	0.332933540440414	1
T11F8.1	0.332962855518571	1
R03D7.2	0.339318994288231	1
T16G12.3	0.340304195004975	1
spr-1	0.341484502557519	1
swt-4	0.34377346898724	1
hasp-1	0.350116840406382	1
lars-2	0.350120021102048	1
elc-1	0.351085726542726	1
grd-15	0.352386765479666	1
dog-1	0.358301408618446	1
fezf-1	0.358417928259283	1
dyf-17	0.365273242250851	1
ZK856.18	0.372278291583179	1
C50F2.2	0.378657694601273	1
fbxa-216	0.388165286137236	1
Y87G2A.13	0.389043324380057	1
C45G9.2	0.392579205239271	1
B0564.2	0.393766191911982	1
ZK1010.2	0.394722360811475	1
nas-22	0.395156814288507	1
cdt-1	0.402543703032107	1
ZC513.5	0.406612383934621	1
T04B2.7	0.407125192879515	1
pop-1	0.407666149878112	1
R06F6.12	0.411370817415419	1
C46E10.1	0.412749251098938	1
pqn-13	0.414342372427471	1
spe-4	0.414551686720932	1
T10E9.8	0.417336713417082	1
C04H5.1	0.428665541979082	1
lin-3	0.430538850910343	1
K07H8.7	0.432268745115627	1
mbtr-1	0.434798509330788	1
bath-2	0.436277150626021	1
T12G3.4	0.438896391712484	1
bath-7	0.441329250512632	1
F27C1.3	0.44559426266419	1
Y39B6A.37	0.451519266306014	1
