gene_short_name	scaled_TPM	group_number
aman-1	6.41321754719918e-16	1
lgc-26	1.5787790655993702e-15	1
lgc-28	2.05702081199323e-15	1
Y73F4A.1	2.6678123771823906e-15	1
ule-3	3.4690396126203507e-15	1
Y62H9A.3	3.73665966053188e-15	1
snf-9	4.647181780136341e-15	1
ZC116.3	4.86586377285262e-15	1
Y62H9A.4	5.04385240539289e-15	1
F55B11.3	9.67003234911409e-15	1
K02E7.11	1.44501917476428e-14	1
K07A1.6	1.5046297322012902e-14	1
ttr-1	2.01589008336676e-14	1
ZK856.5	2.23047624595921e-14	1
F17E9.4	2.93007576436951e-14	1
col-135	2.9312352374763e-14	1
W02D9.7	3.43829589664243e-14	1
F38A5.22	3.48296859710179e-14	1
Y69H2.3	3.49152911547653e-14	1
T13B5.9	1.0393571321642e-13	1
C18D11.10	2.6043350742302e-13	1
T25D3.3	8.14157002809078e-13	1
T05H10.3	8.73473193607273e-13	1
ZK1053.3	2.46118298205974e-12	1
F01G12.1	2.6780558803893e-12	1
ule-5	4.1347995844169e-12	1
T05B4.14	4.49723168973586e-12	1
F35C12.3	3.76908013354854e-11	1
M70.1	5.05510490579632e-11	1
clec-151	6.61197238228142e-11	1
M02B1.4	1.58717278822829e-10	1
K02F6.3	1.61106027119534e-10	1
ZK1010.5	2.40381596823316e-10	1
D1054.10	3.44615847809363e-10	1
Y43F8C.5	4.3156477783104005e-10	1
peel-1	2.0149767836647403e-09	1
F55B11.2	2.2071065932996302e-09	1
F57C2.4	3.80206919035544e-09	1
T19H5.7	6.065253731250211e-09	1
ttr-12	6.465102768846111e-09	1
Y47H9B.2	1.77327195442619e-08	1
F28A10.4	4.96742581524258e-08	1
ZK813.3	7.52809322061653e-08	1
F56F4.3	8.60298513857388e-08	1
K08C9.2	1.12745487391138e-07	1
F01G12.18	1.27388200357442e-07	1
nep-23	1.62909638125387e-07	1
ZK813.7	1.64289067416858e-07	1
F56A11.6	2.05898765870691e-07	1
D1086.17	2.1061238309889e-07	1
Y62H9A.5	2.8145989056412e-07	1
Y37D8A.19	3.2760730586518e-07	1
spe-12	3.30981802253005e-07	1
ttr-14	4.44715278393774e-07	1
C14F11.4	5.61789933387129e-07	1
irld-6	5.66328576784517e-07	1
F31E8.5	7.32959068507785e-07	1
clec-153	2.05464124142799e-06	1
wht-8	2.48428218806433e-06	1
T08B6.4	4.26768791925082e-06	1
C04H5.7	6.07091470278333e-06	1
ZK813.1	1.00648276571773e-05	1
ZK795.2	1.01543237608235e-05	1
H29C22.1	1.04768369873556e-05	1
Y41C4A.7	1.26142406357953e-05	1
C28C12.11	1.37351941539438e-05	1
C43G2.3	1.553166724218e-05	1
snpc-3.3	1.59014949140947e-05	1
catp-4	3.45107079028226e-05	1
W02D9.6	4.30987728925455e-05	1
Y105C5B.18	6.11891546868041e-05	1
ZC373.2	7.06473154166808e-05	1
Y43F8C.9	8.7562940738402e-05	1
btb-2	0.000216249653308	1
Y50E8A.2	0.0004049300537388	1
F25H5.7	0.0005189785366266	1
E03H12.7	0.0013384970703427	1
ZK84.2	0.0019500939676594	1
F54F7.3	0.0027971109439028	1
irld-3	0.0091090738023443	1
ZK849.1	0.0132240612013345	1
F37A8.2	0.0143656527611385	1
F36D3.5	0.0192876182334883	1
K11H3.4	0.0205388913152145	1
pqn-88	0.0214516632055931	1
wht-5	0.0221202227685517	1
nlp-4	0.0224591883763223	1
Y54G2A.15	0.0226431882973751	1
gly-14	0.0249474767098731	1
T02E1.7	0.0265257383771161	1
clec-79	0.0319837503162778	1
ttr-42	0.0481110113975288	1
nep-9	0.0639818009477624	1
msp-32	0.0796712585879047	1
F35H8.1	0.0929840582780724	1
D1086.6	0.0943842120017612	1
T16G12.3	0.0989814983644244	1
Y69A2AR.32	0.112057091216222	1
Y116A8A.4	0.115284639704417	1
F21D9.2	0.123817717571338	1
cpg-2	0.136342478054902	1
F32B6.10	0.141615049754311	1
Y39E4A.1	0.148115392818232	1
C50F4.10	0.15236174749388	1
uggt-2	0.158041292507908	1
R04B5.11	0.159296495359741	1
F10D11.3	0.163435177460504	1
C09D4.3	0.165154511718763	1
