gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.7016727981122801e-15	1
Y49E10.29	2.11654770431147e-15	1
lgc-28	2.4933343605562706e-15	1
lgc-26	4.30169307382879e-15	1
F32E10.8	5.2809629761514506e-15	1
Y116A8C.3	7.215426515345671e-15	1
ttr-1	9.05368814345392e-15	1
Y62H9A.4	1.06076786041717e-14	1
snf-9	1.28204453291696e-14	1
F55B11.3	1.6968033289625902e-14	1
T13B5.9	2.1554087152077e-14	1
clec-178	2.60485834702158e-14	1
C31H1.5	2.78739298784812e-14	1
scl-17	4.9562252646265e-14	1
K07A1.6	6.59275693881912e-14	1
nep-20	7.15562469413366e-14	1
F38A5.22	8.015725943868222e-14	1
Y95B8A.4	1.15365226244671e-13	1
F17E9.4	1.33463560654169e-13	1
ZK813.3	1.53256795898408e-13	1
F57A8.6	1.7861789517788e-13	1
H29C22.1	1.5631632979877198e-12	1
ssp-37	1.8352314160272e-12	1
Y62H9A.3	2.0865870375405e-12	1
C46E10.1	4.83573612244848e-12	1
ule-3	7.43795195934435e-12	1
ule-5	1.37968725495589e-11	1
sst-20	3.65913879014868e-11	1
spe-12	4.74219211330918e-11	1
W05B10.6	6.32926534751479e-11	1
ZK1010.5	6.812160889165839e-11	1
Y62H9A.5	1.34652558713134e-10	1
F26B1.1	1.37775648766993e-10	1
F35C12.3	1.61583778061918e-10	1
D1054.10	1.67233247041085e-10	1
W02D9.7	2.42924950190322e-10	1
K11H12.6	5.45060324751401e-10	1
F19C7.5	5.73842551462377e-10	1
M02B1.4	5.8690341744011e-10	1
ZC373.2	1.6629875089575e-09	1
F36A4.5	2.0076641358243103e-09	1
clec-119	2.22007578711757e-09	1
Y105E8A.27	3.59659095942825e-09	1
ttr-12	7.18720809497075e-09	1
F46F5.16	2.35421702329459e-08	1
D1086.17	3.22861665177136e-08	1
C04H5.7	4.28162102913817e-08	1
nkb-2	5.64433840802475e-08	1
ZK1225.5	5.82019396013604e-08	1
clec-223	9.74261688243019e-08	1
T08B6.4	5.21282869535597e-07	1
ZK813.7	5.78294875422447e-07	1
ttr-14	7.64591254139253e-07	1
K08C9.2	8.12729245571358e-07	1
Y37D8A.19	1.18976705042063e-06	1
Y69H2.3	1.39460577305881e-06	1
ttr-9	2.88475303257186e-06	1
F57C2.4	2.92200567993096e-06	1
F37A4.4	3.00453756811253e-06	1
Y57G11C.23	5.39863464678623e-06	1
wht-8	5.50615599648196e-06	1
C09B9.2	1.00575616044285e-05	1
Y43F8C.5	1.13791092174125e-05	1
C14F11.4	1.27377828692903e-05	1
C28C12.11	1.60973436519063e-05	1
Y59H11AM.4	2.06223560995789e-05	1
ZK795.2	2.13618838279074e-05	1
ZK262.2	2.48570598791514e-05	1
D1086.6	4.10164456939303e-05	1
Y105C5B.18	9.13866498606294e-05	1
Y37E11AR.7	0.0001000985335749	1
W02D9.6	0.0001022878524703	1
nep-23	0.0001533404973601	1
ZK813.1	0.0002314021455846	1
F17E9.15	0.0003019981932857	1
K06B4.15	0.0003356751988533	1
acp-3	0.0005177204762783	1
ZK84.2	0.000524306351581	1
F55B11.2	0.0006769038455951	1
F54F7.3	0.0006795341911242	1
