gene_short_name	scaled_TPM	group_number
T19C3.5	5.52804925128391e-16	1
cup-4	1.6111126566849402e-15	1
galt-1	1.82706570666045e-15	1
lgc-26	1.86021356953577e-15	1
aman-1	1.86959177125483e-15	1
F40H6.1	2.6756265847999507e-15	1
ZK856.5	2.8484919331417107e-15	1
F32E10.8	2.9288175538772204e-15	1
ule-3	3.2067293150478906e-15	1
Y116A8C.3	3.97175667291285e-15	1
unc-122	5.11780342234315e-15	1
Y73F4A.1	5.626419097289781e-15	1
best-25	6.010242862128901e-15	1
oac-9	6.123467763710741e-15	1
mig-6	9.308907779114742e-15	1
F55B11.3	9.715343048212982e-15	1
C33C12.12	9.96377129416296e-15	1
ZC116.3	1.00912519674294e-14	1
Y62H9A.4	1.08614473329356e-14	1
snf-9	1.15577985327579e-14	1
lgc-24	1.22406469829201e-14	1
clec-178	1.34159215399153e-14	1
clec-222	1.6249643697239102e-14	1
ttr-1	1.63883409901497e-14	1
clec-190	2.14246949330129e-14	1
T21E12.3	3.1445743965766e-14	1
W02D9.7	3.52642943399743e-14	1
D2062.5	4.78865363267089e-14	1
nep-8	5.46012659464857e-14	1
T25D3.3	5.556277664022231e-14	1
ZK813.3	5.91823720159635e-14	1
F38A5.22	8.51897252191035e-14	1
ttr-14	1.28978508340605e-13	1
B0207.5	1.44051977108876e-13	1
F10D11.4	1.99409337083656e-13	1
Y105E8A.27	2.15452613876488e-13	1
D1054.19	3.06203050482898e-13	1
T05B4.14	3.69714227874555e-13	1
F56C4.4	5.23542707168722e-13	1
nep-10	7.66572967371007e-13	1
ssp-37	1.28365447839651e-12	1
H29C22.1	1.40307254796694e-12	1
C31H1.5	1.42211779319934e-12	1
Y62H9A.3	3.37925710823881e-12	1
spe-12	3.95569466996712e-12	1
ule-5	5.7022691601424694e-12	1
clec-151	5.97627466007207e-12	1
F35C12.3	8.455666677856269e-11	1
Y62H9A.5	9.028364411582988e-11	1
D1054.10	1.10578214785017e-10	1
Y43F8C.5	2.42612322655166e-10	1
M02B1.4	3.4040416179152603e-10	1
K02F6.3	3.62679711525488e-10	1
spe-42	6.53415790714143e-10	1
W02D9.6	7.69862081042271e-10	1
T19H5.7	1.74949817537688e-09	1
ttr-12	4.2521605246158806e-09	1
abf-1	4.533298573657671e-09	1
F55B11.2	4.67199835782287e-09	1
T08B6.4	7.67833478284928e-09	1
nep-13	9.184650825042093e-09	1
H20J04.1	1.29169779824645e-08	1
C18H7.7	3.09458678429438e-08	1
R07B1.8	3.44218660473069e-08	1
nkb-2	5.61886724836728e-08	1
C04H5.7	5.80615630920255e-08	1
F56F4.3	6.55584851393162e-08	1
F17E9.4	8.70886732501229e-08	1
ZK1053.2	1.0104174822387e-07	1
nep-23	1.32969583251682e-07	1
F57C2.4	2.05077766795536e-07	1
D1086.17	2.18641544420454e-07	1
ZK813.7	3.24125932934528e-07	1
Y37D8A.19	5.20663358519222e-07	1
F42G4.6	5.23008837878647e-07	1
nas-20	5.46831249920076e-07	1
Y69H2.3	7.62705550453347e-07	1
sst-20	2.45849431403235e-06	1
K07A1.6	3.08127212418072e-06	1
F54F7.3	4.98315422425395e-06	1
C14F11.4	9.83951387892772e-06	1
ZK262.2	1.00200233956661e-05	1
K08C9.2	2.30006743950566e-05	1
exc-6	2.69064674745591e-05	1
Y105C5B.18	2.80175211191054e-05	1
ZK813.1	5.45425820984648e-05	1
ZC373.2	6.25910265451325e-05	1
K10H10.7	7.04333001181207e-05	1
Y37E3.19	0.0001250117912086	1
T24C4.8	0.0002099816790316	1
C28C12.11	0.0002838578527892	1
acp-3	0.0002998940107871	1
Y43F8C.9	0.0003955737125585	1
M162.7	0.000530061032252	1
C55A1.6	0.0006978515831467	1
ZK84.2	0.0007549706318995	1
irld-14	0.0010335428951026	1
lam-1	0.0013017243524206	1
Y116A8C.33	0.0017969996218802	1
tsp-18	0.0019311736027091	1
irld-3	0.0029527749108585	1
ttr-28	0.0031250299552014	1
