gene_short_name	scaled_TPM	group_number
Y116A8C.3	2.38585396396391e-16	1
H29C22.1	3.682170343868349e-16	1
Y62H9A.4	3.82188264971145e-16	1
C04H5.7	3.82826990066013e-16	1
dig-1	4.51399685246857e-16	1
F55B11.2	8.99408656248827e-16	1
C31H1.5	1.7202017255947202e-15	1
F57C2.4	2.33729095828693e-15	1
F38A5.22	2.51914874937173e-15	1
sst-20	2.7045259521666504e-15	1
Y73F4A.1	7.77338730877854e-15	1
C54D10.4	8.82964217996301e-15	1
ttr-1	1.32616920582424e-14	1
F01G12.18	1.33678975083696e-14	1
nep-8	1.85155058986117e-14	1
Y62H9A.3	2.39851817328252e-14	1
D1086.17	2.7608179098447e-14	1
Y105C5B.18	6.81792455709145e-14	1
F32B5.2	7.05131520732289e-14	1
ZK813.3	8.680018437477542e-14	1
T07F10.1	1.2466604574797e-13	1
C18H7.7	1.26630544331312e-13	1
srt-65	1.63151554454943e-13	1
F40H6.1	2.8345492357261898e-12	1
ule-3	1.21641016314329e-11	1
Y43F8C.5	3.12832127471594e-11	1
D1081.12	4.14274074258648e-11	1
D1022.9	5.49061656871862e-11	1
srx-73	8.88795267668014e-11	1
Y54G2A.15	1.67288006598351e-10	1
K08C9.2	5.21915159505807e-10	1
D1054.10	5.94885315137413e-10	1
F55B11.3	1.2586755725509e-09	1
R13H9.5	1.72970523595886e-09	1
Y105E8A.27	2.34194514240278e-09	1
nep-11	4.239813742426881e-09	1
W09D6.4	1.19575880284114e-08	1
C09B9.2	1.28810857317901e-08	1
clec-79	2.0073282392267e-08	1
Y106G6G.1	2.16869794306784e-08	1
C14F11.4	2.90592045840454e-08	1
Y57G7A.6	3.58296623866276e-08	1
R08A2.1	3.66670864443097e-08	1
T08B6.4	1.77592808432963e-07	1
T08G3.13	1.92843041902385e-07	1
D2062.4	2.10605150948052e-07	1
nlp-13	2.69635364546691e-07	1
C09D4.3	2.77150297529981e-07	1
sro-1	3.48168246021068e-07	1
F31E8.5	5.63361874711676e-07	1
ttr-14	6.10584722283888e-07	1
Y23H5B.1	6.95661614624954e-07	1
F17E9.4	8.30677608887806e-07	1
irld-14	1.45302674871986e-06	1
K11G9.5	1.62173123709504e-06	1
Y43F8C.9	2.04149142892738e-06	1
F35H10.2	2.05365016622178e-06	1
ZC13.10	2.96802432891874e-06	1
K09E4.1	4.00121560068213e-06	1
clec-153	4.61428147413045e-06	1
cnp-2	5.00036583938359e-06	1
pghm-1	7.59585747807249e-06	1
K07A1.6	1.06877265295654e-05	1
scrm-5	1.13662228146438e-05	1
F55D12.6	1.97623980645266e-05	1
catp-4	2.05814871321834e-05	1
Y37D8A.19	2.36694705537406e-05	1
C43G2.3	2.44293603219645e-05	1
Y1A5A.1	2.77585733228847e-05	1
Y71F9B.15	3.32356548264813e-05	1
ZK813.7	3.55675422465082e-05	1
tbx-34	5.14413980564965e-05	1
W09C3.8	7.52226110029469e-05	1
F37A4.4	0.0001083736386705	1
Y47D9A.3	0.0001216691815058	1
ZK892.5	0.0001424632211859	1
Y73F8A.14	0.0001508457721904	1
K11D12.13	0.0001581006767605	1
F58A6.5	0.0001923002585622	1
sgcb-1	0.000216230441983	1
ZK688.10	0.0002713499703468	1
C36H8.1	0.0002992400505393	1
C04A11.1	0.0003446851139669	1
ZC373.2	0.0004064467626538	1
npr-25	0.0004962837050244	1
try-7	0.0004998135569401	1
Y47D3A.13	0.0005033550512808	1
T22C1.9	0.0006423983593975	1
W03D8.9	0.0007898289830581	1
C25E10.17	0.0008368155969759	1
ZK973.4	0.0009959527657226	1
T28B8.6	0.0009985502842286	1
nlp-43	0.001208405979798	1
egl-3	0.0015140758445888	1
C10A4.4	0.0019431850708189	1
W03D8.3	0.0021244700820144	1
ule-5	0.0021846379932226	1
ZK813.1	0.0024759845644027	1
ZK354.2	0.0024861477050827	1
F54F7.3	0.002544809616196	1
mec-7	0.0031030792729324	1
snt-4	0.0031597971556495	1
mctp-1	0.003203296010489	1
flp-2	0.0034526355626996	1
flp-17	0.0037023001462974	1
C33C12.7	0.0038167006126485	1
F59C6.3	0.003901504129845	1
ZK1225.4	0.0040015255319325	1
Y116A8C.33	0.0075269290229066	1
srd-5	0.0081343486029903	1
C50E10.2	0.0085705527618918	1
T13F3.8	0.0093151289641254	1
npr-2	0.0097180013069711	1
M70.3	0.0098268792229251	1
F37A8.1	0.0115523518179968	1
Y57G11A.2	0.0122509167248959	1
F57A8.6	0.0123049130362085	1
F10E7.9	0.0123054848832954	1
W02B12.16	0.0124023456236791	1
C10G11.10	0.0124416310993573	1
srd-33	0.0131598708960882	1
irld-1	0.0160216376364511	1
ZK1010.5	0.0171629170469073	1
T10E9.4	0.0184394622192251	1
M02E1.2	0.0185355377111599	1
C44B11.4	0.0187997915605822	1
ZC250.5	0.0188036148581523	1
H38K22.6	0.0195712114382706	1
flp-26	0.0198025279933022	1
B0222.15	0.0204851427153447	1
cdka-1	0.0216016140292884	1
