gene_short_name	scaled_TPM	group_number
snf-9	5.66466908356252e-16	1
mig-6	1.15813258114927e-15	1
F55B11.3	2.39495275038269e-15	1
Y73F4A.1	3.45298377136516e-15	1
Y116A8C.3	4.911838472562861e-15	1
ule-3	5.02763823353541e-15	1
clec-178	5.161356790052521e-15	1
ttr-1	7.18047340799884e-15	1
Y62H9A.4	1.07078959918184e-14	1
ZK813.3	1.1013371322415e-14	1
lgc-28	1.26567418332964e-14	1
W02D9.7	1.7330081873492202e-14	1
mpz-6	2.11344690058936e-14	1
his-16	2.1758617281097e-14	1
nep-8	3.32524309125646e-14	1
K07A1.6	5.1063852850219705e-14	1
Y51A2B.6	5.10809220662862e-14	1
F17E9.4	5.4231504955203404e-14	1
Y69H2.3	1.09353099237348e-13	1
C07G3.10	1.12321559175483e-13	1
ZK262.3	1.64676133036582e-13	1
ZC373.2	1.71779123006456e-13	1
ttr-14	1.73594679474414e-13	1
Y105E8A.27	1.87451345373424e-13	1
nep-10	4.63773022223877e-13	1
H29C22.1	8.44580840677499e-13	1
col-45	1.01778243767933e-12	1
Y62H9A.3	1.21528648372414e-12	1
ssp-37	1.30366065778931e-12	1
C17B7.3	1.46827285373507e-12	1
C31H1.5	1.54129741092737e-12	1
C54D10.4	1.7191206259177698e-12	1
ule-5	2.72871659753567e-12	1
spe-12	6.2502830586803296e-12	1
clec-123	1.41916691441816e-11	1
D1054.10	1.54280367980907e-11	1
F35C12.3	2.5967054016380003e-11	1
Y62H9A.5	4.3173055725632894e-11	1
T09F5.10	5.46321194184738e-11	1
F01G12.18	1.75820087942714e-10	1
best-1	1.88314375385656e-10	1
Y43F8C.5	1.93068471781328e-10	1
nep-23	2.20499778322818e-10	1
Y105C5B.17	2.79812522412911e-10	1
Y95B8A.4	7.92481434960421e-10	1
W02D9.6	7.9684923761763e-10	1
ttr-12	9.91035705904483e-10	1
clec-151	2.43205548489775e-09	1
H20J04.1	4.05000004197054e-09	1
ZC190.7	4.80024122737574e-09	1
F57C2.4	7.074125507859511e-09	1
elo-7	1.08033370773083e-08	1
F16G10.5	1.38661935475337e-08	1
K08C9.2	2.35680172285827e-08	1
ttr-9	5.59972418902669e-08	1
C04H5.7	1.06642443924603e-07	1
D1086.17	1.1230421509587e-07	1
ZK813.7	2.56548799683426e-07	1
Y37D8A.19	3.12259011170747e-07	1
sst-20	6.79850059733794e-07	1
M02B1.4	9.11871654701316e-07	1
F54F7.3	2.01582955159677e-06	1
K08F4.5	2.76310180555475e-06	1
E02H9.7	2.96158859498873e-06	1
wht-8	3.05636279217094e-06	1
cin-4	3.25234264293164e-06	1
F53H4.2	5.61585805088504e-06	1
C14F11.4	1.04003659379359e-05	1
Y39E4B.13	1.09383518499587e-05	1
ZK262.2	1.15598947953267e-05	1
ZK795.2	1.43868844451246e-05	1
math-48	1.78971297980169e-05	1
Y105C5B.18	2.67789873630948e-05	1
C28C12.11	3.1057760434248e-05	1
D1086.6	3.98898387945317e-05	1
C34D4.2	0.0001065301702783	1
nkb-2	0.0001227941079346	1
F23B12.1	0.0001404206661194	1
ZK84.2	0.0001593500310696	1
AC7.3	0.0002332114084181	1
ZK813.1	0.0005752723480734	1
irld-14	0.0009602099133013	1
C01G12.16	0.0013101315845556	1
lam-1	0.0013553120100918	1
Y116A8C.33	0.0013926360075646	1
F55B11.2	0.001683555478755	1
T05B4.14	0.0021701216511112	1
ttr-28	0.0021799116788894	1
H06I04.5	0.003012036917484	1
ins-37	0.0030574797600698	1
D1086.11	0.0042887670911091	1
irld-3	0.004794525272079	1
T07E3.2	0.0056234515274351	1
Y38F2AL.12	0.0074665668566983	1
M28.9	0.0081880474357326	1
dhhc-12	0.0083123097002116	1
ZK1010.5	0.0108733321589675	1
Y54G2A.15	0.0173045986564113	1
irld-18	0.0194116470905599	1
bath-3	0.0253274746818124	1
C48B4.6	0.034036444458668	1
C08B6.6	0.038955270427188	1
nep-9	0.0429165298262258	1
H12D21.5	0.0640160260984386	1
pssy-2	0.0659600002299453	1
T02E1.7	0.0717657946860234	1
Y67D8B.5	0.0717938636039546	1
dhhc-13	0.0740218614442519	1
cpb-1	0.0795858514094622	1
D1081.12	0.0800599651150543	1
F40H6.1	0.081334620935889	1
C35D10.8	0.0814130413761318	1
R03D7.2	0.0817509485085209	1
F54F7.6	0.0973368319145588	1
F55G1.5	0.100009139807327	1
mut-14	0.112626130437165	1
mex-1	0.113600982905607	1
K12H6.2	0.114687388442746	1
Y38H6C.15	0.118432949819592	1
spin-1	0.138363728235829	1
set-9	0.140767072057442	1
ung-1	0.14367960787093	1
Y54G2A.12	0.146075093562397	1
B0393.9	0.150584206034819	1
C48B4.11	0.152052303830081	1
Y39B6A.30	0.154240187013134	1
him-18	0.154314762846495	1
F40G9.17	0.154932163721321	1
Y47D9A.3	0.155993309375598	1
C16C4.18	0.157120014362506	1
uggt-2	0.159310223283399	1
rnh-1.2	0.160483823265339	1
C16C8.12	0.161448079799142	1
R07E5.6	0.162959168734154	1
aat-9	0.163421597227385	1
dnj-26	0.165737370107952	1
M117.6	0.166025673101104	1
ZK354.7	0.170287279038354	1
C55A6.11	0.171208214869367	1
C40A11.8	0.171759688203895	1
C16A11.3	0.172420224926502	1
K11D2.5	0.175541045970379	1
K11H3.4	0.175746870899191	1
H11L12.1	0.179507959087988	1
C33C12.7	0.179661229732781	1
C14A6.6	0.180252816421422	1
cdk-2	0.181348530140348	1
Y34F4.3	0.181548546739762	1
Y17G9B.4	0.186606962019544	1
ZK686.5	0.187102870815988	1
K06B4.15	0.19172519113954	1
Y75B8A.7	0.192669013293011	1
T28C6.5	0.19610125766028	1
R05D7.5	0.200461261539827	1
F35H8.1	0.202018105326521	1
T07F10.5	0.20647155320621	1
F23H12.3	0.207594641061156	1
tipn-1	0.218116519722039	1
pro-3	0.21836248697441	1
fbxa-210	0.219961022232898	1
sys-1	0.221926681785706	1
F54D10.4	0.223417261419344	1
F28E10.4	0.22604367939654	1
rad-54	0.229594585553748	1
cec-9	0.229615562210227	1
H34I24.1	0.231877357694504	1
hrde-1	0.235245208991412	1
Y65A5A.2	0.235424177646669	1
clec-73	0.235729268961248	1
Y47G6A.3	0.238000480752324	1
F40E12.2	0.240995357812733	1
C09B9.2	0.244732274934083	1
F14F7.4	0.245926298337543	1
metl-2	0.250150579847537	1
fbxa-140	0.250843792971481	1
spe-44	0.254422855224948	1
xpd-1	0.255989861923647	1
marc-2	0.260970406654959	1
cep-1	0.266582035212812	1
his-59	0.266602928832396	1
D1081.9	0.27198631943437	1
Y54E2A.7	0.274824218281869	1
T23H2.3	0.276632130101143	1
rsa-2	0.278299874096438	1
T12G3.4	0.28090898210909	1
W03G9.2	0.281772121886532	1
pif-1	0.286516292724443	1
snf-5	0.287163426386595	1
C30G12.6	0.290548740746056	1
T16G12.3	0.293127128649278	1
cdt-1	0.295794942399472	1
rmh-2	0.296191182527042	1
C16C8.20	0.296379310126664	1
rga-3	0.296917292018822	1
C09D4.2	0.300675035445501	1
T03F6.3	0.303767398649883	1
knl-3	0.311026021382488	1
epi-1	0.312084331436047	1
K09H9.7	0.314977106876749	1
R148.4	0.316150319255619	1
kbp-5	0.316684505010178	1
C09H10.10	0.317040316676806	1
C56G2.3	0.324932530833558	1
R102.8	0.326360993653207	1
C24H12.5	0.327189583650602	1
Y4C6B.1	0.327311189383036	1
bath-7	0.327507433664349	1
F35C5.1	0.329982938659698	1
bath-2	0.332914404395913	1
Y119D3B.14	0.334092946658247	1
tdpt-1	0.336455691204076	1
prom-1	0.337052742459624	1
fbxc-45	0.342789368085256	1
lin-38	0.344645463311921	1
C34H4.5	0.346574163758353	1
abf-6	0.347392553125003	1
ZK39.10	0.355014311967525	1
R102.10	0.356829751664717	1
swd-2.1	0.358693028925561	1
fncm-1	0.362857428527581	1
C30F12.4	0.366836107534361	1
B0432.9	0.369419467327933	1
Y82E9BR.2	0.374548108645025	1
T25B2.2	0.378202265490089	1
Y71F9AR.4	0.379175138322178	1
tin-9.2	0.381210415509463	1
K10C2.7	0.382961760338439	1
C05C10.7	0.384272602744222	1
F54D10.5	0.387639719232182	1
cye-1	0.389917604223001	1
alkb-8	0.390827800406432	1
Y49F6B.9	0.395071954877117	1
klp-18	0.396536689425578	1
gmn-1	0.398937294788983	1
Y54E2A.8	0.399046177791345	1
Y41D4B.4	0.399487213967986	1
Y48G1C.1	0.400468799450766	1
F35D11.4	0.403462679839915	1
Y57G11B.5	0.413231689999112	1
