gene_short_name	scaled_TPM	group_number
Y73F4A.1	3.3846182687333103e-15	1
mig-6	3.92268751052188e-14	1
Y62H9A.4	4.03336298643487e-14	1
K07A1.6	2.02702406648772e-13	1
ZC373.2	4.01778412585705e-13	1
ule-5	2.77669746845671e-12	1
D1054.10	3.2241897014004e-12	1
Y62H9A.3	5.54020049672778e-12	1
Y37D8A.19	6.22268345114645e-11	1
spe-12	1.4599469317012e-10	1
Y62H9A.5	1.57735998816369e-10	1
Y43F8C.5	2.8311093760101203e-09	1
F55B11.2	4.9647373650189e-09	1
F57C2.4	1.22956145969323e-08	1
F54F7.3	6.94904007743872e-06	1
F53H4.2	9.44209228069551e-06	1
C14F11.4	3.88833087754979e-05	1
C28C12.11	0.0003398501337361	1
Y43F8C.9	0.0007336566184733	1
ttr-42	0.257970950532953	1
F35H8.1	0.663321375177663	1
C09B9.2	1.76442849089284	1
F56A11.6	4.16304540332436	1
T21B10.4	4.16520980253918	1
Y69E1A.1	6.43199660004932	1
K08C9.1	6.73918586580616	1
hil-4	7.72136576744483	1
hil-5	8.45148708448068	1
H38K22.6	8.49447181009129	1
F59C6.3	8.97807778649872	1
F28C6.10	9.08428962828212	1
C16A11.4	9.19206713640115	1
catp-4	9.25094553638475	1
C33C12.7	9.37734701936365	1
F42A9.7	9.70849263489278	1
hpo-26	10.1289448884226	1
Y47D3A.13	10.1730750342215	1
F56D6.13	10.2254666615551	1
D2062.4	10.2829648880573	1
T23F6.3	10.6575500365988	1
F36D3.16	11.3078897324726	1
pgl-1	11.873087458097	1
glh-4	13.9321004271361	1
C05B5.2	14.0686596775821	1
T12C9.7	14.2639141931098	1
ZK418.2	14.344642073173	1
Y54E2A.8	14.5366962820467	1
hpo-32	14.6514493792699	1
fbf-1	15.2364052591712	1
fbf-2	15.3024135137334	1
Y54G11A.3	15.4080653871415	1
Y39B6A.42	15.548396914561	1
T07C4.3	15.8042144718154	1
plk-3	16.2204033331871	1
F17E9.5	16.2717023188128	1
F32H2.7	16.387350222825	1
JC8.7	16.4766038715242	1
ctf-4	16.8191348408641	1
Y37D8A.5	17.8593631569567	1
lpd-6	18.9788103595067	1
tag-151	18.9996877094892	1
immt-2	19.175028309966	1
mcm-4	19.7698931090434	1
imb-3	20.8860030411439	1
pms-2	21.1217909556418	1
K07H8.10	21.1656621620109	1
tpxl-1	22.2172480924988	1
Y66D12A.9	22.2233017416564	1
mls-1	23.7006485078218	1
F58G11.3	23.8167870926174	1
C44B7.5	23.9340780601156	1
icmt-1	24.1154593960001	1
wee-1.3	24.1177790824011	1
R04F11.3	24.4868717298633	1
ZC412.10	24.5366828061988	1
wht-7	24.6661611667553	1
Y75B12B.1	24.714036184891	1
C43E11.9	24.8755507818152	1
let-2	24.9642968470065	1
M05D6.1	25.1280381462971	1
Y23H5A.3	25.5959060847283	1
C09D4.2	25.6794494647531	1
pig-1	25.7346879949304	1
Y38H8A.3	25.8428770428819	1
C27D9.1	26.1340622846312	1
Y106G6A.4	26.2149756880334	1
Y39B6A.33	26.8951439429635	1
Y75B8A.16	27.353143832138	1
Y116A8C.13	27.5162554223504	1
nos-3	27.9197463140121	1
psf-1	27.9654098985745	1
msp-51	27.9848181617258	1
C36E6.8	28.2414562460409	1
snr-3	28.4166125023699	1
kars-1	28.4365069763263	1
B0334.5	28.8461497033586	1
inft-2	28.9381405656314	1
F44F4.9	28.9781122806711	1
erfa-1	29.0217922631647	1
mtr-4	29.0521214208702	1
Y110A7A.15	29.0686417924842	1
R08D7.2	29.2113155762902	1
F55F8.2	29.4496456228455	1
T05C12.9	30.0128940514068	1
klc-1	30.2464344571646	1
C30H6.9	30.5030765766046	1
Y61A9LA.10	30.5806610877585	1
eftu-2	30.7589077751719	1
K10C2.14	30.8089735655071	1
C44E4.4	30.8484905727952	1
scpl-4	30.8877693624422	1
gld-1	31.1398672759979	1
apc-10	31.377665955278	1
bath-1	31.7541243336614	1
ZK512.10	31.891361463568	1
fib-1	31.9884474695025	1
nspb-11	32.1151773977557	1
utp-20	32.1289949096711	1
F36A4.4	32.1482611197602	1
ZK250.14	32.1519341026747	1
C05C8.5	32.5272661537158	1
exos-7	32.837257136661	1
E03H12.5	33.1318932948182	1
rog-1	33.2061790126867	1
cpsf-4	33.2487345817848	1
Y54E5A.5	33.3894846669115	1
gpr-2	33.8429441018323	1
C37H5.5	34.3074493549514	1
tofu-2	34.3546623625562	1
ZK632.2	34.4229002325508	1
T21C9.4	34.5323160971791	1
F26F4.2	34.6765723231129	1
cpn-1	34.9229848297879	1
hasp-1	34.9588611714834	1
T05A7.6	35.434342798622	1
T11G6.3	35.5122100072503	1
ant-1.3	35.9928254296298	1
F10E9.5	36.478732935909	1
K08F4.5	36.5399314890694	1
C06G4.1	36.7832741728328	1
C11D2.4	37.0484907892402	1
smc-5	37.0523764857246	1
F49C12.15	37.1558453172959	1
tomm-40	37.1620390258146	1
tag-344	37.3147877151237	1
syx-16	37.362732101599	1
F58A4.2	37.5581473368593	1
ost-1	37.6612856834998	1
haf-3	37.8503243423669	1
B0250.7	37.8928458038355	1
Y48A6B.3	38.0562883286551	1
ztf-7	38.4362881609432	1
C34C12.8	38.5362876374215	1
cgh-1	38.601265299191	1
C14C10.1	38.6023054865328	1
H06I04.3	38.8214179170926	1
K02F3.12	38.8609748945542	1
C17G10.2	39.0245939791491	1
W08E3.4	39.1472098705058	1
K07C5.6	39.1487987524832	1
T23B3.5	39.172933107466	1
F58F12.2	39.4124584302145	1
dut-1	39.4565959207221	1
wht-6	39.4824949131488	1
nspc-14	39.7431315294914	1
lst-1	39.7555006296697	1
rpn-6.2	40.0736267071752	1
T13F2.2	40.1413199997083	1
Y38C1AA.7	40.4507733553518	1
K01H12.4	40.4847373620153	1
Y71F9AL.8	40.5242346582193	1
Y73B3A.20	40.684783853508	1
ppw-2	40.777961575727	1
T10B11.8	41.2278729238808	1
ruvb-2	41.3394405784161	1
C28D4.7	41.3430268688401	1
Y53F4B.3	41.5103339967804	1
W07E6.2	41.6431071831863	1
msh-5	41.7508089145884	1
C44B7.2	41.7575672157073	1
ufd-1	41.8296400471434	1
him-3	42.0424966712835	1
cpb-3	42.0916292418552	1
lig-1	42.1564678904723	1
lsm-4	42.1730278698401	1
rhr-1	42.1778696015343	1
ajm-1	42.3129688913018	1
rnr-2	42.3310336404683	1
uba-5	42.5171970788982	1
F33A8.4	42.5473676572561	1
pqn-94	42.6396813450439	1
