gene_short_name	scaled_TPM	group_number
ZK856.5	1.1787987537332201e-15	1
aman-1	2.4614136355775006e-15	1
mig-6	2.6134163491198904e-15	1
C31H1.5	2.6150357850330603e-15	1
clec-222	4.823847882561151e-15	1
Y116A8C.3	5.256302028825751e-15	1
Y73F4A.1	8.51773866713897e-15	1
ttr-1	1.15242785271357e-14	1
Y62H9A.4	1.19124974693136e-14	1
F55B11.3	1.9991426022823e-14	1
clec-178	3.2370619046383104e-14	1
cof-2	6.33348039462501e-14	1
F56C4.4	1.08184965575175e-13	1
bgnt-1.4	1.24109926144593e-13	1
F17E9.4	1.73660171320479e-13	1
snf-9	1.879589816116e-13	1
T05B11.4	3.80139217833118e-13	1
M70.1	5.3830344039434e-13	1
H29C22.1	5.90532160282488e-13	1
C54D10.4	6.87408403919217e-12	1
Y62H9A.3	1.0290468949759098e-11	1
ule-3	1.18205796599717e-11	1
W05B10.6	1.84338505197861e-11	1
ule-5	1.91753199826993e-11	1
F35C12.3	2.68002547973435e-11	1
T02E1.7	1.0353777463823e-10	1
M28.9	4.53216527713419e-10	1
D1054.10	4.59472104565385e-10	1
W02D9.7	4.90050852458597e-10	1
ZC373.2	2.1474835371586302e-09	1
K12B6.2	4.60243340029502e-09	1
Y105C5B.17	1.15908793374603e-08	1
K02F6.3	1.33729391031886e-08	1
F55B11.2	2.01455338837493e-08	1
Y47H9B.2	5.54935340484283e-08	1
ZK813.3	6.59310369527928e-08	1
ttbk-2	1.35111718045069e-07	1
D1086.17	1.39885945402531e-07	1
ttr-9	1.96946935568568e-07	1
irld-3	3.42059698562703e-07	1
Y62H9A.5	3.61885327166349e-07	1
nas-20	5.30883032583197e-07	1
F57C2.4	6.57452586042643e-07	1
ttr-14	6.90009527060467e-07	1
Y37D8A.19	7.14779362539467e-07	1
Y69H2.3	9.37848848663101e-07	1
fipr-28	9.93773061758428e-07	1
F58D2.2	1.40764381010206e-06	1
nep-13	1.41963788326007e-06	1
C01G12.3	4.81054538406184e-06	1
Y105E8A.27	4.99294679184882e-06	1
K07A1.6	8.8137321720801e-06	1
Y57G11C.23	9.19711430988768e-06	1
C04H5.7	1.06861400370185e-05	1
T08B6.4	1.15678535337924e-05	1
Y43F8C.5	2.04008285332927e-05	1
C14F11.4	2.77894258385627e-05	1
ZK813.7	4.13857251569328e-05	1
Y105C5B.18	0.0001213718320277	1
ZK813.1	0.0001214635509421	1
C28C12.11	0.0001481238776196	1
mpz-4	0.0001808014430835	1
K06B4.15	0.000249624647443	1
K08C9.2	0.0002721629525608	1
try-7	0.0003145346705664	1
F54F7.3	0.0004672929115532	1
acp-3	0.0007797045116629	1
T04B2.7	0.0019293096295571	1
D1086.11	0.0031280583335876	1
M162.7	0.0034989315884942	1
C33C12.7	0.007834754381354	1
Y38F2AL.12	0.0087704283914946	1
frm-9	0.0123895631149105	1
ttr-42	0.0158118789036083	1
K11H3.4	0.0188064457465858	1
Y54G2A.15	0.0225917580295318	1
T21B10.4	0.0478825913770578	1
ZK1010.5	0.0494021046966517	1
lam-1	0.0504421555911823	1
F13D12.5	0.0617755561263864	1
C48B4.6	0.0680460602804588	1
C30F12.4	0.0690485036845267	1
Y57G7A.6	0.0713217905801722	1
acs-6	0.07807348964561	1
D2062.4	0.09010587103586	1
R03D7.2	0.0956256199248157	1
Y57G11C.40	0.106074876574614	1
abf-6	0.114152695365014	1
Y43E12A.3	0.116808948127772	1
Y43F8C.9	0.122544477698119	1
F14F7.4	0.127427969100057	1
set-9	0.132025804978429	1
nrf-5	0.152731652408522	1
Y69A2AR.32	0.174983455549311	1
C16C8.14	0.180109509856333	1
C27B7.5	0.198484352625014	1
C36H8.1	0.203735416859483	1
rmd-6	0.205521736420878	1
F29B9.7	0.215239638037032	1
Y54E2A.9	0.215847480171517	1
B0393.9	0.224364957097594	1
Y79H2A.2	0.224848027023698	1
scl-23	0.240561687148741	1
enu-3.2	0.24718138614182	1
F53H4.2	0.254411939173751	1
wee-1.3	0.261319397732121	1
inx-14	0.273410406576945	1
H38K22.6	0.274939074395855	1
C09B9.4	0.290937383607903	1
sep-1	0.295245887985628	1
F14D2.8	0.300780685420987	1
irld-18	0.301075966297312	1
C23G10.1	0.307071141846611	1
his-63	0.312201057228448	1
wht-2	0.31288981636083	1
epi-1	0.313544540469351	1
rad-54	0.313773048022463	1
cec-9	0.313801620294894	1
R06C7.2	0.319880633891222	1
Y54E2A.8	0.335233936795685	1
Y47G6A.3	0.348452265825683	1
csc-1	0.354861347537607	1
D1081.12	0.355260754542562	1
clec-153	0.360389177036034	1
C43G2.3	0.361937729088084	1
puf-11	0.363603148112806	1
F14D2.14	0.368756304638314	1
Y54E2A.7	0.375141678255692	1
bub-1	0.376441479969506	1
F36H12.3	0.376793388876631	1
C27D9.1	0.379559374853878	1
Y4C6B.1	0.381015680065813	1
C14B1.12	0.38357069867132	1
F44E7.5	0.383693460049476	1
trt-1	0.402634166927581	1
T22H9.1	0.403575955655701	1
ttr-56	0.406573403571761	1
W04A8.2	0.407397486282387	1
K11D2.5	0.410268912527425	1
dna-2	0.41595143597517	1
Y47G6A.25	0.417394900705739	1
fbxa-155	0.426644722804726	1
Y54G2A.12	0.431640843027794	1
mrp-7	0.438750681140435	1
try-1	0.4479802781751	1
lst-1	0.451703246290965	1
syp-1	0.459636160620417	1
mdf-2	0.465279578621353	1
Y42H9B.3	0.477235266109987	1
Y42H9AR.2	0.479811729661087	1
T28D9.4	0.481625449716688	1
ppw-1	0.481913712948441	1
F41G3.10	0.4848237404915	1
Y102A5C.2	0.487683563327527	1
C18H7.4	0.489374048642846	1
CD4.8	0.48966337030435	1
exo-3	0.491526094809896	1
fbxa-108	0.493600970623028	1
R02F2.4	0.507945418427614	1
ZK686.2	0.514484300604212	1
Y75B12B.1	0.52241029003303	1
hasp-1	0.522524053323131	1
tcl-2	0.527414696651072	1
Y37E11B.5	0.527658085495795	1
C12D8.9	0.533331152503749	1
pms-2	0.536533554431165	1
timm-17B.2	0.547882001061754	1
F52B5.3	0.55822868599182	1
F54F2.7	0.560556286128251	1
T04H1.5	0.572627290625478	1
Y82E9BR.2	0.583410427768215	1
ZK616.5	0.583517411455855	1
toca-2	0.586176190948821	1
W01A8.2	0.587988397249848	1
F22D3.5	0.588611814841288	1
Y116A8C.23	0.590807570990215	1
him-5	0.591591231314659	1
Y57G11B.5	0.593360821580621	1
wrm-1	0.600589791559909	1
F59C6.3	0.602653370913567	1
har-2	0.603644503170811	1
C27D6.11	0.60515698012	1
F47B3.7	0.60982535109056	1
irld-1	0.610015542356037	1
Y66D12A.6	0.612451363618812	1
Y26G10.6	0.614941621933876	1
F55A12.10	0.616161544738042	1
pig-1	0.636096694474483	1
C41G7.3	0.638983575892956	1
aat-9	0.643903619537759	1
ndc-80	0.65008621353393	1
D2045.9	0.650598454771073	1
parp-1	0.653065581225829	1
C52B11.4	0.653084967524009	1
C34F11.1	0.658452669748844	1
dgtr-1	0.658700294000235	1
ZK354.8	0.663420490787018	1
F54F7.14	0.671442349287991	1
bath-5	0.671525030198089	1
F42G4.5	0.672519364966987	1
mes-2	0.686019858889487	1
vha-7	0.688064230445081	1
C24D10.1	0.690513539726762	1
C16C8.12	0.691879705501767	1
sqv-5	0.6956435517709	1
T21E3.2	0.696174348952721	1
lin-54	0.697395837808367	1
trd-1	0.702130417520618	1
Y57G11C.43	0.703507082801971	1
C45G3.3	0.704520684900647	1
F54F12.1	0.709664808967943	1
fncm-1	0.710258859846691	1
cdt-2	0.711627421856351	1
T10E9.2	0.714584076341432	1
Y41D4B.15	0.715816895828071	1
F56D1.1	0.717609502499877	1
exos-1	0.719022779002761	1
fbxa-114	0.72821602459072	1
F43H9.3	0.735150147654985	1
B0035.18	0.740731710202805	1
T26E3.4	0.755381665603377	1
C56G2.3	0.756040046589078	1
C04F12.16	0.75751999526724	1
Y53H1C.3	0.759059603411628	1
set-5	0.763792367291064	1
mom-2	0.765008860148908	1
ZK596.1	0.770313315344872	1
F23H11.2	0.783260246448638	1
W01B6.5	0.787914896316541	1
D2045.5	0.791538174979593	1
Y65B4A.7	0.797772071756311	1
vars-1	0.800291557991528	1
F32E10.5	0.801304724278857	1
ZK1248.15	0.801917115191835	1
B0432.7	0.8025696136413	1
smi-1	0.808592121731811	1
ulp-5	0.810115740610838	1
mrpl-28	0.815827068699105	1
Y41D4A.6	0.819784012397594	1
F35H8.1	0.824883898758656	1
F40H6.1	0.837350730157758	1
btb-20	0.85086892281572	1
Y73B3A.13	0.85207694314675	1
pqn-98	0.858442666995418	1
dph-1	0.860777636689575	1
sys-1	0.868393023649277	1
com-1	0.87347788911408	1
C28D4.7	0.876968528099631	1
K06H7.7	0.878305843573718	1
czw-1	0.881228346887409	1
pqbp-1.2	0.885845356205079	1
stip-1	0.904004216625653	1
abf-2	0.909736038852034	1
T24A6.1	0.912454843595118	1
F01D5.8	0.913462957582745	1
rbbp-5	0.922258754192882	1
mctp-1	0.922399293284385	1
ulp-2	0.926255242694175	1
inx-21	0.926527736656701	1
ZK1225.4	0.936519741798662	1
F56A8.4	0.944348149868478	1
D2062.1	0.944989209465513	1
phf-14	0.952738370037394	1
T22C1.1	0.954123635441629	1
K10C2.14	0.954286430677036	1
Y71F9AL.2	0.954540577040874	1
klp-15	0.956858106870731	1
cku-80	0.969464884583912	1
T05F1.5	0.969475649401232	1
Y54E5B.2	0.969494777097178	1
F53E10.6	0.971192311984097	1
F58G1.2	0.971790609777918	1
snf-5	0.973719801873635	1
T19D12.5	0.976662943886814	1
ssup-72	0.978344754030148	1
F52C6.2	0.983866243701605	1
sut-2	0.985711691953408	1
Y43B11AR.3	0.986291371160015	1
F21F8.5	0.987490453322108	1
W02A11.1	0.993286595059633	1
ced-3	0.997988411819912	1
nstp-2	0.999005126230381	1
ZC204.14	1.00574997404388	1
puf-8	1.00655124217864	1
mrpl-16	1.00873126948496	1
tag-342	1.01364560469992	1
tbg-1	1.01431729246526	1
rnr-1	1.01543131135389	1
ZK354.3	1.01584901253112	1
vps-33.2	1.01957734439394	1
hus-1	1.02992058325369	1
C14B1.9	1.05466913733842	1
C27D8.4	1.05970042408406	1
F44D12.8	1.0747436412714	1
F22D6.9	1.07908949664128	1
hpo-32	1.08757792062925	1
F26F4.6	1.08920194264485	1
Y106G6D.3	1.09531533659522	1
W04E12.5	1.09923615635343	1
eif-2Bbeta	1.10620251110276	1
spr-1	1.10787594802697	1
F19F10.11	1.10861027985148	1
bre-5	1.11492452419684	1
DY3.8	1.11867125145651	1
Y23H5B.6	1.12025540965209	1
R09E10.1	1.12365990167418	1
T26C12.1	1.13175530890506	1
T09F3.5	1.13371400623789	1
R10D12.10	1.1391317047699	1
mdt-6	1.14344507605071	1
xrn-2	1.14520181004559	1
ZK1058.3	1.14755574512057	1
Y37E11B.10	1.14807301541915	1
cit-1.1	1.15091768491386	1
slc-25A26	1.15424597797783	1
eng-1	1.15472561414474	1
Y106G6H.6	1.15995497515372	1
T06A10.2	1.17157587999203	1
mrpl-37	1.1843337168052	1
T14B4.2	1.21127893010241	1
tsr-1	1.21241004027535	1
M05D6.1	1.21312365985393	1
C16D2.1	1.2176072364638	1
attf-3	1.22002709603135	1
K07E8.7	1.22412480015441	1
T03D3.5	1.22612903801755	1
F21D9.2	1.22822332541165	1
set-29	1.23965658985125	1
pgp-14	1.24867977671438	1
jmjd-1.2	1.25230294745131	1
Y54G2A.19	1.25563968974382	1
Y34F4.5	1.25972825345686	1
puf-6	1.28131894533755	1
F34D10.4	1.2909186009764	1
mrpl-53	1.29209476064207	1
Y73F8A.27	1.29566582503228	1
gska-3	1.29620817098322	1
hrpf-2	1.30244865309758	1
F59H6.15	1.3111373235208	1
efsc-1	1.31508013796349	1
rnh-2	1.32084037320658	1
lrr-1	1.33186285705372	1
ZK795.3	1.33360555813079	1
W09B6.4	1.33540707274074	1
tufm-2	1.33683205648318	1
chaf-1	1.34782057310231	1
F25H2.12	1.3560455015167	1
cyn-9	1.35832085518855	1
memi-1	1.35928594423427	1
inft-2	1.36178975294072	1
F22B3.8	1.36316622614042	1
C15F1.5	1.3647350263093	1
M117.6	1.36592551405329	1
xpo-2	1.37248135868938	1
C03C10.2	1.37726273430793	1
F56C11.3	1.38061135635891	1
dct-9	1.3849223897677	1
ooc-5	1.38550572366812	1
dic-1	1.39850872064504	1
C15H11.1	1.39974138362276	1
tiar-2	1.41379298670487	1
T20D3.8	1.41609415942627	1
fkh-6	1.42004130834597	1
M142.5	1.42143685673827	1
cyb-2.2	1.44556459296068	1
B0464.9	1.44609941382171	1
kbp-1	1.44897178684388	1
let-418	1.45893310484194	1
tsen-34	1.4689518327593	1
R05D7.1	1.48648178069576	1
ddl-1	1.50404795799862	1
M142.8	1.5217692046534	1
his-11	1.53964888769117	1
M01A10.1	1.54067194070864	1
Y54F10BM.1	1.54141836690094	1
syp-2	1.54188756347318	1
mcd-1	1.54973904464368	1
C35A5.4	1.56023941105893	1
swsn-3	1.56793750921149	1
dcap-1	1.56875859565465	1
D2096.7	1.5735199598765	1
F23H12.10	1.57957332574813	1
zip-11	1.59339435297673	1
szy-20	1.59542539193535	1
fbxa-107	1.60151569366739	1
K10C3.5	1.60193909076645	1
Y102A5C.36	1.60322120472346	1
sop-3	1.61694053197849	1
F32B6.3	1.6261348195697	1
K09H9.9	1.63286595687547	1
T20F5.7	1.63425092092746	1
F13B12.6	1.64700268192165	1
cyp-44A1	1.65265863486578	1
M01E11.2	1.65277715604484	1
Y39E4B.5	1.65972742138311	1
H12D21.5	1.66442468785031	1
C14A4.13	1.66586622169435	1
hop-1	1.6669202051378	1
impt-1	1.66840948838103	1
ttr-22	1.66857860703917	1
R11H6.5	1.67032458148779	1
syx-17	1.67125768796765	1
his-9	1.67297323960055	1
C17E4.11	1.67733768879048	1
inst-1	1.69149014505226	1
sfa-1	1.70076648913024	1
jtr-1	1.70465108323859	1
Y53C12A.3	1.71804131485845	1
cfim-2	1.7228153682033	1
dcar-1	1.72795742888162	1
dus-2	1.73168508487115	1
rom-5	1.73402605707948	1
tpxl-1	1.73722947789043	1
T23D8.3	1.74665396723731	1
Y94H6A.12	1.74982940021456	1
mdt-11	1.75673939998779	1
F42A6.6	1.7612671570137	1
uggt-2	1.76354179098851	1
T16H12.4	1.76663924680881	1
F35G12.11	1.76795290238763	1
C47E8.1	1.77123157069237	1
F23B12.4	1.77395701362625	1
F20D6.6	1.77854853638102	1
F54F2.9	1.78726635794955	1
Y48G1A.2	1.79410381318278	1
ZK688.9	1.80155063262799	1
F58A4.2	1.80255775105577	1
clec-97	1.80777043338419	1
gos-28	1.80918749338958	1
Y57G11A.2	1.81445778679849	1
btb-4	1.81459651965507	1
C50F4.1	1.8151610732781	1
K03B8.8	1.81881979613027	1
sel-13	1.83701839752887	1
K04G2.10	1.84097019928082	1
pde-12	1.86227778373604	1
taf-4	1.89114658313596	1
ulp-1	1.89155836450941	1
cdk-11.1	1.89438376130857	1
hda-2	1.90941740160847	1
C46A5.1	1.90982407892106	1
F11A10.6	1.91391252092872	1
bath-2	1.92016549455053	1
mpz-5	1.93875417438283	1
Y55F3AM.11	1.93875893396736	1
smr-1	1.94208784136187	1
B0207.6	1.96446096730532	1
Y57A10A.27	1.9676547070524	1
T01B7.5	1.96901287538411	1
Y71F9AL.4	1.96915879151718	1
ZK1248.19	1.97244838046446	1
F27C1.3	1.97280470113446	1
C38D4.4	1.98072929918622	1
sumv-2	1.99096799264015	1
E02H9.3	1.99183866546778	1
C42C1.3	2.00064443906252	1
ZC513.5	2.00103151733238	1
pri-1	2.0015816003305	1
F13G3.12	2.00420480732751	1
cyn-10	2.00805810085474	1
F33H12.7	2.01088934157649	1
Y5F2A.4	2.01199188045766	1
R09A1.2	2.0292371878272	1
T02G6.1	2.03154443341674	1
ZK1240.4	2.0345053549355	1
tim-1	2.03577656596566	1
Y39F10C.3	2.03722140123817	1
tsp-6	2.03969976295308	1
C25E10.10	2.04321986826701	1
F56C9.11	2.04423877187439	1
mig-2	2.04447238905518	1
bre-4	2.04468394491353	1
F07C3.3	2.04488936208448	1
gly-5	2.04522618091429	1
copa-1	2.04578304317923	1
C03A3.1	2.0460601174723	1
T23G7.2	2.04660123291388	1
copb-2	2.04675285635096	1
F35G12.5	2.0470074603027	1
dab-1	2.04717060293827	1
cyp-32B1	2.04741569640358	1
mab-10	2.04773047535075	1
kcc-2	2.04774122814342	1
kel-8	2.04778420151621	1
cdkr-3	2.04799120817525	1
