gene_short_name	scaled_TPM	group_number
clec-145	7.31701394367075e-17	1
cup-4	9.548198567689499e-17	1
Y49E10.29	1.61504302136924e-16	1
aman-1	4.33076470438546e-16	1
cof-2	1.13807001824899e-15	1
T19C3.5	2.5989824798092402e-15	1
lgc-26	2.64509560520788e-15	1
lgc-25	2.71564612425433e-15	1
unc-122	3.5055298468437305e-15	1
Y95B8A.4	4.6571227192452e-15	1
lgc-28	5.25999880228179e-15	1
C50E3.12	5.360689589990501e-15	1
clec-178	6.266184661884341e-15	1
Y116A8C.3	6.75954173868107e-15	1
cya-2	7.0314201785588404e-15	1
Y73F4A.1	7.098169973162661e-15	1
ule-3	7.918796823629831e-15	1
oac-9	8.058585567053101e-15	1
F54F7.9	9.16627678069178e-15	1
F55B11.3	9.312312386151453e-15	1
irld-7	9.44125338172794e-15	1
Y62H9A.4	9.839524864609591e-15	1
nep-20	1.19453761214428e-14	1
C31H1.5	1.26929007930957e-14	1
lgc-24	1.28319734625858e-14	1
col-135	1.2901469051173e-14	1
galt-1	1.3598989962729e-14	1
clec-222	1.37951448000787e-14	1
K02E7.11	1.41839097000256e-14	1
ttr-1	1.6647082799975102e-14	1
T28A11.17	2.02077274504732e-14	1
otpl-7	2.47565694968792e-14	1
F38A5.22	2.81820189613417e-14	1
dyf-7	2.92964902258247e-14	1
ZK1037.6	2.93036369045263e-14	1
Y51A2B.4	3.96582634239487e-14	1
Y51H4A.22	4.16309736723351e-14	1
fut-4	4.63815252022676e-14	1
snf-9	5.032971486806141e-14	1
T05B11.4	5.34923868035392e-14	1
F56C4.4	5.38736075316548e-14	1
nep-8	5.40908751475965e-14	1
K07A1.6	5.61145732632325e-14	1
Y51A2B.6	5.69771794580908e-14	1
Y105E8A.27	6.06766107081497e-14	1
lgc-23	1.43970992488393e-13	1
nep-10	2.49572429786682e-13	1
clec-216	2.88343311912418e-13	1
ZC190.7	3.484785197545e-13	1
M70.1	4.5359393445131e-13	1
Y17G7B.19	7.59223965016113e-13	1
C54D10.4	8.37752806464587e-13	1
H29C22.1	8.70695170025966e-13	1
D1081.11	1.37936219771473e-12	1
T05B4.14	1.47697825182461e-12	1
phat-4	2.5491115277313297e-12	1
Y62H9A.3	2.5744036758308897e-12	1
spe-12	4.2226477054979394e-12	1
scl-17	5.43723443130516e-12	1
ZK1010.5	1.96856233303792e-11	1
mltn-3	2.48221024545656e-11	1
best-1	3.1465591845415496e-11	1
Y62H9A.5	9.1837162018073e-11	1
D1054.10	1.20484212117803e-10	1
F52F12.9	1.88928450804138e-10	1
Y47H9B.2	2.03078774464031e-10	1
abf-1	4.33706347406799e-10	1
clec-151	4.74325946578147e-10	1
Y43F8C.5	5.9697676082971e-10	1
T19H5.7	1.20034180950712e-09	1
clec-169	1.24196610388083e-09	1
H20J04.1	1.29648370144206e-09	1
F32E10.8	1.31445213934101e-09	1
F07C4.6	2.4325290182549503e-09	1
ssp-37	2.98712005507266e-09	1
T16A1.2	3.18286546355798e-09	1
Y105C5B.17	4.707182966093091e-09	1
ZK813.3	5.1016546380133314e-09	1
F13A7.7	5.34499164786099e-09	1
ZK1225.5	5.47962529208996e-09	1
F36A4.1	1.12506771154259e-08	1
clec-223	1.2727796930482e-08	1
C18H7.7	1.43408941574704e-08	1
nkb-2	1.720748233464e-08	1
nep-23	1.85454144841928e-08	1
F17E9.4	2.10166724622682e-08	1
F01G12.18	2.54052259517142e-08	1
Y57G11B.3	3.48546338644568e-08	1
Y25C1A.6	4.22899810610734e-08	1
F07E5.8	5.78003717137707e-08	1
nep-13	6.59338078267899e-08	1
ZK856.5	7.37478362686192e-08	1
M02B1.4	8.09317692215227e-08	1
irld-6	1.56906049497806e-07	1
sst-20	1.61714900658783e-07	1
Y69H2.3	1.65902882486434e-07	1
ZC190.8	1.8115182945359e-07	1
ttr-14	1.91327874846231e-07	1
best-11	2.66272136835374e-07	1
T20B6.1	2.80674450101496e-07	1
Y57G11C.23	3.76890344260845e-07	1
ttr-12	4.41073558431858e-07	1
ttr-9	4.43096236378434e-07	1
F57C2.4	5.15667385277599e-07	1
Y37D8A.19	6.00937562869311e-07	1
ZK813.7	2.81936707991865e-06	1
T08B6.4	2.97503264560939e-06	1
pqn-84	3.30376517701792e-06	1
C04H5.7	3.54722238016906e-06	1
ZK795.2	5.37698388443556e-06	1
W02D9.6	7.25245947673887e-06	1
R08C7.5	7.81539752747969e-06	1
snpc-3.3	9.24035382499381e-06	1
C14F11.4	1.15480540479094e-05	1
D1086.6	1.22365279278556e-05	1
try-10	2.54113461855068e-05	1
Y116F11B.8	2.6138163299649e-05	1
K02F6.3	2.88510406495348e-05	1
ZC373.2	2.97777117557304e-05	1
K08C9.2	3.66258007774731e-05	1
F55B11.2	5.68896062412195e-05	1
ZK1290.7	6.76595446279276e-05	1
clec-175	7.75039951720363e-05	1
C28C12.11	8.24315179930517e-05	1
Y105C5B.18	0.0001263876972658	1
Y116A8C.33	0.0001447265893984	1
ZK813.1	0.0001618027634717	1
ule-5	0.0001922877916491	1
acp-3	0.000331813532536	1
best-8	0.0003873022748411	1
F54F7.3	0.0005402437247925	1
irld-3	0.0007388298894241	1
bath-3	0.0007553299851355	1
ZK84.2	0.0009859611352957	1
irld-14	0.0015997779183922	1
eat-2	0.0016612307143501	1
Y43F4A.3	0.0021939024370135	1
D1086.17	0.0035868296481239	1
clec-119	0.0042915973696748	1
C02B8.1	0.0045088147703342	1
Y57G7A.6	0.0060954693285946	1
Y53G8AR.1	0.0075288521669881	1
irld-18	0.0078487078992321	1
his-66	0.0099706602887175	1
Y54G2A.15	0.0111679684483832	1
M28.9	0.0123953692597576	1
F27E5.3	0.012835300055366	1
C28F5.4	0.0129337818445318	1
F54D10.4	0.0130434304707577	1
R01H2.2	0.0133693526621728	1
bath-27	0.0135491362246368	1
Y57A10A.4	0.013724266428054	1
F46F5.16	0.0138149269412279	1
dpy-17	0.0144887002783441	1
F56D6.23	0.0160346699630722	1
W02D9.7	0.0162713317752846	1
C43F9.5	0.0166911627473716	1
C08F11.7	0.0174737670514185	1
Y34F4.3	0.017961867590625	1
cbs-2	0.0181254464079788	1
T27F6.1	0.0202753866780958	1
fkh-6	0.0223479182639838	1
F14D2.15	0.0229237044374172	1
C36A4.11	0.0240841811256042	1
dhhc-12	0.0244474742414894	1
oac-59	0.0260057824734244	1
mig-21	0.0263101435406295	1
T02E1.7	0.0267847079806946	1
F54F7.14	0.0277735828121818	1
F35E2.5	0.0277785404783808	1
ttr-42	0.0280624522366264	1
Y38H8A.7	0.0281292118142814	1
nep-9	0.0282644827353343	1
C38C6.5	0.0288127303146668	1
C03A7.2	0.0297110273103425	1
C14C11.2	0.0304292074435308	1
Y38F2AL.12	0.0304547862926769	1
ZK973.4	0.0334283397858542	1
maph-1.2	0.0357887106310235	1
K05C4.4	0.0359804238784759	1
B0524.2	0.0360444328755411	1
Y55F3AR.2	0.0362274657613482	1
fer-1	0.0388423822835557	1
hlh-8	0.0394157251443106	1
C53B4.2	0.0396100483662959	1
str-180	0.0397114142095084	1
F43D2.3	0.0408868369106145	1
W01B6.8	0.0416795996022909	1
dhhc-13	0.0425530218582947	1
F09D12.2	0.0428033080454865	1
Y39F10C.1	0.0430016593289555	1
F54H12.5	0.0430306178248987	1
phat-3	0.0430327548272151	1
R04D3.2	0.04529618179452	1
clp-3	0.045379384820071	1
clec-153	0.0462589857087828	1
nas-21	0.0465461211660105	1
H11L12.1	0.0471296291900499	1
W05H7.2	0.0500904591745312	1
Y41D4B.15	0.0504038784720408	1
nola-3	0.0505889489360221	1
Y48B6A.5	0.0533170412363699	1
F35C5.1	0.0539188026467125	1
his-31	0.0541324270987863	1
C50B8.6	0.054188027542523	1
C25H3.16	0.0550966405842789	1
ZK1225.4	0.0553660032906998	1
F36D3.8	0.0555517404786529	1
C29F3.3	0.0559346941909419	1
best-6	0.0577925048960779	1
str-146	0.0580210483434892	1
C06C6.7	0.0580231361572588	1
C25G4.7	0.0597211651180118	1
F11A5.18	0.0598267819461522	1
Y39A1A.18	0.0606871736014615	1
tyr-5	0.0626371974479666	1
phy-3	0.0633003821773285	1
T08B6.9	0.0642319729829197	1
pes-8	0.0663480228946889	1
F36G9.13	0.0670216040252671	1
Y52B11B.1	0.067083792877618	1
wht-8	0.0698817962208551	1
F35C12.3	0.0701377950204802	1
Y37D8A.5	0.0734835270702567	1
C10G11.1	0.0743336004454167	1
Y43F8C.9	0.075814688956207	1
F15H9.1	0.0762564119839971	1
H34I24.1	0.0792149209729769	1
math-44	0.0797787583654827	1
Y6E2A.4	0.079817846016072	1
F21D9.2	0.0809124373747919	1
C16C10.13	0.0833457788018565	1
fbxb-79	0.0841505066212901	1
R155.3	0.0843520841691989	1
lin-44	0.0853430430291688	1
B0432.9	0.0857346542146132	1
spin-1	0.0859842749294913	1
W10G6.1	0.0868360378538582	1
C18H2.5	0.0905362525080243	1
