gene_short_name	scaled_TPM	group_number
aman-1	6.00084020816822e-17	1
C29E4.10	7.56325676252329e-17	1
clec-222	1.62428034495492e-16	1
T19C3.5	4.29400145582238e-16	1
unc-122	5.25531365804702e-16	1
cup-4	5.88186530445812e-16	1
clec-145	6.81600163355194e-16	1
ZK856.5	7.35887896996698e-16	1
lgc-25	1.18121361194159e-15	1
Y116A8C.3	1.37620356914744e-15	1
lgc-28	1.7501324801927904e-15	1
lgc-26	1.81103864022093e-15	1
Y49E10.29	2.6502187640578304e-15	1
col-135	3.61504376189261e-15	1
Y73F4A.1	3.88763036299909e-15	1
cya-2	4.24725417022468e-15	1
K02E7.11	4.857617872595621e-15	1
clec-178	6.132943130203871e-15	1
F55B11.3	6.270427863517341e-15	1
oac-9	6.326232621841671e-15	1
his-16	7.34982296039086e-15	1
galt-1	7.675961460051951e-15	1
F38A5.22	7.8819455114491e-15	1
ZC317.7	8.41951223705314e-15	1
bath-45	1.14114642037134e-14	1
ttr-1	1.14960935710376e-14	1
F32E10.8	1.18898855591374e-14	1
nep-8	1.27261428066938e-14	1
F46F5.14	1.35822698297831e-14	1
clec-190	1.76726979113643e-14	1
Y51A2B.4	1.9307506726168e-14	1
Y116F11B.8	2.30977380711567e-14	1
B0280.7	2.32885058855536e-14	1
F56C4.4	2.86452525833248e-14	1
nep-20	3.29684371174206e-14	1
Y48G9A.6	3.36859383594211e-14	1
K07A1.6	3.70266406463251e-14	1
str-16	3.93669704116984e-14	1
T11F9.7	4.01399109122468e-14	1
ZK813.3	5.1051656541762e-14	1
T04F3.5	5.14747966109545e-14	1
nep-10	5.1819489863436e-14	1
F17E9.4	6.396248153407422e-14	1
his-58	6.396655796710472e-14	1
phy-4	6.76037365201124e-14	1
C39B5.14	7.53819876639942e-14	1
F42G4.7	7.97940827806537e-14	1
C46E10.8	8.12238144107636e-14	1
C32H11.11	9.536918021071381e-14	1
C31H1.5	1.13343218621146e-13	1
C32H11.6	1.1607867786877e-13	1
Y51A2B.16	1.27755990587867e-13	1
C07G1.7	1.60815738656758e-13	1
Y62H9A.4	3.18299779766787e-13	1
Y40H7A.3	3.20336186984437e-13	1
ZK1010.5	5.18713936020634e-13	1
H29C22.1	5.6604194218163e-13	1
T13B5.9	6.91046855742507e-13	1
ule-3	1.25612809108132e-12	1
T05B4.14	1.61282011004592e-12	1
Y62H9A.3	1.83897708178708e-12	1
spe-12	1.8951579832314898e-12	1
phat-4	2.21491769750021e-12	1
C54D10.4	5.2789543607686e-12	1
K11H12.6	1.16540086947325e-11	1
C49C3.11	1.2803974436541e-11	1
F19C7.5	2.29209057290028e-11	1
M02B1.4	5.4992510987235496e-11	1
F01G12.18	5.5955027651665396e-11	1
F52F12.9	7.977645411088619e-11	1
clec-151	8.336884747805159e-11	1
K02F6.3	8.87370038659718e-11	1
D1054.10	1.18068250012509e-10	1
abf-1	1.41499445679031e-10	1
W02D9.7	2.09597462534284e-10	1
clec-119	3.33757693293911e-10	1
H20J04.1	3.47197808389685e-10	1
ZC373.2	4.27516354760665e-10	1
F54F7.9	5.55753138546136e-10	1
Y105C5B.17	9.24225052531709e-10	1
Y39F10A.3	1.73859661210658e-09	1
T19H5.7	5.11726545005145e-09	1
ssp-37	5.2898920408669815e-09	1
F58D5.8	7.972303876640131e-09	1
F46F5.7	8.71939203094565e-09	1
F07E5.8	9.0136991988813e-09	1
R07B1.8	9.153713979180313e-09	1
Y57G11B.3	1.05961236004094e-08	1
