gene_short_name	scaled_TPM	group_number
aman-1	1.03734775827217e-16	1
lgc-26	8.82153755635869e-16	1
ZK856.5	1.5207785172767302e-15	1
lgc-25	2.12500838838431e-15	1
Y51A2B.6	2.9344329354724e-15	1
lgc-28	5.665163134208041e-15	1
clec-178	5.858582533506391e-15	1
cup-4	5.912680895195041e-15	1
T21E12.3	5.947103386177841e-15	1
ZC116.3	6.112631771169641e-15	1
Y116A8C.3	6.81969428227315e-15	1
Y54E2A.7	7.18235277635595e-15	1
Y73F4A.1	7.49784548825257e-15	1
F38A5.22	8.98977296511943e-15	1
F32E10.8	9.52504954807699e-15	1
C54D10.4	1.02292129996877e-14	1
clec-190	1.08865805383117e-14	1
clec-222	1.19694503777763e-14	1
F55B11.3	1.26329548912723e-14	1
Y51A2B.16	1.36276777744169e-14	1
B0280.7	1.3904852962384e-14	1
Y51H7C.13	1.4754064309222902e-14	1
ttr-1	1.5295284437884602e-14	1
nep-8	1.7440010619449802e-14	1
C18D11.10	2.26341567914617e-14	1
Y49E10.29	2.26653474226385e-14	1
K02E7.11	2.83694209134206e-14	1
irld-7	2.8509394791724904e-14	1
F59A6.11	3.1908429583623404e-14	1
alh-2	4.097555720651e-14	1
oac-9	4.31018652728769e-14	1
Y47H9B.2	4.4726977408861404e-14	1
F54F7.9	5.58236315725327e-14	1
T05B11.4	6.27938068909093e-14	1
ZC317.7	7.906675326216662e-14	1
K07A1.6	8.15302933915403e-14	1
bgnt-1.4	8.44003570541416e-14	1
C35B1.9	1.01623411219005e-13	1
Y105E8A.27	1.13735002760285e-13	1
nep-20	1.1437481421224e-13	1
Y62H9A.4	1.19479373922078e-13	1
best-25	1.49798858009388e-13	1
nep-10	1.91877857302684e-13	1
snf-9	1.94082601566946e-13	1
C04B4.1	2.11115899914716e-13	1
C31H1.5	2.81481491696575e-13	1
Y43D4A.2	3.83679071110127e-13	1
F46E10.3	5.5649929675155e-13	1
ZC190.7	1.07989926858374e-12	1
ule-3	1.17366613980959e-12	1
D1081.11	1.27061296835675e-12	1
spe-12	5.18874350983857e-12	1
F35C12.3	1.61905431012977e-11	1
K12D12.4	2.63008190152695e-11	1
F26B1.1	2.7845857670533697e-11	1
K11H12.6	3.22235412689766e-11	1
ZK1010.5	1.19553060551292e-10	1
Y43F8C.5	1.64041325112616e-10	1
tag-314	2.49960119590502e-10	1
clec-151	2.68295821913983e-10	1
R01H2.2	2.70335783038065e-10	1
K02F6.3	2.76645852390824e-10	1
Y62H9A.3	7.77384326168859e-10	1
D1054.10	8.391597913994631e-10	1
pitr-5	2.04658728935317e-09	1
abf-1	2.3171525810335704e-09	1
T19H5.7	2.76853213224727e-09	1
Y37E11AR.7	5.34132708347239e-09	1
Y105C5B.17	6.0786701323004e-09	1
F55B11.2	7.354785103841731e-09	1
C18H7.7	7.428142876935381e-09	1
ttr-12	8.97727754891406e-09	1
F01G12.18	1.68295873355183e-08	1
ZK1225.5	2.28113967604521e-08	1
F07E5.8	2.37029724879949e-08	1
ttr-9	2.42461306203156e-08	1
F56F4.3	2.89365317718801e-08	1
ssp-37	3.70211169510773e-08	1
F17E9.4	5.0858588829328e-08	1
ttr-14	6.82719834880467e-08	1
F58D5.8	7.70467702958929e-08	1
ZC190.8	7.88257769894411e-08	1
Y69H2.3	1.40546445589845e-07	1
M02B1.4	2.4417586882738e-07	1
ZK892.3	2.53522096718913e-07	1
irld-6	2.77411836848371e-07	1
Y95B8A.4	3.00206791529828e-07	1
F57C2.4	5.35814602698345e-07	1
ZK813.7	6.12419369708478e-07	1
H29C22.1	7.43879326265768e-07	1
Y57G11C.23	8.88740186149371e-07	1
sst-20	9.4278527059402e-07	1
C04H5.7	1.13529634877791e-06	1
snpc-3.3	3.3819062707503e-06	1
ZK262.2	3.80797218410664e-06	1
exc-6	4.29688567879909e-06	1
T08B6.4	5.14409129560503e-06	1
D1086.6	6.67326438462988e-06	1
math-48	6.81506381393509e-06	1
ZC373.2	1.31371836004964e-05	1
C14F11.4	1.66438558103322e-05	1
W02D9.6	1.7216000984718e-05	1
nkb-2	1.78578762649566e-05	1
K08C9.2	1.92384474036396e-05	1
ZK795.2	2.17227973618517e-05	1
T15H9.4	2.55184405093669e-05	1
pqn-75	3.03363025969061e-05	1
Y105C5B.18	7.16860725144513e-05	1
ZK813.1	8.21661994889902e-05	1
clec-175	8.59467970792204e-05	1
irld-3	0.0001071309985021	1
C28C12.11	0.0001216419562113	1
best-8	0.0001281554498255	1
acp-3	0.0001737151882941	1
C55C3.8	0.000197092793563	1
T05B4.14	0.0001998099289519	1
F22E12.1	0.0003409814868951	1
C55A1.6	0.0003441524772483	1
ZK84.2	0.0004853847471209	1
try-10	0.0005820943035805	1
Y50E8A.2	0.000656715572882	1
T24C4.8	0.0006860846432183	1
D1086.17	0.0006983351051366	1
F54F7.3	0.0011720445898638	1
C04G6.6	0.0012922625796781	1
irld-14	0.0015793193914708	1
Y116A8C.33	0.0016225717189373	1
Y38F2AL.12	0.0021277110855212	1
M162.7	0.0023876279290086	1
Y54F10BM.12	0.0052890507277522	1
pqn-88	0.0067211016898336	1
W02D9.7	0.0074206502567704	1
H06I04.5	0.0096591762646059	1
clec-153	0.0099890014669453	1
bath-21	0.010368824045573	1
C38C6.5	0.0109734836889518	1
C14C11.2	0.0114664199895192	1
T02E1.7	0.0149556916228647	1
lam-1	0.0150657525808176	1
bath-3	0.0155592479890747	1
F08F3.8	0.0177541677755949	1
H04D03.3	0.0187219582111675	1
Y57G7A.6	0.019098991686453	1
clec-119	0.0201270039821344	1
irld-18	0.0212473378345588	1
M28.9	0.0219065692037851	1
his-32	0.0225211395419095	1
C36A4.11	0.0231730886801373	1
K02F6.7	0.0237446554599972	1
Y54G2A.15	0.0258977713426963	1
T16H12.1	0.0292731304279309	1
Y69A2AR.23	0.0295789742418408	1
his-31	0.0296817735590615	1
Y43F8C.9	0.0302784265202338	1
Y23H5A.8	0.0304102536021226	1
B0207.1	0.0309917766588343	1
F14D2.14	0.0319308364985759	1
C09E7.5	0.0320477906686536	1
tyr-5	0.0325586901537186	1
T01G5.8	0.0338881076011604	1
ttr-42	0.0348355990680991	1
F14D2.8	0.0351177851204444	1
C35A5.4	0.0357468275606959	1
acp-2	0.0365033037188681	1
Y37D8A.19	0.0420869899430077	1
Y65B4BL.7	0.0427026728222737	1
F56C4.4	0.0429752303228439	1
grl-3	0.0433311178053036	1
Y73B6BL.12	0.0434006635837377	1
D2096.11	0.0446770329187605	1
Y65A5A.2	0.0470821637070561	1
F36G9.15	0.0522516226109009	1
Y41D4B.15	0.0525979304318617	1
clec-4	0.0529344012404242	1
F35H8.1	0.0547699493654844	1
F54F7.14	0.0560273212305885	1
Y38H6C.15	0.0590858188905047	1
mdt-21	0.0615989887234345	1
D1086.11	0.0622912797128351	1
T08D2.5	0.0622969594154737	1
W03C9.1	0.0634727272961407	1
dhhc-12	0.0638565979789961	1
C43F9.5	0.0642350466611182	1
W05H7.2	0.0646444605390301	1
R03D7.8	0.0650753260297017	1
C09H10.5	0.0653099733567074	1
T13C2.3	0.0673052779681083	1
F11A5.18	0.0686605691985094	1
Y65B4BL.3	0.0717791611223466	1
his-69	0.0733770216357718	1
fbxa-211	0.0736783689053528	1
C03C10.2	0.0742758104310558	1
F59A1.15	0.0752516251890707	1
K02E7.12	0.075477536441908	1
Y39G10AR.15	0.0765981722770448	1
T08B6.9	0.0772110037647093	1
Y57A10A.3	0.0779783435289565	1
F55G1.5	0.0782502950506793	1
K08H2.3	0.0791433154672185	1
F40F11.4	0.0800309724209459	1
F32D1.11	0.0808170197293153	1
wht-8	0.0819155525147646	1
Y53C12A.6	0.0887890141961923	1
