gene_short_name	scaled_TPM	group_number
T19C3.5	4.64982012953016e-17	1
C23H4.6	6.10819730628408e-16	1
unc-122	9.71820765328584e-16	1
lgc-26	9.754532911582189e-16	1
aman-1	1.0415453167216601e-15	1
F26G5.1	1.0626117217143401e-15	1
clec-145	1.06851726093903e-15	1
clec-178	1.0766426483560101e-15	1
Y34F4.3	1.35142402729532e-15	1
lgc-25	1.80652274311164e-15	1
K02E7.11	1.9180945589904303e-15	1
Y49E10.29	2.03241868016902e-15	1
Y116A8C.3	2.4237880341998803e-15	1
cup-4	3.56726164495321e-15	1
Y73F4A.1	4.41361771499569e-15	1
lgc-28	4.88148992400504e-15	1
F32E10.8	9.17589976915813e-15	1
cya-2	9.45922660448934e-15	1
Y62H9A.4	9.52143765287102e-15	1
E02H4.4	1.11852147120649e-14	1
ttr-1	1.16505143272962e-14	1
lact-6	1.38397992056688e-14	1
F41C6.4	1.5811022441354802e-14	1
F38A5.22	1.6601578641339e-14	1
lgc-23	2.00521468681802e-14	1
F19H6.4	2.40877760273936e-14	1
ZK1037.6	3.0523542138321104e-14	1
F58E1.13	3.13009135022223e-14	1
T04F3.5	3.69507015669929e-14	1
F56C4.4	4.03663960553836e-14	1
F15D4.4	4.51118578517213e-14	1
ZK813.3	5.57450831353561e-14	1
K07A1.6	7.20355526746338e-14	1
wrt-7	8.85613062321308e-14	1
Y47D7A.11	9.636155678680073e-14	1
ttr-14	2.7538382804810297e-13	1
C32B5.18	3.72654723057109e-13	1
phat-4	4.88199482456832e-13	1
ule-3	8.41976507088929e-13	1
H29C22.1	9.70335268130748e-13	1
ssp-37	1.04494968103842e-12	1
ule-5	5.76763254704952e-12	1
Y69A2AR.46	4.37936050067511e-11	1
F01G12.18	4.58449726962469e-11	1
F55B11.3	4.9012380645418295e-11	1
Y62H9A.5	5.47331541722932e-11	1
D1054.10	1.05795129541954e-10	1
W02D9.7	2.33705747557229e-10	1
best-1	3.2406080139549005e-10	1
Y62H9A.3	8.62206829700022e-10	1
abf-1	1.8475458974545597e-09	1
fbxa-94	3.0627067430420903e-09	1
F46F5.16	5.01556867435736e-09	1
F55B11.2	7.25777424374119e-09	1
F07C4.6	1.35962974582715e-08	1
F17E9.4	2.74574057579545e-08	1
ZK856.5	9.54353498992399e-08	1
C04H5.7	1.05153704406722e-07	1
Y69H2.3	1.4478202630744e-07	1
nas-20	3.10764190787385e-07	1
C16C10.13	2.07555740969205e-06	1
ZK813.7	3.98142985273822e-06	1
exc-6	6.54759077475529e-06	1
C14F11.4	8.80554872005306e-06	1
ZK250.2	2.12030677501796e-05	1
W02D9.6	2.31483584278415e-05	1
Y37D8A.19	2.61214330214757e-05	1
ZC373.2	2.61429352172201e-05	1
try-10	3.94459937533142e-05	1
pqn-75	0.000104291247249	1
ZK813.1	0.0001331005857688	1
F14H3.5	0.0001745254186148	1
ptr-3	0.0002317488262855	1
F53F8.3	0.0002831078340106	1
F22E12.1	0.0003010633260177	1
nhr-70	0.0003599956528549	1
sel-8	0.0004684235101989	1
F54F7.3	0.0006332646361394	1
H04D03.3	0.0008613770367195	1
Y18H1A.9	0.0009340081331805	1
