gene_short_name	scaled_TPM	group_number
F15H9.1	7.441255573745891e-17	1
E02H4.4	2.66038189462821e-16	1
lgc-23	5.84751606211879e-16	1
T08D10.5	1.1164013452307701e-15	1
F38A5.22	1.7432652237755302e-15	1
ZC116.3	1.78404745445085e-15	1
unc-122	2.0019429765268602e-15	1
Y49E10.29	2.0996816700872503e-15	1
cup-4	2.1371197531747403e-15	1
lgc-24	2.43786182414361e-15	1
aman-1	2.6093258414318402e-15	1
K02E7.11	3.2928246761325306e-15	1
ZK354.9	3.3385176698723304e-15	1
F59A1.13	3.55616834785781e-15	1
cdr-3	3.6328215671141e-15	1
T13B5.9	3.77492205314385e-15	1
lgc-26	4.77191762906416e-15	1
T28A11.17	4.97095302421108e-15	1
lgc-28	5.061732322818941e-15	1
clec-145	6.3043660989470106e-15	1
Y73B6BL.270	6.706060348471681e-15	1
irld-7	8.25689282768375e-15	1
ttr-13	8.868252994158581e-15	1
ZK1251.3	8.901415667932072e-15	1
F46F5.14	9.05721013449102e-15	1
Y116A8C.3	9.09617240023985e-15	1
clec-178	9.27507213598104e-15	1
Y73F4A.1	1.00696450447959e-14	1
scl-17	1.17238208782408e-14	1
Y39F10A.3	1.35060778126247e-14	1
F46F5.10	1.4012537878825e-14	1
F31E8.5	1.6418656080324102e-14	1
clec-222	1.7552000730827e-14	1
math-48	1.78901892508668e-14	1
C55C2.3	2.71050831882619e-14	1
Y51A2B.9	2.8903500327289204e-14	1
ttr-12	3.08410928474837e-14	1
C10G11.1	3.66820123515733e-14	1
T02E1.7	3.80353659706549e-14	1
Y71G12B.33	4.51668254023982e-14	1
set-11	6.21132296929442e-14	1
T04F8.9	6.5684854261809e-14	1
W03D8.1	7.16631344702909e-14	1
ZK250.14	8.16349104093709e-14	1
C38C5.1	1.13885253283772e-13	1
irld-18	1.16119982446834e-13	1
T16A1.2	1.37244843193887e-13	1
Y51A2B.5	2.70926776370361e-13	1
ZK795.2	3.31684834589313e-13	1
srw-33	3.36723099900811e-13	1
Y47H9B.2	4.32409604643951e-13	1
M70.1	4.33984356657407e-13	1
nep-8	5.52451684170645e-13	1
M02B1.4	6.40627768905104e-13	1
hrg-2	6.52116837121464e-13	1
dhhc-12	8.95025327500411e-13	1
mab-23	9.46137776369122e-13	1
ttr-58	1.47163251852414e-12	1
oac-23	1.87484671461759e-12	1
F20B6.4	3.23207915056153e-12	1
Y105C5B.17	3.6030377494940497e-12	1
C54D10.4	6.22201626157691e-12	1
C46E10.1	9.07772907215786e-12	1
lgc-25	1.50111075920936e-11	1
best-11	1.60962905335325e-11	1
D1022.9	1.74409506512514e-11	1
spe-47	1.88235432083381e-11	1
B0496.6	2.0741810481563e-11	1
D2062.13	2.9545615274109e-11	1
H12D21.5	3.5117065831237497e-11	1
Y116F11B.8	5.23398857901663e-11	1
ule-3	6.14239858456118e-11	1
ZK1053.6	7.889721401104369e-11	1
T08B6.9	1.32874941238515e-10	1
C35A5.4	2.03008198806536e-10	1
C18H7.7	3.79444384487271e-10	1
T02D1.4	4.30086281377575e-10	1
Y95B8A.4	4.40580746720609e-10	1
Y69E1A.3	5.05068167325926e-10	1
R01H2.2	6.31272511492007e-10	1
Y54G2A.15	6.31579874440858e-10	1
D1081.11	6.55874015702893e-10	1
F28A10.7	7.273116794143401e-10	1
F47B3.4	1.05751609158213e-09	1
Y55B1AR.3	1.07829445398739e-09	1
Y51A2B.6	1.36286175886501e-09	1
ZC190.7	1.49162153885619e-09	1
F58D5.8	1.58801008993765e-09	1
F55B11.3	1.63499612337053e-09	1
peel-1	1.9092190630837203e-09	1
cof-2	2.16310430969566e-09	1
lips-1	2.65682183713422e-09	1
R13H9.5	3.32426358589901e-09	1
Y51H4A.22	3.40285011788586e-09	1
Y57G11B.3	3.5764069492569e-09	1
clec-151	3.82311905459105e-09	1
Y42H9AR.2	4.4079258176738115e-09	1
F59E12.3	5.54504280086751e-09	1
T08B6.4	5.794680125424981e-09	1
F32E10.8	6.020270425255571e-09	1
F25H5.2	6.394917412565129e-09	1
