gene_short_name	scaled_TPM	group_number
ule-3	1.91820204329008e-15	1
Y73F4A.1	2.93025512502538e-15	1
Y62H9A.4	3.1697587040297e-15	1
Y62H9A.3	5.86010220185852e-15	1
F55B11.3	8.05515254519962e-15	1
F17E9.4	2.11525530923956e-14	1
ttr-1	3.69712624960438e-14	1
ZK813.3	4.00856863456652e-13	1
F38B2.3	1.22462059724885e-12	1
T05B11.4	2.79517718495665e-12	1
Y49E10.29	5.29942213032995e-12	1
ule-5	1.3666059851006698e-11	1
C17E4.19	1.4596732098749497e-11	1
H29C22.1	1.82607880123845e-11	1
D1054.10	1.22752310870945e-10	1
Y62H9A.5	4.77107529808105e-10	1
Y105C5B.17	6.66255904285842e-10	1
ZC373.2	1.02839078810151e-09	1
W02D9.7	1.44395547373983e-09	1
F55B11.2	7.991513517662e-09	1
ZK813.7	4.29008652402852e-08	1
Y57G7A.6	1.77182647110116e-07	1
D2062.13	2.4582938622415e-07	1
ZK1053.2	3.83092387642312e-07	1
F57C2.4	1.3412572598862e-06	1
Y69H2.3	1.41419932512252e-06	1
F31E8.5	1.44154556062668e-06	1
K11D12.13	3.00019710895824e-06	1
Y37D8A.19	3.13121003492543e-06	1
ttr-12	8.87896567582851e-06	1
C04H5.7	5.38533015025616e-05	1
ZK813.1	0.0002790793940504	1
catp-4	0.0013190583596538	1
Y47D3A.13	0.0015808315545594	1
nep-10	0.0023102995404286	1
Y54G2A.15	0.0086988052199925	1
F36G9.15	0.0190796562066484	1
ttr-42	0.0647633424665994	1
D1081.12	0.0935176209845054	1
sra-36	0.154744579835195	1
sbt-1	0.269618893523205	1
F22B5.6	0.312575936486955	1
W03D8.9	0.390834256815865	1
W09D6.4	0.425596152229054	1
M70.3	0.503787205948321	1
R03D7.8	0.5220753513512	1
C33F10.12	0.542134415990471	1
snet-1	0.545669580280261	1
Y43F8C.9	0.714923948119416	1
flp-25	0.772117847298781	1
C06G3.3	0.806988795244893	1
R05G6.1	0.827582429409953	1
K03B4.4	0.880727453792719	1
F21C3.7	0.979035890399458	1
C05B5.2	1.01490252275724	1
twk-43	1.05561679385901	1
nas-20	1.1452710886288	1
K10C2.14	1.14720784682862	1
C50B8.6	1.24881498896213	1
R11.2	1.26827019596169	1
B0379.7	1.29667239897469	1
Y39F10C.3	1.32719696841075	1
T21C12.3	1.36033592156078	1
ttr-27	1.47713741392992	1
C03C11.1	1.49689299189118	1
T28B8.4	1.60252002325992	1
VM106R.1	1.67187660548512	1
his-70	1.74394585708902	1
C14C10.1	1.80149161100976	1
B0205.10	1.88923237304903	1
T19C3.3	1.93220769929644	1
ent-3	1.93973272810737	1
C45G9.9	1.97602110505413	1
F56D6.13	2.02251628410849	1
Y50E8A.10	2.02430761169013	1
R08A2.2	2.04346786401747	1
Y57G11B.5	2.04863200553239	1
Y59H11AM.4	2.08513918306941	1
K02F6.1	2.27666751240212	1
K09F6.3	2.28087111379008	1
C08F8.6	2.28320433522321	1
msrp-5	2.29534778563786	1
F58G1.3	2.30566249326583	1
F36D3.16	2.3613468296602	1
K01H12.4	2.37970725923689	1
T03F6.6	2.38688366307863	1
ins-37	2.42125768945209	1
T02E1.6	2.42640484583669	1
kmo-2	2.51332102296265	1
K07H8.12	2.57694366263807	1
K09H9.9	2.88291132477807	1
T05D4.5	3.03061155983499	1
nlp-4	3.03320163618734	1
Y110A2AL.9	3.06283443509112	1
K09G1.2	3.12103493888908	1
F40E3.5	3.12474830186698	1
T20F5.5	3.17917016941424	1
Y57G11C.48	3.1820737615395	1
dot-1.3	3.20489593176306	1
T07F10.1	3.22577775499103	1
Y6B3B.3	3.38818253635882	1
F56A11.6	3.49122488946688	1
moa-1	3.4924808929163	1
Y69E1A.1	3.54858804346731	1
F38B2.6	3.55378428340073	1
R09E10.2	3.55943078003167	1
F32B4.2	3.56754306167293	1
acdh-8	3.56808605276058	1
ttr-34	3.68308553680187	1
C46H11.6	3.72190070451759	1
C24A11.1	3.74825244999955	1
F55D12.6	3.86444901551835	1
Y110A2AL.3	3.89393194478388	1
dct-9	3.99622684567191	1
ZK892.5	4.05072571964337	1
B0252.5	4.09143095824673	1
C54F6.5	4.12735128609795	1
Y116A8C.33	4.13504798957077	1
Y6E2A.10	4.27346767220277	1
Y106G6G.4	4.32726495235454	1
F17E9.5	4.37041026313114	1
F36H12.3	4.44458271700064	1
C18A3.7	4.51227015883373	1
C01B10.44	4.57802223558354	1
ttr-45	4.60286231794645	1
F27C1.1	4.68490324839408	1
C07A4.3	4.70194666392822	1
F32A11.3	4.92269337203649	1
C47A4.5	4.97269304432733	1
K11C4.1	4.97419496096317	1
taf-7.1	5.04429244172779	1
F41H10.1	5.0479945104867	1
F40F9.3	5.27062766339157	1
C25A8.2	5.27998944179174	1
Y65B4A.7	5.30853528140165	1
C39H7.1	5.3099266817999	1
F02E9.3	5.3606276329969	1
Y38F1A.1	5.47976062312065	1
F33D11.2	5.51430636865553	1
F36A4.2	5.52075272405686	1
Y46G5A.14	5.58188754228251	1
F02E11.2	5.58570565465875	1
C39B10.3	5.65998405845402	1
C27A7.3	5.67960079113084	1
C04F12.7	5.68410208632897	1
slcf-2	5.75597929668901	1
B0218.7	5.81742777054106	1
F47B8.10	5.82362404028274	1
ZK938.1	5.8695134471692	1
mctp-1	5.92522805084838	1
F36H12.17	5.95267086324576	1
Y59E9AL.3	5.97066490947356	1
T02E1.8	6.0753206450232	1
heh-1	6.09942818475661	1
T28H11.7	6.13981867042158	1
K04G2.4	6.21814101075095	1
acs-15	6.23274858555474	1
glct-6	6.24050027193203	1
msp-65	6.26189875102831	1
K12C11.5	6.29002119486919	1
W06D12.6	6.3315309980069	1
B0273.1	6.33609167430614	1
T07D1.2	6.34618871425765	1
T22F7.4	6.35623656438271	1
T18D3.9	6.37612035736492	1
C31C9.6	6.38070879744523	1
