gene_short_name	scaled_TPM	group_number
ZK783.6	9.56198445693057e-17	1
B0218.5	2.11851878491441e-16	1
ZK1225.5	3.16711658694403e-16	1
W05B10.6	4.593210255183102e-16	1
T28B8.4	6.30048205247628e-16	1
F32E10.9	6.84913258297914e-16	1
lgc-26	8.89793201005816e-16	1
C23G10.1	9.95492403130615e-16	1
H12D21.5	1.0211937324357201e-15	1
T22D1.8	1.0848557428735602e-15	1
R01H2.2	1.1394682181331201e-15	1
col-33	1.20493243465192e-15	1
nlp-17	1.21020308549679e-15	1
Y47G6A.3	1.2132026947222501e-15	1
tbx-34	1.2458327066659702e-15	1
M28.4	1.40572866890517e-15	1
msrp-4	1.4536728492764902e-15	1
C31H1.5	1.5004736490252e-15	1
C09D4.2	1.5235067420404802e-15	1
cnnm-5	1.6286538322795602e-15	1
F35E2.9	1.7064359747405601e-15	1
F33H1.6	1.71155338059092e-15	1
ZK1053.2	1.7336630832414402e-15	1
K08E7.4	1.8235850320817103e-15	1
F14F7.4	1.89929666498963e-15	1
clec-151	2.1156510258102e-15	1
spe-12	2.1437428205988802e-15	1
F23C8.8	2.18283142587318e-15	1
Y105C5B.18	2.3415041995660503e-15	1
clec-79	2.3446651109792903e-15	1
ZK418.2	2.3609876202702304e-15	1
Y95B8A.4	2.4510912119480103e-15	1
C31H1.1	2.4640976803525403e-15	1
F53C11.9	2.5408639317199003e-15	1
K09G1.2	2.55547355109467e-15	1
Y57G7A.5	2.76082934390907e-15	1
F09C12.8	2.7686442341738804e-15	1
F25H5.7	2.9026158765001604e-15	1
Y116A8C.23	2.9177468590013706e-15	1
AH6.3	2.98927215701027e-15	1
col-174	2.9976537648694907e-15	1
dhhc-12	3.0033420604867903e-15	1
M05B5.3	3.07182862333066e-15	1
F34D10.9	3.1294575883198807e-15	1
C26B2.2	3.2147351120483802e-15	1
C08F8.6	3.3322578206012507e-15	1
F28A10.3	3.3543319141828906e-15	1
elo-4	3.39335876233126e-15	1
C18H7.4	3.4557246920766203e-15	1
C05C12.1	3.4962543954063304e-15	1
Y105C5B.17	3.4977973768454307e-15	1
W02A2.8	3.5212293558101207e-15	1
F36A4.1	3.5237393360137905e-15	1
wrt-8	3.5505447790855207e-15	1
F55G1.5	3.659703144998501e-15	1
F42A9.3	3.66805873780735e-15	1
M02B1.4	3.7077360260962e-15	1
F38H4.6	3.71478561712438e-15	1
T22D1.18	3.73371139808173e-15	1
F23B12.1	3.82674171892592e-15	1
C28D4.4	3.86880074771023e-15	1
C47E8.1	3.88601688957129e-15	1
K06B4.15	3.88806915421587e-15	1
ttr-12	3.9796293734949706e-15	1
sst-20	4.04693996963452e-15	1
R08A2.1	4.061453723450261e-15	1
T05B4.14	4.07267898625972e-15	1
C45G9.4	4.09072542190903e-15	1
fig-1	4.130171043472341e-15	1
dlc-6	4.24563272018188e-15	1
F26A1.4	4.2617501987264506e-15	1
col-152	4.3126972515341504e-15	1
C50E10.2	4.324821704585901e-15	1
Y57A10B.7	4.449378567477191e-15	1
K08F4.5	4.49533253345587e-15	1
F29D10.1	4.5462609563572e-15	1
ZK353.4	4.57090156786791e-15	1
K12H4.6	4.586806254271731e-15	1
C06A1.3	4.5927829687638304e-15	1
ZK930.7	4.66361610290866e-15	1
F36G9.13	4.730597877138471e-15	1
F13A2.4	4.82287325809149e-15	1
flp-1	5.03235270541386e-15	1
F33D11.7	5.048741864586861e-15	1
F46C5.7	5.140818029722301e-15	1
T27C10.8	5.1538591332353e-15	1
K12B6.2	5.181292978374721e-15	1
F37A8.2	5.265763835301701e-15	1
Y57G11C.23	5.308423224317361e-15	1
F42G4.5	5.31093608653054e-15	1
ins-3	5.568936147719081e-15	1
B0432.11	5.613532461416721e-15	1
ZK546.4	5.62677005019625e-15	1
F36H12.3	5.62677572982915e-15	1
Y111B2A.1	5.630370164917671e-15	1
R02F2.5	5.64201985015404e-15	1
C24D10.1	5.654525161225201e-15	1
Y116A8C.38	5.6959126801665706e-15	1
bath-29	5.82006014962733e-15	1
C46E10.1	5.8501267901533104e-15	1
try-7	5.89740285019933e-15	1
C55B7.11	5.940067163940431e-15	1
nep-8	5.945821855847881e-15	1
K07F5.6	6.022596705337121e-15	1
B0207.7	6.069692011339741e-15	1
R155.5	6.1385128021993e-15	1
ZK354.2	6.350686903713551e-15	1
Y39E4B.13	6.424393839048831e-15	1
clec-153	6.500153719930831e-15	1
oac-30	6.547766535649021e-15	1
F20D6.1	6.603927383947711e-15	1
F44D12.8	6.610051638049861e-15	1
Y37E11AL.12	6.750094394763261e-15	1
bus-17	6.911084799339541e-15	1
ZK1025.3	6.97066987620426e-15	1
C41G7.3	7.11406882091747e-15	1
E04D5.2	7.26619520375529e-15	1
nep-5	7.2742451735291e-15	1
H06A10.1	7.358986302900011e-15	1
fbxa-192	7.40644144092584e-15	1
C33H5.16	7.42712643037544e-15	1
T08B6.9	7.48215001793881e-15	1
C04G6.10	7.484785348559811e-15	1
