gene_short_name	scaled_TPM	group_number
Y24D9B.1	1.2092480237324e-16	1
W05G11.2	2.30579799798946e-16	1
Y51H4A.22	3.03557085387312e-16	1
ZK783.6	3.14639030590664e-16	1
C16C4.18	3.428297403246289e-16	1
bath-3	3.6915128294517004e-16	1
clec-137	3.91989011972626e-16	1
cnnm-4	3.92002626064491e-16	1
bath-13	4.52246945925702e-16	1
B0261.5	4.58389890179937e-16	1
K02E11.7	4.68942956253257e-16	1
Y42H9AR.5	4.96029015392622e-16	1
K12D12.4	4.97434816655796e-16	1
F44F4.9	5.02578182001876e-16	1
sox-3	5.52345193687206e-16	1
C55C3.6	5.62864775543174e-16	1
col-152	5.63559510355561e-16	1
Y87G2A.20	5.83737809400712e-16	1
Y116F11B.8	6.57402566290664e-16	1
nep-10	6.616316455287509e-16	1
C10G11.10	7.01498162207865e-16	1
spe-19	7.21528448120969e-16	1
daf-38	7.565782724533802e-16	1
C15C6.1	7.67473443261159e-16	1
C31H1.1	7.78883299822565e-16	1
nep-7	7.98813397980531e-16	1
best-6	8.13228140913487e-16	1
H11L12.1	8.172463215957989e-16	1
wht-3	8.44251454927639e-16	1
T08D2.7	8.96479827200236e-16	1
nep-6	9.03953103826527e-16	1
Y67D8B.3	9.26378934739219e-16	1
T21C12.8	9.50057238163084e-16	1
inx-18	9.6085143603762e-16	1
ZK1225.5	9.66840618751094e-16	1
F36H9.7	1.0108003398908401e-15	1
oac-50	1.0621726105035001e-15	1
F36A4.1	1.0653159052042801e-15	1
Y116A8C.24	1.07908950099692e-15	1
mapk-15	1.09446233075215e-15	1
ZK849.1	1.1169614667128802e-15	1
best-25	1.1310383323456e-15	1
Y54G11A.1	1.1392206845798701e-15	1
frpr-2	1.15016054669657e-15	1
Y54G2A.13	1.16290047874573e-15	1
fbxa-94	1.18028511604728e-15	1
Y81G3A.6	1.19670547651628e-15	1
Y32G9A.3	1.24684909769846e-15	1
R155.5	1.28368277787966e-15	1
C55C2.3	1.2847573972255102e-15	1
paqr-3	1.3249810297230902e-15	1
pqn-71	1.3340098481142702e-15	1
nas-21	1.3391189088233001e-15	1
F07C6.6	1.37036801113697e-15	1
elo-7	1.3776880324105501e-15	1
clec-119	1.4085609539147001e-15	1
C01B10.4	1.4177401965019202e-15	1
cnnm-5	1.4270722682471502e-15	1
col-33	1.44076100013897e-15	1
Y75B8A.6	1.4559098915191201e-15	1
wht-5	1.47818037098227e-15	1
clec-142	1.47946555504084e-15	1
R07B1.8	1.4872099778529801e-15	1
C14A6.5	1.50531448559745e-15	1
des-2	1.5097906094063e-15	1
F01D5.10	1.5359966723836402e-15	1
C05B5.11	1.5383580878493502e-15	1
C33C12.12	1.58484754111154e-15	1
zig-10	1.5905196993163804e-15	1
acr-2	1.6797294707300404e-15	1
EEED8.13	1.70830517475652e-15	1
C47E12.10	1.71038750003263e-15	1
dhhc-5	1.71819927040196e-15	1
K09C8.9	1.7233959085053601e-15	1
F08F8.11	1.7381764854196e-15	1
F59E12.3	1.7418788106209702e-15	1
Y95B8A.4	1.7519474648403802e-15	1
spin-2	1.7810914267856502e-15	1
F22E12.1	1.79738238215742e-15	1
zip-7	1.83606237644038e-15	1
F56H1.3	1.85557898933514e-15	1
C16D9.5	1.87284375874238e-15	1
C05C10.8	1.8937790988266703e-15	1
M153.2	1.90219243553993e-15	1
lron-5	1.92127157200719e-15	1
F57F5.3	1.9276674242943e-15	1
C04G6.10	1.96088853315901e-15	1
cutl-11	1.97628010431082e-15	1
B0034.1	1.9842399344302303e-15	1
F08F1.9	1.9899380833343507e-15	1
C43F9.11	2.0086699621539602e-15	1
B0432.11	2.0132721694933703e-15	1
Y52E8A.1	2.01893476221996e-15	1
F44B9.9	2.02221923223658e-15	1
Y51B9A.7	2.03422690032948e-15	1
D1081.3	2.0355186201394306e-15	1
F15H10.7	2.0556509121335e-15	1
F36H2.4	2.0826722494919203e-15	1
spe-45	2.12834401918839e-15	1
F35C5.12	2.175541077247e-15	1
Y53G8AM.6	2.25391196437562e-15	1
C40A11.8	2.26650035457412e-15	1
sup-10	2.2815426133163802e-15	1
K09H11.9	2.3081602921923706e-15	1
F45E4.6	2.3081810927067204e-15	1
ncs-5	2.31396005182082e-15	1
inx-3	2.3363761191707303e-15	1
C32C4.3	2.4003125940656204e-15	1
F15D4.4	2.40377407505761e-15	1
C09H10.9	2.44986216737534e-15	1
ZK973.4	2.4623995197915704e-15	1
T20B6.2	2.46794709261829e-15	1
F54B3.2	2.4879753007903202e-15	1
F08B4.4	2.4973890566960402e-15	1
Y116A8A.7	2.5013165491653304e-15	1
C08B6.6	2.50725997512489e-15	1
C31G12.4	2.5187330061680404e-15	1
ceh-24	2.53772878111926e-15	1
F23H11.7	2.5621199903110407e-15	1
T20B6.1	2.6041861687920103e-15	1
F19B2.7	2.61055398439417e-15	1
C47E12.9	2.62605813358771e-15	1
chil-14	2.64810818892668e-15	1
snf-10	2.65068233367366e-15	1
lgc-46	2.6816173274821107e-15	1
Y105C5B.17	2.6896125662591106e-15	1
cwn-2	2.6927773165022803e-15	1
Y48G1BL.8	2.70801849708961e-15	1
clec-199	2.7151939128744107e-15	1
clec-153	2.72204667584568e-15	1
T15B7.14	2.7344888351606407e-15	1
F25E5.16	2.74179971040325e-15	1
scl-23	2.7475651646145104e-15	1
C01G10.1	2.75604825729743e-15	1
M05B5.3	2.7613343727399607e-15	1
Y116F11B.7	2.7654222795765007e-15	1
acc-3	2.76816902997934e-15	1
F48C1.8	2.78721614693074e-15	1
F14D2.8	2.8083043425942104e-15	1
R06A10.5	2.82836202718678e-15	1
acp-3	2.83972005005217e-15	1
clec-138	2.8410820773647e-15	1
F36G9.15	2.8524741554994602e-15	1
ztf-14	2.88999461937861e-15	1
T08B1.4	2.9629117591358103e-15	1
B0478.3	2.9640631726233006e-15	1
lin-31	2.97343518726803e-15	1
H04D03.6	2.9749179675255202e-15	1
C16C8.12	2.97616219831695e-15	1
Y46H3C.7	3.03786872333098e-15	1
H27M09.5	3.0978343697905307e-15	1
EEED8.4	3.1264484327523807e-15	1
flp-20	3.1569558461434703e-15	1
T04A6.3	3.1780456866794202e-15	1
Y116A8A.4	3.1895379890855707e-15	1
fbxa-19	3.2294850976552e-15	1
C01G12.7	3.2454100514524807e-15	1
ugt-65	3.2488911698211404e-15	1
C03D6.1	3.2634988352315e-15	1
C17E4.1	3.26749216370486e-15	1
Y37H9A.5	3.2736207192992706e-15	1
C38C6.5	3.2990850372654707e-15	1
clec-266	3.3026864901299604e-15	1
C45G9.4	3.3786876372864405e-15	1
K09E4.4	3.3878868442597602e-15	1
cfi-1	3.3886257013185605e-15	1
Y105C5B.18	3.3958497294252503e-15	1
C43F9.5	3.4070754526520503e-15	1
F13E9.12	3.4138254150571602e-15	1
Y38H6A.5	3.4803293574512307e-15	1
D1081.11	3.4926626635916507e-15	1
F15H9.1	3.5017613124061402e-15	1
Y39F10A.3	3.5404618660030607e-15	1
F20D6.1	3.5730068970856605e-15	1
K09C8.7	3.5959862633733106e-15	1
F37A4.4	3.60566362198563e-15	1
H06I04.5	3.61109367288521e-15	1
Y57A10A.7	3.66051859134244e-15	1
C16C8.13	3.67998011206294e-15	1
nlp-17	3.68455160493707e-15	1
E04D5.2	3.6896514370508404e-15	1
B0041.1	3.693880600950251e-15	1
C48D1.9	3.7218385810322e-15	1
flr-1	3.79561434195615e-15	1
nrf-5	3.8134131656190105e-15	1
clec-151	3.85026081071711e-15	1
F38H4.6	3.86596437878455e-15	1
scl-17	3.87827543460731e-15	1
irld-4	3.88512470628237e-15	1
clec-123	3.898154169259991e-15	1
sre-4	3.900200584115321e-15	1
T03G11.3	3.90307182110617e-15	1
nep-5	3.91733087021086e-15	1
dyf-3	3.920457574569991e-15	1
H06A10.1	3.9210529885133604e-15	1
snb-5	3.9349018667445e-15	1
srap-1	3.9353902244122105e-15	1
ZK930.5	4.002797780516391e-15	1
F35H8.2	4.02493427654082e-15	1
spe-12	4.03309573949867e-15	1
F18C12.4	4.05651659835893e-15	1
F14F3.5	4.1099993787391e-15	1
K10H10.10	4.13626621660142e-15	1
H25P06.5	4.137100347334351e-15	1
F59E11.7	4.1416966745994e-15	1
npax-1	4.15906232098032e-15	1
BE0003N10.6	4.2224750340432506e-15	1
C01A2.6	4.226000447745781e-15	1
Y57G11C.23	4.228881852147951e-15	1
H34I24.1	4.231064613847801e-15	1
srh-182	4.280800358548551e-15	1
M02B1.4	4.28805163123519e-15	1
ZK546.4	4.344723218323541e-15	1
cyp-14A1	4.3737233972378404e-15	1
acox-1.3	4.387157559657621e-15	1
skr-5	4.390211637818911e-15	1
K12B6.2	4.4130298452025904e-15	1
irld-14	4.4681293815488105e-15	1
C31H1.5	4.47374171137568e-15	1
T09A5.14	4.475479052582261e-15	1
R52.6	4.485223249289521e-15	1
del-1	4.502655888798221e-15	1
Y105C5B.11	4.51291291968769e-15	1
jkk-1	4.5179969590054304e-15	1
irld-8	4.52490444489265e-15	1
T01C8.3	4.549168709739801e-15	1
lgc-35	4.551364783721021e-15	1
ceh-99	4.61103843557772e-15	1
srd-5	4.62282350852252e-15	1
AH6.3	4.66463056551788e-15	1
R03D7.2	4.686557013933431e-15	1
T21E3.2	4.77482098435927e-15	1
Y34F4.3	4.82087601329449e-15	1
F53A2.1	4.86390174046087e-15	1
msp-32	4.8754330830572e-15	1
C24A3.4	4.924211019557691e-15	1
C23H5.15	4.9425013963596206e-15	1
scav-5	4.97279166315735e-15	1
C11G10.1	4.97336318721333e-15	1
tmc-1	4.974335545729081e-15	1
K10G4.3	4.978161773723e-15	1
pha-2	5.01643136993506e-15	1
C56G2.4	5.0286066841991706e-15	1
pph-2	5.0442354839551e-15	1
ZK1290.7	5.07546498636546e-15	1
bath-21	5.0972625978579e-15	1
C29F4.3	5.119738954692141e-15	1
cnc-2	5.13254049399859e-15	1
ZK892.3	5.15040256930746e-15	1
Y50E8A.11	5.15562912655627e-15	1
sri-45	5.16997600816179e-15	1
C24D10.49	5.170661002459321e-15	1
ZC132.9	5.193372263941871e-15	1
F22F1.2	5.19685847274235e-15	1
C52B11.4	5.2186530295375705e-15	1
nspc-15	5.247101582727671e-15	1
T04F3.5	5.27651838518281e-15	1
ZK546.19	5.299370578237161e-15	1
Y70C5C.1	5.30408699577003e-15	1
ZK1025.3	5.318539491843581e-15	1
sst-20	5.35218988731789e-15	1
C02B8.1	5.39361230122015e-15	1
R09H10.7	5.39735313070076e-15	1
C28C12.11	5.403256300864491e-15	1
F57C9.6	5.469947775952861e-15	1
K08B5.1	5.47160123618122e-15	1
F44B9.10	5.473643826733091e-15	1
eat-4	5.5042763257732e-15	1
C04G6.7	5.529811614900291e-15	1
F56C4.1	5.538087076725751e-15	1
H12D21.5	5.559531393448201e-15	1
cutl-18	5.57557132215641e-15	1
sra-10	5.583894324359771e-15	1
C17C3.11	5.585936370403951e-15	1
B0222.1	5.60002013341074e-15	1
C47E8.9	5.613007240291041e-15	1
Y6G8.15	5.616274378568811e-15	1
F14F9.5	5.62908708583703e-15	1
hot-8	5.634370228465441e-15	1
Y57A10A.3	5.63911491326844e-15	1
C41H7.1	5.648137367148471e-15	1
unc-75	5.690204417500281e-15	1
F36D3.5	5.722606132042731e-15	1
F46F5.14	5.736392350103751e-15	1
sym-1	5.76001454068258e-15	1
Y80D3A.8	5.76762802109803e-15	1
Y69E1A.3	5.78870661801518e-15	1
dpy-17	5.841456115915341e-15	1
clec-233	5.86298721261221e-15	1
gpa-11	5.90104072733533e-15	1
Y41D4B.15	5.915911443335821e-15	1
Y65B4A.4	5.930614021158981e-15	1
arrd-15	5.948350863169341e-15	1
T18D3.5	5.95273033192286e-15	1
C07H6.9	6.04971124737845e-15	1
C45H4.14	6.057956939383721e-15	1
Y37E11AR.7	6.0606004407081e-15	1
C46E10.1	6.062969135008191e-15	1
M04G7.2	6.06853679718613e-15	1
T08B6.9	6.073489604881391e-15	1
C31B8.16	6.08686408054454e-15	1
clec-143	6.134516047965981e-15	1
ZK1010.4	6.187847699370481e-15	1
C25G4.8	6.18937674403813e-15	1
F44E7.3	6.19705774649805e-15	1
C28C12.1	6.25845874602121e-15	1
Y38E10A.33	6.263599256008621e-15	1
ZK1225.4	6.274674777593751e-15	1
B0416.7	6.310059454738721e-15	1
D2096.9	6.32737113928485e-15	1
twk-10	6.34463970912777e-15	1
ZC266.1	6.36833757160579e-15	1
D2024.1	6.379744722685281e-15	1
npr-30	6.39680030343729e-15	1
Y69A2AR.47	6.4294573860718e-15	1
R11F4.2	6.50613759237356e-15	1
Y54G11A.19	6.562368529349331e-15	1
F35E2.9	6.6413181417046905e-15	1
C03B1.5	6.6892422861886905e-15	1
wrt-7	6.802104396758961e-15	1
cwn-1	6.805963137871271e-15	1
T10G3.8	6.823653691076411e-15	1
K02C4.2	6.84352679675995e-15	1
oac-52	6.846790524958481e-15	1
nlp-46	6.8519944187126906e-15	1
zipt-2.2	6.860966438474141e-15	1
ttr-12	6.88109969710337e-15	1
T05G5.4	6.8868394144165504e-15	1
K08F9.1	6.899202818643371e-15	1
ugt-7	6.9290097465062804e-15	1
C50E10.2	6.9387440347360105e-15	1
pag-3	6.982538648233181e-15	1
T26C5.4	6.98995794881251e-15	1
F13E9.14	6.997937010181941e-15	1
ggr-1	7.023165181394021e-15	1
nep-19	7.027624293568331e-15	1
hlh-2	7.031190903121861e-15	1
nlp-53	7.0353563854663e-15	1
F08F8.6	7.050796346834381e-15	1
btb-6	7.082302621455481e-15	1
F07E5.8	7.137904458055341e-15	1
poml-1	7.1697962340112e-15	1
C44B9.2	7.188068427002101e-15	1
F59B8.1	7.18956143420148e-15	1
msp-58	7.21250988658698e-15	1
nhr-263	7.289801843699301e-15	1
F41E7.2	7.33984477278761e-15	1
F58F12.4	7.351281740771381e-15	1
B0250.7	7.359970946897391e-15	1
C47A4.3	7.38150806544644e-15	1
arrd-10	7.39747991337865e-15	1
F58D5.3	7.41214319738966e-15	1
F14E5.8	7.44292801510105e-15	1
Y57G11C.32	7.44439382120962e-15	1
ZK666.8	7.494210090063501e-15	1
lim-4	7.504001873263451e-15	1
srg-5	7.53363174786893e-15	1
K07F5.6	7.53680577297311e-15	1
K07D4.4	7.558606559228e-15	1
snpc-3.3	7.57932349467359e-15	1
mec-10	7.641516803601911e-15	1
F26D2.10	7.73004319946934e-15	1
Y54E2A.7	7.7389598444918e-15	1
ZK353.4	7.775492872074281e-15	1
osm-5	7.78866505859474e-15	1
pes-1	7.78882726581414e-15	1
C04E6.5	7.788858120809371e-15	1
B0207.9	7.78991914166131e-15	1
ugt-11	7.828762264293571e-15	1
try-7	7.89573130748409e-15	1
glc-3	7.90438679465258e-15	1
R155.3	7.908039739570701e-15	1
R04B5.5	7.93790157365677e-15	1
Y71G12B.26	7.95836078602475e-15	1
K06A1.2	7.986547426868911e-15	1
F55G1.7	8.035402893728351e-15	1
B0454.26	8.10481094812666e-15	1
stg-1	8.129389265285971e-15	1
efn-3	8.135435083787331e-15	1
B0035.21	8.136270009766901e-15	1
nspc-16	8.14795312629234e-15	1
F53F4.1	8.14895834183425e-15	1
mpz-6	8.15261371507439e-15	1
F26B1.1	8.165865751418461e-15	1
F30H5.5	8.173744956119381e-15	1
fkb-7	8.215446208365131e-15	1
C10C6.7	8.236087544587361e-15	1
his-67	8.2627135935767e-15	1
C09B9.7	8.26462339499261e-15	1
nhr-166	8.270981609662881e-15	1
nlp-9	8.291081973385101e-15	1
C30B5.17	8.345097791529861e-15	1
C39B10.1	8.3504569231253e-15	1
F46A8.6	8.37696691144677e-15	1
F42G8.19	8.38181590969648e-15	1
F16C3.2	8.4180706555523e-15	1
K08D8.5	8.45440480281703e-15	1
clec-73	8.45644863832325e-15	1
C17C3.9	8.483351678175451e-15	1
C18H2.5	8.5160980231605e-15	1
ech-1.1	8.52662702555416e-15	1
T13A10.1	8.5485712318698e-15	1
srg-69	8.55362100550339e-15	1
nlp-20	8.55904233810775e-15	1
pqn-32	8.57945293869202e-15	1
F13D11.4	8.62123196920052e-15	1
K02E2.1	8.641000058533741e-15	1
srz-4	8.64309303070151e-15	1
T21E12.5	8.67166296104621e-15	1
F33D11.2	8.724626954462761e-15	1
K09G1.2	8.762263252593101e-15	1
Y57A10C.9	8.781002597030091e-15	1
ZK177.1	8.81225086144573e-15	1
F59A3.7	8.82038420044198e-15	1
T02E9.5	8.84772656511005e-15	1
clec-169	8.849712034983701e-15	1
C54D10.4	8.883986325155341e-15	1
F56H9.6	8.93700703738015e-15	1
crn-6	8.95240735907588e-15	1
F33D11.7	8.98418853103662e-15	1
hpo-30	8.996923240947141e-15	1
Y41G9A.10	8.99910092069229e-15	1
dhhc-12	9.00801601552453e-15	1
fbxa-183	9.02932822462975e-15	1
C05E7.3	9.07361858540863e-15	1
kvs-1	9.084558860179111e-15	1
F14B6.2	9.13075403794076e-15	1
F44F4.3	9.13686009551009e-15	1
Y48G1C.5	9.15353222051808e-15	1
C04G6.6	9.18696584603586e-15	1
nspc-14	9.19328604959848e-15	1
ZK154.1	9.22014706469784e-15	1
ZK616.61	9.27898149259535e-15	1
C16C8.20	9.27926552291055e-15	1
C03G6.5	9.28855545431349e-15	1
scrm-8	9.320428642800811e-15	1
C05G5.7	9.34783325931658e-15	1
F49F1.14	9.37688734131975e-15	1
F22F1.3	9.388115817388672e-15	1
odr-3	9.433390406392991e-15	1
F43G6.10	9.46168554860227e-15	1
Y53F4B.36	9.49336522745395e-15	1
ifta-1	9.51587737199886e-15	1
ncx-9	9.54602046600058e-15	1
Y51A2B.9	9.546940842774912e-15	1
F32D8.15	9.54803569821523e-15	1
F11C7.7	9.580864022858412e-15	1
Y66D12A.19	9.618246116298192e-15	1
C14A6.8	9.64919408116936e-15	1
ZK616.65	9.656539384796091e-15	1
nlp-42	9.67397610945126e-15	1
egl-2	9.68480446594813e-15	1
Y47H9B.2	9.69102791846645e-15	1
K05F1.8	9.69854131949879e-15	1
T28A8.6	9.77187205456988e-15	1
R03D7.5	9.79667128081447e-15	1
F54D10.4	9.84050362553431e-15	1
twk-14	9.85300521931532e-15	1
Y73B6BL.288	9.88495751779746e-15	1
C35D10.3	9.93027929592676e-15	1
B0244.9	9.965530488165573e-15	1
B0496.6	9.9728450123946e-15	1
C28H8.5	9.97519115375996e-15	1
acr-11	1.00523621143096e-14	1
T28B4.4	1.00590637373564e-14	1
eyg-1	1.0059595959571e-14	1
C34E7.3	1.00825785173803e-14	1
dmsr-5	1.00841528891658e-14	1
