gene_short_name	scaled_TPM	group_number
C16D9.5	1.76638610344965e-16	1
T08B6.9	2.01039934953716e-16	1
Y62E10A.3	2.2649838318492397e-16	1
ZC190.8	2.62010529983836e-16	1
lsy-27	3.44033301011901e-16	1
mps-3	4.45729773866357e-16	1
Y51H7C.13	4.9153229247555e-16	1
C54D2.2	4.98299977529614e-16	1
C50E10.2	5.15207430490037e-16	1
F59F5.5	5.21637704935737e-16	1
ZK973.4	5.579521841764202e-16	1
dyf-17	5.65140962590606e-16	1
F19C7.5	5.73381832005551e-16	1
Y67D8B.5	6.41046933572039e-16	1
Y48G1C.5	6.42880265754499e-16	1
F23H11.7	6.5726349985e-16	1
F54D10.4	6.79449956973801e-16	1
snpc-3.3	7.1215640349769e-16	1
zip-7	7.34326013309212e-16	1
C46E10.9	7.47128907908414e-16	1
BE0003N10.6	7.79651187947156e-16	1
scl-6	7.94038834410263e-16	1
T24A6.1	8.05858528587391e-16	1
ZK622.5	8.397830679546701e-16	1
F14H3.4	8.43853575664437e-16	1
bath-21	8.846872746528501e-16	1
galt-1	8.92541582131949e-16	1
Y37H2A.7	9.48879714276097e-16	1
tyr-5	9.60873342289777e-16	1
Y38H6A.5	9.75940675719945e-16	1
W02D7.12	9.81475057442229e-16	1
F39F10.3	1.0344413368283601e-15	1
D1081.11	1.04625047896678e-15	1
C25G4.8	1.07687904090929e-15	1
T25B9.6	1.09916337939586e-15	1
K02E7.11	1.1008209922293801e-15	1
R74.2	1.1185506293106702e-15	1
tmc-1	1.12978650628338e-15	1
F08F8.6	1.1505660186053602e-15	1
T06A10.106	1.1589612549961801e-15	1
snf-10	1.1813749485075602e-15	1
sre-18	1.1841294835146501e-15	1
Y105C5B.17	1.21282319919022e-15	1
T19C3.5	1.21388651837839e-15	1
K01A12.2	1.23000565807408e-15	1
B0416.4	1.2599110897717802e-15	1
irld-6	1.32071263009324e-15	1
F57H12.6	1.3399603665161602e-15	1
skr-10	1.3426392610170101e-15	1
Y75B7AL.2	1.3497078336025301e-15	1
Y65B4A.9	1.3652270152813102e-15	1
tsp-18	1.3834604717555501e-15	1
H12D21.5	1.4219592896759701e-15	1
F58D5.8	1.4338023263990601e-15	1
C02B8.12	1.4441818640629101e-15	1
C15C8.5	1.49260408442495e-15	1
F40F12.9	1.5026675561693201e-15	1
cof-2	1.5248859036708202e-15	1
T16G12.7	1.5339316371123902e-15	1
Y75B8A.3	1.5349295077317501e-15	1
zipt-21	1.56303992856897e-15	1
aman-1	1.5692146467199801e-15	1
M110.7	1.56969613708033e-15	1
lgc-26	1.5738074841464301e-15	1
F49D11.14	1.5968437552215301e-15	1
M151.4	1.60215859182e-15	1
K05C4.4	1.6147101162437401e-15	1
F56D3.1	1.62163566938465e-15	1
unc-24	1.6339873431361302e-15	1
ugt-7	1.63429011536406e-15	1
AH6.3	1.6366141800145902e-15	1
Y77E11A.14	1.6917631770667502e-15	1
dhhc-12	1.6970585546171e-15	1
K12B6.2	1.7403901947929702e-15	1
C56G2.4	1.7525800782720502e-15	1
C06C6.7	1.7600753811859102e-15	1
F11A5.18	1.7645875462044202e-15	1
clc-2	1.95055400462928e-15	1
K06A4.2	1.96131444696191e-15	1
btb-6	1.9647907513004506e-15	1
T08D2.7	1.9978998281818504e-15	1
T21E12.5	2.00888363023963e-15	1
C16D9.1	2.01040322852292e-15	1
F58B4.3	2.0383026730692704e-15	1
mpz-6	2.04196749702765e-15	1
fbxa-224	2.0626403471239e-15	1
Y22D7AL.9	2.0785949589562203e-15	1
T24C4.8	2.1212206311701202e-15	1
F56C4.4	2.1337169915689402e-15	1
tag-191	2.14665908077846e-15	1
F16B3.2	2.1566076041301e-15	1
ZK795.2	2.17169417150926e-15	1
ced-11	2.18604575496142e-15	1
