gene_short_name	scaled_TPM	group_number
dig-1	7.241579622337939e-16	1
dod-6	7.693941063319219e-16	1
Y73F4A.1	1.3812757300041402e-15	1
ttr-12	3.35227995447905e-15	1
scl-6	3.49349852709603e-15	1
his-74	4.802745628445771e-15	1
clec-151	4.92930820407566e-15	1
icmt-1	5.381027769473551e-15	1
nas-20	5.809119391071e-15	1
skr-2	6.09680342267177e-15	1
flp-17	6.515701287136011e-15	1
C09D4.2	7.129969140265161e-15	1
T22C1.9	7.72123492633571e-15	1
F23C8.8	7.83512889556561e-15	1
syp-1	8.32386269599683e-15	1
unc-122	8.52167727157772e-15	1
flp-20	9.66288229399974e-15	1
B0207.9	9.67439360010994e-15	1
F41G3.21	9.9492928734477e-15	1
F36A4.2	9.963911280050682e-15	1
ZK546.4	1.07455075877895e-14	1
C28C12.11	1.10437015532831e-14	1
T28A8.6	1.30960252008897e-14	1
T28B8.6	1.33188616907152e-14	1
K09G1.2	1.33618488321911e-14	1
Y113G7C.1	1.35835622059588e-14	1
C31H1.5	1.4335050666228e-14	1
F23B12.1	1.45273852909939e-14	1
C43G2.3	1.49527814912556e-14	1
Y67D8B.5	1.51208550157213e-14	1
F36H12.5	1.52363459999781e-14	1
nlp-17	1.58383886504766e-14	1
irld-14	1.64994466545044e-14	1
F27C8.5	1.76202769830151e-14	1
ZK616.61	1.78121102263009e-14	1
T26C5.4	1.85671918650916e-14	1
acs-6	1.9191644856826998e-14	1
M02B1.4	1.92339941283072e-14	1
Y37E11AL.3	2.00354551586485e-14	1
dhs-11	2.03508020104602e-14	1
Y57G11A.2	2.0576918804374702e-14	1
F38H4.6	2.1410424917806105e-14	1
F36H12.3	2.26127846675637e-14	1
F41H10.1	2.28157694497777e-14	1
Y43F8C.5	2.3303242747334998e-14	1
clec-123	2.42654497188697e-14	1
T08H10.3	2.4774347554132905e-14	1
C41G7.6	2.49994346998363e-14	1
spe-4	2.5018216722588e-14	1
ttbk-2	2.5104973427165702e-14	1
nlp-42	2.52840478209754e-14	1
msp-74	2.56741953414937e-14	1
C06A12.3	2.63622254895813e-14	1
R08A2.2	2.69307896725637e-14	1
clec-119	2.7847250671421503e-14	1
F32B4.2	2.9038635296576e-14	1
F59C6.3	2.92129841698994e-14	1
Y59C2A.1	2.92194127179017e-14	1
irld-1	3.0079392616066804e-14	1
Y43F8A.2	3.09772918474368e-14	1
Y73F4A.2	3.35465829454224e-14	1
flp-11	3.53929218354159e-14	1
