gene_short_name	scaled_TPM	group_number
col-152	5.95084892913615e-16	1
unc-122	7.394779682335419e-16	1
F20D6.1	7.69647277724043e-16	1
lgc-26	9.82190723061787e-16	1
Y51H7BR.4	9.8336239391373e-16	1
wht-8	1.1540073199301502e-15	1
Y37E11AR.7	1.5282987275856802e-15	1
cup-4	1.6404161069217502e-15	1
T23B7.2	1.64391181698626e-15	1
C35D10.3	1.6798438573871302e-15	1
E02H4.4	1.7161610330222301e-15	1
Y51A2B.5	1.7239741357617301e-15	1
clec-145	1.7456341010809301e-15	1
glb-3	1.7895914011003703e-15	1
H04D03.2	1.8185016472661e-15	1
selt-1.2	1.91069948457413e-15	1
Y116F11B.7	1.9271046848856503e-15	1
C28C12.4	1.94803944405239e-15	1
F14F8.8	2.1178187674664706e-15	1
C54D10.9	2.27940420991857e-15	1
K02E7.11	2.3333867788932e-15	1
F41E6.5	2.3472316456431202e-15	1
B0207.7	2.66012060231137e-15	1
ZK616.61	2.81164109504862e-15	1
F28A10.3	2.81651144483831e-15	1
acp-3	2.82196721631007e-15	1
acc-4	2.8752907244223307e-15	1
clec-178	2.92717883502768e-15	1
Y105C5B.17	2.9474483115113704e-15	1
T20B6.1	2.97145848627132e-15	1
M04G7.1	2.9783615402344706e-15	1
spe-10	3.0589043607511704e-15	1
Y69A2AR.32	3.06138169322561e-15	1
R04B5.11	3.07882221724667e-15	1
Y69A2AL.2	3.4412337868620705e-15	1
C01G10.1	3.4548484777186707e-15	1
Y51A2B.9	3.58939001652329e-15	1
ZK1037.6	3.635884391982681e-15	1
math-48	3.63827554997192e-15	1
Y47H9B.2	3.65103679323766e-15	1
nlp-54	3.71990791082548e-15	1
K06A9.2	3.887804119766211e-15	1
H31G24.3	3.981774488543741e-15	1
msp-74	4.16899075051168e-15	1
F44D12.16	4.19916042107198e-15	1
try-10	4.442080187301131e-15	1
T18D3.5	4.49299753149646e-15	1
ZC190.8	4.553850352241751e-15	1
Y38F1A.7	4.577584690580321e-15	1
F26G1.15	4.67346842392567e-15	1
acc-1	4.80773511257222e-15	1
R04D3.2	4.813177944582361e-15	1
K02A11.2	4.8318204901787e-15	1
F13H6.5	5.103492043365461e-15	1
F16G10.5	5.130500573948081e-15	1
sgcb-1	5.22047853480398e-15	1
R01H2.4	5.431249442385661e-15	1
mboa-4	5.46989521623898e-15	1
W01B6.5	5.54172896632694e-15	1
pqn-29	5.609821504977521e-15	1
oig-8	5.640059814664371e-15	1
clec-142	5.653158089609871e-15	1
K06A4.2	5.6879676906820906e-15	1
C28A5.1	5.746568070447511e-15	1
clec-153	5.88760611209847e-15	1
Y53C10A.15	5.893721811942931e-15	1
irld-18	6.00663894156368e-15	1
clec-119	6.08875860359361e-15	1
R08C7.5	6.10218041522487e-15	1
F26D2.10	6.108974923986621e-15	1
F33A8.7	6.508774045863161e-15	1
gmeb-3	6.628937872666641e-15	1
C48B6.9	6.674646336486781e-15	1
ZC513.3	6.689174297864571e-15	1
H38K22.7	6.777266012345021e-15	1
clec-190	6.84691411812159e-15	1
Y37D8A.3	6.964371365397161e-15	1
zipt-7.1	6.969974507772e-15	1
tag-68	6.981574813430661e-15	1
F35E2.5	7.14983651736125e-15	1
hpo-30	7.204409108044521e-15	1
fbxa-140	7.25809527173986e-15	1
D1081.11	7.32211704615175e-15	1
F29B9.12	7.32369953454899e-15	1
dhhc-12	7.335565634289821e-15	1
clec-223	7.36569469047425e-15	1
F28A10.7	7.391952368026441e-15	1
acr-19	7.40063608707827e-15	1
F13E9.12	7.44689328950625e-15	1
nac-1	7.463773789797521e-15	1
frpr-2	7.5319237805243e-15	1
ZK1225.5	7.58485183216023e-15	1
C55C2.3	7.585441929010081e-15	1
ZK637.12	7.678444758482371e-15	1
Y51A2D.18	7.802765844425241e-15	1
F52A8.3	7.81644163258972e-15	1
ZK856.18	8.060752797640491e-15	1
B0250.7	8.079330302825991e-15	1
unc-30	8.11436808255815e-15	1
W09C3.2	8.187705333653181e-15	1
Y51H4A.22	8.224990087978521e-15	1
H22K11.3	8.268652603809091e-15	1
M02D8.5	8.31561653475989e-15	1
ceh-17	8.36083737860198e-15	1
ZK973.8	8.416509605719381e-15	1
R05D3.3	8.63416324659784e-15	1
sad-1	8.656792134923711e-15	1
ZK971.1	8.7809212410574e-15	1
B0041.1	8.789478337850561e-15	1
K11H3.2	8.79009798927907e-15	1
F36G9.13	8.825507498821891e-15	1
Y58A7A.5	8.91661720231696e-15	1
scvp-1	8.997961330382191e-15	1
hot-8	9.185094462106832e-15	1
scrm-3	9.19282258763546e-15	1
Y51H4A.8	9.23960633147499e-15	1
taf-2	9.24545009039597e-15	1
ZK596.3	9.30087912106882e-15	1
nmur-1	9.462932668600711e-15	1
