gene_short_name	scaled_TPM	group_number
clec-178	3.3936195509818606e-15	1
Y73F4A.1	3.5582841174798205e-15	1
ttr-1	5.250835919427291e-15	1
F55B11.3	6.02243680833677e-15	1
ZK813.3	6.133112087854561e-15	1
cup-4	6.47830115856669e-15	1
Y62H9A.4	6.67125719052379e-15	1
T19C3.5	7.544717773066291e-15	1
aman-1	7.6677238894508e-15	1
Y116A8C.3	7.9814428712209e-15	1
cof-2	9.609473499157671e-15	1
ZC116.3	9.84032096208887e-15	1
K02E7.11	1.46114370848047e-14	1
W02D9.7	1.63512261936965e-14	1
nep-8	3.24434460834531e-14	1
K07A1.6	3.40693992170841e-14	1
try-7	2.22934013476558e-13	1
C18H7.7	2.48155777635906e-13	1
dot-1.2	2.57256143021751e-13	1
Y105E8A.27	3.65531781275665e-13	1
Y62H9A.3	5.473740032320199e-13	1
H29C22.1	7.58156028465761e-13	1
C54D10.4	1.44568757929271e-12	1
C31H1.5	1.48196875078369e-12	1
ule-5	5.25568979012472e-12	1
ule-3	6.53956029847786e-12	1
T02E1.7	2.84045374453602e-11	1
Y62H9A.5	8.778573154309029e-11	1
K02F6.3	1.11621710783546e-10	1
F35C12.3	1.21877493004737e-10	1
M02B1.4	1.6217423038714702e-10	1
D1054.10	1.86828615471187e-10	1
best-1	2.57202997051596e-10	1
ZC373.2	3.53284713953297e-10	1
Y47G6A.3	1.45734368714722e-09	1
ttr-12	3.0636492912097403e-09	1
ttr-9	3.08340908777085e-08	1
K08C9.2	3.35016516295133e-08	1
D1086.17	7.92312197843955e-08	1
try-10	7.96354593323907e-08	1
F56D6.12	1.64932463502754e-07	1
F17E9.4	1.8590287398006e-07	1
Y37D8A.19	2.78459968483116e-07	1
F57C2.4	3.09381863503106e-07	1
F40D4.17	7.73396312644071e-07	1
ttr-14	7.92648484575418e-07	1
C16C10.13	9.64475507290994e-07	1
clec-175	1.39953435126065e-06	1
Y57G11C.23	1.46296930702745e-06	1
T08B6.4	3.87921181891888e-06	1
F53H4.2	4.34876458586328e-06	1
ZK795.2	4.4661453692338e-06	1
C14F11.4	9.00788937998102e-06	1
F57B9.8	1.45312217155015e-05	1
