gene_short_name	scaled_TPM	group_number
Y73F4A.1	2.9754553209357907e-15	1
ZK813.3	6.0234498239882004e-15	1
Y62H9A.4	6.13420629775689e-15	1
ule-3	8.77338262782174e-15	1
F55B11.3	1.2556194737351e-14	1
K02E7.11	4.04845724459815e-14	1
ttr-14	7.44994932655399e-14	1
F17E9.4	8.3638493437852e-14	1
Y95B8A.4	1.31184436203425e-13	1
ZC373.2	2.56567056424989e-13	1
Y116F11B.8	3.3487065171106e-13	1
ule-5	4.14380345411124e-12	1
D1054.10	5.1623667469731496e-11	1
Y43F8C.5	8.08248844921423e-11	1
Y62H9A.5	2.65675880269371e-10	1
F55B11.2	5.16431875184671e-09	1
ZK813.1	5.52686421965949e-09	1
oac-27	5.8049955772868305e-09	1
K08C9.2	1.82818822522303e-07	1
Y37D8A.19	1.09639684867061e-06	1
F53H4.2	7.12794297415043e-06	1
C04G2.5	9.3766769494063e-06	1
C14F11.4	1.45962083212435e-05	1
irld-3	1.72993707756881e-05	1
K09E4.1	1.75789796592495e-05	1
ZK795.2	1.99635115589858e-05	1
scrm-5	3.38333464023507e-05	1
catp-4	6.64032164269423e-05	1
ZK813.7	8.71625527669106e-05	1
Y105C5B.18	0.0001510848421072	1
W02B12.12	0.0004029063484023	1
acp-3	0.0005115188759763	1
Y54G2A.15	0.0088233234515363	1
M162.7	0.0102098635513888	1
F09C12.8	0.0204457079242353	1
ttr-42	0.0656906094103451	1
msp-55	0.0823016586726333	1
W09D6.4	0.113207459633867	1
C31H1.2	0.144009064636671	1
wago-4	0.151463297930235	1
D1081.12	0.160092868624939	1
T21B10.4	0.191816112034225	1
C48B4.10	0.205401978021936	1
ent-1	0.245198202857348	1
Y65B4BL.4	0.305527197157742	1
C48B4.6	0.319251594166405	1
F56B3.6	0.33178901354667	1
F40H6.1	0.341511142107586	1
mct-5	0.394500343020024	1
glp-1	0.411635872245056	1
C16A11.4	0.432330263403627	1
clec-153	0.432675827749959	1
K06B4.15	0.526345943894967	1
F29D10.1	0.547666959296657	1
Y106G6G.4	0.554974999969306	1
set-21	0.598700546122183	1
W02D9.7	0.601526202400435	1
toca-2	0.635481817158347	1
hil-5	0.640498328734031	1
inx-14	0.645254223756566	1
F59A6.2	0.658124045845124	1
cdl-1	0.67174186152427	1
F36D4.1	0.702614412080937	1
ipla-4	0.711401984538844	1
F54D5.2	0.726267553115962	1
cpb-1	0.748443360139218	1
ceh-92	0.798429952022309	1
smz-1	0.806542895294428	1
C16A11.5	0.835815983843371	1
Y18D10A.11	0.844839616286526	1
C34G6.3	0.845868966340769	1
Y41D4B.11	0.850114224051873	1
F55G1.6	0.870990617221775	1
K07A1.1	0.873152369961648	1
Y57G11A.2	0.878079262047236	1
Y37E11AL.3	0.879551640684193	1
orc-3	0.891382044217124	1
snpc-3.1	0.920903833174964	1
plk-1	0.921922310742031	1
xnd-1	0.928040829217263	1
hop-1	0.941810318880752	1
Y69A2AR.28	0.95670551310489	1
him-10	0.957001933716218	1
C28A5.2	0.963492922107389	1
prde-1	0.964477682898626	1
exo-3	0.986709366909625	1
mcm-2	0.988479246647841	1
Y65B4BL.3	1.00329692454729	1
his-68	1.01529894706204	1
tag-153	1.05568303626608	1
nmy-1	1.05951098670791	1
F59A6.5	1.07340880267772	1
syp-3	1.07726484132468	1
him-3	1.0828237675892	1
mre-11	1.10209254148002	1
