gene_short_name	scaled_TPM	group_number
lgc-28	2.7533807619649607e-15	1
Y62H9A.3	4.41237582847531e-15	1
Y73F4A.1	4.911380530966491e-15	1
Y62H9A.4	5.8037054171416404e-15	1
clec-178	6.581057864772171e-15	1
F55B11.3	1.3522083562365e-14	1
ttr-1	1.36159076646194e-14	1
Y116A8C.3	1.469174205084e-14	1
K07A1.6	1.52189233404378e-14	1
nep-8	4.37387946597941e-14	1
F17E9.4	4.61182449305466e-14	1
T05B11.4	4.84484949884222e-14	1
ule-3	8.961704936824592e-14	1
ZK813.3	1.00668663189983e-13	1
Y51H4A.22	1.09093812387477e-13	1
snf-9	3.58005985061169e-13	1
F25E5.9	6.51407308194453e-13	1
F38B2.3	7.33526395540234e-13	1
C31G12.4	7.86827669792957e-13	1
ssp-37	8.10455930874563e-13	1
H29C22.1	1.72666177394843e-12	1
Y17G7B.19	2.7493913796497497e-12	1
F35C12.3	4.71329102939602e-12	1
ule-5	8.29841610910038e-12	1
W05B10.6	2.97972695820255e-11	1
Y59E9AL.8	2.03378991544289e-10	1
Y62H9A.5	2.08794585467926e-10	1
W02D9.7	3.63368030972887e-10	1
M02B1.4	4.05163702990106e-10	1
D1054.10	5.68225627252146e-10	1
ZC373.2	8.74873309827372e-10	1
R01H2.2	1.0797656710177e-09	1
ZK1010.5	1.71704657094577e-09	1
ttr-12	3.47741403951544e-09	1
Y105C5B.17	5.6658182633917e-09	1
F56F4.3	1.48335940452567e-08	1
Y43F8A.2	1.96546926270334e-08	1
C18H7.7	2.81901563165576e-08	1
K08C9.2	4.59708216288965e-08	1
B0524.4	1.11114450306952e-07	1
F36H2.6	1.94933294543902e-07	1
clec-123	2.16585025970485e-07	1
ZK1053.2	2.47914742872496e-07	1
ZK856.5	3.37162664579005e-07	1
C18H2.5	3.58712819198888e-07	1
Y69H2.3	4.96080889057182e-07	1
ttr-14	6.91464064011011e-07	1
Y43D4A.2	8.06068910789954e-07	1
F57C2.4	9.21468584695193e-07	1
R03D7.8	1.22806778141668e-06	1
sst-20	1.23701124236718e-06	1
T08B6.4	1.61702719081717e-06	1
ttr-9	1.68362281470445e-06	1
Y37D8A.19	1.72965713515052e-06	1
irld-3	2.22876242509184e-06	1
acp-3	2.37405992957513e-06	1
Y43F8C.5	2.44498055006258e-06	1
cin-4	4.64872736286978e-06	1
C04H5.7	5.14879017194322e-06	1
C14F11.4	6.88844067230521e-06	1
ZK813.7	1.38712426729099e-05	1
W02D9.6	3.85301318139191e-05	1
D1086.6	4.33014965525798e-05	1
C28C12.11	5.70083954347529e-05	1
clec-175	6.41438509480434e-05	1
Y105C5B.18	6.95003013782722e-05	1
T15H9.4	7.33704715312374e-05	1
nkb-2	8.31065026650943e-05	1
ZK688.10	0.0001376567048797	1
Y43F8C.9	0.000196339884169	1
R07C3.13	0.0002207202755276	1
ZK84.2	0.0002359700298309	1
Y50E8A.2	0.0004070486004631	1
F55B11.2	0.0004973516523992	1
F25H5.7	0.0006629938616189	1
ZK813.1	0.0007345360486191	1
T05B4.14	0.0015210688567256	1
mpst-4	0.0023855767251354	1
F54F7.3	0.0026620484234717	1
B0218.5	0.0030596391635569	1
klp-17	0.0032080854989106	1
M162.7	0.0041178318220253	1
ttr-28	0.0044173779098591	1
Y54G2A.15	0.0049544227010929	1
D1086.17	0.0056477406113509	1
C15A11.2	0.0146060413013513	1
M28.9	0.0156672517735125	1
Y43F4A.3	0.0206882176877965	1
ttr-42	0.0328356838162098	1
C39E6.2	0.0493987747482807	1
bath-35	0.0511454089109074	1
F35H8.1	0.0763986566688128	1
C35E7.10	0.0925908311575778	1
F40H6.1	0.108424404154777	1
clec-153	0.13350527932969	1
abf-6	0.14113137300117	1
Y54F10BM.12	0.142503798095696	1
tofu-4	0.144067534319271	1
basl-1	0.144389067272334	1
Y54G2A.13	0.145153744490385	1
klp-15	0.160830018235021	1
mct-5	0.160946806980169	1
F26F4.8	0.181897570970487	1
C39E9.12	0.184980883054373	1
F54C1.8	0.18578289301785	1
C09B9.2	0.186309521283384	1
Y52D5A.2	0.189309690363745	1
D1081.12	0.202482958449989	1
glh-4	0.210540666577141	1
F32E10.9	0.221065214350842	1
F53H4.2	0.221513231622651	1
C01G5.4	0.228690426142917	1
T02E1.7	0.239809316453801	1
F26B1.1	0.25146030821861	1
clec-79	0.254816985215776	1
C14A6.8	0.257066417240183	1
Y59H11AM.1	0.262409228303595	1
rad-51	0.265613344281841	1
gcna-1	0.26732272459138	1
T08B6.9	0.268836764297125	1
capg-2	0.275162156543045	1
mig-6	0.282394962394128	1
F56B3.6	0.283203347761197	1
F31E8.5	0.28569424772624	1
C48B4.6	0.290160084062616	1
coh-4	0.292700626560487	1
F56D6.12	0.293214502757688	1
D1086.11	0.295946558027798	1
rnh-1.2	0.303736468456813	1
K06B4.15	0.305531005656898	1
hdl-2	0.309135428282091	1
aat-9	0.309192778009076	1
mut-7	0.310155861567186	1
ZC395.4	0.310173274836882	1
R07E5.6	0.311155018654803	1
aptf-3	0.311592556334745	1
F54F7.14	0.312848555642137	1
pot-2	0.313929719460829	1
lam-2	0.340102015676097	1
