gene_short_name	scaled_TPM	group_number
Y73F4A.1	1.22558801244813e-15	1
aman-1	1.4519751006243202e-15	1
mig-6	1.4700332832525e-15	1
F55B11.3	2.0100210952618703e-15	1
T19C3.5	3.797102884665231e-15	1
Y62H9A.4	4.16191498774486e-15	1
W02D9.7	9.50562535177341e-15	1
snf-9	9.65146414519965e-15	1
clec-178	1.55661247042749e-14	1
K07A1.6	2.16852650709346e-14	1
ttr-1	2.26360243023129e-14	1
F17E9.4	2.92337646501475e-14	1
F38A5.22	4.26308438581401e-14	1
T05B11.4	4.7861997129771504e-14	1
K09F6.3	5.4658420365577705e-14	1
Y69H2.3	5.487073902072461e-14	1
ZK813.3	5.54737647481372e-14	1
mboa-4	1.12846040337294e-13	1
nep-20	1.45152893045726e-13	1
F59A1.13	3.07760172841456e-13	1
C56E6.7	1.03376721133019e-12	1
ZK795.2	1.22106236200961e-12	1
ssp-37	2.29610567421504e-12	1
H29C22.1	2.40614829965868e-12	1
C54D10.4	3.44238585868138e-12	1
ule-3	1.5290091911852598e-11	1
irld-14	9.8086815377474e-11	1
D1054.10	1.10617104989245e-10	1
Y62H9A.5	2.14825742026014e-10	1
Y54G2A.15	2.24408040036163e-10	1
Y43F8C.5	3.70010197133766e-10	1
F01G12.18	5.12883776616874e-10	1
ZC373.2	5.13547451708349e-10	1
ttr-12	2.55265427180144e-09	1
ZK813.1	3.9191929435114204e-09	1
F55B11.2	6.923017155266961e-09	1
C17H12.3	1.5142118426651e-08	1
D1086.17	4.37527308960768e-08	1
hdl-1	4.88304160778859e-08	1
K08C9.2	8.96364515623717e-08	1
ZK813.7	2.49506719621811e-07	1
F07F6.1	2.64885851917535e-07	1
nep-13	6.14269477391226e-07	1
ttr-14	8.9332540789345e-07	1
M162.7	1.26907185653925e-06	1
F54F7.3	1.3520233147535e-06	1
nas-20	1.45798001790737e-06	1
Y37D8A.19	2.2511345927715e-06	1
C14F11.4	1.2495287089715e-05	1
C04H5.7	2.32431421107698e-05	1
Y48B6A.5	3.31629182887179e-05	1
ZK84.2	0.0003984859901403	1
D1086.11	0.0026616814534196	1
C30A5.4	0.003170795450764	1
F37A4.4	0.0035858444707884	1
T07E3.2	0.004891206975728	1
ule-5	0.0079008972411631	1
ttr-42	0.0196592632308521	1
F21D9.2	0.0199973756268319	1
Y53G8AR.1	0.0411392341964904	1
C15A11.2	0.0570056939661998	1
Y57G11B.5	0.0677700056316979	1
Y39G10AR.16	0.0712755649074004	1
T02E1.7	0.0841235148890232	1
Y113G7C.1	0.0992562135627693	1
set-9	0.129593756312291	1
Y110A2AR.1	0.140246866569908	1
F13D12.5	0.141993392078747	1
abf-6	0.145483998134333	1
Y105C5B.18	0.1696391815644	1
Y43F8C.9	0.170270168956745	1
nspa-4	0.204645284801259	1
Y61A9LA.7	0.210501874210025	1
F55G1.6	0.21334554094353	1
T28H11.7	0.220193720745471	1
maph-1.2	0.250952377334875	1
gei-14	0.251121322587825	1
Y57G11A.2	0.256212082507953	1
Y57A10A.7	0.281670391791436	1
wago-4	0.296869867434689	1
fbf-2	0.297370147934354	1
mcm-4	0.325338444871534	1
C17F3.3	0.337633594530476	1
cyk-7	0.339305377932335	1
pssy-2	0.348898249676726	1
cye-1	0.388731601127677	1
K09H9.7	0.389888645401287	1
C27B7.5	0.390070318442643	1
asfl-1	0.39394060109016	1
hcp-4	0.404296062832179	1
spe-44	0.41548515446554	1
ztf-28	0.432442226027173	1
tag-63	0.435309458712881	1
C27D9.1	0.440040948390099	1
plk-1	0.451466527549039	1
mbtr-1	0.454242230621736	1
F59G1.8	0.459393765988457	1
K11H3.4	0.460831019346475	1
prde-1	0.472289885449221	1
Y48G1C.1	0.495645376223635	1
F16H6.9	0.515361464050107	1
Y82E9BR.2	0.520540224528688	1
fbf-1	0.541747039331587	1
F31E8.5	0.544633690174369	1
W05F2.6	0.546135475678436	1
K06B4.15	0.54757018095759	1
E02H9.7	0.549904416496561	1
C01G8.1	0.552919064342441	1
deps-1	0.56242837806437	1
F23C8.7	0.584153694695459	1
ztf-15	0.590246451039838	1
inx-21	0.592539919136951	1
F53H4.2	0.598704544364293	1
uri-1	0.627288676096147	1
Y65A5A.2	0.632870247167439	1
zim-3	0.649571147738567	1
R07B7.2	0.655314287806671	1
Y71F9AL.2	0.690765424309423	1
har-2	0.704187833401849	1
T28A8.4	0.704247046345188	1
C34D4.10	0.710559545549307	1
acdh-4	0.711294677007832	1
aspm-1	0.71503354266951	1
wdr-46	0.71873806675478	1
ZK1067.2	0.722685986646481	1
hpo-40	0.733607205307916	1
bub-1	0.740857488062684	1
aat-9	0.751993167300179	1
mut-7	0.754375799772469	1
C09B9.2	0.778113466163774	1
F58A4.2	0.785436278297699	1
F58D2.2	0.790239580552	1
T28A8.5	0.79119774525025	1
wdr-5.3	0.793765603712048	1
C14B1.2	0.79502534877234	1
ulp-5	0.797359460853388	1
mcm-10	0.807807207051931	1
bath-1	0.808211854886933	1
cyp-31A2	0.810901475426723	1
C38D4.4	0.834167713000023	1
knl-3	0.835880895782253	1
T13F3.8	0.84552234984576	1
F35H8.1	0.849109002369814	1
fbxc-44	0.874504964945531	1
his-60	0.877923161337128	1
T05F1.2	0.880338315434108	1
tufm-2	0.884717443198429	1
