gene_short_name	scaled_TPM	group_number
T19C3.5	2.00680039688786e-16	1
aman-1	2.44456925710766e-16	1
cup-4	5.420667931045102e-16	1
T05B11.4	5.521030680683609e-16	1
clec-145	8.65256759631196e-16	1
col-135	9.226538970020509e-16	1
lgc-24	1.1163257550556201e-15	1
clec-223	1.2022581745159901e-15	1
cof-2	1.24051465336056e-15	1
dig-1	1.3271023846356502e-15	1
F32E10.8	1.3362087867964101e-15	1
K02E7.11	1.3393047508595e-15	1
F58B4.6	1.3637704302070602e-15	1
Y73F4A.1	1.7148445689211302e-15	1
lgc-26	1.93952368349626e-15	1
ule-3	2.00493210699033e-15	1
lgc-25	2.05528874806469e-15	1
Y75B7AL.2	2.3859109011524907e-15	1
F55B11.3	2.3937725901791304e-15	1
ZK856.5	2.41068831284438e-15	1
lgc-28	2.4194415768407306e-15	1
mtd-1	2.4242835705726e-15	1
T13B5.9	2.6424918994620404e-15	1
mig-6	2.6511431768129504e-15	1
clec-178	2.8133642917402903e-15	1
clec-190	2.8806715730821e-15	1
M162.7	2.9339566298095704e-15	1
C29E4.10	2.9416575835657304e-15	1
Y116A8C.3	2.98989196850464e-15	1
unc-122	3.29527062349448e-15	1
ttr-1	3.4791434695849307e-15	1
Y51A2B.6	3.55582080370925e-15	1
Y62H9A.4	3.73499064646132e-15	1
Y62H9A.3	3.79386411667189e-15	1
F32B5.2	3.955465581024111e-15	1
T07D1.3	4.001124061484511e-15	1
T16A1.2	4.04996890308625e-15	1
ZK1251.3	4.06936791420041e-15	1
C40C9.3	4.375551119505991e-15	1
B0198.2	5.3683431023316506e-15	1
clec-222	5.371677138107121e-15	1
R01H2.2	5.395129777315281e-15	1
C54D10.4	5.40790909824226e-15	1
R03G8.6	5.419107250385681e-15	1
K07A1.6	5.43920997151613e-15	1
snf-9	5.55372738374666e-15	1
chhy-1	5.861582424657941e-15	1
dma-1	6.020401332950881e-15	1
C31H1.5	6.477766332591721e-15	1
F47E1.4	6.758736599172781e-15	1
F56C4.4	6.839542553458941e-15	1
W05B10.6	7.046545209693221e-15	1
ZK265.7	7.217670443885291e-15	1
F38A5.22	7.677763956458461e-15	1
F17E9.4	7.84812977997469e-15	1
Y39F10A.3	8.72068170835873e-15	1
F54B3.2	8.746044353130791e-15	1
oac-9	9.021078400260512e-15	1
ttr-9	1.04882948836229e-14	1
F46B6.2	1.07701984683397e-14	1
scl-17	1.08185338871975e-14	1
galt-1	1.10262886231483e-14	1
nas-20	1.10437076560341e-14	1
R173.3	1.13747232193683e-14	1
spe-12	1.18761738626448e-14	1
lron-5	1.21611060586202e-14	1
ttr-14	1.3098407316707e-14	1
ZK1225.5	1.39325025916711e-14	1
F16H11.1	1.4060840391392e-14	1
B0393.7	1.43138065256876e-14	1
T25B6.3	1.5251628874836102e-14	1
D1081.11	1.80060876023936e-14	1
