gene_short_name	scaled_TPM	group_number
F56A11.6	7.950484774028509e-16	1
clec-178	7.99039120601023e-16	1
lgc-25	1.3570319108638202e-15	1
F55B11.3	3.0450772752317506e-15	1
Y73F4A.1	3.64673075387804e-15	1
F55F10.3	3.735267070107071e-15	1
clec-145	3.772688835490031e-15	1
ZK1010.5	3.9331561711283e-15	1
C54D10.4	4.58948234229943e-15	1
nep-8	4.861933236132941e-15	1
lgc-26	4.87898835734322e-15	1
F16H6.9	5.115474012758521e-15	1
enu-3.2	5.4914162839766e-15	1
ZC376.8	6.176547585439501e-15	1
C01G6.2	6.21216906521166e-15	1
irld-6	7.870296077507361e-15	1
clec-223	8.3803674242451e-15	1
aman-1	1.01082781763399e-14	1
F28A10.4	1.03282054967459e-14	1
F23H12.10	1.05008871336572e-14	1
daf-6	1.16087017552586e-14	1
Y66D12A.3	1.22002901345691e-14	1
W01B6.8	1.42106571715713e-14	1
Y43F8A.2	1.57213757182541e-14	1
B0198.2	1.57517266498956e-14	1
M70.1	1.6495565702479402e-14	1
Y59H11AR.10	1.6586340644202402e-14	1
vab-23	1.66191298661107e-14	1
his-32	1.72219900211233e-14	1
T22A3.12	1.74239267887095e-14	1
ocr-2	1.78851986564734e-14	1
T02E1.7	1.81574108729835e-14	1
Y71F9B.15	1.91989399659308e-14	1
F36A4.5	2.03682753731266e-14	1
T01B6.1	2.14387536816002e-14	1
unc-122	2.21473138628494e-14	1
T05B4.14	2.21998857381288e-14	1
Y62H9A.3	2.28486606045094e-14	1
D1086.6	2.6030598647615e-14	1
C08F1.10	2.90313909666212e-14	1
fbxa-145	3.0885659154966e-14	1
F13B12.7	3.45781046525164e-14	1
K11H12.6	3.85065947601842e-14	1
fbxa-107	3.95528700912338e-14	1
R12A1.3	3.9911380834689e-14	1
ttr-58	4.6290163794711205e-14	1
F02C9.1	4.7790253212831904e-14	1
K06B9.6	4.85543692508573e-14	1
ttr-1	5.168193945888861e-14	1
F22D3.4	5.2136712402338e-14	1
C16A11.10	5.22155739412548e-14	1
clp-6	5.6406241054670204e-14	1
elo-7	5.96294346329067e-14	1
exc-5	6.147003845852652e-14	1
T15H9.4	6.850925358927699e-14	1
C31H1.5	7.21230535696523e-14	1
del-4	7.84696808188709e-14	1
Y62H9A.4	8.5830193856003e-14	1
fkh-6	8.8023635065944e-14	1
hlh-3	8.85415952840024e-14	1
R07B1.9	9.23317873635101e-14	1
K09F6.3	9.363283661871841e-14	1
T28A8.8	9.409137883867633e-14	1
C03A7.2	9.44936110283044e-14	1
C30G12.4	1.00667706851659e-13	1
fbxc-18	1.04554481238947e-13	1
ugt-56	1.04769751308583e-13	1
ncx-10	1.2090258696869e-13	1
fbxb-106	1.44428650683122e-13	1
Y43B11AL.1	1.4734424252641e-13	1
maph-1.2	1.482687066633e-13	1
fbxc-48	1.51347884552076e-13	1
C16D9.5	1.58084400699666e-13	1
fbxa-99	1.78046705481062e-13	1
K09C6.8	1.87038525738773e-13	1
sdz-30	1.96754100442186e-13	1
Y105C5B.17	2.17796375489648e-13	1
ttr-12	2.57468783270916e-13	1
M01H9.2	2.71523617681417e-13	1
C46E10.8	2.75366625762956e-13	1
T05E12.8	3.10236326246914e-13	1
cyp-34A5	3.2714369236136097e-13	1
ZC513.3	3.31025800065323e-13	1
F26C11.4	3.64057392371089e-13	1
K10G6.5	3.87205100361744e-13	1
daf-11	4.26592069744054e-13	1
F08A8.8	4.45394511773573e-13	1
F45E12.6	5.39027838427707e-13	1
pup-3	6.239505983745799e-13	1
sst-20	6.491258687002699e-13	1
