gene_short_name	scaled_TPM	group_number
F52C6.2	2.50875926998195e-16	1
C26B2.2	2.8668450655609004e-16	1
ttr-9	2.95115499214549e-16	1
B0207.9	3.09532471418382e-16	1
Y110A2AL.3	3.48796354489209e-16	1
bath-19	5.28930394145579e-16	1
spdl-1	7.57572306110242e-16	1
C41G7.3	8.99166893222914e-16	1
Y46H3D.1	9.45460097054263e-16	1
Y47G6A.3	1.00674915454776e-15	1
W01B6.5	1.0915177244289101e-15	1
C31H1.5	1.09916005798489e-15	1
ZK686.5	1.14157603006242e-15	1
cof-2	1.19644354901938e-15	1
F26D2.10	1.2086264837447e-15	1
lgc-26	1.2437532135542102e-15	1
C04G6.10	1.27315250760898e-15	1
C54D2.1	1.2804582277759601e-15	1
C47A4.3	1.71830462528121e-15	1
F36H12.2	1.78927212815512e-15	1
R08C7.5	1.9645649102521503e-15	1
snpc-3.1	2.04864202112333e-15	1
T28B8.6	2.15044609784103e-15	1
F35E2.9	2.2680674241365202e-15	1
sst-20	2.37338135961361e-15	1
B0361.11	2.4580968088826602e-15	1
W09C3.2	2.48204564164119e-15	1
flp-1	2.81727175094487e-15	1
M176.9	2.94905937780003e-15	1
Y43F8C.5	3.1253670026814107e-15	1
col-152	3.5589959647516204e-15	1
pck-3	3.5650166165239005e-15	1
msp-74	3.79795036379222e-15	1
irld-8	3.8612409208864e-15	1
T05C12.9	4.15550851501943e-15	1
elt-1	4.236236077982171e-15	1
C07G1.6	4.272172111951911e-15	1
C17D12.5	4.504607672016101e-15	1
C25A6.1	4.61287538447965e-15	1
Y57A10B.7	4.615626717716731e-15	1
irld-1	5.027893889681761e-15	1
C16D9.5	5.088625495651071e-15	1
F54C8.1	5.226602693562641e-15	1
gmeb-3	5.31514662421003e-15	1
F36A4.1	5.369990325786341e-15	1
T09B4.6	5.506835113818381e-15	1
R02F2.5	5.518256904487351e-15	1
acp-3	5.547796353632431e-15	1
sfxn-1.4	5.55984460386914e-15	1
C06A1.3	5.90167611609317e-15	1
C50E10.2	6.056381731661361e-15	1
F07F6.7	6.083678454093751e-15	1
Y111B2A.1	6.15198462375775e-15	1
C35D10.3	6.22337359683277e-15	1
T23E1.3	6.420777661626551e-15	1
spe-12	6.429337588468281e-15	1
C17C3.9	6.521683185014671e-15	1
T04F3.3	6.662901703829311e-15	1
C33C12.4	6.739919026675751e-15	1
ZK484.7	6.822852779656831e-15	1
ZC395.4	6.83617266838309e-15	1
ZK353.4	6.902113968884711e-15	1
C04G6.7	7.02872409462225e-15	1
R10D12.10	7.1722015695296e-15	1
C54G4.3	7.270212783945931e-15	1
col-158	7.289022450533851e-15	1
Y116F11B.8	7.497359497534841e-15	1
B0244.9	7.90571557659309e-15	1
chil-14	7.945879643855561e-15	1
ZC513.3	7.96303666527059e-15	1
C12D8.9	7.966216891496741e-15	1
C18H7.4	8.03694509014732e-15	1
F46F5.14	8.154850162906111e-15	1
ZK354.7	8.172498527808541e-15	1
F44F4.9	8.24418669365818e-15	1
Y69A2AR.47	8.293940994958501e-15	1
K10C9.7	8.527871924956581e-15	1
C04E6.5	8.53718756421617e-15	1
R04B5.11	8.813503120883221e-15	1
C28D4.4	9.384151255136672e-15	1
C27A2.5	9.58173240870992e-15	1
T21E12.5	9.58324152492352e-15	1
F44D12.8	9.678013041708091e-15	1
mpz-6	1.00716963613973e-14	1
M110.7	1.01879324440966e-14	1
C38C6.5	1.02054645200081e-14	1
pqn-29	1.06187179594669e-14	1
phg-1	1.06498843470623e-14	1
B0524.2	1.07103860296269e-14	1
ZC155.2	1.0827170606817e-14	1
ZK1248.20	1.10309353545451e-14	1
C25E10.17	1.16067659767921e-14	1
F09C12.8	1.19748965416303e-14	1
K03H1.9	1.22309840805146e-14	1
Y57G11C.6	1.24732761506051e-14	1
F59E11.7	1.26293658676762e-14	1
R05G6.9	1.27897142551459e-14	1
R11A8.1	1.3083910099665e-14	1
wht-3	1.34075885535735e-14	1
nep-7	1.35659108089874e-14	1
C16A11.3	1.36691002746957e-14	1
F10D11.4	1.38211596329961e-14	1
mltn-1	1.39501940996779e-14	1
C14A6.8	1.40458611013979e-14	1
K07G5.5	1.43444821903238e-14	1
cht-2	1.49896886847452e-14	1
F33D11.2	1.51090432273718e-14	1
ZK418.13	1.51102522635923e-14	1
snpc-3.2	1.52278372955628e-14	1
B0524.4	1.62014432375767e-14	1
dyf-3	1.6623406685091e-14	1
F22B3.8	1.67473443936858e-14	1
F34D10.9	1.74421766770843e-14	1
piit-1	1.78091547929352e-14	1
fbxa-197	1.82002577300832e-14	1
H32K21.1	1.82285212153392e-14	1
F37A4.4	1.8418379386207e-14	1
C48D1.9	1.84663191169657e-14	1
F38H4.4	1.85616564416173e-14	1
F58G6.3	1.9563260319079905e-14	1
C06C3.8	1.9633525056856705e-14	1
ZC404.2	1.99646635071728e-14	1
gmd-2	2.0094354825447502e-14	1
Y51H4A.22	2.0606040761215505e-14	1
C34B2.4	2.1188429525574105e-14	1
C16C4.18	2.21726963619108e-14	1
Y87G2A.20	2.2174335491786e-14	1
col-89	2.23866562616996e-14	1
K02E11.5	2.26552218360006e-14	1
cal-2	2.2719778676615902e-14	1
bath-34	2.39631030753151e-14	1
his-70	2.4834589391286505e-14	1
C08F8.3	2.54713910376025e-14	1
paf-1	2.5545756690581505e-14	1
K08D10.18	2.6585391828103905e-14	1
C04E6.4	2.69390790096488e-14	1
T25B9.5	2.70975719079716e-14	1
F39F10.3	2.80620520474804e-14	1
T02H6.3	2.8407471622193702e-14	1
F44D12.16	2.8670611792455e-14	1
F10D2.10	2.8948634561096604e-14	1
F13B12.7	2.9537003699515203e-14	1
F56D6.14	2.99559917404971e-14	1
ZK262.19	3.0513754184181603e-14	1
C04F5.2	3.08378042277568e-14	1
C15B12.1	3.25913194507743e-14	1
Y116A8C.38	3.27476542430391e-14	1
C25F6.6	3.2802288864800803e-14	1
kvs-3	3.2980884275193603e-14	1
lsy-27	3.35412477345182e-14	1
W10G11.19	3.3955930545285304e-14	1
F21C10.18	3.4783290272316304e-14	1
F46F5.11	3.4928055969107303e-14	1
F02D8.5	3.63903675617951e-14	1
F21C3.7	3.70732925205212e-14	1
Y22D7AR.7	3.73601613974622e-14	1
nspc-3	3.78180664869524e-14	1
Y53C10A.15	3.83406093548409e-14	1
cnc-2	4.01050029157373e-14	1
F44F4.3	4.02521637361464e-14	1
C16A11.4	4.12281264291743e-14	1
W05G11.2	4.21175396620887e-14	1
fig-1	4.24418289448209e-14	1
F26A1.8	4.48072385802754e-14	1
fbxc-49	4.5757392180609996e-14	1
sqst-2	4.65408021399283e-14	1
ttr-12	4.72061562906823e-14	1
rgs-9	4.7999055632287e-14	1
T01B7.13	4.8667010715458e-14	1
ugt-5	4.9060171091799903e-14	1
Y59H11AR.10	4.9831491235753e-14	1
T03G6.1	5.00181145169074e-14	1
C14C6.6	5.0296699687638e-14	1
C11H1.5	5.31891543237444e-14	1
F33H12.7	5.43128971116184e-14	1
C07C7.1	5.56049789840866e-14	1
lact-5	5.66173274376008e-14	1
T08B2.11	5.68799273901394e-14	1
K10H10.10	5.691900704002012e-14	1
C01G6.9	5.8317170665819e-14	1
Y51A2B.9	5.90699605951073e-14	1
C44B9.3	6.274929856417292e-14	1
clec-264	6.351926363639862e-14	1
C12D5.9	6.36231907120053e-14	1
F12A10.6	6.60003914701861e-14	1
R11F4.3	6.60099673276096e-14	1
F15D4.6	6.63855087291271e-14	1
F35H8.2	6.7173653746876e-14	1
T04F8.9	6.71748446056691e-14	1
acs-9	6.764836161905282e-14	1
scav-5	7.15771413742423e-14	1
nhr-110	7.182488915114272e-14	1
R01E6.5	7.321360458519732e-14	1
Y34F4.4	7.52584278305485e-14	1
C24H10.3	7.84961416538427e-14	1
ZK1240.9	8.14457794004283e-14	1
F35H10.3	8.24923334243146e-14	1
